age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,4,174169,15,4,6,3,2,1,0,0,40,34,0
50,4,201088,11,5,14,1,4,1,0,0,20,7,0
63,0,177759,9,2,0,0,1,1,7413,0,40,35,1
37,4,228384,11,0,8,3,4,1,0,0,40,39,0
59,4,36482,8,2,4,0,4,0,0,0,41,39,0
22,4,281089,9,4,10,1,4,1,0,0,50,39,0
55,2,163328,9,2,4,0,4,0,0,0,50,39,1
26,4,90270,11,2,14,0,4,1,0,0,40,39,0
53,4,180253,5,2,10,0,4,1,0,0,50,39,1
21,0,380608,9,2,0,5,4,0,0,0,39,39,0
19,4,459215,15,4,10,1,4,1,0,0,10,39,0
41,4,126274,11,2,4,0,4,1,0,0,40,39,0
21,4,215930,0,4,8,1,4,1,0,0,25,39,0
20,4,167215,11,2,8,0,4,1,0,0,40,12,0
33,4,33795,15,4,12,5,4,1,14390,0,60,39,1
52,6,118565,9,2,4,0,4,1,0,2020,40,3,1
42,4,305438,5,5,3,4,4,0,0,0,10,39,0
30,4,295190,11,4,6,3,4,0,0,0,26,39,0
48,4,93461,9,2,4,5,1,0,0,0,40,34,0
41,4,613451,0,4,8,1,4,1,0,0,18,39,0
33,4,89033,2,0,14,1,4,0,0,2331,40,39,0
33,6,98119,14,2,4,0,4,1,0,1991,81,39,1
45,4,220426,8,2,3,0,4,1,3355,0,39,39,0
36,4,293135,11,4,3,3,4,0,0,0,40,39,0
27,4,188677,11,2,4,5,4,0,0,0,34,39,0
43,4,307538,15,2,13,0,4,1,0,0,40,39,0
31,6,90890,15,2,12,0,4,1,0,0,50,24,0
45,2,480440,11,2,4,0,4,1,0,0,40,39,1
37,1,38428,11,2,14,0,4,1,0,0,40,39,0
30,4,205685,6,0,1,1,4,0,0,0,40,39,0
28,4,321431,9,2,10,0,1,1,0,0,40,34,0
29,4,339665,11,2,3,0,4,1,0,0,40,39,0
33,4,166989,11,0,7,4,4,0,0,0,50,26,0
62,6,373836,2,4,5,1,2,1,0,0,35,39,0
32,4,335578,11,2,3,0,4,1,0,0,40,39,0
20,0,231094,15,4,0,3,2,1,0,0,11,39,0
31,2,53901,7,4,10,3,4,1,0,0,49,39,0
43,4,185013,8,2,8,0,4,0,0,0,50,39,1
30,4,214681,14,4,10,1,4,1,95288,0,32,39,1
41,7,113450,15,2,4,0,4,1,7425,0,50,39,1
59,4,43454,7,0,4,1,4,0,0,0,45,39,0
52,4,175926,12,0,4,4,4,0,14896,0,31,39,1
20,4,197133,2,4,6,3,4,1,0,0,40,34,0
61,4,49955,15,4,8,1,4,0,0,0,40,39,0
28,4,164302,11,2,3,0,4,1,0,0,20,39,0
40,4,209472,14,2,3,0,4,1,14837,0,55,39,1
55,4,226408,11,0,6,1,4,1,7443,0,45,39,0
26,4,267117,11,2,3,0,4,1,0,0,40,39,0
18,4,247965,7,4,8,3,2,1,0,0,40,39,0
37,7,175804,14,2,4,0,4,1,14936,0,67,39,1
49,4,179826,9,0,4,4,4,0,0,0,40,39,0
26,4,196017,1,2,10,0,4,0,0,0,51,39,0
50,6,117059,11,2,4,0,4,1,7408,0,45,39,0
54,4,362024,11,2,3,0,4,1,0,0,45,39,1
30,1,119644,9,0,1,1,4,0,0,0,40,39,0
33,4,209925,15,2,8,0,4,1,0,0,45,32,0
18,4,197829,6,4,7,3,4,1,0,0,40,26,0
44,4,89342,15,0,8,1,2,0,0,0,40,39,0
31,4,131341,9,2,10,5,4,0,0,0,17,39,1
19,4,178836,15,4,4,1,4,0,0,0,55,39,0
48,6,98558,15,2,4,0,4,1,0,0,50,39,1
28,4,87130,11,0,3,1,4,1,0,0,40,39,0
18,4,217210,7,4,5,3,4,0,0,0,51,39,0
36,6,93624,11,2,14,0,4,1,0,0,45,39,0
19,0,384851,1,4,0,3,4,1,0,0,15,39,0
36,4,41117,7,0,11,3,4,0,0,1653,40,39,0
29,4,94666,15,2,14,3,4,1,0,0,40,39,0
18,0,161182,15,4,0,3,4,0,0,0,10,39,0
40,2,108629,9,4,10,5,3,0,0,0,40,39,0
41,4,183928,15,4,1,1,4,0,0,0,40,0,0
20,0,185189,15,4,0,5,4,0,0,0,35,39,0
35,2,36604,8,4,1,2,4,0,0,0,50,39,0
32,4,160232,11,0,8,3,4,1,0,0,23,39,0
53,4,335058,11,2,7,0,4,1,0,0,50,39,0
18,0,195903,15,4,0,3,4,1,0,0,20,39,0
19,1,158939,11,4,1,3,4,1,0,0,40,39,0
53,4,120509,12,4,10,1,4,1,0,0,40,39,1
28,4,169303,11,4,4,3,2,0,0,2687,50,39,0
29,4,33427,8,2,13,0,4,1,0,1986,40,39,0
47,4,147621,5,0,9,4,4,0,0,0,36,39,0
45,4,255112,15,0,8,4,4,0,0,0,50,39,0
47,4,174935,11,2,3,0,4,1,0,0,40,39,0
18,4,343591,15,4,8,3,4,0,0,0,22,39,0
30,4,263246,7,2,14,0,4,1,0,0,52,39,0
19,4,186517,15,4,8,3,4,1,0,0,48,39,0
19,4,157437,0,4,8,1,4,0,0,0,16,39,0
30,4,70073,15,4,10,4,4,0,0,0,40,39,0
19,4,95309,11,2,3,0,4,1,0,0,50,39,0
23,4,173635,11,0,8,3,4,1,0,0,35,39,0
19,4,172247,15,2,8,3,1,1,0,0,45,39,0
18,4,102766,0,4,8,3,4,0,0,0,35,39,0
19,2,203387,11,4,8,3,2,0,0,0,40,34,0
44,4,46680,11,2,14,0,0,1,0,0,40,39,0
21,4,156128,15,0,12,3,4,0,0,0,40,39,0
32,4,248944,15,4,1,1,4,1,0,0,40,34,0
42,4,162105,9,2,13,0,4,1,0,0,40,39,1
39,4,450962,11,2,12,0,3,1,0,0,20,39,0
45,4,210001,11,2,12,0,4,1,0,0,45,39,0
40,4,40882,9,2,4,0,4,1,14839,0,68,39,1
50,2,98166,11,2,1,0,4,1,0,1851,40,39,0
65,4,101290,11,2,4,0,4,1,7934,0,50,39,1
37,4,238941,8,2,3,0,4,1,0,0,40,39,0
44,4,165895,12,2,14,0,4,1,0,0,40,39,0
23,4,144174,11,4,4,1,4,1,0,2123,40,39,0
18,4,263176,9,4,8,3,2,1,0,0,40,39,0
20,4,130352,15,4,10,3,1,1,0,0,34,30,0
55,6,101276,12,2,10,0,4,1,14924,0,50,39,1
50,4,98487,11,2,14,0,4,1,3298,0,40,39,0
22,6,169200,11,4,10,1,4,0,0,0,40,39,0
29,4,213604,11,2,7,0,4,0,0,0,40,39,0
28,4,159606,8,2,13,0,4,1,0,0,50,39,0
39,2,152253,12,4,10,3,1,1,0,0,40,34,0
33,4,215174,9,2,1,5,1,0,0,0,40,30,0
29,4,106891,15,4,8,3,4,1,0,0,40,39,0
19,4,124843,15,2,3,0,4,1,0,0,40,39,0
68,4,149125,15,4,1,1,4,0,0,0,39,11,0
38,7,182194,11,4,1,4,4,0,0,0,39,39,0
81,2,69933,11,0,12,1,4,1,0,0,36,39,0
39,4,168064,15,2,12,0,4,1,0,0,40,39,1
43,4,166968,9,2,4,0,4,1,14902,0,40,39,1
42,2,179181,11,4,10,4,4,0,0,0,39,39,0
39,4,129170,9,2,10,5,4,1,0,0,40,39,0
40,4,126821,0,0,8,4,2,0,0,0,40,39,0
31,4,156141,15,2,12,5,4,0,0,0,34,39,0
37,4,231386,9,2,10,0,4,1,14902,0,50,39,1
52,4,70897,11,4,12,4,4,0,0,0,42,39,0
39,2,126093,9,2,4,0,4,1,0,0,40,39,0
34,4,88126,11,2,7,0,4,1,0,0,50,39,1
36,4,92822,7,4,12,3,3,0,0,0,40,39,0
21,4,85847,11,2,8,0,1,1,0,0,40,36,0
47,4,183186,11,4,10,1,4,0,0,0,41,39,0
48,2,98968,15,2,4,0,4,1,0,0,49,39,0
55,4,228740,11,4,3,1,4,1,0,0,29,39,1
47,4,195158,12,2,4,0,4,1,0,0,50,39,1
53,4,100762,11,2,4,0,4,0,0,0,40,39,0
64,0,419694,11,2,4,0,4,1,0,1985,45,39,0
50,2,78303,10,2,10,0,4,1,0,0,50,39,0
43,4,38823,9,4,10,1,4,1,5946,0,49,39,1
34,4,195687,5,0,7,4,4,0,0,0,37,26,0
26,4,75291,9,4,12,1,4,1,0,0,40,39,1
28,4,295187,7,2,14,3,4,1,0,0,40,34,0
28,4,209596,7,5,10,1,4,1,0,0,50,39,0
19,4,221587,15,5,7,3,2,0,0,0,35,39,0
35,2,260242,15,2,10,0,4,1,0,0,40,39,1
58,6,92433,14,2,10,0,4,1,0,0,79,39,0
24,4,171956,15,4,8,3,1,1,0,0,49,35,0
52,4,234273,11,5,14,4,4,1,0,0,40,39,0
34,4,34383,15,2,14,0,4,1,0,0,40,24,0
43,4,95765,15,2,4,0,4,1,0,0,40,39,0
18,4,98852,15,4,8,4,4,0,0,0,41,39,0
54,4,323029,12,2,4,0,3,1,0,0,40,11,0
54,4,190271,0,4,6,1,4,1,0,0,40,39,0
18,4,184370,2,4,8,3,4,1,0,0,5,39,0
18,4,29612,15,4,10,3,3,0,0,0,55,39,0
23,0,140696,15,4,0,1,4,1,0,0,19,39,0
46,4,211611,15,0,8,3,4,0,0,0,40,39,0
21,4,212701,15,4,5,3,2,1,0,0,40,39,0
38,4,215626,11,3,8,4,4,0,0,0,40,39,0
19,4,116928,7,2,14,3,4,1,0,2365,40,39,1
34,4,380781,9,4,8,1,4,1,0,0,45,39,0
45,2,88754,12,2,10,0,4,1,0,0,60,13,0
32,4,179713,4,2,3,0,4,1,0,0,50,39,0
43,4,345961,9,4,8,1,3,1,0,0,40,34,0
41,2,177990,11,2,10,5,4,0,0,0,24,39,0
28,4,225920,11,4,8,1,4,0,0,0,20,39,0
28,4,159095,11,2,12,5,4,0,0,0,40,39,0
44,4,193922,15,4,7,3,4,0,0,1454,40,39,0
64,6,92220,15,2,12,0,4,1,0,1889,40,39,1
33,4,165572,15,2,10,5,4,0,3425,0,40,39,1
32,0,180618,11,2,8,0,4,1,0,0,40,39,0
26,4,187233,9,2,4,0,4,1,0,1985,40,39,1
19,4,101995,15,0,8,4,4,0,0,1982,40,39,0
33,4,311525,11,4,7,3,3,0,0,0,32,39,0
18,5,108641,9,4,8,1,4,1,0,0,37,26,0
32,4,99714,11,2,14,0,4,1,0,1891,40,39,1
31,4,254465,11,2,14,0,4,1,0,0,44,39,0
35,4,41534,7,4,14,3,4,1,0,0,53,39,0
46,4,100401,11,2,14,0,4,1,0,0,40,39,0
65,6,76128,11,0,12,1,4,1,0,0,37,39,0
49,6,227609,14,0,8,1,4,0,0,0,37,39,0
44,4,148437,12,4,12,1,4,0,0,0,78,39,0
29,2,260851,9,4,10,3,4,1,0,0,50,39,0
40,4,86192,11,4,3,3,4,1,0,0,40,39,0
18,4,291980,5,3,7,4,4,0,0,0,40,5,0
30,4,77793,15,2,8,0,1,0,0,0,40,24,0
46,7,89213,15,0,10,1,4,0,0,0,40,39,0
64,4,233930,15,0,1,4,1,0,0,0,34,40,0
60,4,179113,9,2,10,0,2,1,0,0,40,39,1
30,4,104880,12,2,12,0,4,1,0,0,37,39,0
41,4,53726,11,2,4,0,4,1,3358,0,21,39,1
23,4,161976,11,4,8,3,4,1,0,0,20,39,0
46,4,48121,6,2,12,0,2,0,0,0,50,39,0
56,6,35289,14,2,10,0,4,1,0,0,40,39,1
21,6,35236,7,4,8,1,4,1,0,0,70,39,0
29,4,349710,9,2,10,3,4,0,14841,0,40,39,1
20,0,160341,11,4,0,3,4,1,0,0,25,39,0
30,4,304433,11,2,7,0,4,1,0,0,40,39,0
30,4,328021,11,4,12,1,2,1,0,0,40,39,0
28,4,206970,7,0,7,1,4,0,0,0,50,39,0
