Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,1,18.083121025494187,1,2,14.08498458970941,1
1,2,1,26.560834452248734,0,0,8.93692811699623,1
1,3,1,26.883242157106594,0,0,7.540421346619627,3
0,3,0,14.382156524732148,0,1,66.38326290293676,1
0,2,0,23.84908662584287,0,6,24.96914826570868,1
1,3,1,26.043113803154085,0,0,14.41617540601165,3
0,3,0,23.729795596103806,1,0,12.187269028280259,1
1,2,1,26.463113049871858,0,0,10.761137173430203,2
1,1,1,3.527810034458774,0,0,-41.82108921564122,2
0,2,1,6.742636142412027,3,5,68.03657817327763,1
1,3,1,28.62054452802225,1,0,71.03019415863645,1
0,3,0,-3.39157444648104,1,2,82.41817027197027,1
0,3,0,25.57858466940434,1,0,6.579126062625608,1
1,2,1,25.786310910915432,2,1,94.45458911413945,1
1,2,1,19.421122601854016,0,3,33.43641988483009,1
0,2,1,28.710756814174207,3,0,17.793480645993668,3
0,3,0,24.535986386608446,0,0,15.172629662585003,1
0,3,0,21.39659041199745,1,0,4.021423236756263,1
0,2,1,64.6673663394973,0,0,10.949175473762086,1
1,2,0,31.910366224962377,0,0,27.321609212496504,2
1,2,1,30.467649658446366,5,0,156.70364473870006,2
1,1,0,29.03132712891425,0,0,46.69163897733683,2
1,2,1,17.972414913738763,2,4,48.87190677883608,2
1,1,1,24.17431723759671,0,0,173.3795295634379,2
0,2,1,24.97639554832895,0,0,8.994038893453308,1
0,1,0,26.849827784980334,0,0,6.18541392757514,1
0,2,1,26.959723696032455,1,2,32.73848175226888,1
1,3,1,25.49552932525382,1,0,50.40493121844648,1
0,3,0,27.239664540745547,1,0,56.02675279854212,1
0,3,0,24.930177474576507,0,0,10.779295870340661,1
1,3,0,32.29667916792737,0,1,32.01255705616863,1
0,3,0,24.53494750247277,1,0,15.40668688861775,1
1,2,0,19.71277595500201,0,0,36.39607921999417,2
0,3,0,24.374125307035616,1,0,4.623151233273083,1
0,3,0,10.107159169386676,1,0,31.640472073789002,1
0,3,0,37.87227938919041,1,1,73.27094814180302,1
0,3,1,10.554522571820675,1,0,5.6528525965729655,1
0,3,0,20.74939303512325,0,0,0.25652628447645576,1
0,1,0,30.314074358016743,0,0,152.97034099703376,2
0,3,0,23.932200765109336,0,0,42.66154689863944,1
1,1,0,25.92777087344545,0,6,22.715762838767972,1
0,3,0,66.88465113043148,0,0,18.717909622076455,1
1,2,1,26.28957082933585,1,2,90.66287562283134,1
1,1,1,23.551709087110556,0,4,35.51473383761067,1
1,3,1,31.045503479191844,1,2,71.42247584720822,1
0,3,1,26.76696552739899,0,0,16.345531353726102,3
0,3,1,19.346078701724625,1,0,7.045884419048713,3
0,3,0,20.061766387418526,0,0,25.879258795566738,1
1,2,1,17.694791691285225,0,0,7.32047579427063,1
0,3,0,-7.473524011663993,1,2,7.268414836657541,1
0,2,1,29.507646345151638,0,0,18.522148507100205,1
0,3,0,7.071059018301597,1,6,17.121625830456985,1
0,3,0,27.08816869927277,1,0,93.70662762485424,1
1,1,0,20.00660280899434,0,3,52.57857934919696,1
0,3,1,1.1117136319894172,1,2,30.878204269474736,1
0,1,0,21.680577173456893,0,0,38.82222949622433,2
0,3,0,18.871360211096608,0,0,38.988154391091854,1
0,1,0,33.880458536173784,0,0,23.41728655796189,1
0,3,0,-0.07955935600791175,0,1,30.61261634258213,1
1,3,0,37.492177664140264,0,1,35.3174452657157,1
1,2,1,25.983424149342436,1,5,9.689578734784169,1
0,3,0,15.417953972758255,0,0,0.23361886222409112,1
