Pclass,Age,SibSp,Parch,Fare,Sex,Embarked_Q,Embarked_S,Survived
3,-0.5657364610748749,1,0,-0.5024451714361923,0,False,True,0
1,0.6638610320657841,1,0,0.7868452935884461,1,False,False,1
3,-0.2583370877897101,0,0,-0.4888542575852486,1,False,True,1
1,0.4333115021019105,1,0,0.4207302360686478,1,False,True,1
3,0.4333115021019105,0,0,-0.4863374216869257,0,False,True,0
3,-0.10463740114712775,0,0,-0.47811642890864375,0,True,False,0
1,1.8934585252064429,0,0,0.395813560675251,0,False,True,0
3,-2.1027333275006987,3,1,-0.22408312108167944,0,False,True,0
3,-0.18148724446841893,0,2,-0.4242561406845337,1,False,True,1
2,-1.1805352076452043,1,0,-0.04295550208861427,1,False,False,1
3,-1.9490336408581161,1,1,-0.312172377522981,1,False,True,1
1,2.2008578984916074,0,0,-0.11384570873513637,1,False,True,1
3,-0.7194361477174572,0,0,-0.4863374216869257,0,False,True,0
3,0.7407108753870753,1,5,-0.018709311778530763,0,False,True,0
3,-1.1805352076452043,0,0,-0.4902797934380587,1,False,True,0
2,1.970308368527734,0,0,-0.3262666585535892,1,False,True,1
3,-2.1027333275006987,4,1,-0.061998889229684634,0,True,False,0
2,-0.10463740114712775,0,0,-0.3866707201133388,0,False,True,1
3,0.1259121288167458,1,0,-0.2859972841804228,1,False,True,0
3,-0.10463740114712775,0,0,-0.5029485386158568,1,False,False,1
2,0.4333115021019105,0,0,-0.12491978668775715,0,False,True,0
2,0.3564616587806193,0,0,-0.3866707201133388,0,False,True,1
3,-1.103685364323913,0,0,-0.4867562231804066,1,True,False,1
1,-0.10463740114712775,0,0,0.06635974158478332,0,False,True,1
3,-1.6416342675729514,3,1,-0.22408312108167944,1,False,True,0
3,0.6638610320657841,1,5,-0.01644415947004014,1,False,True,1
3,-0.10463740114712775,0,0,-0.5029485386158568,0,False,False,0
1,-0.7962859910387483,3,2,4.647001076532463,0,False,True,0
3,-0.10463740114712775,0,0,-0.48977642625839407,1,True,False,1
3,-0.10463740114712775,0,0,-0.4894421904510968,0,False,True,0
1,0.8175607187083664,0,0,-0.09027201697708476,0,False,False,0
1,-0.10463740114712775,1,0,2.301728820789,1,False,False,1
3,-0.10463740114712775,0,0,-0.49237782784290063,1,True,False,1
2,2.815656645061937,0,0,-0.43700743807979686,0,False,True,0
1,-0.10463740114712775,1,0,1.0060617003323709,0,False,False,0
1,0.9712604053509487,1,0,0.39858208016340624,0,False,True,0
3,-0.10463740114712775,0,0,-0.5028639729296732,0,False,False,1
3,-0.642586304396166,0,0,-0.4863374216869257,0,False,True,0
3,-0.8731358343600395,2,0,-0.2859972841804228,1,False,True,0
3,-1.1805352076452043,1,0,-0.42207354059350805,1,False,False,1
