age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,4,29234,11,2,3,0,0,1,-23,0,40,39,0
33,4,178910,7,0,8,1,4,1,-39,-3,54,39,0
58,4,163460,10,0,10,1,4,0,-35,-1,40,39,1
31,4,146261,9,4,5,1,4,0,-38,-4,30,39,0
68,6,263308,7,0,0,1,4,1,6271,1,68,39,0
23,4,234611,11,4,14,1,4,1,-27,-2,30,39,0
16,0,218367,2,4,0,4,4,0,2560,1,30,39,0
56,6,295669,9,2,10,0,4,1,-29,-1,56,5,1
37,4,112058,15,0,8,1,4,1,-59,-2,34,39,0
63,4,171825,11,0,4,1,4,1,3459,-4,40,39,0
53,4,331774,7,0,1,1,4,0,5716,-1,57,39,1
23,4,94139,11,5,8,4,4,0,-13,-3,30,39,0
34,4,216365,0,3,12,4,4,0,-35,-2,35,27,0
29,5,119404,9,2,11,0,4,1,40,-3,30,39,0
54,4,152079,15,2,3,0,4,1,-17,-1,56,39,0
16,3,189606,15,4,7,3,4,0,19,1,30,39,0
33,4,109812,11,2,4,0,4,1,-3,1,40,39,1
48,4,120107,11,4,12,1,4,0,-47,-2,23,39,0
16,4,232634,15,4,8,1,4,0,-20,-3,29,39,0
46,4,26976,11,0,8,4,4,1,6,-1,40,39,0
32,4,299014,8,2,4,0,4,1,-36,-2,61,39,1
18,4,209790,15,4,8,3,4,0,10,1,29,39,0
53,4,138256,7,0,13,1,4,0,2568,-2,40,39,0
26,4,342472,15,4,4,3,4,0,9,-2,31,39,0
66,6,296347,5,4,1,1,4,1,-46,0,40,39,0
36,4,182554,9,2,14,0,4,1,-24,-1,40,39,0
24,4,321000,9,4,5,1,4,0,-44,-4,30,39,0
40,7,57827,15,2,1,5,4,0,-2,1,23,39,0
56,2,169970,5,0,0,4,4,1,-1,1,56,39,0
36,6,36700,8,2,10,0,4,1,-3,-1,59,24,1
51,4,51875,8,2,3,0,4,1,-22,0,60,39,0
50,7,291882,15,2,1,0,2,1,-22,0,40,39,0
42,4,172190,15,4,8,4,3,0,-31,-1,40,39,0
23,4,28493,15,0,0,4,4,0,-33,-2,30,39,0
28,1,242125,9,4,5,1,1,1,6461,0,31,39,0
54,4,256416,4,2,3,0,4,1,11,-3,45,39,0
39,4,29807,15,5,8,4,3,0,-31,-5,38,39,0
72,2,215927,10,2,10,0,1,1,15,-1,40,39,1
52,6,21250,5,0,0,4,4,1,-17,0,40,39,0
33,4,114563,15,0,8,1,4,0,-26,1,56,39,0
48,4,114006,14,2,4,0,4,1,-30,-3,59,23,1
24,8,212048,15,4,4,3,4,0,-31,-2,40,39,0
39,4,112142,11,2,10,0,4,1,13,-3,60,39,0
39,4,182811,12,2,4,0,4,1,6480,2,57,39,1
73,4,132853,10,2,10,0,4,1,-17,1657,50,39,1
69,0,218916,11,6,0,1,4,0,-20,1,30,39,0
25,4,221561,11,2,3,0,4,1,-9,-2,40,39,0
37,4,303125,15,0,8,1,4,1,-37,0,30,39,0
55,4,226801,10,2,12,0,4,1,5629,-4,56,39,1
52,4,118564,8,0,13,1,4,1,17,0,49,2,0
49,4,110473,15,2,3,0,0,1,-67,2,40,39,0
37,7,96019,9,2,1,5,4,0,17,-4,40,39,0
36,4,26652,11,0,7,1,4,1,-54,0,40,39,0
60,4,85197,8,2,10,1,1,1,-37,-1,58,39,0
27,4,30868,11,4,4,3,4,0,28,-1,21,39,0
36,4,43503,3,2,6,0,1,1,4,-5,40,39,0
21,0,177214,6,4,0,2,4,1,-59,1,30,39,0
31,4,172263,9,2,14,0,1,1,-74,2,40,30,0
24,4,256997,11,5,1,4,2,0,17,-2,23,39,0
76,4,114511,9,2,10,0,1,1,6082,-3,56,39,1
42,4,252374,4,0,13,4,4,0,17,-2,18,26,0
28,4,284789,11,2,1,5,4,0,67,-5,36,39,1
42,4,263279,11,2,3,0,4,1,-23,-1,56,39,1
46,6,176922,7,2,10,0,4,1,-9,0,36,39,0
22,6,50459,4,6,9,4,4,0,-51,2,29,39,0
16,4,140068,15,1,6,4,4,1,4,-5,30,26,0
28,4,91148,15,2,4,0,4,1,-48,-1,59,39,0
50,0,25378,11,6,0,4,4,0,-13,-3,40,39,0
32,4,83367,11,4,4,4,4,0,-38,1,30,39,0
35,5,99981,15,2,11,0,4,1,25,-3,37,39,0
40,1,131307,15,2,13,0,4,1,-50,-2,40,39,0
46,4,216937,8,2,3,0,4,1,-6,-2,40,39,0
34,4,288234,8,4,13,4,4,0,-68,-1,31,39,0
15,4,257787,11,4,8,2,4,1,59,-2,30,39,0
31,4,278101,10,2,10,0,4,1,-1,-6,59,39,1
22,4,234755,10,2,7,0,1,1,-69,-3,40,32,0
23,4,37953,11,0,4,1,4,1,23,0,58,39,0
51,4,263016,10,2,10,0,1,1,6331,1651,59,4,1
31,4,142000,7,0,7,4,4,0,-22,-3,40,39,0
54,0,181458,11,6,0,1,4,0,-51,-1,30,39,0
41,4,213548,9,6,1,5,4,0,7250,-2,49,39,0
30,4,279711,11,0,7,4,2,0,6,-1,40,39,0
35,0,282957,11,4,0,1,4,1,18,-1,30,39,0
23,4,310134,15,4,8,1,4,0,11,0,40,39,0
27,4,254737,9,4,5,3,2,0,-74,1,40,39,0
20,8,357171,1,4,1,3,2,0,-59,1,40,39,0
50,4,30748,11,4,3,2,4,1,-11,-3,44,39,0
18,4,201884,15,4,8,3,4,0,-57,-3,20,39,0
44,6,262581,9,2,10,0,4,1,6559,1,59,24,1
67,0,166188,11,6,0,1,4,0,-41,-4,40,39,0
41,1,111329,8,2,4,0,4,1,-20,0,37,39,0
19,4,79741,0,4,4,1,4,1,-36,5,35,39,0
29,4,206784,11,0,3,4,4,1,5,-5,40,39,0
25,0,129286,11,4,0,3,4,1,-16,1,40,39,0
44,4,128761,9,0,14,0,1,1,-54,2,40,31,0
29,6,197604,11,0,3,4,4,1,-25,-1,40,39,0
55,0,33784,11,6,0,1,4,0,2181,-1,29,39,0
30,4,53327,1,5,1,4,2,0,-1,-2,30,39,0
34,3,20650,15,5,1,4,4,0,-40,-1,30,39,0
29,4,432148,15,2,1,5,4,0,40,-5,29,39,1
16,4,174110,11,5,7,4,2,0,-13,-2,40,39,0
19,4,195417,11,4,12,2,4,1,-37,-2,21,33,0
46,5,255945,9,2,12,0,4,1,9,2,59,39,1
60,6,56685,7,0,14,0,4,1,31,-2,55,39,0
28,4,99806,5,2,5,0,4,1,16,-2,19,39,0
21,0,214946,11,4,0,3,4,1,-51,0,21,39,0
21,0,202256,2,4,0,1,4,1,0,-1,30,39,0
39,4,29251,11,0,3,4,4,1,-28,1,29,39,0
40,6,295139,7,2,10,0,4,1,-48,-2,37,39,0
55,4,215439,9,2,12,0,4,1,-36,-6,59,3,1
41,4,145589,7,0,4,4,4,0,3051,-3,40,39,0
48,7,106367,9,2,1,0,4,1,-39,-3,40,39,0
46,4,129571,15,4,4,1,4,0,6362,-1,40,39,1
52,6,268513,9,2,10,0,4,1,-27,-1,56,4,0
49,4,309633,11,2,7,0,4,1,-59,-1,40,39,0
47,4,149635,7,0,8,1,4,0,-77,-1,29,39,0
47,4,304841,9,2,12,0,4,1,1,-2,37,39,1
24,4,35398,9,4,6,1,1,1,24,-1,56,39,0
55,4,278080,7,0,8,1,4,1,-38,-2,40,39,0
28,4,290593,15,6,7,1,1,1,-54,-2,40,39,0
26,4,171861,8,2,6,0,1,1,18,-2,59,5,1
49,4,222912,8,2,3,0,4,1,-19,0,62,39,0
66,6,237116,7,0,0,4,4,1,-8,2,30,39,0
14,4,30400,15,4,8,3,2,0,1,2,37,39,0
18,4,70695,15,4,8,3,4,1,-48,-1,22,39,0
53,4,236417,10,2,10,0,4,1,6320,-3,50,24,1
32,4,161716,15,4,4,1,4,1,-4,0,56,39,0
32,4,119068,8,0,3,4,4,0,-8,-1,40,39,0
26,4,121087,15,1,3,0,4,1,2,-5,40,39,0
37,4,157024,11,5,12,1,1,1,5884,-4,58,39,0
35,4,316866,8,0,10,0,4,1,27,0,50,39,0
39,1,124021,12,2,4,0,4,1,33,0,56,39,1
59,0,160934,11,2,0,4,4,0,-29,1,40,39,0
43,4,220182,7,0,0,4,4,0,-26,-1,40,39,0
30,4,248356,10,2,10,1,1,1,6465,-3,40,29,1
37,4,40161,11,2,3,0,4,1,-5,-1,58,39,1
46,4,243726,9,2,12,0,4,1,-24,-4,50,39,1
51,4,98695,1,1,3,0,4,1,-48,-4,38,39,0
21,4,179803,9,4,4,1,4,0,4,1,40,39,0
39,2,280559,12,4,10,1,4,1,14864,-4,40,4,0
51,4,394830,9,2,1,5,4,0,7087,-4,35,39,1
29,4,216286,4,0,3,4,4,0,45,-2,40,39,0
54,4,97245,15,2,4,0,4,1,3,-1,59,39,1
45,6,58053,11,4,7,1,4,1,-31,1,35,39,0
43,4,125344,0,3,9,4,4,0,-81,-1,40,39,0
35,4,55319,9,2,1,5,4,0,7161,-3,40,39,1
65,6,193918,5,0,0,1,4,1,2760,1,29,39,0
23,2,157812,11,2,7,0,1,1,-4,-2,40,39,0
29,4,139822,11,0,13,4,4,0,-78,2,40,39,0
20,4,135501,8,4,8,1,4,0,17,-4,30,39,0
54,5,290366,9,2,12,0,4,1,5660,2,37,39,1
36,4,175430,11,4,14,1,1,1,8,0,58,39,0
52,2,321723,9,4,10,1,4,0,8075,-4,36,39,1
15,4,233013,11,4,12,2,4,1,-42,0,30,27,0
18,4,149999,11,0,12,2,4,1,-39,0,30,39,0
54,6,159527,15,2,3,0,4,1,5,-1,40,39,0
56,4,229736,12,2,3,0,4,1,-26,-3,50,39,1
28,4,113278,11,2,3,0,4,1,-28,0,40,39,0
46,4,161228,9,2,10,0,4,1,-26,-3,59,39,1
55,6,271230,11,2,4,0,4,1,-19,-2,50,39,1
