age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
79,7,35904,15,2,3,2,4,1,106,7,54,39,0
80,6,27781,11,2,12,0,4,1,140,6,40,39,0
79,0,216622,5,2,0,0,4,1,-43,8,47,39,0
81,3,21644,14,2,3,0,4,1,136,7,40,39,0
81,4,150113,15,2,3,0,4,1,-15,6,40,39,0
80,4,64060,15,2,3,0,4,1,67,7,40,39,0
80,0,214437,15,2,0,0,4,1,6,7,40,39,0
81,4,2158,9,2,10,0,4,1,130,6,40,39,0
81,4,33203,11,6,3,1,1,1,-136,5,40,39,0
81,4,169100,11,2,1,0,4,0,132,7,40,39,0
81,1,16302,11,2,1,0,0,1,137,7,40,39,0
81,1,3299,11,2,1,0,4,1,141,7,40,39,0
81,7,16195,11,2,1,0,4,1,142,5,40,39,0
81,3,140543,15,2,3,0,4,1,108,8,40,39,0
80,0,214407,5,2,0,0,4,1,-37,8,40,39,0
80,4,4646,15,2,1,0,4,1,139,5,40,39,0
80,7,3042,15,5,6,2,4,1,-134,0,38,39,0
81,4,5661,7,2,1,0,3,1,139,6,40,39,0
81,1,1389,11,2,13,0,4,1,142,7,40,39,0
81,4,169936,11,2,12,0,4,0,135,7,40,39,0
81,3,217755,1,2,3,0,4,1,-51,8,40,39,0
78,0,212401,5,2,0,0,4,1,-44,7,40,39,0
80,6,1530,15,2,12,3,4,1,134,8,57,39,1
81,3,171707,15,2,3,0,4,1,79,7,40,39,0
81,6,1904,11,2,5,0,4,1,142,5,40,39,0
80,4,1630,15,0,1,1,4,1,-88,7,40,39,1
81,7,21951,15,2,8,0,4,1,139,2,40,39,0
76,4,211571,3,2,8,0,4,1,-42,7,40,39,0
81,3,195250,11,2,3,0,1,1,80,8,40,39,0
81,1,1613,11,2,1,0,4,1,142,7,40,39,0
81,1,2106,11,2,1,0,2,1,141,7,40,39,0
81,3,148533,11,2,3,0,4,1,114,7,40,39,0
80,4,8236,4,3,6,2,4,1,-98,-6,43,39,0
81,1,1388,11,2,1,0,4,1,142,7,40,39,1
81,1,1382,11,2,1,0,4,1,142,8,40,39,1
81,1,75463,11,2,3,0,0,1,129,7,40,39,0
81,6,5158,11,2,1,0,4,1,134,5,40,39,0
81,1,1378,11,2,1,0,4,1,142,7,40,39,1
80,0,213165,15,2,0,0,4,1,-47,7,40,39,0
81,3,26456,11,2,3,0,4,1,137,7,40,39,0
81,6,1455,15,2,12,3,4,1,133,8,61,39,1
80,1,1475,15,2,4,0,4,1,140,7,40,39,1
81,2,1526,10,2,10,0,4,1,135,8,40,39,0
80,6,1415,15,2,4,3,4,1,118,7,56,39,0
81,3,101819,11,2,3,0,4,1,122,8,40,39,0
81,3,168599,11,2,3,0,4,1,108,8,40,39,0
81,5,1662,11,2,5,0,4,1,142,3,40,39,0
80,4,44005,15,2,1,0,4,1,125,7,40,39,0
80,6,50839,5,6,3,1,4,1,-133,2,40,39,0
81,3,198987,1,2,3,0,1,1,8,7,40,39,0
81,1,108809,11,2,3,0,0,1,124,7,40,39,0
80,3,94401,6,2,3,0,4,1,91,7,40,39,0
80,4,91466,0,2,3,0,4,1,80,7,40,39,0
81,4,77057,11,2,14,0,4,1,117,7,40,39,0
78,7,8445,15,5,6,2,4,1,-129,-2,34,39,0
80,7,64037,15,2,1,0,4,1,132,5,40,39,0
80,3,7986,11,2,3,0,4,1,120,6,40,39,0
46,6,50333,11,2,3,4,4,1,-97,6,40,39,1
81,4,5309,11,2,1,0,4,1,125,6,40,39,0
81,4,7152,15,2,1,0,2,1,135,6,40,39,0
80,2,54528,15,4,3,1,1,1,-139,5,40,39,0
81,1,1381,11,2,1,0,4,1,142,7,40,39,1
80,3,214921,1,2,12,0,4,1,-79,7,40,39,0
81,4,1912,11,2,1,0,4,1,142,7,40,39,0
81,3,20041,14,2,5,0,4,1,130,7,40,39,0
81,4,3001,11,2,3,0,4,1,138,7,40,39,0
81,0,153278,11,2,3,0,0,1,117,8,40,39,0
81,2,1471,11,2,5,0,4,1,138,7,40,39,0
81,1,1456,11,2,1,0,4,1,141,7,40,39,0
81,3,204419,11,2,3,0,4,1,16,8,40,39,0
81,4,7016,11,2,12,0,4,1,141,7,40,39,0
81,1,1382,11,2,1,0,4,1,142,6,40,39,0
81,5,1902,11,2,5,0,4,1,142,6,40,39,0
81,1,2196,11,2,1,0,2,1,135,6,40,39,0
78,7,71262,15,2,8,0,4,1,30,1,37,39,0
80,4,1591,2,4,6,2,4,0,-128,-6,21,39,0
81,3,8374,14,2,12,0,4,1,135,7,40,39,0
81,4,169779,11,2,1,0,4,0,122,7,40,39,0
80,4,38204,15,2,3,0,4,1,100,7,40,39,0
81,4,1624,11,2,9,0,4,0,109,3,40,39,0
80,4,83268,11,2,3,0,4,1,118,6,40,39,0
81,4,122094,5,2,3,0,4,1,38,6,40,39,0
81,4,15139,11,2,1,0,4,1,101,6,40,39,0
80,4,128493,15,2,3,0,4,1,67,7,40,39,0
80,4,27052,11,6,1,1,1,1,-138,3,40,39,0
80,4,192812,11,2,4,5,4,0,140,8,40,39,1
