age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
81,1,1540,11,2,5,0,4,1,142,5,40,39,0
79,0,204678,15,2,3,0,4,1,-42,7,40,39,0
81,3,210664,1,2,3,0,4,1,-5,8,40,39,0
80,4,11184,15,2,3,0,4,1,129,7,40,39,0
81,1,83717,11,2,14,0,0,1,130,7,40,39,0
81,4,4773,11,2,3,0,4,1,133,7,40,39,0
81,4,6352,11,2,1,0,4,1,134,7,40,39,0
80,4,92079,15,2,3,0,4,1,-46,7,40,39,0
81,3,29602,11,2,3,0,4,1,138,7,40,39,0
81,2,1398,11,2,5,0,4,1,139,7,40,39,0
81,3,87031,11,2,3,0,4,1,90,8,40,39,0
80,4,46330,11,2,12,0,4,1,101,7,40,39,0
81,3,22352,14,2,3,0,4,1,101,4,40,39,0
80,7,1612,2,4,6,2,4,0,-135,-7,22,39,0
73,7,25380,11,2,3,2,4,1,38,7,47,39,0
80,4,74412,15,2,3,0,4,1,90,5,40,39,0
81,1,1407,11,2,1,0,4,1,142,3,40,39,0
81,3,18974,11,2,5,0,4,1,125,7,40,39,0
80,2,17273,11,4,1,1,4,1,-135,6,40,39,0
81,3,196938,1,2,14,0,4,1,35,8,40,39,0
81,1,1430,11,2,5,0,4,1,142,3,40,39,0
81,3,202162,15,2,3,0,4,1,40,8,40,39,0
81,1,1441,11,2,1,0,4,1,142,7,40,39,1
43,6,34453,11,2,3,4,4,1,-101,7,40,39,1
80,4,6906,11,2,7,0,4,1,131,7,40,39,0
81,1,1526,11,2,1,0,2,1,141,6,40,39,0
81,7,4248,12,2,10,0,4,1,132,7,40,39,0
81,1,1403,11,2,1,0,4,1,142,6,40,39,0
80,4,25641,11,2,3,0,4,1,92,6,40,39,0
81,4,9486,11,2,1,0,2,1,140,7,40,39,0
81,1,74929,11,2,3,0,4,1,130,7,40,39,0
81,4,13203,15,2,3,0,4,1,122,7,40,39,0
80,4,15761,15,2,1,0,3,1,130,6,40,39,0
81,0,154966,15,2,3,0,4,1,90,8,40,39,0
80,4,124819,15,2,3,0,4,1,31,7,40,39,0
80,2,11106,9,2,1,0,4,1,94,7,40,39,0
81,4,10026,11,2,3,0,4,1,136,7,40,39,0
81,3,113965,11,2,3,0,1,1,48,7,40,39,0
81,4,2998,11,2,5,0,4,1,141,5,40,39,0
80,4,29577,2,2,6,0,4,1,118,3,40,39,0
81,4,169386,11,2,12,0,4,0,140,7,40,39,0
80,7,2290,2,4,8,2,4,0,-124,-6,23,39,0
80,6,1519,11,2,5,0,4,1,141,2,40,39,0
81,1,1409,11,2,1,0,4,1,142,7,40,39,1
80,1,25656,11,2,1,0,0,1,127,7,40,39,0
81,2,4333,12,2,10,0,4,1,125,7,40,39,0
80,6,31807,15,2,3,0,4,1,108,6,40,39,0
80,3,177822,0,2,3,0,4,1,11,7,40,39,0
72,4,212294,11,6,3,2,4,1,-136,5,40,39,0
81,3,53624,11,2,3,0,4,1,133,7,40,39,0
81,4,6167,12,2,12,0,4,1,128,8,40,39,0
81,6,1606,10,2,10,0,4,1,140,7,40,39,0
80,2,177045,11,2,3,0,4,1,87,7,40,39,0
81,3,200664,11,2,3,0,4,1,46,8,40,39,0
80,7,1483,2,4,1,3,4,0,-134,-6,24,39,0
80,4,25138,2,2,12,0,4,1,131,1,40,39,0
81,1,1490,10,2,10,0,4,1,140,7,40,39,0
81,7,1418,11,2,12,3,4,1,135,7,58,39,0
73,4,3760,2,3,6,2,4,1,-108,-7,40,39,0
81,3,113901,11,2,3,0,1,1,63,7,40,39,0
80,7,2051,2,4,8,2,4,0,-135,-5,23,39,0
80,4,130842,11,2,3,0,4,1,102,6,40,39,0
80,4,161015,11,2,3,0,4,1,29,7,40,39,0
81,3,1384,11,2,11,0,4,1,142,6,40,39,0
81,3,188989,1,2,3,0,4,1,53,7,40,39,0
81,1,1608,11,2,1,0,4,1,141,7,40,39,1
80,4,8720,11,2,12,5,4,0,141,8,40,39,1
80,6,19123,11,2,12,5,4,0,141,8,40,39,1
81,4,168763,11,2,12,0,4,0,126,6,40,39,0
81,6,168888,11,2,12,0,4,0,140,7,40,39,0
81,1,1398,11,2,13,0,4,1,142,7,40,39,0
80,7,5653,15,5,6,2,4,1,-132,-2,54,39,0
79,4,209262,3,2,3,0,4,1,-72,7,40,39,0
81,1,1399,7,2,1,0,4,1,141,7,40,39,0
46,6,37393,11,2,3,4,4,1,-97,7,40,39,1
48,2,1434,11,2,4,3,4,1,135,8,60,39,1
79,7,5693,15,5,6,2,4,1,-1270,0,47,39,0
81,6,2774,11,2,3,0,4,1,139,7,40,39,0
80,4,24640,15,2,3,0,3,1,131,7,40,39,0
81,2,1596,11,2,5,0,4,1,138,7,40,39,0
81,4,53830,11,2,3,0,4,1,114,7,40,39,0
80,4,2547,15,0,1,4,4,1,-101,7,40,39,1
81,1,1410,11,2,1,0,4,1,142,6,40,39,0
81,1,2509,9,2,1,0,4,1,120,7,40,39,0
81,1,1516,11,2,5,0,4,1,142,3,40,39,0
81,6,2555,11,2,5,0,4,1,141,6,40,39,0
81,4,169447,11,2,12,5,4,0,141,8,40,39,0
81,3,33340,11,2,3,0,4,1,137,7,40,39,0
81,6,1388,15,2,4,3,4,1,138,8,60,39,1
80,2,23239,11,2,7,0,4,1,130,7,40,39,0
81,3,44897,11,2,3,0,4,1,133,7,40,39,0
81,3,75912,11,2,3,0,4,1,132,7,40,39,0
81,3,214396,1,2,3,0,1,1,-16,7,40,39,0
81,5,2472,11,2,12,0,4,1,141,2,40,39,0
80,6,1564,11,2,6,0,4,1,140,2,40,39,0
80,7,9892,15,2,8,0,4,1,138,3,40,39,0
81,3,178192,11,2,3,0,4,1,101,8,40,39,0
81,3,85232,15,2,3,0,4,1,117,8,40,39,0
80,3,1494,15,2,12,3,4,1,129,7,60,39,1
81,3,208863,1,2,12,0,4,1,41,7,40,39,0
80,4,21546,15,2,6,0,4,1,134,6,40,39,0
81,3,134014,11,2,3,0,4,1,92,7,40,39,0
81,3,212920,1,2,3,0,4,1,-55,7,40,39,0
80,4,69519,11,6,3,1,1,1,-138,4,40,39,0
80,0,214744,5,2,0,0,4,1,-52,8,40,39,0
80,4,14927,15,2,1,0,3,1,133,7,40,39,0
81,1,4178,11,2,1,0,2,1,140,7,40,39,0
76,7,52978,11,2,3,2,4,1,86,7,54,39,1
80,3,8431,15,2,5,0,4,1,128,7,40,39,0
81,1,1503,10,2,10,0,4,1,139,7,40,39,0
59,6,215148,11,6,3,2,4,1,-130,6,40,39,0
81,4,171749,11,2,12,5,4,0,142,8,40,39,1
81,3,152192,15,2,3,0,4,1,93,8,40,39,0
80,6,168970,11,2,12,0,4,0,138,7,40,39,0
81,3,125936,11,2,3,0,4,1,115,7,40,39,0
80,4,5564,11,2,4,5,4,0,141,8,40,39,1
73,0,216620,5,2,0,0,4,1,-97,7,47,39,0
80,4,1710,15,0,1,4,4,1,-88,7,40,39,0
81,4,2232,10,2,10,0,4,1,136,8,40,39,0
81,1,1448,11,2,1,0,4,1,142,7,40,39,1
81,4,72639,11,2,14,0,4,1,123,7,40,39,0
81,3,84474,11,2,3,0,4,1,109,8,40,39,0
81,3,159873,11,2,3,0,4,1,121,8,40,39,0
81,5,1516,11,2,12,0,4,1,142,0,40,39,0
79,4,183650,11,2,12,0,4,0,90,6,40,39,0
81,2,46768,11,2,14,0,4,1,130,7,40,39,0
81,2,1934,12,2,10,0,4,1,123,7,40,39,0
81,1,1505,11,2,5,0,4,1,142,5,40,39,0
80,4,51489,4,2,3,0,4,1,65,7,40,39,0
81,3,1414,11,2,11,0,4,1,142,7,40,39,0
76,7,130716,15,2,12,2,4,1,88,7,59,39,0
81,4,113415,15,2,3,0,4,1,99,7,40,39,0
81,4,5898,11,2,1,0,4,1,134,7,40,39,0
79,7,11653,15,5,12,2,4,1,-133,1,33,39,0
81,2,1443,11,2,11,0,4,1,142,6,40,39,0
80,1,1659,15,2,6,0,4,1,140,3,40,39,0
80,4,12930,15,2,3,0,4,1,116,6,40,39,0
81,2,16790,11,6,12,1,1,1,-137,5,40,39,0
81,3,51768,11,2,3,0,4,1,137,8,40,39,0
80,4,23507,2,2,12,0,4,1,122,2,40,39,0
81,3,96357,11,2,3,0,4,1,123,7,40,39,0
80,4,3501,11,2,3,0,4,1,132,6,40,39,0
81,3,175726,14,2,3,0,4,1,65,7,40,39,0
80,2,50426,11,2,14,0,4,1,115,6,40,39,0
80,4,2130,11,2,3,0,4,1,139,6,40,39,0
80,4,20970,11,2,12,5,4,0,141,8,40,39,1
81,4,169296,11,2,4,0,4,0,140,8,40,39,0
81,1,1385,11,2,1,0,4,1,142,7,40,39,1
81,3,193347,11,2,3,0,4,1,90,8,40,39,0
81,1,30870,11,2,1,0,0,1,132,7,40,39,0
80,4,46944,11,6,14,1,4,1,-139,4,40,39,0
80,0,216300,1,2,0,0,4,1,-86,7,40,39,0
80,2,1459,11,2,12,3,4,1,130,7,54,39,1
81,3,123196,11,2,3,0,4,1,119,8,40,39,0
80,7,13022,11,2,1,0,4,1,132,3,40,39,0
81,2,1685,11,2,5,0,4,1,139,7,40,39,0
81,4,4353,11,2,5,0,4,1,140,5,40,39,0
80,1,1893,15,2,4,0,4,1,140,7,40,39,0
81,2,4068,12,2,10,0,4,1,130,8,40,39,0
80,4,26528,11,2,1,0,4,1,91,6,40,39,0
80,4,6413,15,2,3,0,4,1,116,7,40,39,0
81,4,16482,11,2,3,0,2,1,124,6,40,39,0
81,3,202041,11,2,3,0,4,1,31,8,40,39,0
80,3,20580,11,2,5,0,4,1,125,6,40,39,0
80,6,1403,15,2,3,3,4,1,116,6,47,39,0
81,1,1399,10,2,5,0,4,1,141,7,40,39,0
81,1,1683,11,2,5,0,4,1,142,7,40,39,0
80,4,177410,11,2,1,0,4,0,137,7,40,39,0
80,4,105192,15,2,14,0,3,1,129,6,40,39,0
65,6,219140,11,6,14,2,4,1,-1501,5,47,39,0
80,6,1498,15,2,12,3,4,1,117,7,50,39,1
81,1,1414,11,2,1,0,4,1,142,7,40,39,1
80,4,114692,11,2,3,0,4,1,111,7,40,39,0
81,3,179455,11,2,3,0,4,1,102,8,40,39,0
81,4,1565,15,2,12,3,4,1,119,8,62,39,1
52,6,14092,11,2,3,4,4,1,-94,7,40,39,1
81,4,171097,11,2,1,0,4,0,138,7,40,39,0
81,5,1513,11,2,5,0,4,1,142,3,40,39,0
77,7,66925,15,2,4,2,4,1,111,8,57,39,0
81,3,198490,1,2,3,0,1,1,-22,8,40,39,0
81,2,2161,11,2,5,0,4,1,129,7,40,39,0
81,1,1381,11,2,1,0,4,1,142,7,40,39,1
80,4,51757,4,2,3,0,4,1,63,6,40,39,0
79,7,39533,15,2,8,0,4,1,-15,-1,39,39,0
80,7,28762,15,2,8,0,4,1,137,3,40,39,0
77,7,24621,11,5,3,2,4,1,-134,2,40,39,0
81,4,169193,11,2,1,0,4,0,132,7,40,39,0
81,3,172892,11,2,12,0,4,1,107,7,40,39,0
81,3,13589,1,2,12,0,4,1,114,7,63,39,0
81,4,6696,11,2,12,0,4,0,130,7,40,39,0
81,1,1428,11,2,1,0,4,1,142,7,40,39,1
63,7,117664,15,2,12,2,4,1,49,7,55,39,1
53,6,213268,11,6,3,2,4,1,-1506,5,40,39,0
81,4,168964,11,2,12,0,4,0,140,7,40,39,0
81,2,1521,11,2,1,0,4,1,139,7,40,39,0
80,0,211016,15,2,0,0,4,1,-20,7,40,39,0
80,4,32757,15,2,1,0,4,1,128,7,40,39,0
81,3,157139,11,2,3,0,4,1,98,7,40,39,0
81,1,14412,11,2,5,0,4,1,138,7,40,39,0
80,4,87175,11,6,8,1,4,1,-1609,4,47,39,0
81,3,90904,11,2,3,0,4,1,123,8,40,39,0
80,4,74577,4,2,3,0,4,1,53,5,40,39,0
80,4,8977,11,2,3,0,4,1,132,7,40,39,0
80,4,28225,15,2,3,0,4,1,114,6,40,39,0
81,3,1404,15,2,12,3,4,1,138,8,63,39,1
80,7,1440,2,4,1,2,4,0,-126,-6,22,39,0
80,6,1717,11,2,5,0,4,1,140,2,40,39,0
81,6,2717,11,2,1,0,4,1,141,6,40,39,0
81,4,168610,11,2,12,0,4,0,136,7,40,39,0
81,3,139871,11,2,3,0,4,1,120,7,40,39,0
80,7,4188,15,5,6,2,4,1,-124,-2,48,39,0
72,7,20529,2,2,8,2,4,1,-99,-4,28,39,0
80,3,18443,15,2,12,0,4,1,107,6,40,39,0
81,7,25907,15,2,1,0,4,1,140,6,40,39,0
80,4,123687,11,1,12,5,4,0,92,8,62,39,0
