age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
79,6,2049,11,0,1,4,4,1,230,7,40,39,1
81,3,131899,11,2,3,0,1,1,54,7,40,39,0
81,3,70190,11,2,3,0,4,1,105,7,40,39,0
81,3,189496,11,2,3,0,1,1,8,8,40,39,0
81,3,3865,11,2,5,0,4,1,136,5,40,39,0
81,4,77930,5,2,3,0,4,1,53,7,40,39,0
80,3,181063,0,2,3,0,4,1,78,7,40,39,0
80,0,192206,15,2,0,0,4,1,46,7,40,39,0
55,6,218226,11,6,3,2,4,1,-1348,6,47,39,0
81,1,1397,11,2,1,0,4,1,142,7,40,39,1
80,4,11651,2,2,12,0,4,1,134,0,40,39,0
81,1,1414,7,2,1,0,4,1,142,7,40,39,0
80,4,7218,15,2,1,0,3,1,131,7,40,39,0
81,3,101847,11,2,3,0,4,1,128,8,40,39,0
78,7,88609,15,2,12,2,4,1,119,7,60,39,1
80,2,79415,11,2,14,0,4,1,35,6,40,39,0
81,1,1388,11,2,1,0,4,1,142,7,40,39,1
81,1,18970,11,2,3,0,0,1,138,7,40,39,0
81,4,1875,15,2,3,0,4,1,138,6,40,39,0
81,3,140886,11,2,3,0,4,1,120,7,40,39,0
80,4,1962,2,2,6,0,4,1,139,6,40,39,0
80,3,189231,0,2,3,0,4,1,44,7,40,39,0
81,3,12264,11,2,5,0,4,1,111,7,40,39,0
81,3,192144,11,2,12,0,1,1,56,8,40,39,0
80,4,138667,15,2,14,0,2,1,71,7,40,39,0
81,3,161636,11,2,3,0,4,1,105,8,40,39,0
78,4,3265,15,0,1,4,4,1,-109,7,40,39,1
81,1,1394,11,2,13,0,4,1,142,7,40,39,0
81,3,190363,11,2,3,0,1,1,-9,8,40,39,0
81,6,147551,5,2,3,0,4,1,-4,6,40,39,0
81,1,1393,11,2,1,0,4,1,142,6,40,39,0
81,2,126615,11,1,12,5,4,0,112,8,63,39,0
79,4,213487,3,2,3,0,2,1,-33,7,40,39,0
81,3,71559,11,2,3,0,4,1,127,8,40,39,0
57,6,3120,11,2,4,4,4,1,-1,6,40,39,1
81,1,1553,10,2,10,0,4,1,140,8,40,39,0
80,6,169998,11,2,12,0,4,0,137,7,40,39,0
80,4,22143,15,2,1,0,3,1,132,7,40,39,0
75,6,4404,15,0,1,4,4,1,-126,7,40,39,0
64,6,214416,11,6,3,2,4,1,-1370,4,47,39,0
80,1,17819,11,2,1,0,0,1,132,7,40,39,0
80,3,195711,11,2,3,0,1,1,-7,7,40,39,0
81,3,136585,11,2,3,0,4,1,100,7,40,39,0
62,6,202481,11,6,14,2,4,1,-1607,5,40,39,0
80,2,93396,11,2,14,0,4,1,103,7,40,39,0
81,4,68573,11,1,3,5,4,0,118,8,62,39,1
81,4,8549,15,2,3,0,4,1,117,6,40,39,0
81,3,116219,0,2,12,0,4,1,98,7,40,39,0
80,2,2319,11,2,5,0,4,1,138,7,40,39,0
81,4,5635,11,2,3,0,4,1,140,7,40,39,0
55,4,91519,15,2,12,2,4,1,30,7,55,39,0
80,3,64549,15,2,12,0,4,1,76,7,47,39,0
79,7,9953,11,5,6,2,4,1,-126,2,57,39,0
80,8,2206,11,2,5,0,4,1,140,3,40,39,0
80,4,169259,11,2,12,0,4,0,137,7,40,39,0
81,2,22800,11,2,3,0,4,1,123,7,40,39,0
80,4,7835,15,2,3,0,4,1,118,6,40,39,0
81,3,174557,11,2,3,0,4,1,88,7,40,39,0
80,6,1481,11,2,5,0,4,1,140,1,40,39,0
81,1,1385,7,2,1,0,4,1,142,7,40,39,0
81,5,1487,11,2,5,0,4,1,142,2,40,39,0
81,1,1456,9,2,10,0,4,1,138,7,40,39,0
80,2,3342,11,2,1,0,4,0,136,7,40,39,0
80,4,48056,11,2,12,0,4,1,139,6,40,39,0
52,6,217145,1,6,14,2,4,1,-995,5,46,39,0
52,6,9744,11,2,3,4,4,1,-73,7,40,39,1
80,7,1712,2,4,6,2,4,0,-131,-5,23,39,0
80,4,5722,11,2,5,0,4,1,137,6,40,39,0
81,4,2553,10,2,10,0,4,1,125,6,40,39,0
81,3,204609,11,2,3,0,4,1,54,7,40,39,0
47,6,16109,11,2,4,4,4,1,-89,7,40,39,1
81,6,2487,11,2,12,0,4,1,141,6,63,39,0
81,1,3846,11,2,5,0,4,1,141,7,40,39,0
81,4,42377,15,2,3,0,4,1,104,7,40,39,0
80,1,1657,15,2,4,0,4,1,141,7,40,39,1
81,5,2293,11,2,12,0,4,1,142,5,40,39,0
81,6,1573,10,2,10,0,4,1,132,5,40,39,0
71,7,46968,15,2,4,2,4,1,71,7,49,39,1
81,6,1665,11,2,1,0,4,1,141,7,40,39,0
81,4,14015,15,2,3,0,4,1,132,7,40,39,0
81,4,168500,11,2,1,0,4,0,140,7,40,39,0
81,4,169068,11,2,1,0,4,0,139,7,40,39,0
81,3,198730,11,2,3,0,4,1,28,8,40,39,0
81,4,169548,11,2,12,0,4,0,125,7,40,39,0
81,3,10816,11,2,3,0,4,1,138,7,40,39,0
54,6,212368,11,6,3,2,4,1,-1583,6,47,39,0
81,4,17148,11,2,1,0,4,1,126,7,40,39,0
81,3,41898,11,2,3,0,4,1,134,7,40,39,0
80,4,2561,15,2,6,0,4,1,132,4,40,39,0
78,4,5690,15,0,3,4,4,1,-1105,7,40,39,0
80,0,214365,1,2,0,0,2,1,-60,7,40,39,0
80,4,19303,15,2,1,0,4,1,83,6,40,39,0
81,6,168779,11,2,1,0,4,0,131,5,40,39,0
81,3,41317,11,2,3,0,4,1,127,7,40,39,0
81,4,1592,2,2,6,0,4,1,130,0,40,39,0
72,4,117292,15,2,8,0,4,1,-5,-1,40,39,0
44,6,36320,11,2,3,4,4,1,-108,6,40,39,1
81,3,111162,11,2,3,0,4,1,124,8,40,39,0
81,3,141039,11,2,3,0,4,1,111,8,40,39,0
57,6,6733,11,2,3,4,4,1,-38,7,40,39,1
81,3,102049,11,2,3,0,4,1,100,7,40,39,0
81,1,1460,11,2,1,0,4,1,142,7,40,39,1
81,4,1504,12,2,13,0,4,1,127,7,40,39,0
80,2,65597,11,6,1,1,4,1,-131,6,40,39,0
80,3,20652,11,2,3,0,4,1,115,7,40,39,0
81,2,56300,11,2,14,0,4,1,122,7,40,39,0
76,4,138781,15,2,8,0,4,1,17,4,40,39,0
81,1,1388,11,2,13,0,4,1,142,7,40,39,0
81,1,3055,11,2,1,0,2,1,140,7,40,39,0
81,4,168416,11,2,1,0,4,1,142,8,40,39,1
81,2,1391,11,2,5,0,4,1,142,7,40,39,0
81,2,1444,11,2,5,0,4,1,138,6,40,39,0
81,4,1615,9,2,10,0,4,1,120,7,40,39,0
81,4,52630,11,6,3,1,1,1,-141,5,40,39,0
81,3,175213,11,2,3,0,1,1,68,8,40,39,0
81,1,1445,11,2,13,0,4,1,140,7,40,39,0
81,1,1402,11,2,1,0,4,1,142,7,40,39,1
81,3,136555,11,2,3,0,1,1,96,7,40,39,0
81,3,45123,11,2,3,0,1,1,79,7,40,39,0
81,4,169425,11,2,1,0,4,0,111,6,40,39,0
