age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
80,4,75815,11,2,1,0,4,1,63,7,40,39,0
81,3,1383,11,2,11,0,4,1,142,6,40,39,0
80,2,47532,1,6,1,1,4,1,-126,5,40,39,0
81,4,169109,11,2,12,0,4,0,138,7,40,39,0
81,1,1383,11,2,1,0,4,1,142,7,40,39,0
80,4,37396,1,6,3,1,4,1,-139,4,40,39,0
78,4,2596,11,3,6,2,4,1,-152,-6,48,39,0
81,3,161623,11,2,3,0,4,1,113,8,40,39,0
80,6,5768,11,3,6,2,4,1,-109,-6,34,39,0
80,4,131638,11,6,3,1,1,1,-140,4,40,39,0
81,3,176643,11,2,3,0,4,1,101,7,40,39,0
80,4,46062,2,2,6,0,4,1,133,4,40,39,0
81,4,11055,11,2,7,0,4,1,132,7,40,39,0
81,3,91187,11,2,3,0,1,1,30,7,40,39,0
36,7,1718,2,4,1,2,4,0,-129,-7,23,39,0
81,4,170332,11,2,1,0,4,0,136,7,40,39,0
81,3,70559,0,2,12,0,4,1,110,7,40,39,0
81,1,1388,11,2,1,0,4,1,142,6,40,39,0
81,3,178230,1,2,3,0,4,1,85,7,40,39,0
81,3,36913,11,2,3,0,4,1,135,8,40,39,0
80,4,181921,15,2,3,0,4,1,-17,7,40,39,0
78,0,219244,5,2,0,0,4,1,-98,7,40,39,0
81,1,1497,11,2,1,0,4,1,142,7,40,39,1
81,6,1455,11,2,5,0,4,1,142,3,40,39,0
81,1,168557,11,2,1,0,4,0,141,7,40,39,0
81,3,156711,11,2,3,0,1,1,78,8,40,39,0
79,6,5072,15,3,9,2,4,0,-118,-7,24,39,0
79,8,7680,11,2,5,0,4,1,141,5,40,39,0
81,4,17271,11,6,1,1,4,1,-134,5,40,39,0
81,3,180357,11,2,3,0,4,1,71,8,40,39,0
81,1,1815,9,2,1,0,4,1,129,6,40,39,0
81,4,10339,11,2,3,0,4,1,130,7,40,39,0
81,4,18448,15,2,3,0,4,1,117,6,40,39,0
81,3,55316,11,2,3,0,4,1,137,8,40,39,0
80,6,2269,11,2,7,0,4,0,94,6,40,39,0
80,7,48857,15,2,3,0,4,1,102,7,40,39,0
80,4,15425,13,2,6,0,4,1,20,4,43,39,0
81,3,179207,11,2,14,0,4,1,57,7,40,39,0
