Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
2,1,10,1,1,38,1,1.0201381299373593
3,1,43,2,0,136,2,1.009504408388601
3,0,37,0,0,85,1,1.0302373688425637
3,0,42,0,0,5,1,-0.005026619496566222
3,0,60,0,0,17,1,0.01676087160157413
3,0,26,0,0,5,1,1.0236568710360816
3,0,27,0,0,47,1,0.022540672436534015
2,1,25,0,0,95,2,1.0100063802799557
1,0,27,0,0,8,1,0.017284105461982866
3,0,54,0,0,2,1,0.01949694158450979
1,1,34,1,0,43,2,1.0051624632836509
3,0,28,4,2,29,1,0.028779701417865365
2,1,36,0,0,12,3,1.0398044591080655
2,0,7,1,1,22,1,0.02971496722094023
3,0,25,4,0,26,1,0.019190620476351537
2,0,45,0,0,8,1,0.01191067031403312
3,0,21,0,0,24,1,0.0198635325687367
3,0,22,0,0,10,2,1.0064562911924542
3,0,28,1,0,9,1,0.006134045909636327
2,0,14,0,0,8,1,1.0056360082231293
1,1,22,1,0,17,1,0.994193944988675
3,0,55,0,0,8,1,0.011985832486697698
2,0,33,0,0,23,1,0.006336681229292085
2,1,24,0,0,-1,1,1.0157421749660376
2,0,15,0,0,140,1,1.0018126432412404
2,1,28,0,0,3,1,1.0148398931573954
2,0,27,0,0,7,1,0.025888514935523934
3,0,34,0,0,23,1,0.024005103314964023
1,1,27,1,1,88,2,1.0508082361198243
3,0,60,0,0,9,3,0.018907856977928475
3,1,30,0,0,14,1,1.0460153224764552
3,1,5,3,1,19,1,0.02086802580847604
3,0,9,4,2,32,1,0.009656569202747267
3,0,31,0,0,41,1,0.0322342564911389
2,0,3,5,2,17,1,0.02844872237069275
2,0,27,4,0,6,1,0.013416316006206928
3,0,11,0,0,6,2,0.011740031249420324
3,0,39,0,0,50,1,1.0134487039450606
1,1,16,1,2,71,1,0.9916028842380886
3,0,-4,1,2,33,1,1.018108722065239
1,1,6,1,0,15,1,0.9966223889304903
1,1,11,1,5,50,1,1.0371521858569448
3,0,50,0,0,17,1,0.002300357308715609
2,0,0,2,2,25,1,0.02572646196034231
2,0,24,0,0,16,1,0.01841599570592727
1,1,39,0,0,46,2,1.0141333243533353
3,0,29,0,0,30,1,1.0235003091094275
3,0,27,0,4,29,1,0.016323489832842906
3,1,22,1,2,26,2,0.9753449735118851
3,0,53,0,0,8,1,0.019414830612381435
3,0,29,0,0,29,1,0.001652603310018647
1,1,28,1,1,95,1,1.0017211243647233
2,0,49,0,0,6,2,0.007699711042934852
3,0,4,4,5,30,1,0.015187366402095701
2,1,28,0,0,6,3,0.9698021565813189
3,0,28,1,1,52,1,0.005174686416401459
3,0,18,4,0,24,1,0.006566815098029294
1,1,15,1,0,183,3,0.9999858032737856
2,0,21,1,1,15,1,-0.005258477361218025
3,0,-9,0,2,38,1,0.022629864247639648
1,1,34,1,1,79,1,1.0206215357605444
3,0,23,2,1,33,1,0.00043679857173264296
3,0,28,0,0,8,1,0.012008996618682663
3,0,33,0,0,10,3,0.007718632745351073
3,1,37,0,0,151,1,1.0101413696250037
3,0,77,0,0,10,1,-0.001760613107450723
3,0,3,0,0,26,1,0.018468813271854
3,0,23,0,0,8,2,1.0295840257813051
