age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,8,341327,11,5,8,2,2,1,0,0,31,39,0
35,4,198331,11,0,3,4,4,0,0,0,40,39,0
22,6,52117,11,4,1,1,4,1,0,0,40,39,0
66,6,48010,11,4,3,1,4,1,0,0,40,39,0
36,4,168801,11,4,3,0,4,1,0,0,40,39,0
56,4,271890,9,0,12,1,4,1,7241,0,45,39,0
25,4,173111,15,4,4,3,4,0,0,0,34,39,0
33,4,210653,7,5,4,2,4,1,0,0,44,39,0
58,4,239818,15,0,7,1,4,1,0,0,40,39,0
35,4,30994,11,4,12,4,4,0,0,0,20,39,0
48,4,168877,15,4,3,1,4,1,0,0,40,39,0
34,7,217930,15,5,1,3,2,1,0,0,20,39,0
30,4,238190,9,0,4,1,4,1,7308,0,45,39,1
25,2,377378,15,4,10,1,2,0,0,0,50,35,0
26,2,204495,9,4,10,1,4,0,0,0,45,39,0
41,4,98168,11,2,7,0,4,1,0,0,45,39,0
52,4,235990,9,4,10,1,4,1,0,0,44,39,0
24,4,135470,9,4,12,3,4,0,0,0,40,39,0
63,2,111944,7,4,13,1,2,1,0,0,40,39,0
22,0,117002,15,4,0,3,4,0,2599,0,40,39,0
54,4,141562,11,2,3,0,4,1,0,0,50,39,1
32,4,151326,11,4,3,3,4,1,0,0,40,39,0
45,2,44949,9,2,10,0,4,1,0,0,68,39,0
39,4,125272,9,4,4,2,4,0,0,0,55,39,1
36,4,235709,11,2,3,0,4,1,0,1689,40,39,0
20,4,172972,11,4,1,3,4,0,0,0,1,39,0
32,1,303319,15,0,10,4,4,0,0,0,33,39,0
35,6,173465,8,2,5,0,4,1,3350,0,40,39,0
52,6,73003,9,4,12,1,4,0,0,0,45,39,0
20,0,206170,11,4,0,1,4,1,0,0,40,39,0
60,6,164129,15,4,5,1,4,1,0,0,12,39,0
24,0,143524,11,4,0,3,4,1,0,0,40,39,0
30,4,191175,11,0,4,1,4,0,0,0,50,39,0
58,7,197237,15,2,5,0,4,1,0,0,40,39,0
50,4,195430,15,0,11,1,4,1,0,2387,49,39,0
45,4,251135,11,2,3,0,4,1,0,0,40,39,0
35,2,103877,12,2,4,0,4,1,0,0,45,39,0
26,4,168454,11,4,4,3,4,0,0,2314,60,39,0
46,4,43834,11,2,14,0,4,1,0,0,49,39,0
32,2,90288,9,2,11,0,4,1,15004,0,40,39,1
28,4,142760,6,3,10,1,4,1,0,0,40,39,0
40,4,182140,11,0,1,1,4,1,0,0,40,39,0
45,7,226618,9,0,10,1,4,1,0,0,50,39,1
21,4,119677,15,4,12,1,4,1,0,0,40,39,0
35,4,190742,8,4,8,1,2,0,0,0,33,39,0
19,4,235487,15,4,7,1,2,1,0,0,40,39,0
62,4,94021,15,4,3,1,4,1,0,0,40,39,0
61,4,453746,0,2,14,0,4,1,0,1661,40,39,0
37,4,310702,11,2,7,0,4,1,0,0,45,39,0
23,4,119729,11,2,3,0,4,1,0,0,40,39,0
18,4,272636,1,4,14,3,4,1,0,0,54,39,0
49,4,307848,15,2,6,0,4,1,0,0,68,39,0
47,7,210949,10,2,10,0,2,1,0,0,20,39,0
36,6,198967,9,4,4,3,4,0,0,0,60,39,0
28,4,96791,11,4,12,3,4,0,0,0,40,39,0
33,4,124429,15,0,12,1,4,1,14600,0,24,39,1
29,4,230675,9,0,3,4,4,1,0,0,45,39,0
50,6,59510,9,4,4,1,1,1,0,0,50,39,0
35,4,31555,11,0,1,4,4,0,0,0,36,39,0
46,4,325130,11,2,14,0,4,1,0,1658,60,39,0
33,6,135169,15,2,5,3,4,1,0,0,22,39,0
51,4,202008,7,2,10,0,4,1,0,0,40,39,0
44,4,198228,15,0,1,4,4,0,0,0,29,39,0
42,6,256883,14,4,10,1,4,1,0,2332,60,39,1
26,4,302022,6,3,7,4,2,0,0,0,35,14,0
34,4,332989,9,4,1,1,4,0,3575,0,40,39,0
69,4,128609,0,6,4,4,4,0,0,0,20,39,0
35,2,165000,15,2,4,0,4,1,0,0,40,39,1
61,4,189666,1,2,5,0,4,1,0,0,61,39,1
44,4,100853,9,2,14,0,4,1,14929,0,60,39,1
38,1,97859,12,2,10,0,4,1,0,0,40,39,1
26,4,154397,11,4,1,2,4,0,0,0,40,39,0
47,5,125055,9,2,8,0,4,1,0,0,74,39,1
21,2,138190,9,4,10,3,4,0,0,0,40,39,0
19,6,407197,15,4,10,1,4,1,0,0,40,39,0
53,5,109542,9,0,4,1,4,1,38262,0,47,39,1
25,6,208706,11,5,4,4,2,0,0,0,39,39,0
37,6,188318,8,2,3,0,4,1,0,0,40,39,0
49,4,181931,11,4,14,5,4,0,535,0,28,39,0
21,4,254843,15,4,1,3,4,0,3300,0,21,39,0
19,4,119044,0,4,12,3,4,1,0,0,21,39,0
32,4,211945,9,4,7,4,4,0,0,0,40,39,0
29,4,160653,1,4,8,3,4,1,0,0,40,39,0
40,4,136202,11,2,3,0,4,1,0,0,40,39,0
46,4,120260,15,4,1,3,4,1,0,0,44,39,1
46,0,294778,15,2,0,0,4,1,0,0,36,39,1
42,4,168691,11,0,4,1,4,0,0,0,40,39,0
57,4,247959,10,2,10,0,4,1,0,0,44,39,1
25,7,223031,15,4,12,3,2,1,0,0,40,35,0
24,7,147164,7,2,5,0,2,1,0,0,47,39,0
32,4,187922,11,0,14,4,4,1,0,0,45,39,0
55,6,37838,9,0,4,1,4,0,7014,0,45,39,0
33,4,191691,15,2,12,2,4,1,0,0,49,39,0
61,4,193643,11,6,8,4,4,0,0,0,40,39,0
60,6,30771,11,2,3,5,4,1,0,0,20,39,1
33,6,350675,15,4,10,1,4,0,0,1659,60,39,0
65,1,188102,7,2,4,0,4,1,0,0,40,39,1
36,4,130443,11,4,4,2,4,1,8473,0,45,39,1
37,2,79160,11,2,1,0,4,1,0,0,40,39,0
27,6,159007,15,4,12,3,2,0,3651,0,40,39,0
40,4,231511,7,2,7,0,4,1,0,0,45,39,0
56,6,170748,11,2,14,0,4,1,0,0,40,39,1
49,7,118098,9,2,4,0,4,1,0,0,40,39,1
36,4,287359,7,4,14,1,4,0,0,0,40,39,0
43,4,161266,11,0,1,4,4,0,0,0,40,39,0
24,6,99013,11,4,12,3,4,0,3294,0,46,39,0
37,2,247375,15,4,5,3,4,1,0,0,40,39,0
31,5,194936,15,4,4,1,1,0,0,0,40,39,0
69,6,187905,11,2,5,0,4,1,0,0,60,39,0
22,4,174816,1,6,12,3,4,1,0,0,13,39,0
26,4,641635,11,4,6,3,4,1,0,0,40,39,0
51,4,103945,15,2,4,0,4,1,0,0,42,39,0
20,6,208444,7,4,12,1,4,0,0,0,56,39,0
35,4,80355,11,4,12,3,4,0,0,1657,20,39,0
27,4,31996,11,4,3,3,4,1,0,0,40,39,0
22,0,105951,15,4,0,3,4,0,0,0,40,39,0
31,4,90391,11,4,1,3,4,1,0,0,45,39,0
23,2,190488,11,2,1,0,4,1,0,0,40,39,0
28,1,29058,9,2,10,0,4,0,0,0,45,39,0
43,4,164232,11,2,4,0,4,1,0,1655,40,39,1
43,4,144285,9,2,1,0,4,1,0,0,50,39,1
21,6,104137,7,4,12,3,4,0,0,0,40,39,0
32,6,196682,11,2,4,0,4,1,0,0,40,39,0
61,4,113711,11,2,3,0,4,1,0,0,40,39,0
30,4,263451,0,4,3,3,0,1,0,0,40,39,0
55,0,199401,11,2,0,0,3,1,0,1609,40,39,1
