age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
46,2,192389,9,2,11,0,4,1,0,0,40,39,1
58,4,227020,11,2,14,0,4,1,0,0,60,39,1
42,1,184472,11,2,5,0,4,1,0,1889,67,39,1
19,4,84576,11,4,12,3,3,1,0,0,10,39,0
64,4,134200,11,0,12,4,4,0,0,0,32,39,0
53,6,69342,11,5,1,4,4,0,0,0,40,39,0
48,4,279569,15,2,7,0,2,1,0,0,40,39,1
23,0,181171,11,6,0,3,4,0,0,0,11,39,0
35,4,35671,15,6,1,1,4,0,0,0,20,39,0
43,6,47664,15,0,4,1,4,0,0,0,45,39,0
50,5,94333,12,2,10,0,4,1,0,0,40,39,1
21,4,118751,11,4,12,3,4,0,0,0,40,39,0
32,4,42630,15,5,10,4,4,0,0,0,20,39,0
24,4,116800,11,4,12,1,1,0,3263,0,10,35,0
28,6,91216,11,2,5,0,4,1,0,0,40,39,0
47,4,228513,14,2,10,0,4,1,0,2335,34,39,1
33,4,187942,11,4,12,1,2,0,0,0,40,39,0
40,4,97352,11,4,7,5,4,1,0,0,40,39,0
33,4,56870,11,2,3,0,4,1,0,0,40,35,1
44,4,133492,13,2,4,0,4,1,0,0,45,39,1
30,4,189819,15,4,12,3,4,0,0,0,39,39,0
39,4,125439,11,0,14,4,4,1,0,0,45,39,0
49,6,294115,9,0,1,1,4,0,0,0,9,39,0
43,2,146749,7,2,4,5,4,0,0,0,40,39,1
34,4,184424,11,2,3,2,2,1,0,0,40,39,0
36,4,340470,11,5,1,2,2,1,0,0,52,39,0
21,2,32544,15,4,1,4,4,0,0,1654,35,39,0
34,4,88573,11,2,5,0,4,1,0,0,40,39,1
33,4,135661,11,0,4,4,4,0,0,0,50,39,0
38,7,177214,9,2,10,0,4,1,0,0,50,26,1
46,4,242584,9,2,3,0,4,1,0,0,50,39,1
28,7,43120,9,4,12,1,4,1,0,0,21,39,0
36,4,27397,11,0,1,5,4,0,0,0,40,39,0
29,4,187010,15,2,14,0,4,1,0,0,11,39,0
27,7,115498,9,0,4,1,4,1,0,0,69,39,1
26,4,188827,9,2,4,5,4,0,0,0,40,35,1
47,6,147920,11,6,0,4,4,0,0,0,40,39,0
