age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,4,373287,11,4,12,3,4,1,0,0,40,39,0
22,4,204392,11,4,7,3,2,1,0,0,16,39,0
68,4,161180,11,6,8,1,4,0,0,0,11,39,0
62,0,123846,11,2,0,0,4,1,3229,0,40,39,1
35,4,415568,1,2,6,2,4,1,3691,0,40,39,0
36,4,214698,11,6,4,4,4,0,0,0,25,39,0
49,7,40181,15,0,1,1,4,1,0,0,40,39,0
31,4,72849,9,2,10,0,4,1,0,0,45,39,1
33,4,116552,15,2,4,5,4,0,0,1890,40,39,1
26,4,278947,9,4,3,3,4,1,0,0,40,39,0
17,4,30212,9,4,12,1,4,1,0,0,14,39,0
34,4,205854,9,4,1,1,4,1,0,0,45,39,0
40,4,294455,4,5,12,1,4,1,0,0,40,26,0
52,7,97742,12,2,10,0,4,1,14853,0,61,39,1
46,4,371350,11,2,14,0,4,1,0,0,40,39,0
50,4,210763,10,2,10,0,4,1,0,0,48,39,1
55,4,149325,11,4,14,1,4,1,0,0,40,39,0
36,2,225473,11,0,14,1,4,1,0,0,25,39,0
53,6,190632,15,2,12,0,4,1,0,0,40,39,0
42,4,52479,9,2,4,0,4,1,0,0,45,39,1
34,4,295209,1,4,8,1,4,1,0,0,35,39,0
49,4,99705,9,6,8,1,1,0,0,0,13,39,0
46,4,88630,7,0,12,2,4,0,0,2366,60,39,0
48,4,69488,15,0,7,1,2,0,0,0,13,39,0
37,6,199486,11,2,4,0,4,1,3163,0,9,39,0
61,4,141871,11,2,1,0,4,1,0,1656,40,39,0
38,4,62371,1,4,4,5,4,0,3451,0,40,39,1
18,4,104100,1,4,1,1,4,1,0,0,29,39,0
46,6,37870,15,4,1,1,4,0,0,0,40,39,0
39,4,138705,11,2,3,0,4,1,0,0,60,39,0
45,4,156077,9,0,4,1,4,1,0,0,45,39,0
44,4,127134,9,2,4,0,4,1,0,0,40,39,1
33,1,198037,11,2,10,0,4,1,0,0,40,39,0
35,4,74995,15,4,1,1,4,1,0,0,40,39,0
36,4,77861,11,2,4,0,4,1,0,0,60,39,1
35,4,67835,11,2,3,0,1,1,0,0,49,30,0
46,5,27979,9,5,14,2,1,0,0,0,50,39,0
37,1,141302,10,2,10,0,4,1,0,0,50,39,1
47,0,102424,11,2,0,0,4,1,0,0,50,36,1
50,4,128896,11,0,1,4,4,0,0,900,40,39,0
25,4,257126,15,4,12,3,4,1,0,0,34,39,0
39,4,110870,9,2,4,0,4,1,0,0,51,39,1
55,4,119767,15,4,1,1,4,0,0,0,40,39,0
18,4,212010,15,4,12,3,4,1,0,0,10,39,0
41,4,126124,0,2,1,0,4,1,0,0,40,39,0
56,2,282097,15,2,11,2,2,0,0,0,21,39,0
69,6,114719,15,6,9,4,4,0,0,0,12,39,0
19,4,161414,11,4,3,3,4,1,0,0,40,39,0
19,4,203749,15,4,7,3,2,0,0,0,29,39,0
62,0,203850,5,2,0,0,4,1,0,0,30,39,0
46,6,269667,9,2,5,0,4,1,0,0,82,39,1
52,4,259294,1,4,12,1,4,0,0,0,21,39,0
45,4,140549,11,2,14,0,4,1,3067,0,40,39,1
43,4,84380,15,2,7,0,1,1,0,0,50,30,0
19,4,80803,15,4,12,3,4,0,0,0,40,39,0
39,4,267901,15,2,10,0,2,1,0,0,40,39,1
34,0,100574,11,0,0,2,4,1,0,1655,40,39,0
18,4,290991,1,4,6,3,4,1,0,0,40,39,0
24,6,301161,15,4,12,1,3,1,0,0,40,39,0
35,7,305579,15,0,1,1,2,1,0,0,45,39,0
38,4,465225,11,4,5,3,4,1,0,0,31,39,0
44,1,215958,12,0,4,1,4,0,0,2327,40,39,1
59,4,112730,1,2,10,0,4,1,0,0,10,39,1
36,4,206734,15,6,5,3,4,0,0,0,60,39,0
53,2,170971,5,2,10,0,4,1,0,1994,40,39,0
32,4,154517,15,4,8,3,0,0,0,0,34,39,0
50,5,192332,15,2,10,0,4,1,0,0,29,39,1
60,4,266561,11,2,3,0,4,1,0,0,37,39,0
67,0,139843,15,3,0,1,1,1,0,0,25,39,0
51,2,154682,11,2,1,0,4,1,0,1890,40,39,1
65,1,145046,11,2,12,0,4,1,0,0,42,39,0
20,4,178141,9,4,12,1,4,0,0,0,40,39,0
18,4,180656,15,4,12,3,4,1,0,0,2,39,0
44,4,158768,11,5,1,4,4,0,0,0,40,39,0
29,4,77931,15,4,12,3,4,1,0,0,50,39,0
37,4,234989,11,4,14,1,4,1,0,0,60,39,0
41,7,188590,12,2,10,0,4,1,0,0,50,39,1
52,4,97932,11,2,12,0,1,1,0,0,10,39,0
39,4,48954,9,4,11,1,1,1,0,0,45,39,0
47,2,30787,11,2,14,0,4,1,0,0,40,39,0
42,5,185745,12,2,4,0,4,1,0,0,60,39,1
34,7,185386,9,4,10,1,2,0,0,0,45,39,0
39,4,139029,9,4,10,0,1,1,0,0,47,35,1
32,4,116441,15,2,4,0,4,1,0,0,40,39,1
33,2,238225,11,0,1,2,4,0,14694,0,19,39,0
49,4,194664,15,4,1,1,4,0,0,0,19,39,0
47,4,260363,11,0,3,1,4,1,0,0,40,39,0
20,4,117209,11,4,6,3,4,1,0,0,40,39,0
31,4,103653,11,0,8,3,2,0,0,0,40,39,0
28,7,79512,15,4,1,1,4,1,0,0,35,39,0
20,4,282057,11,4,14,3,4,1,0,0,60,39,0
32,4,105710,0,4,6,3,4,1,0,0,40,39,0
43,2,325654,11,0,3,1,4,1,0,0,40,39,0
44,6,341077,11,0,10,2,4,0,0,0,22,39,0
48,7,97299,15,0,12,1,4,1,0,0,8,39,0
25,4,179262,15,4,12,3,4,0,0,0,12,39,0
42,4,104127,11,2,3,0,4,1,0,0,40,39,0
33,4,121490,11,2,4,2,4,1,0,0,42,39,0
25,4,401991,2,4,7,1,1,0,0,0,40,35,0
33,8,79410,10,4,12,1,2,1,0,0,60,39,1
19,4,210033,15,4,12,1,4,0,0,0,12,39,0
40,4,98257,11,2,3,0,4,1,0,0,40,35,0
44,4,215035,11,4,14,4,4,1,0,0,55,39,0
34,4,104523,11,3,3,5,4,1,2534,0,35,39,1
75,5,208283,8,2,14,0,4,1,0,0,1,39,0
33,4,149934,11,2,3,0,4,1,0,0,40,39,1
67,4,247852,12,2,10,0,4,1,0,0,40,39,1
20,4,180227,15,4,3,3,4,1,0,0,40,39,0
24,4,99475,11,2,12,0,4,1,0,0,40,39,0
18,6,368781,9,4,5,1,4,1,0,0,83,39,1
41,5,33314,12,2,10,0,4,1,0,0,50,39,1
34,6,86181,9,4,14,1,1,0,0,0,36,30,0
22,0,92961,11,4,0,3,4,0,0,0,7,39,0
38,4,247469,9,4,14,1,4,1,0,0,50,39,1
27,4,154292,9,4,8,3,4,0,0,0,16,0,0
25,6,109676,7,4,10,1,4,0,0,0,21,39,0
34,7,95533,9,2,10,3,4,1,0,0,45,39,1
38,6,28121,9,4,10,1,4,1,0,0,35,39,0
49,6,277818,11,2,1,5,4,0,0,0,40,39,0
43,6,61168,9,2,10,5,1,0,0,0,40,0,1
45,4,155205,9,2,10,5,4,0,0,1541,45,39,0
39,4,223393,1,5,12,1,4,1,0,0,40,39,0
35,4,167675,11,2,4,5,4,0,0,1888,40,39,0
42,4,200938,11,2,3,0,4,1,0,0,60,39,1
51,2,147916,11,2,14,0,0,1,7933,0,40,35,1
49,4,182817,11,2,5,0,4,1,0,0,40,39,0
47,4,154880,9,0,4,1,4,0,0,0,40,39,0
19,2,20236,15,4,8,1,4,0,0,0,19,39,0
37,5,76027,15,2,12,0,3,1,0,0,50,39,1
22,4,155112,11,4,3,3,4,1,0,0,40,39,0
37,6,83581,9,2,5,0,4,1,0,0,61,39,1
45,4,142959,11,0,7,4,1,1,0,0,51,39,0
55,5,120827,15,2,4,0,4,1,0,0,41,39,1
47,7,238666,15,0,13,1,2,0,0,0,39,39,0
38,4,75710,11,0,14,1,4,0,0,0,44,39,0
60,4,41736,11,2,14,0,4,1,0,1917,51,39,1
21,0,180841,15,4,0,3,4,1,0,0,40,39,0
24,4,176027,15,4,12,1,0,0,0,0,60,39,1
46,4,194792,11,2,3,0,4,1,2738,0,60,39,1
22,6,224388,11,0,5,3,4,0,0,0,25,39,0
66,8,75819,15,2,4,2,4,0,0,1423,54,39,0
51,4,261147,15,4,1,1,2,1,0,0,40,39,0
21,2,295450,15,4,1,3,2,1,0,0,40,39,0
50,6,82579,15,0,4,1,1,0,0,0,40,39,0
25,4,187440,1,4,8,4,4,0,0,0,25,39,0
50,7,148556,12,2,10,0,4,1,0,0,40,39,1
19,4,179148,11,4,8,3,2,1,0,0,40,39,0
34,4,181261,15,2,3,0,4,1,0,0,40,39,1
23,4,245700,15,4,12,4,4,1,0,0,36,39,0
36,4,285819,9,0,3,1,4,1,0,0,45,39,0
45,7,237798,15,4,11,1,4,0,0,0,21,35,1
57,6,97008,11,2,12,0,1,0,0,0,60,35,0
38,4,187924,11,2,3,0,0,1,0,0,60,39,1
57,6,130091,11,2,5,0,4,1,0,0,60,39,1
51,4,312620,7,0,4,4,4,0,0,0,45,39,0
19,4,48139,11,4,12,1,4,0,0,0,13,39,0
20,4,276552,15,4,12,1,2,1,0,0,40,39,1
26,4,154405,11,4,7,2,4,0,0,0,40,39,0
28,4,161730,11,4,1,2,4,0,0,0,10,39,0
42,2,86743,7,2,1,5,4,0,0,0,40,39,0
46,2,32719,9,2,1,0,4,1,0,0,40,39,0
21,2,185005,15,4,10,5,4,0,0,0,57,39,1
31,4,107458,12,2,4,0,4,1,0,0,70,39,0
47,2,188648,8,2,13,0,4,1,0,0,40,39,0
51,4,93979,15,2,3,0,4,1,0,0,40,39,0
49,2,133381,11,2,14,0,4,1,0,0,40,39,0
43,4,214700,15,2,5,2,4,1,0,0,45,39,1
33,6,172475,15,2,10,0,4,1,0,0,40,39,1
45,6,345536,12,4,14,1,4,1,7246,0,60,39,1
23,2,140861,1,4,4,1,4,0,3745,0,12,39,0
17,0,264829,15,4,0,3,2,0,0,0,40,39,0
30,4,71825,11,4,3,1,4,1,0,0,40,26,0
28,4,45471,1,4,14,1,4,1,0,0,40,39,0
57,4,261169,11,2,3,0,4,1,0,1987,45,39,0
49,4,80537,15,2,1,2,2,1,0,0,40,39,0
63,4,126821,11,2,3,0,4,1,0,0,47,39,0
38,4,240824,11,5,10,4,4,1,0,0,34,39,0
19,4,542772,11,4,1,3,2,0,3924,0,32,39,0
46,4,151635,11,2,4,0,4,1,0,2027,40,39,1
56,6,110022,11,2,5,0,4,1,3050,0,40,39,0
47,4,38619,9,2,12,0,4,1,0,0,45,39,1
25,1,200675,15,2,3,0,4,1,0,0,40,39,1
26,4,348789,9,4,14,5,4,0,0,0,40,39,1
51,4,152690,7,3,1,5,4,0,3234,0,40,39,0
38,4,97637,11,4,5,1,4,1,0,0,40,39,0
18,4,138640,1,4,8,3,4,1,0,0,19,39,0
46,4,31038,11,0,3,1,1,1,0,0,40,39,0
37,1,69282,9,2,10,0,4,1,7401,0,45,39,1
23,4,194572,15,4,10,3,1,0,0,0,1,39,0
48,6,62572,15,0,1,4,4,0,0,0,40,39,0
46,5,193744,15,2,12,0,4,1,0,1656,52,39,1
21,6,359295,11,4,4,3,4,0,0,0,22,39,0
32,6,40705,11,5,14,4,4,0,0,0,45,39,1
36,4,103107,15,2,10,0,4,1,0,1891,40,39,1
31,4,98625,9,4,4,1,4,1,22882,0,60,39,1
47,4,16177,11,5,3,2,4,1,0,1986,40,39,0
54,4,302598,8,2,14,0,4,1,0,0,43,39,0
31,4,185456,12,0,4,1,4,1,7877,0,45,39,1
63,4,131629,15,0,1,1,4,0,0,0,35,39,0
