age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
54,4,119538,9,0,12,1,4,1,0,0,44,39,0
23,1,150193,15,2,4,0,4,1,0,1889,50,39,1
53,4,155263,11,4,4,1,4,1,14668,0,20,39,0
46,4,144245,15,2,4,5,4,0,0,1889,40,39,1
38,4,227870,9,2,10,0,4,1,0,1884,60,39,0
23,4,179717,11,4,14,3,2,1,0,0,40,39,0
20,4,174745,15,4,8,3,0,0,0,0,40,0,0
32,4,31830,15,4,13,5,4,0,0,0,40,39,0
32,4,225950,11,4,3,1,4,1,0,0,47,39,0
42,4,108618,9,2,4,0,4,1,0,0,40,39,1
42,2,208316,9,4,10,1,4,1,0,0,40,39,0
41,4,205768,9,4,10,1,4,0,0,0,68,39,0
27,6,203558,11,2,5,0,4,1,0,0,75,39,0
34,2,304739,13,5,10,4,4,0,0,0,33,39,1
36,4,93585,11,5,4,2,4,1,0,0,45,39,0
28,4,140078,15,5,7,4,4,0,0,0,29,20,0
22,6,101714,15,4,7,1,4,1,0,0,9,39,0
45,4,131912,11,3,4,1,4,0,0,0,40,39,0
48,4,133764,9,4,12,1,1,0,0,0,50,39,0
33,4,211168,9,2,12,0,4,1,0,0,50,39,1
29,2,195837,15,4,1,3,4,0,0,0,40,39,0
36,2,85260,10,2,4,5,1,0,0,0,50,35,1
54,6,254992,9,2,10,0,4,1,0,0,45,39,0
28,4,133940,11,0,13,4,4,0,2574,0,40,39,0
48,2,253474,11,6,14,1,4,1,0,0,21,39,0
23,4,128064,11,4,1,1,4,1,0,0,40,39,0
32,1,139426,12,4,4,4,1,0,0,0,40,39,0
49,4,21920,10,4,10,1,4,1,0,0,45,39,0
26,4,67703,15,4,7,3,4,1,0,0,40,39,0
48,2,262872,15,5,1,2,4,1,0,1653,50,39,1
24,4,60632,15,2,1,3,4,0,3286,0,40,39,0
40,4,127762,11,2,14,0,4,1,0,1783,40,39,0
47,4,283915,15,2,4,0,4,1,14811,0,40,39,1
25,4,72368,15,4,12,3,4,0,0,0,10,39,0
43,4,103056,11,0,1,1,4,0,0,0,45,39,0
44,2,272694,9,4,10,1,4,0,0,1529,45,39,0
40,4,98843,15,4,1,2,4,0,0,0,40,39,0
31,6,78267,9,0,1,4,4,0,0,1652,30,39,0
44,1,36624,9,0,4,1,1,0,0,0,40,39,0
31,4,46229,11,2,5,0,4,1,3274,0,40,39,0
50,8,203631,5,2,8,0,4,0,3541,0,14,39,0
61,6,79455,15,2,1,0,4,1,0,0,60,39,0
34,8,205395,11,2,5,0,2,1,0,0,40,39,0
46,2,24109,9,0,10,2,4,0,0,0,36,39,1
30,4,287786,15,2,7,5,0,0,0,0,40,35,1
36,6,165654,15,4,5,3,4,1,0,0,76,39,0
58,8,307410,11,2,3,0,4,1,0,0,40,39,0
42,4,172612,11,2,3,0,4,1,0,1988,40,39,1
27,4,275109,9,4,14,1,4,1,0,0,40,39,0
28,4,105013,11,4,12,3,4,1,0,0,61,39,0
36,4,77348,11,5,14,4,4,1,0,0,40,39,0
48,4,223182,9,2,10,0,4,1,0,1988,40,39,1
56,6,30807,11,2,3,0,4,1,0,0,40,39,0
23,4,130722,9,4,10,3,4,0,0,0,10,39,0
45,5,307890,10,2,10,0,4,1,0,0,40,39,1
20,4,209146,1,2,14,0,4,1,0,0,40,39,0
24,0,159138,1,4,0,3,4,0,0,0,13,39,0
38,7,273797,10,4,10,5,4,0,0,0,60,0,1
42,4,187362,15,0,10,1,4,1,0,0,38,39,0
48,5,124730,11,2,12,0,4,1,0,0,11,39,0
36,2,141694,15,1,1,1,4,1,0,0,40,39,0
18,4,126566,11,4,12,1,4,1,5945,0,50,39,0
57,5,373908,11,0,7,1,4,1,0,0,20,39,0
51,0,319348,11,2,0,0,4,1,0,0,55,39,0
39,2,155334,11,2,10,5,4,0,0,0,30,35,0
39,2,168910,11,2,1,5,4,0,0,0,50,39,1
26,4,203873,9,4,12,1,2,1,0,0,60,39,0
60,6,166812,10,2,4,0,4,1,0,0,60,39,1
61,4,463336,9,4,12,1,4,1,0,0,45,39,1
25,4,135536,15,2,1,5,4,0,0,0,30,39,0
23,7,113127,15,4,10,3,4,1,0,0,36,39,0
24,4,111850,11,6,7,3,4,0,0,0,11,39,0
21,4,184287,11,4,5,3,4,1,2802,0,40,39,0
63,4,22288,0,6,3,1,4,0,0,0,40,39,0
44,4,121036,11,4,12,2,4,0,0,0,40,39,1
52,4,161436,11,2,3,0,4,1,0,0,40,39,0
34,4,115954,11,2,7,0,4,1,7505,0,55,35,1
56,6,159669,12,2,10,0,4,1,0,0,83,39,1
44,2,95102,12,2,4,0,4,1,0,0,45,39,0
61,1,279118,15,2,1,0,2,1,14952,0,40,39,1
34,4,373296,11,2,1,0,4,1,0,1891,40,39,0
17,0,304743,15,4,0,3,2,1,1449,0,40,39,0
45,4,134280,1,2,14,0,4,1,0,0,36,39,1
