Geography_Germany,Geography_Spain,Gender_Male,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1.0,0.0,1.0,1,0,0,0.5706239871822153,0,1.0,1.0,0,-0.0009421580614062799
1.0,0.0,0.0,0,0,1,0.49395083840940157,0,1.0,1.0,0,-0.0003450448207671358
1.0,0.0,1.0,1,0,0,0.5281430150227779,0,0.0,1.0,1,-0.00038980280182021365
1.0,0.0,1.0,1,0,0,0.6070881321846118,0,1.0,0.0,0,-0.000287505553863825
0.0,1.0,0.0,0,0,1,0.5007066292093397,0,1.0,1.0,1,-0.000351131542653253
0.0,1.0,1.0,0,0,0,0.5415204910952005,0,1.0,0.0,1,-0.0010290757772937007
1.0,0.0,0.0,1,0,0,0.48778015898134797,0,0.0,1.0,1,-0.000556513402761395
0.0,0.0,1.0,1,0,0,0.5466791586665221,0,0.0,0.0,1,-0.00011476940890502946
0.0,1.0,0.0,0,0,0,0.3079937836971145,0,0.0,1.0,0,-0.0001326291531656186
0.0,0.0,1.0,1,0,0,0.3423731707092129,0,1.0,0.0,0,-0.0018883689716977345
1.0,0.0,1.0,0,0,0,0.6794015508004606,0,1.0,0.0,1,-0.0006999046561715576
0.0,1.0,0.0,1,0,0,0.47253747323100215,0,0.0,1.0,1,-0.00023898961071858318
0.0,0.0,1.0,0,0,1,-0.008606751420802292,0,1.0,1.0,1,-0.0012380589482077057
0.0,1.0,1.0,1,0,0,0.48736315658476015,0,0.0,1.0,0,-0.0012377040545260387
0.0,0.0,1.0,0,0,0,0.38831664261783017,0,1.0,1.0,0,-0.0008070484878263476
0.0,1.0,0.0,0,0,0,7.211719956514916e-05,0,0.0,1.0,0,-0.0006876565880225658
0.0,0.0,0.0,0,0,1,0.0036200340611824726,0,1.0,1.0,0,-0.0001792292844549768
0.0,0.0,1.0,0,0,0,0.35500437620598535,0,1.0,0.0,0,-0.0006713445293739729
1.0,0.0,1.0,1,0,1,0.7634185300628907,0,1.0,0.0,1,-0.00023843615372249894
0.0,0.0,0.0,0,0,0,0.0033455404515535044,0,1.0,0.0,0,-0.0024909471214689585
0.0,1.0,0.0,0,0,0,0.2776686945395536,0,0.0,1.0,0,-0.00023404418395234358
1.0,0.0,1.0,1,0,0,0.6950451317241109,0,0.0,0.0,0,-0.00013378542450789588
0.0,1.0,1.0,1,0,0,0.523618403235178,0,0.0,1.0,1,-0.0007972520700734005
1.0,0.0,1.0,0,0,0,0.4954906650263821,0,0.0,1.0,0,-0.000435098215311408
0.0,0.0,1.0,0,0,0,0.5655124294112651,0,1.0,0.0,1,-0.0005840254079370321
1.0,0.0,0.0,0,0,0,0.0005337574704503633,0,1.0,0.0,0,-0.000630466716387841
0.0,0.0,1.0,0,0,0,0.49817776053559254,1,0.0,0.0,1,0.9984052424832226
0.0,0.0,1.0,0,1,0,0.00142943378135458,0,0.0,1.0,0,-0.0005562140922594344
0.0,1.0,0.0,1,0,1,-0.0015684608323674161,0,1.0,1.0,0,-0.0008165027630812709
1.0,0.0,1.0,1,0,1,0.5272478497874187,0,0.0,1.0,0,0.00018528476947070658
1.0,0.0,1.0,1,0,1,0.5001357938872906,0,1.0,1.0,0,-0.0001144236935082331
1.0,0.0,0.0,1,0,1,0.723858330872988,0,1.0,1.0,0,-0.0005096335477295147
1.0,0.0,1.0,0,0,0,0.5668793314883224,0,1.0,0.0,0,-0.0011797160358158212
