age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
33,4,33729,11,4,3,1,0,1,-7,-1,40,39,0
61,4,184705,1,2,4,0,4,1,-17,1798,40,39,1
24,4,203439,0,4,5,1,4,1,9,0,49,26,0
40,4,387852,0,4,13,1,4,1,-3,0,40,39,0
31,4,222289,15,0,3,3,4,1,13,-1,40,39,0
60,4,198751,4,2,5,0,4,1,-13,0,40,26,0
26,4,43514,15,4,10,3,4,0,-2,0,47,39,0
42,4,83819,12,2,4,0,4,1,4,1850,40,39,1
22,4,147390,8,4,13,3,4,0,-3,0,5,39,0
53,5,431097,9,2,4,0,1,1,15197,1810,77,2,1
50,5,196609,15,0,12,1,4,0,4,0,46,39,0
25,4,208185,15,4,10,1,4,0,9,0,18,39,0
28,4,335758,11,4,1,2,2,0,16,0,40,39,0
25,0,200767,7,1,0,5,2,0,-16,0,40,39,1
24,4,214385,15,4,13,3,4,0,12,-1,5,39,0
23,7,63926,15,2,12,5,0,0,-8,1,21,39,0
30,4,184940,8,1,1,5,4,0,-15,0,43,39,0
53,4,198054,9,2,12,0,4,1,1,1751,40,31,1
55,4,190767,4,2,14,0,4,1,-6,0,48,26,0
37,4,176691,13,2,3,0,3,1,10,0,40,26,0
27,4,363754,1,2,14,0,4,1,3,0,40,39,0
27,7,246561,15,2,1,5,4,0,3,0,40,39,0
40,4,196431,11,0,3,1,4,1,2,0,40,39,0
30,4,35370,9,2,10,5,4,0,2923,0,20,39,1
42,4,215623,15,0,7,1,3,0,-9,-1,40,26,0
46,4,212007,15,0,1,1,4,0,3,0,52,39,0
48,0,180144,6,2,0,0,4,1,-13,0,40,39,1
48,2,189342,12,2,10,5,4,0,7794,0,34,39,1
47,4,230351,8,0,12,4,4,0,0,-1,40,39,0
29,4,366849,8,4,3,3,4,1,4,0,40,39,0
47,4,125964,13,0,3,4,4,1,-2,-1,40,39,0
41,4,126406,15,0,12,1,4,1,21,0,16,39,1
25,4,163390,1,4,1,1,4,1,7,0,40,39,0
29,4,194572,15,3,11,1,4,1,-3,0,22,39,0
54,4,205898,7,5,12,0,4,1,7,0,60,39,1
53,4,421663,10,2,10,0,4,1,-8,0,40,39,1
64,4,107258,11,2,7,0,4,1,-14,0,40,26,0
33,4,193589,8,2,3,0,4,1,7,0,30,39,0
21,4,138006,1,4,8,3,4,1,17,-1,11,39,0
48,4,194000,11,6,8,4,2,0,-3,0,16,39,0
41,4,359675,5,3,3,4,4,1,3,-1,40,26,0
60,0,351925,15,4,0,1,2,0,4779,0,22,39,0
31,4,149462,9,4,4,1,2,0,14,-1,40,1,0
22,4,202080,15,4,12,3,2,0,17,-1,31,2,0
66,4,201166,11,2,1,0,4,1,4418,1852,49,39,0
18,3,548610,1,4,0,3,4,0,-12,0,18,39,0
27,4,133957,5,4,8,3,2,0,1,0,21,39,0
65,4,355104,15,2,12,0,4,1,4,0,45,39,1
31,4,177531,11,2,3,0,4,1,-5,0,40,39,1
26,6,214347,15,2,12,0,4,1,13,0,32,39,0
42,4,222494,9,2,12,0,4,0,19,0,60,39,1
71,0,367265,15,6,0,0,4,1,-17,-1,40,39,0
62,0,186423,1,6,1,1,4,0,-3,-1,9,8,0
48,5,41841,1,2,4,0,4,1,4,0,60,39,1
29,4,97262,11,4,12,2,1,0,-8,0,40,22,0
33,6,173911,9,2,4,0,4,1,14819,1786,46,39,1
36,4,162137,7,2,13,0,4,1,-2,0,40,39,0
30,0,296684,15,1,0,5,4,0,-21,0,40,39,0
69,4,189608,9,2,10,0,4,1,15092,0,60,1,1
42,4,176524,0,2,8,2,2,1,6,0,50,9,0
27,4,155338,12,2,1,5,2,0,-7,0,40,39,0
38,4,221054,9,2,10,2,4,1,5,0,44,39,1
21,0,186760,15,4,0,3,4,0,2,0,10,39,0
19,4,163908,13,4,5,1,4,1,-3,0,15,1,0
24,0,242894,11,2,0,0,4,1,-9,0,40,8,0
73,4,118056,11,6,9,1,4,0,3,1799,26,39,0
32,4,168563,12,2,10,5,4,1,5,0,48,39,1
39,4,173556,11,4,5,1,4,1,-4,0,48,39,0
31,4,124796,15,4,8,1,4,0,-6,0,40,31,0
38,4,178948,11,4,8,3,0,1,-19,0,40,39,0
26,4,220489,15,4,3,1,4,1,1,0,40,39,0
42,1,181489,11,0,1,4,4,1,13,-1,40,39,1
42,4,230691,9,2,3,0,4,1,-11,0,60,39,1
51,4,402688,12,4,8,1,4,1,0,0,40,39,0
33,4,186563,15,2,4,0,4,0,17,1863,46,39,1
63,6,131364,7,2,3,0,2,1,-16,1761,49,39,1
27,4,162453,7,5,11,5,2,1,6,0,40,39,0
25,4,41976,15,4,1,1,4,0,7,0,3,39,0
48,4,97831,11,2,12,0,4,1,-6,0,46,39,0
67,4,258163,15,2,12,0,4,1,1,0,20,39,1
56,1,158518,15,2,1,0,4,1,-6,0,40,39,1
52,4,93925,15,0,1,1,4,0,-1,1,51,39,0
42,1,193992,7,0,1,1,2,0,-12,0,40,39,0
39,4,313324,15,2,10,0,4,1,7,1876,52,39,1
49,4,131645,15,2,10,0,4,1,-5,1,40,39,1
26,4,135464,11,0,6,4,4,1,-5,0,40,39,0
51,5,151451,10,0,10,1,4,1,7,1,60,39,1
29,4,170863,11,5,7,1,4,1,-10,-1,40,31,0
20,4,216054,15,5,4,1,2,1,22,2080,37,39,0
24,4,486796,7,4,12,3,1,1,11,-1,59,2,0
59,7,133292,0,2,10,0,4,1,-5,1875,52,39,1
33,0,312002,6,3,0,1,4,1,-13,0,12,39,0
43,2,170066,9,2,11,0,4,1,23,0,50,39,0
60,4,51044,15,2,5,0,4,1,-2,1807,49,39,0
59,5,120717,11,6,1,1,4,0,2,-1,24,39,0
30,0,352720,15,4,0,1,3,1,-6,0,22,39,0
30,4,365048,15,2,5,0,4,1,-1,0,45,39,1
30,4,463619,10,2,10,0,4,1,-1,0,60,39,1
26,7,169543,8,2,11,0,4,1,3,1,40,39,0
35,4,166525,15,2,12,3,1,1,14,0,14,31,1
42,4,126616,9,4,10,3,4,1,-5,1,48,39,1
63,4,162319,14,2,10,0,4,1,14,0,40,39,1
51,4,407070,9,2,3,0,4,1,6,1774,50,39,1
65,4,206858,12,6,10,1,4,0,14,0,40,39,0
18,4,222205,9,4,12,1,0,0,13,0,45,39,0
51,4,164284,6,6,12,1,4,0,6,0,16,39,0
29,4,223127,9,0,10,4,4,0,16,0,25,39,0
22,4,105747,3,1,8,5,4,0,-6,0,40,39,0
19,4,215124,13,4,9,3,4,0,-17,0,21,27,0
31,2,29078,0,4,3,2,4,1,2,0,46,39,0
30,4,172862,11,4,3,3,2,1,1,0,50,39,0
34,4,230327,10,2,10,0,2,1,-7,0,60,39,1
48,7,176323,11,2,1,4,4,0,10,-1,40,31,0
41,1,14794,7,2,3,0,4,1,2793,2128,40,39,1
25,4,179134,11,2,3,0,4,1,0,0,40,39,0
69,6,40530,15,2,0,0,4,1,-10,0,40,39,0
29,4,194599,4,6,9,4,2,0,11,0,35,26,0
78,6,35428,7,2,10,0,4,1,7,0,50,39,1
43,7,33222,9,0,1,5,4,0,4449,-1,60,39,0
31,4,204036,1,4,6,1,4,1,9,0,40,39,0
71,7,365883,15,5,0,1,2,1,1,0,53,38,0
29,4,151243,9,4,4,1,4,0,1,0,40,39,0
30,4,358929,8,2,8,0,4,1,-6,0,50,10,0
37,4,410467,15,0,8,4,2,0,2443,0,33,1,0
38,4,270619,8,2,3,0,4,1,2953,0,40,39,1
38,2,333858,12,2,4,0,4,1,0,1802,60,39,1
28,4,354761,1,4,1,1,2,0,3,0,40,39,0
33,4,15020,11,2,7,0,0,1,11,0,40,39,0
30,4,46433,15,4,1,3,4,1,-3,0,40,39,0
18,3,220313,1,4,0,3,4,1,-3,1,6,39,0
28,1,227199,0,3,14,1,4,1,13,0,71,8,0
36,4,197950,7,2,1,0,4,1,3,0,45,39,0
45,4,39458,11,2,9,4,0,0,16,0,47,39,0
46,4,221945,11,3,7,4,4,1,5,0,40,35,0
34,4,358694,15,3,1,1,2,1,0,0,52,39,0
79,0,277409,5,6,0,1,4,0,0,-1,10,39,0
47,4,340008,11,2,11,0,4,1,16,0,40,39,1
65,6,176629,9,2,12,0,4,1,5,1813,40,39,1
66,0,171106,9,6,0,1,4,1,-9,-1,22,39,0
50,7,219295,9,2,11,0,4,1,20,0,40,39,1
27,0,232793,6,0,0,1,4,1,-3,0,40,39,0
39,4,193947,15,0,1,1,4,0,-2,0,40,39,0
22,4,103972,15,4,1,2,1,0,11,-1,40,39,0
70,1,217868,15,2,12,0,4,1,-8,1900,47,1,0
23,4,235206,15,4,12,1,4,1,13,-1,42,10,0
29,4,272275,1,2,8,3,4,1,2596,1816,40,39,0
28,4,320190,9,4,4,1,4,1,14,0,46,39,1
45,4,216387,10,2,10,0,3,1,14,0,32,10,1
23,4,219622,15,4,12,3,3,0,23,0,33,39,0
65,4,141186,12,2,10,0,4,1,15,1815,52,39,1
37,4,374640,11,0,1,2,4,0,7,-1,40,39,0
18,4,366870,15,4,6,3,4,1,21,-1,9,39,0
29,4,87908,11,2,7,5,4,0,-17,0,40,31,0
41,2,279914,14,2,10,5,4,0,101168,0,40,39,1
33,4,349435,0,5,3,1,2,1,-20,-1,40,10,0
25,4,310666,15,0,6,1,4,1,-11,0,40,39,0
41,5,180608,9,2,4,0,4,1,5,0,61,39,0
27,4,90368,15,0,7,1,4,1,-13,0,45,2,0
40,4,207977,11,6,1,1,4,0,-26,0,40,39,0
44,5,168725,15,0,3,1,4,1,21,0,40,22,0
51,4,173672,15,0,3,1,4,1,-3,0,47,39,0
26,4,45556,8,4,3,1,4,1,-5,-1,46,39,0
21,4,327720,11,0,3,1,4,1,-4,0,32,39,0
41,4,330318,6,2,5,0,4,1,-4,-1,40,26,0
54,1,28299,0,0,1,1,4,0,-4,0,40,39,0
19,4,212553,15,4,8,3,3,0,8,0,19,39,0
44,2,272981,5,0,6,1,4,1,-20,0,40,10,0
58,4,139292,1,2,3,0,4,1,-9,1858,40,39,0
46,4,178180,8,2,14,0,4,1,0,0,51,39,1
50,4,144249,11,0,1,4,2,0,-7,-1,33,39,0
41,0,211262,12,2,0,5,3,0,8,-1,36,39,1
41,4,50262,15,6,1,1,2,0,11,0,21,1,0
22,4,161756,11,0,8,1,4,1,-6,0,40,39,0
21,4,261470,2,2,5,0,4,1,-4,0,40,39,0
19,4,173850,0,4,12,1,4,1,2770,0,15,39,0
28,4,36487,1,2,8,5,0,1,2,-1,40,39,0
36,2,203129,7,2,1,0,2,1,22,0,47,39,1
38,4,276741,3,0,8,1,4,1,-8,-1,40,26,0
29,4,212209,1,4,7,1,4,1,11,0,40,39,0
63,4,85262,9,2,3,0,4,1,0,0,40,1,1
16,4,262873,1,4,8,1,4,1,1,-1,15,39,0
28,4,331585,1,4,3,3,4,1,-15,-1,40,39,0
57,0,78018,11,6,4,1,1,0,0,-1,23,39,0
45,7,178230,12,0,10,4,4,0,-2,1,50,39,1
26,4,183965,15,5,13,1,4,0,-1,0,40,39,0
29,4,224249,9,4,1,1,2,0,4,0,40,39,0
33,4,263758,9,5,12,4,4,0,15,0,49,39,0
32,4,357531,9,3,2,1,2,1,3,-1,40,39,0
43,4,284813,12,2,10,0,4,1,14834,1948,79,39,1
31,4,348671,7,4,13,3,4,1,5,0,40,39,0
69,5,183368,12,2,4,0,4,1,4,1800,40,39,1
31,4,114585,11,0,4,4,0,1,9,-1,40,39,0
22,4,39327,15,0,1,3,0,0,-2,0,43,39,0
45,4,89173,1,2,12,0,4,1,-21,0,40,31,1
43,5,204346,15,2,12,0,4,1,2,0,60,39,0
32,4,204038,15,0,1,1,4,1,-5,2136,49,39,0
24,7,181040,15,4,1,3,2,0,29,0,20,39,0
56,4,45173,11,0,13,1,4,1,-6,0,40,39,0
63,4,171242,9,2,14,0,4,1,-3,1812,40,39,1
42,1,115856,15,6,1,4,4,0,4,0,40,39,0
47,4,41279,12,0,10,1,4,0,-9,0,47,39,1
41,4,183518,9,4,3,1,4,1,-1,0,60,39,0
45,1,317503,10,2,10,0,4,1,15014,0,40,39,1
32,4,234051,11,2,3,0,4,1,22,0,40,39,1
43,4,49799,2,2,8,0,4,1,15,0,16,39,0
21,4,105024,6,4,3,1,4,1,-12,-1,40,39,0
43,4,118255,15,0,1,1,2,0,-3,0,40,21,0
