age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,1,45066,11,2,3,0,0,1,10,0,48,39,0
57,5,215833,9,0,4,1,4,1,4512,0,50,39,1
66,1,121312,7,2,10,0,4,1,-10,0,40,39,1
55,4,47893,11,0,4,4,2,0,7,0,40,39,0
29,4,347438,1,0,3,1,4,1,-4,0,47,39,0
40,4,158775,9,2,7,0,4,1,7391,0,48,39,1
68,7,283655,5,2,10,5,4,0,-6,0,23,39,0
38,4,248726,9,0,10,1,4,0,-4,0,47,39,0
46,4,207249,15,2,3,0,4,1,12,1845,47,39,1
26,4,169633,11,2,3,0,4,1,-2,1782,32,39,0
26,4,271123,0,3,1,2,4,1,-9,-1,40,26,0
52,4,149338,5,2,6,0,4,1,9,-1,40,21,0
30,4,177314,9,2,3,3,4,1,4,0,33,39,0
24,4,82563,15,2,4,5,4,0,3,0,19,39,0
27,4,107489,9,2,7,3,4,1,15,0,40,39,0
65,4,123652,12,2,4,0,2,1,5,0,40,39,0
23,4,193288,2,0,8,1,4,1,-13,0,40,32,0
31,4,380852,8,2,3,0,3,1,-8,-1,40,39,0
40,4,309498,11,0,3,1,4,1,-8,0,40,39,0
27,4,199884,15,0,8,4,4,0,-10,0,40,39,0
25,4,210450,12,4,5,1,4,1,-8,0,18,39,0
49,4,102522,12,2,10,0,1,1,-12,1941,40,39,1
80,0,229280,15,6,12,1,4,0,6,0,21,39,0
42,4,298123,9,2,12,5,4,0,99358,0,43,39,1
27,4,205942,15,4,1,1,2,0,-6,-1,47,39,0
19,4,178956,11,4,3,3,2,1,-3,0,31,39,0
60,0,342580,7,3,0,1,4,0,-13,0,40,39,0
34,4,373902,4,4,10,1,4,1,-1,0,60,11,0
25,4,50968,15,4,12,1,4,0,5,0,46,39,0
68,6,116739,14,2,10,0,4,1,10,1714,60,39,1
41,1,185808,15,0,1,2,0,1,6,1869,40,39,0
62,4,203806,1,2,6,0,4,1,-10,-1,52,26,0
23,4,191121,15,4,1,3,4,0,2,0,6,39,0
26,4,175370,11,5,1,1,4,0,1,0,40,39,0
30,4,207295,15,0,1,1,4,0,-1,-1,40,39,0
50,4,38439,0,2,3,0,2,1,-5,0,40,2,0
62,8,166227,11,2,5,0,4,1,-19,1842,40,39,1
26,7,117592,15,0,1,3,2,1,1,0,40,39,0
43,7,95000,15,0,4,1,0,0,0,0,48,39,1
29,4,252834,6,2,7,4,4,0,3,0,40,39,0
45,4,44151,15,4,14,3,4,1,-3,-1,23,39,0
26,4,175744,15,4,1,1,4,1,5,-1,40,39,0
22,8,95924,11,4,3,3,4,1,3,0,14,39,0
50,4,106916,12,2,1,2,1,1,-14,0,44,22,0
43,4,152579,15,4,1,1,4,1,12,0,40,39,0
40,4,206221,11,2,8,0,4,1,6,0,40,39,0
44,4,152624,15,2,3,0,1,1,2,0,46,1,1
40,5,250719,11,0,1,4,4,1,-5,0,40,39,1
43,4,225564,12,4,10,1,2,0,-12,0,47,1,0
41,5,186174,10,2,4,0,4,1,103267,0,47,39,1
27,7,211938,14,2,10,0,4,1,15,0,46,39,1
66,4,96959,10,2,1,0,1,0,10,0,40,22,0
22,4,320184,15,2,8,0,4,1,-16,0,40,39,0
27,4,198871,9,4,4,1,4,0,5,0,40,39,0
28,4,201526,9,4,12,1,4,1,10,0,45,39,0
41,4,197673,15,2,3,0,4,1,-4,0,45,39,1
19,4,56481,15,4,4,1,4,0,3,0,15,39,0
68,0,212079,12,2,10,0,4,1,-4,0,40,39,1
45,4,29250,12,0,10,1,4,0,11,2099,44,39,1
41,1,102742,7,2,12,0,4,1,-12,0,40,39,1
32,4,298834,15,5,1,1,4,0,6,0,40,39,0
34,4,230321,15,4,12,3,4,1,1,1,48,39,1
28,4,181853,11,2,1,5,4,0,5,0,40,39,0
37,6,95999,12,2,3,0,4,1,4,2117,40,39,1
59,6,126095,12,2,10,0,4,1,4,0,46,9,1
25,6,201128,15,0,14,1,4,1,0,0,60,39,0
65,4,282298,14,4,10,0,4,1,7,0,48,2,1
40,4,94638,9,2,4,5,1,0,9,-1,40,36,0
34,4,149504,9,0,10,1,4,1,8,0,47,39,0
45,2,251855,10,2,10,4,4,0,-3,-1,40,39,0
45,5,250182,15,2,3,0,4,1,1,0,37,39,0
61,4,188714,5,2,14,0,4,1,-4,0,40,39,0
27,4,52873,15,4,1,3,2,0,5,0,21,39,0
53,4,161722,15,2,1,5,4,1,2634,0,40,39,1
24,4,226538,15,4,12,2,4,0,36,0,18,39,0
36,4,199933,15,2,12,0,4,1,-6,0,25,39,0
24,8,186590,11,4,7,3,4,0,17,0,40,39,0
21,4,382566,15,4,1,2,2,0,4,-1,49,31,0
38,6,21164,8,0,3,1,0,1,8,1,40,39,0
32,4,146934,11,2,14,2,4,1,6,0,40,39,0
30,4,115188,15,4,12,1,2,1,3,0,40,39,0
45,7,184813,10,2,10,0,1,1,7,1805,20,39,0
39,4,218952,15,0,1,1,4,1,0,0,40,39,0
67,6,156582,15,0,8,1,4,1,1,0,19,39,0
32,4,312874,1,2,13,0,4,1,-4,0,40,39,1
28,4,126307,9,4,4,1,4,1,13,0,60,39,0
19,0,131044,2,4,8,1,4,0,2,-1,5,39,0
81,6,194826,12,2,10,0,4,1,3,0,40,39,1
44,4,80421,11,0,3,4,4,1,1,0,40,39,0
17,4,218862,11,4,12,2,4,0,9,-1,34,26,0
52,4,142307,0,2,12,0,4,1,7,0,50,39,0
28,4,322795,7,6,4,1,2,0,6,0,23,39,0
40,4,340100,7,2,12,0,4,1,-4,0,52,11,0
35,4,52051,11,5,10,1,4,1,8,0,32,39,0
21,4,195083,15,0,0,1,4,0,5,0,51,39,0
47,4,105718,1,2,3,0,4,1,18,0,40,31,1
29,4,198086,15,2,1,1,4,0,4,0,30,31,1
24,4,37642,9,4,12,1,4,0,-8,0,18,39,0
19,4,197786,15,4,12,1,4,1,-4,0,40,39,0
19,4,83134,1,4,7,3,4,1,10,-1,17,1,0
25,4,45805,15,3,1,4,4,0,8,0,20,39,0
21,4,375322,7,4,8,1,4,1,6,0,40,39,0
24,4,132375,15,4,13,3,4,1,12,0,40,39,0
33,4,675677,15,0,8,4,2,0,26,0,33,39,0
33,4,191413,15,2,7,0,4,1,-14,0,40,39,1
16,4,192024,15,4,12,3,4,1,22,0,18,39,0
51,4,84734,15,0,4,1,2,0,2,0,40,31,1
31,4,128011,7,2,12,5,4,0,2,0,40,39,1
29,4,156847,15,0,12,1,4,1,-5,0,40,39,0
28,4,115233,9,4,10,1,4,0,13,-1,47,39,0
52,4,373365,12,0,3,1,4,1,1,-1,61,39,1
29,4,95847,15,0,12,1,1,0,-8,0,40,2,0
27,4,178731,1,2,6,0,4,1,14,-1,40,26,1
65,5,200900,9,2,4,0,4,1,9,0,53,39,1
39,4,48154,15,2,1,0,4,1,-2,0,40,39,0
68,6,328668,15,2,3,0,1,1,-1,0,47,39,1
50,4,231243,12,2,3,0,4,1,2837,0,40,39,0
48,5,209561,15,0,4,1,4,1,-11,1806,48,39,1
46,4,367241,9,2,12,0,4,1,5,-1,40,39,0
31,4,177464,1,4,6,3,4,1,12,0,40,39,0
22,0,29589,15,1,0,5,4,0,5,0,18,39,0
39,4,204420,15,0,10,4,2,0,-10,-1,40,39,0
27,4,226380,15,0,13,1,4,1,-13,0,47,10,0
50,4,62624,15,2,12,0,4,1,-6,1793,40,39,0
55,0,177890,3,6,0,4,4,0,-5,-1,40,32,0
46,4,199521,12,2,12,0,4,1,98058,0,48,39,1
58,0,197338,6,3,0,1,2,1,-1,-1,40,39,0
19,4,190074,8,4,1,1,4,0,-4,-1,41,39,0
58,5,144255,12,2,0,0,4,1,-9,0,40,39,1
43,4,328204,11,0,1,4,4,0,4,0,40,39,0
65,6,146109,9,2,4,0,4,1,-9,1838,40,39,1
29,6,255046,8,4,5,3,4,1,-16,1,46,39,0
32,4,400055,9,4,10,1,4,0,0,0,40,39,0
27,4,341590,9,2,12,5,4,0,4344,0,40,39,1
71,4,228886,5,6,10,1,4,0,4224,1791,40,39,1
32,4,315588,15,4,8,1,2,1,3,0,47,31,0
17,3,185427,0,4,0,3,4,1,-29,0,15,39,0
34,4,348066,12,2,10,0,4,1,-18,0,40,39,1
21,2,213644,15,0,11,1,4,1,7,0,40,39,0
61,0,38800,15,0,0,2,4,0,23,0,24,39,0
52,4,186517,11,6,1,1,4,0,-9,1646,22,39,0
21,4,170425,15,4,7,4,2,0,10,0,37,39,0
25,4,38009,15,2,1,5,0,0,7,0,16,39,0
49,4,205783,15,0,3,1,2,1,-16,0,42,2,0
42,4,123918,7,4,6,1,4,1,1,0,40,39,0
54,0,46130,7,2,0,1,3,1,-11,0,40,39,0
24,2,350923,11,2,11,0,2,1,0,0,52,39,0
44,6,151405,6,2,3,0,0,1,7,0,40,39,0
21,4,188472,8,4,12,3,4,1,9,0,48,39,0
27,4,230827,12,2,10,0,4,1,10,0,7,39,1
58,0,223486,15,0,0,1,4,0,15,0,40,11,0
25,6,45656,15,4,3,1,4,1,11,1,59,39,0
34,4,195700,11,2,1,5,4,0,9,1,48,39,0
34,1,222629,15,0,1,1,2,1,-4,0,40,39,0
40,5,52006,12,2,10,0,4,1,2,1,60,39,1
67,4,124640,5,2,4,0,4,1,-31,0,40,39,1
