age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49,0,308266,15,2,4,0,0,1,-12,0,53,39,0
70,7,133941,11,2,1,0,4,1,2,2056,40,39,1
33,4,124322,0,2,14,0,4,1,3,-1,50,39,0
63,4,210249,8,0,10,0,4,1,14,-1,40,39,0
52,1,151832,8,2,10,0,4,1,0,0,47,39,1
19,4,101633,1,4,7,3,2,1,9,-1,40,39,0
21,0,187925,15,4,8,3,2,0,9,0,20,39,0
30,4,178079,11,2,8,0,4,1,1,0,40,9,0
40,4,190991,11,3,3,4,4,1,20,0,60,39,0
50,7,137320,15,6,1,1,4,0,7,0,40,39,1
56,4,195621,4,2,5,0,4,1,-14,0,40,26,0
28,4,143824,9,4,10,1,1,0,8,0,48,22,0
41,4,444863,15,0,6,1,0,1,1,0,40,39,0
34,4,203999,9,2,10,0,4,1,15,0,55,39,1
65,4,153459,12,2,3,0,4,1,-3,0,49,39,1
25,4,209534,15,4,3,3,4,1,9,0,49,39,0
24,4,157644,15,4,1,1,4,0,16,-1,40,39,0
60,4,176509,1,2,12,0,4,1,-6,0,40,39,0
37,4,347330,15,2,13,0,4,1,7217,-1,50,39,1
22,4,260322,1,4,3,3,4,1,1,0,16,26,0
64,1,230965,9,2,3,0,4,1,4,0,40,39,1
62,4,195457,15,2,14,0,4,1,1,0,50,39,1
30,4,140872,7,2,12,5,4,0,13,0,45,39,1
50,4,321927,11,2,3,0,4,1,16,0,53,39,0
27,4,317309,9,4,10,3,4,0,2,0,40,39,0
43,4,195787,3,0,7,1,4,1,11,0,40,22,0
62,4,256336,12,2,10,1,4,0,6,0,40,39,0
88,6,398676,12,2,4,0,4,1,3161,0,60,39,1
71,0,450308,15,0,0,4,2,0,-3,0,16,8,1
53,4,174677,8,2,10,0,4,1,-15,1780,49,39,1
55,7,200389,12,2,10,0,4,1,-13,0,52,39,1
35,4,134266,7,5,2,1,4,1,10,0,47,2,1
37,4,196751,11,2,3,0,4,1,2461,0,40,39,0
21,4,353637,15,5,3,1,4,1,-4,0,40,39,0
32,4,169020,7,2,13,0,4,1,11,0,51,39,1
26,4,175655,11,0,7,4,4,1,0,0,40,39,0
36,4,164702,8,2,3,0,4,1,13,0,40,39,1
25,4,397543,12,2,10,0,3,1,0,0,48,39,1
48,4,172593,11,6,4,4,4,0,-1,0,47,32,0
45,2,26955,5,0,8,1,4,0,1,-1,40,39,0
39,2,204408,9,2,10,0,4,1,1,1767,47,39,1
29,4,192588,11,0,7,4,2,0,3,0,40,1,0
64,0,92511,15,2,0,0,4,1,-12,0,40,39,0
66,6,177183,9,2,11,0,4,1,31,0,60,39,1
34,1,132120,9,2,4,0,4,1,14784,0,61,39,1
45,4,156278,9,2,12,5,4,0,2,-1,20,31,0
28,2,62192,11,2,14,0,0,1,-9,0,40,39,0
64,5,164972,10,0,12,0,4,1,10,1,61,39,1
23,4,109191,4,6,1,2,4,1,0,-1,40,31,0
27,4,329296,8,2,3,0,4,1,-3,0,50,39,0
57,4,274985,6,6,12,4,4,0,-16,0,40,31,0
41,4,33654,15,0,12,2,4,0,13,0,20,39,0
37,4,228453,9,2,3,0,4,1,5,-1,40,39,1
64,4,290136,10,2,10,0,4,1,-8,0,40,39,1
42,4,306377,11,3,3,1,4,0,17,0,60,39,0
22,0,183743,11,5,0,1,4,1,-17,0,24,39,0
22,4,194578,15,4,1,4,4,0,-7,0,34,39,0
24,5,59255,11,2,12,2,4,0,-22,0,40,39,0
25,6,121303,15,4,12,3,3,0,18,0,19,39,0
63,0,171540,6,2,0,0,3,1,9,0,50,35,0
26,4,84647,15,4,7,4,4,0,0,0,40,39,0
53,4,128451,1,4,6,1,3,1,16,0,40,1,0
18,4,377272,7,4,12,3,4,1,0,0,16,39,0
49,4,103539,6,2,8,5,4,0,-2,0,40,39,0
29,4,351862,11,5,3,1,4,1,6,0,40,39,0
23,4,181048,6,4,7,4,2,0,6,0,40,39,0
53,2,178912,12,2,10,0,4,1,7848,2014,52,39,1
32,4,479284,0,0,10,4,4,0,-16,0,44,9,0
23,4,412718,15,4,1,1,4,0,10,0,43,39,0
49,4,113796,7,2,3,0,4,1,12,-1,40,22,0
34,4,213478,11,2,6,0,4,1,-7,0,40,26,0
32,4,514900,10,4,10,1,2,1,-3,0,40,39,0
34,1,203029,15,5,1,4,0,0,9,0,40,39,0
30,7,169395,15,4,1,3,4,0,-1,0,40,39,0
34,4,177587,9,2,10,0,4,1,3,0,47,39,1
62,4,194872,11,2,3,0,4,1,-4,2020,40,39,0
31,4,197167,15,4,1,3,4,1,20,-1,40,39,0
35,4,211714,1,4,7,2,4,1,1,0,40,39,0
58,2,441420,15,0,11,1,4,1,-5,0,49,39,1
64,1,160773,7,2,3,0,4,1,6,0,46,39,1
19,4,338077,1,4,12,3,4,1,21,-1,23,39,0
56,4,193176,12,2,10,0,4,1,2,0,40,39,1
30,4,222472,1,2,8,0,4,1,8,0,40,26,0
20,0,199901,15,4,0,3,4,1,3,-1,5,39,0
26,4,273710,15,4,12,3,4,1,8,1840,44,39,0
42,0,348488,15,0,4,1,3,1,6,-1,34,26,0
47,7,185706,14,2,3,0,4,1,-10,-1,52,39,0
54,4,330912,11,0,1,4,4,0,-5,-1,40,39,0
61,4,126508,12,2,4,0,1,1,-6,0,40,32,1
62,4,278197,4,2,5,0,4,1,2793,0,40,39,0
25,4,363383,7,0,12,1,4,1,-5,0,50,39,0
41,4,228729,0,5,14,1,4,1,-9,0,40,39,0
76,5,132465,5,2,4,0,4,1,-4,0,47,39,1
29,4,156065,15,4,8,3,2,0,8,-1,25,39,0
57,4,201265,1,2,7,0,3,1,-26,0,40,1,1
20,4,26350,15,4,3,3,0,1,4,0,40,39,0
46,1,181781,9,2,1,0,4,1,-4,-1,40,39,1
54,0,422772,6,0,0,1,4,1,-22,0,40,39,0
64,4,91012,6,2,3,0,4,1,4,1865,40,39,0
48,4,333084,10,5,10,1,4,1,0,1,40,39,1
63,4,214832,12,2,10,5,4,0,-9,0,16,39,1
36,4,205589,11,0,3,1,4,1,-5,0,40,39,0
30,1,192204,15,4,12,1,4,1,14,0,44,39,1
40,4,173315,15,0,3,1,0,1,-1,0,40,39,0
63,5,154453,11,6,12,4,4,0,16,-1,49,39,1
57,4,136154,11,2,6,0,4,1,2,-1,40,39,0
51,5,187447,12,2,4,0,1,1,5,1,48,1,1
43,4,124389,11,2,14,0,4,1,-3,0,81,39,1
43,4,102013,11,2,12,0,1,0,1,1799,40,32,0
46,4,194011,1,2,8,5,2,0,11,0,17,36,0
33,4,186060,1,4,14,3,4,1,-1,0,40,39,0
