age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,4,31925,5,0,8,1,2,1,3,0,40,39,1
20,4,215556,4,3,9,1,4,0,-1,0,18,26,0
33,5,214032,9,4,12,1,4,1,-13,0,60,39,1
61,4,402076,15,2,3,0,4,1,-24,-1,49,39,0
44,4,141517,11,2,10,0,4,1,7,1819,60,39,1
26,4,168691,15,0,12,1,1,1,-5,0,50,39,1
75,4,204565,14,2,10,0,4,1,19,1,60,39,1
34,4,124763,15,4,12,1,4,1,-16,0,40,39,0
22,4,236426,11,4,8,3,2,1,9,-1,35,39,0
19,4,129508,15,4,12,2,4,0,-1,0,40,31,0
48,2,204510,11,5,11,0,4,1,-10,0,40,39,0
42,2,297274,11,2,11,0,4,1,7,1810,40,10,0
29,4,98466,15,4,3,3,0,1,-7,0,17,39,0
39,4,419366,9,2,10,0,4,1,17,0,40,39,1
33,4,230883,15,5,4,1,2,1,-10,0,40,39,1
22,4,116160,2,4,6,3,2,1,16,0,33,39,0
35,4,208449,9,2,10,1,4,1,9,0,68,39,1
30,4,319952,15,2,7,0,4,1,-11,0,40,39,0
17,4,38952,11,4,8,3,3,1,16,0,23,39,0
25,4,177461,11,2,1,5,4,0,4462,1,40,39,1
48,4,137557,14,2,10,0,4,1,15060,1851,48,39,1
31,4,209446,0,0,9,2,2,0,13,0,17,10,0
48,4,190929,9,2,13,0,4,1,6,0,52,39,1
57,0,190465,12,2,0,0,4,1,6,1,49,39,1
41,2,216107,11,0,11,4,2,0,30,0,37,39,0
51,4,150617,7,2,12,0,4,1,2,0,40,39,1
67,4,151896,12,6,10,1,4,1,-1,0,46,39,1
19,0,428491,9,4,0,1,4,0,20,-1,21,39,0
39,1,195675,1,5,1,4,4,1,21,0,50,39,0
46,6,45495,15,0,5,1,4,1,-15,0,45,39,0
25,4,43383,9,4,8,1,4,0,5,0,80,39,0
33,4,283653,7,2,3,1,4,1,-10,-1,46,39,0
69,4,82599,15,0,12,1,1,1,19,-1,59,2,1
68,4,199552,12,2,12,0,4,1,2,0,50,39,1
45,4,269820,6,2,12,5,4,0,-1,0,40,39,0
40,1,170840,15,0,3,1,0,0,-1,0,40,39,0
29,4,144635,11,4,12,2,4,1,0,-1,48,39,0
69,0,192141,0,6,0,1,4,1,-7,-1,18,39,0
31,4,181875,15,2,8,2,4,1,2,0,34,2,0
