age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
50,4,111445,11,2,14,0,4,1,9,0,60,39,1
24,0,35991,11,6,10,3,0,0,9,1,33,39,0
34,4,403102,11,2,14,0,2,1,11,0,40,39,1
41,7,121534,12,2,10,0,2,1,15532,1,40,21,1
52,4,97188,10,2,3,0,4,1,6,1,40,39,1
27,4,314983,5,3,6,3,0,0,7,0,40,39,0
51,7,256360,12,5,10,1,4,1,29,0,40,39,1
26,4,170747,15,4,1,3,4,0,5,0,40,39,0
34,7,90994,7,5,10,0,4,1,-10,1,40,39,0
19,0,104764,1,4,0,3,4,0,-23,0,17,39,0
41,4,372496,11,2,3,0,4,1,-20,0,45,39,0
30,4,445703,3,2,1,0,3,0,16,1,40,39,0
35,4,225762,11,0,4,1,0,0,-13,1,40,39,0
25,7,244861,15,4,13,0,2,1,17,-1,40,39,0
57,4,69981,3,6,12,1,4,0,-3,-1,10,39,0
26,4,366098,15,2,7,0,4,1,0,0,40,39,1
64,6,351032,10,4,5,1,4,0,14,0,10,39,0
35,4,141041,11,2,7,0,4,1,7,0,40,39,0
41,4,168960,11,0,1,1,4,0,10,1,49,39,0
56,6,368740,9,0,14,4,2,0,12,0,32,39,0
61,6,41990,11,2,10,5,4,0,-10,0,32,39,0
50,4,272960,11,6,8,1,4,0,6,0,36,39,0
41,4,411236,11,2,8,0,4,1,0,1,40,39,0
58,4,348177,11,2,12,0,4,1,0,1,49,39,1
31,4,296225,15,0,4,1,4,0,17,0,53,39,0
60,4,156074,9,2,8,0,1,1,-20,0,40,0,0
67,6,277470,5,6,12,1,4,0,-14,0,33,39,0
35,4,189759,11,2,3,0,4,1,11,-1,40,39,0
20,0,371768,11,4,8,3,3,0,1,0,33,1,0
43,4,140623,9,2,4,0,4,1,-13,1,40,39,1
32,7,76905,9,4,0,3,4,0,-10,-1,48,39,1
48,4,310795,11,0,14,0,2,1,5,1,40,39,0
48,6,60128,9,2,12,0,4,1,12,1,40,39,1
41,4,269693,15,0,6,4,4,0,-15,1,40,39,0
61,4,388460,11,0,9,4,4,0,-13,0,40,39,0
22,4,317100,11,4,6,2,4,1,17,0,40,39,0
78,0,182375,11,4,0,1,4,0,-1,0,5,39,0
21,4,259103,9,4,14,3,4,1,12,0,9,39,0
58,4,26576,15,4,12,3,4,0,-6,0,35,39,0
46,4,115562,11,2,4,0,4,1,1,0,40,39,0
38,4,136934,11,0,12,4,4,0,4,-1,47,39,0
38,5,163974,9,0,4,1,4,1,30,1,60,39,1
25,4,48678,11,4,7,3,3,0,16,-1,40,39,0
69,4,92883,11,2,3,0,4,1,17,1942,40,39,0
61,6,246633,2,6,10,1,4,0,19,-1,34,39,0
24,4,87530,11,4,6,3,4,1,21,0,45,39,0
25,4,152760,11,4,0,1,4,0,7,0,18,39,0
31,4,107905,0,2,8,0,4,0,-18,1,33,39,0
28,1,181309,15,4,1,0,4,1,2,0,40,39,1
60,2,265199,9,4,10,1,0,1,15,0,40,39,0
40,5,332328,9,2,4,0,4,1,13,1,60,39,1
52,4,449103,11,2,3,0,4,1,21,0,40,26,0
65,4,195807,15,5,3,5,4,0,4,0,40,39,0
35,4,257723,11,5,8,2,2,0,8,1,40,39,0
29,4,308677,15,4,7,1,4,1,-5,0,49,39,0
31,4,174759,15,4,6,1,4,1,2,0,40,39,0
71,7,189748,8,2,3,0,4,1,-6,0,40,39,0
34,7,180807,15,2,0,0,4,1,17,1,30,39,0
28,4,201510,9,6,8,5,4,0,-22,1,7,39,0
27,1,271704,11,0,1,0,4,1,14,1,40,39,0
62,1,217712,6,4,13,3,4,0,3,0,40,39,0
39,6,190363,14,2,10,0,4,1,12,1,50,39,1
46,4,206474,11,2,3,0,4,0,-18,2107,40,39,0
43,0,321940,9,2,0,0,4,1,-6,-1,14,39,1
28,4,223758,15,4,11,3,0,1,7,1,40,39,0
27,4,177621,9,2,6,0,4,1,1,0,40,39,0
25,4,138332,9,2,0,5,4,0,21,-1,46,39,0
61,4,78079,11,6,8,4,4,0,4,0,34,39,0
37,4,357631,11,2,3,1,4,1,5,1,40,39,0
24,4,322785,11,4,13,3,4,1,-12,-1,40,39,0
29,4,149439,11,2,3,0,4,1,8,-1,40,39,0
