age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,0.0,72522,1,10,3,3.0,1,0,1,-37,0,40,0.017234448977458378,0
28,0.0,81814,3,9,1,1.0,3,2,1,-23,2,23,-0.04209770596069827,0
25,0.0,52476,3,9,0,10.0,4,0,0,-13,0,40,0.004578129271498217,0
22,0.0,110394,9,14,2,3.0,1,0,1,-2,1,31,0.021718419524424198,0
51,3.0,219346,1,9,1,8.0,3,0,0,10,-1,45,-0.006752416476903518,0
41,0.0,96296,0,13,0,4.0,2,0,1,-7,0,37,0.004923500805942281,1
59,0.0,125583,8,2,1,2.0,5,3,0,-39,0,37,28.22943462893584,0
30,5.0,212537,0,13,2,5.0,3,0,0,-12,-1,40,0.015695049245235064,0
24,0.0,205655,5,12,2,9.0,5,4,0,-22,0,40,-0.0110869892581526,0
52,0.0,169534,14,6,4,3.0,1,0,0,6,-2,21,0.0019409385090438625,0
28,0.0,188521,0,13,2,4.0,2,0,0,22,1,40,0.007739342828980711,1
33,0.0,183375,9,8,2,1.0,4,0,1,-29,0,40,0.0036514096812328262,0
26,0.0,188545,3,9,2,8.0,4,0,0,20,0,23,-0.011391396848878169,0
31,1.0,191256,0,13,2,3.0,1,0,1,-16,1,50,0.011650755169344326,0
43,0.0,191545,3,3,0,10.0,2,0,1,7,0,40,-0.01037816831708953,1
34,0.0,193002,1,6,1,3.0,3,0,1,10,0,40,0.00821849221327106,0
51,4.0,107740,10,14,1,5.0,3,0,1,33,-2,40,0.01796761311084441,0
21,0.0,218535,3,9,4,8.0,3,0,0,-2,1,21,0.0138552512484554,0
48,0.0,43247,1,10,2,2.0,1,4,1,-1,0,30,-0.01015519692280557,0
37,0.0,41381,3,9,2,8.0,1,0,0,-5,0,91,-0.015309661446815323,0
37,4.0,39140,7,1,1,2.0,5,0,0,-11,-1,30,19.356357533844157,0
27,0.0,268510,8,3,0,3.0,2,1,1,-5,-1,40,3.592608897800898,0
36,0.0,214171,11,2,0,2.0,2,3,1,26,-1,40,20.20731020270417,0
24,0.0,167519,3,9,2,2.0,1,0,0,-18,0,31,0.0005550572908229188,0
52,3.0,47029,6,10,1,3.0,5,0,0,-7,-1,36,-0.011299319980571038,0
26,0.0,158240,0,13,0,4.0,2,0,1,-1,0,50,-0.016986863315226412,1
34,0.0,164007,2,5,2,13.0,5,0,1,-28,-2,13,0.006549521930317096,0
49,5.0,211893,3,9,0,0.0,2,4,0,-13,0,40,-0.016599910480621382,0
28,1.0,37241,4,16,0,1.0,2,0,1,2996,0,40,-0.00761238203313243,1
71,0.0,215693,3,9,4,3.0,3,0,0,-29,-2,40,0.0008423994078651093,0
53,0.0,207426,4,3,0,7.0,2,0,1,5,1,40,15.094519243341669,0
28,0.0,205329,11,9,2,10.0,2,0,0,-5,0,40,0.006845051656143335,0
48,4.0,273364,10,14,3,5.0,3,0,0,1,-1,40,-0.0040622344155635225,0
18,0.0,562026,1,10,2,8.0,1,4,0,-27,-1,40,0.01677927376790825,0
28,0.0,183635,5,10,2,1.0,3,0,1,-13,1,24,-0.00394607665662062,0
62,0.0,197719,1,10,1,2.0,5,4,0,-13,0,30,3.5942951234646188,0
45,0.0,142661,3,9,0,8.0,0,0,0,9,-1,40,-0.005239109778486723,1
21,0.0,302036,9,8,2,3.0,1,0,1,-39,0,51,-0.0045330220608979675,0
19,0.0,35978,2,7,2,3.0,1,0,0,-30,0,8,-0.006764283882895444,0
19,0.0,218930,3,9,2,0.0,1,0,0,-27,-1,40,-0.01239660174160428,0
69,1.0,155147,4,15,0,5.0,2,0,1,45,-1,47,-0.004446757219518977,1
27,3.0,450158,1,10,2,8.0,3,0,1,-36,0,40,-0.010005083562181761,0
27,0.0,213047,0,13,0,5.0,2,0,1,31,1,40,0.004513753655516973,1
27,0.0,235435,1,10,2,3.0,1,0,1,-9,0,40,-0.013280212348783403,0
43,0.0,42627,3,9,0,10.0,2,0,1,-14,0,35,-0.002443211161105704,1
35,0.0,102475,12,6,2,3.0,1,0,1,-36,1,40,0.01905423225842613,0
43,0.0,149897,12,6,1,0.0,2,0,1,-5,-3,36,-0.00037110525119447423,0
29,0.0,47570,3,9,2,0.0,5,1,0,-1,-2,21,28.93011784212744,0
60,0.0,189413,3,11,0,8.0,0,0,0,-21,0,40,-0.02374584720667511,1
27,0.0,198350,14,15,0,10.0,2,0,1,-26,-2,45,0.005146511595346561,0
27,0.0,182499,0,13,0,2.0,2,1,1,7,0,50,7.928714341619302,1
49,2.0,242653,6,11,0,9.0,2,0,1,-14,0,44,-0.0005667314452526501,1
55,1.0,122836,3,9,0,1.0,2,0,1,11,-1,45,-0.0056016645668037915,0
42,5.0,142106,3,9,0,2.0,3,0,0,-33,-1,50,-0.020592645818789737,1
19,0.0,189754,2,7,2,3.0,1,0,1,1,-1,22,-0.004380074246300795,0
30,4.0,178052,10,14,4,5.0,3,0,0,-32,1,37,9.935300691304956,0
27,0.0,505610,5,3,2,7.0,3,3,0,-7,0,22,19.595278501853368,0
49,0.0,125733,0,13,0,5.0,2,0,1,29,0,50,-0.012588295405044239,0
25,0.0,233737,6,11,3,3.0,3,0,1,-33,0,40,0.008175015957955485,0
27,0.0,186634,1,10,2,3.0,1,0,0,-55,1,71,0.009032105670401077,0
47,0.0,116429,6,1,0,5.0,2,0,0,-5,0,57,8.231382665955453,1
51,0.0,96930,13,16,0,2.0,0,0,0,29,-2,49,0.006039881221571907,1
50,1.0,236303,1,10,0,1.0,2,0,1,7,-1,40,0.0033818119180249627,0
27,0.0,197300,3,9,0,9.0,2,0,1,-15,-1,36,-0.01205378540458448,1
25,0.0,195000,0,13,0,3.0,2,0,1,21,-1,60,-0.0064747860985297605,1
49,0.0,183462,3,9,2,3.0,5,0,0,-13,1,40,-0.003262047463712503,0
44,0.0,180862,0,13,0,4.0,2,0,1,39,-1,45,-0.0023667085801435945,1
41,0.0,109581,14,2,0,2.0,5,3,1,15,-1,40,20.410811814144882,0
49,0.0,319934,3,9,0,8.0,1,0,1,-5,-1,40,-0.0052642583267503915,0
22,0.0,209930,3,7,2,2.0,3,0,0,-21,0,24,-0.00555003451892691,0
18,0.0,85016,2,7,2,3.0,1,0,0,-19,-1,10,0.007672093363905784,0
29,0.0,177823,1,10,1,12.0,3,0,1,-32,0,40,0.003160258498736297,0
48,5.0,42458,10,14,1,5.0,3,0,0,26,-2,37,0.005460312678242477,0
39,0.0,264271,14,12,1,4.0,3,0,0,19,-1,30,-0.015053116433915832,0
43,1.0,209638,3,9,0,1.0,2,0,1,6,0,40,-0.0009524462009339721,1
45,0.0,366151,3,9,0,3.0,2,0,1,9,-1,40,0.0072740246226293504,0
43,0.0,49631,3,9,4,0.0,5,0,0,18,0,10,-0.009745794853687364,0
35,0.0,203481,3,9,1,8.0,3,0,0,18,-1,23,-0.015373311993113726,0
33,0.0,99496,9,9,1,3.0,3,0,0,1,-1,62,0.008656518577344409,0
42,0.0,214727,1,10,1,4.0,3,0,1,25,-1,40,3.560871639234209,0
54,0.0,120235,8,3,0,2.0,2,3,0,-23,0,40,-0.0026418645460233635,1
28,0.0,191223,3,9,1,1.0,3,0,1,1,-1,44,-0.007012781819129177,0
21,0.0,217024,1,10,2,3.0,3,0,1,-16,-2,13,-0.0109643756862014,0
49,4.0,146215,10,14,0,5.0,2,0,1,13,-1,40,-0.04179093067337426,1
41,0.0,164522,8,5,0,1.0,2,0,1,-10,-1,64,0.005947120673391889,0
26,0.0,340060,3,9,0,9.0,1,0,1,-14,-2,24,-0.013496717956610884,1
37,0.0,127427,14,3,0,3.0,2,0,1,-19,1,40,-0.011707921181800219,0
44,4.0,138307,10,14,1,5.0,3,0,1,7,0,36,-0.018679977820212103,0
19,0.0,45619,2,7,2,0.0,3,0,1,-37,1,23,0.0010728113061632006,0
39,0.0,191095,3,9,0,10.0,4,0,0,2952,-1,40,-0.02466781270352828,0
30,5.0,49420,14,6,0,7.0,2,0,1,-16,0,40,19.56744699489693,1
43,0.0,202607,10,14,0,3.0,2,0,1,49,-1,40,-0.0007819540936396014,1
25,0.0,401069,3,9,2,8.0,3,2,0,-4,0,40,-0.0012121620223467689,0
29,0.0,215042,1,10,2,4.0,2,0,1,-33,0,23,-0.015166925445811842,0
35,0.0,351646,14,9,0,9.0,2,0,1,-22,0,50,0.0017411617398565879,0
71,0.0,32779,3,9,0,1.0,2,0,1,0,-1,40,0.0022669230315709755,1
36,0.0,441656,3,9,0,7.0,2,0,1,-54,-1,40,-0.0068909536562223195,0
36,0.0,286395,8,4,0,7.0,2,0,1,-13,0,40,31.92621873294271,0
29,0.0,148197,3,10,1,12.0,3,2,0,-33,0,45,-0.004025133936334584,0
43,0.0,630895,14,3,0,12.0,3,0,0,0,0,40,19.962739436226833,0
29,4.0,298456,10,14,0,5.0,5,0,1,-9,-1,40,0.0010994717045031796,0
46,0.0,286658,0,13,0,4.0,2,0,1,14752,-2,40,-0.004535403221651453,1
48,0.0,174942,9,8,0,0.0,2,0,1,-12,0,10,-0.01846579602581106,0
44,0.0,294235,8,4,0,2.0,2,1,1,10,-1,36,29.014225212328945,1
30,4.0,237580,10,14,2,5.0,3,0,1,-15,-1,58,-0.017653177420137212,1
27,0.0,186904,10,14,1,5.0,3,0,1,10,0,40,-0.01397847639494568,0
32,1.0,132764,4,15,0,5.0,2,0,1,36,1,61,0.010830186728124495,1
45,0.0,197422,5,9,4,2.0,5,0,0,-11,0,36,0.00014963102773793283,0
22,0.0,48344,9,9,2,10.0,1,0,1,-6,0,20,-0.008083398070430247,0
