age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
51,4.0,78197,1,10,1,3.0,3,2,1,-11,0,40,-0.00622036842212752,0
18,0.0,221413,12,6,2,2.0,1,3,1,-10,-1,15,-0.0006686126494611808,0
33,0.0,111542,0,13,0,5.0,2,0,1,22,1817,40,-0.013083259686117003,1
19,4.0,346030,0,13,2,3.0,1,0,1,19,0,40,-0.0030033918198414675,0
61,0.0,241001,3,9,2,6.0,2,0,1,-33,0,40,0.0013244703267982624,0
30,7.0,255400,6,7,0,1.0,2,0,1,-18,0,40,-0.005645222604394459,0
32,0.0,139689,3,9,2,2.0,1,4,0,-3,0,40,0.018319332745056403,0
35,0.0,271552,3,9,1,11.0,5,0,0,11,-1,40,-0.005277980794104195,0
31,0.0,403896,5,12,2,1.0,3,0,1,24,1837,40,0.0023527540279540435,0
35,0.0,184437,0,13,2,1.0,1,0,1,-15,0,50,0.004251929696494677,0
39,0.0,188284,1,10,1,5.0,3,0,0,-8,0,40,0.007596493629340362,0
27,0.0,228366,14,3,2,1.0,4,0,1,-24,0,31,-0.001995774724004405,0
49,4.0,351585,1,10,3,5.0,5,0,0,-3,0,40,0.007083185185026191,0
48,0.0,190936,1,10,0,3.0,2,0,1,-21,0,50,0.0006006846007422014,1
29,3.0,99735,0,13,0,1.0,2,1,1,13,-1,40,-0.002234924671925123,0
67,0.0,47907,8,4,4,7.0,2,0,1,-10,1857,40,-0.0027358847407087843,0
46,4.0,240517,10,14,0,5.0,2,0,0,8,1771,40,0.002850840746316431,0
26,0.0,148850,1,9,2,1.0,1,0,1,-18,0,40,-0.008591252534606015,0
23,0.0,311052,3,9,2,2.0,3,0,0,20,0,50,-0.01177167345727008,0
82,0.0,269539,0,13,0,12.0,2,0,1,7670,0,40,0.004016510690870795,1
43,0.0,95035,2,7,1,3.0,5,0,0,2290,1,40,-0.027754740528243352,0
59,0.0,394191,4,15,0,5.0,0,0,0,36,-1,50,0.009389305714389156,1
59,4.0,382018,0,13,0,5.0,1,0,1,54,-1,31,-0.008102159123805667,0
37,0.0,50922,3,9,0,6.0,2,2,1,-8,1,50,-0.0070205526312802895,0
57,3.0,113194,0,13,0,12.0,2,0,1,-3,0,40,0.00782381045499728,1
56,0.0,24655,1,10,4,2.0,1,0,0,0,0,69,-0.008164234363963699,0
53,4.0,104023,3,9,3,8.0,5,4,0,3,1,40,-0.004472755505567764,0
55,0.0,229400,0,13,0,5.0,2,0,1,11,0,44,-0.0005056248139152551,1
19,0.0,186596,3,6,2,3.0,1,0,1,2968,0,50,-0.007441871474958922,0
33,0.0,52455,5,12,2,12.0,1,0,1,3300,-1,40,0.007833356540924813,0
63,0.0,398262,11,3,5,2.0,4,3,1,24,-1,40,30.2923714255437,0
69,2.0,153617,10,14,0,5.0,2,0,1,15111,-1,50,-0.01591239681425463,1
41,0.0,494173,3,9,2,3.0,1,2,0,-15,0,40,-0.00025199572559396553,0
57,0.0,444457,0,13,1,10.0,3,0,0,-12,1776,40,0.015427814690573957,0
50,0.0,36041,3,9,0,10.0,2,0,1,24,-1,50,-0.004769780251276506,0
47,0.0,36342,5,12,1,4.0,3,0,0,3987,-1,40,-0.01058741524933005,1
36,0.0,88106,3,9,0,1.0,2,1,1,-31,1781,40,7.391129743850122,0
54,1.0,246206,1,10,0,2.0,2,2,1,19,0,50,-0.015888394713859496,0
21,0.0,254339,3,9,2,2.0,1,0,1,25,-1,70,0.013871130972650999,0
26,5.0,106184,1,10,1,3.0,1,0,0,-17,-1,23,-0.005493594775664193,0
36,2.0,104422,3,9,4,2.0,5,0,1,11,0,36,0.0037173653407423252,0
31,0.0,106752,3,9,2,2.0,1,0,0,7695,0,50,0.0012355329753107656,1
33,0.0,169464,5,10,1,2.0,5,3,0,-5,1,36,0.005035056815893946,0
48,0.0,178079,3,9,2,2.0,3,0,1,-10,0,38,-0.003415036917455836,0
43,4.0,436739,10,14,2,5.0,2,0,1,18,0,40,0.00727996530703904,0
66,4.0,55398,10,16,0,12.0,0,0,1,30,-1,30,-0.002704705497665581,0
46,5.0,355759,10,14,2,5.0,1,0,0,33,0,40,0.007553534995985441,0
64,0.0,70108,2,7,2,0.0,3,4,0,-9,0,30,-0.0003661564573735231,0
16,0.0,346088,5,12,2,2.0,1,0,1,-8,-1,23,0.003027631335474026,0
46,5.0,251897,1,10,1,8.0,3,4,0,-9,0,40,0.0006500846479396078,0
18,0.0,154626,3,9,2,1.0,1,0,1,-4,-1,78,0.009875731726473193,0
55,0.0,210182,4,15,0,5.0,2,0,0,48,1768,40,0.001041303001664038,1
48,2.0,129418,7,16,0,6.0,2,0,1,4,0,50,-0.006182078359866657,0
53,0.0,225038,7,6,2,6.0,1,0,1,-8,1750,40,-0.003351107114608333,0
44,0.0,174969,3,9,3,7.0,3,4,1,14,0,40,-0.0034636063634218236,0
21,0.0,47414,3,9,1,10.0,5,3,1,28,1,30,-0.005809583534418861,0
56,3.0,281152,1,11,0,8.0,2,0,1,19,0,40,0.0037656817104606915,0
50,0.0,263193,0,13,0,5.0,2,0,1,38,1815,51,-0.02331342841384217,1
45,4.0,323360,1,10,3,1.0,5,0,0,4381,0,40,-0.01756537317703131,0
50,0.0,63699,3,9,1,10.0,5,0,0,11,0,40,0.01055247606349287,0
51,1.0,51332,1,10,0,0.0,2,2,1,5,-1,50,-6.912653793853648e-05,0
27,0.0,275965,14,3,2,2.0,3,0,0,-15,-1,40,19.879742070547238,0
33,1.0,245930,3,9,0,2.0,2,0,1,13,-1,14,-0.005941806523693551,0
49,0.0,470118,3,9,0,2.0,2,0,1,21,-2,40,0.019903178151758596,0
55,0.0,395825,10,14,0,5.0,2,0,1,3,1782,50,0.0003009419189851862,1
41,6.0,112711,6,11,4,0.0,5,4,0,-5,-1,40,-0.0054170385874181045,0
36,6.0,52071,6,12,5,1.0,5,0,0,-15,1866,30,-0.0036822565119446686,0
48,0.0,54835,3,13,1,3.0,1,0,1,-30,1894,40,-0.0063605851301201935,0
52,0.0,212492,1,10,1,3.0,5,0,0,-23,1,40,-0.001404438758501076,0
58,0.0,85966,0,13,0,8.0,0,2,0,4,1,40,0.0009184719462084156,1
21,0.0,266380,3,9,0,2.0,2,0,1,-34,0,40,0.015512061404713291,0
21,0.0,84541,1,10,2,8.0,1,0,1,-11,0,49,-0.005699341526265193,0
63,4.0,104140,1,10,0,12.0,2,1,1,15,1790,40,-0.008216281800647002,0
34,0.0,101158,3,9,0,1.0,2,0,1,16,0,50,0.005184440120110822,0
47,0.0,199228,5,12,2,2.0,1,1,0,1,1,40,-0.022787909476918607,0
47,0.0,288730,3,9,1,7.0,3,0,1,17,0,40,0.012915005418429189,0
31,0.0,391622,14,3,2,5.0,3,0,0,-25,-1,40,29.740482140325692,0
64,1.0,294053,3,4,0,1.0,2,0,1,7683,0,46,0.006545488169199831,0
36,4.0,100476,3,9,1,8.0,1,2,0,-4,0,45,-0.009238992089622401,0
47,0.0,339726,0,13,0,3.0,2,0,1,8,0,50,-0.003337637723502152,1
42,4.0,37534,1,10,1,8.0,5,0,0,-12,0,40,0.007970107475674193,0
61,0.0,313380,3,9,0,2.0,2,0,1,-2,-1,45,0.005415471057870768,0
43,2.0,353013,4,15,2,0.0,3,0,1,0,0,50,0.0010489671602536528,0
29,0.0,175316,14,3,2,6.0,1,0,1,24,0,40,19.57278015000467,0
25,1.0,271583,0,13,0,9.0,2,0,1,17,0,37,-0.004451699561765635,0
41,4.0,184892,10,14,1,5.0,2,0,1,10,0,40,0.008616029369759385,0
34,0.0,186003,3,9,2,1.0,4,1,1,-21,0,45,-0.011076835290558366,0
41,0.0,377852,1,10,1,1.0,3,4,0,10,0,40,28.475257645494324,0
51,0.0,217377,6,11,5,7.0,5,0,1,-24,0,35,3.5017787380150267,0
49,0.0,273441,3,9,5,3.0,0,0,0,4,0,50,0.015063450718756649,0
56,0.0,199035,3,9,4,2.0,5,0,0,-14,0,30,0.0069315902686749266,0
40,0.0,207858,3,9,2,8.0,5,0,0,-37,0,40,0.013837056686936727,0
50,0.0,386574,12,6,2,0.0,3,3,0,-2,-1,40,-0.010079027704348948,0
48,4.0,100072,0,13,0,5.0,5,0,0,12,0,40,-0.00811618328796698,0
18,5.0,40072,12,6,2,7.0,1,0,0,4,2020,25,-0.01818544838148008,0
45,0.0,327747,3,9,5,3.0,3,1,1,0,0,40,3.7054380939014293,0
23,0.0,172867,12,6,2,0.0,4,2,1,-19,1,40,-0.01178132077369666,0
49,4.0,265103,3,9,1,12.0,5,4,0,10,-1,40,0.0061332476567289886,0
50,0.0,247642,2,16,0,1.0,2,0,1,5,0,40,-0.00565831026177147,0
31,0.0,282518,3,9,0,7.0,2,0,1,-32,1,37,0.006434814310739876,0
61,0.0,129447,13,16,0,5.0,2,0,1,34,1825,40,-0.0069585990671900775,1
56,0.0,195804,1,10,1,4.0,3,1,0,2,-1,40,-0.0028834613547874663,0
37,0.0,328478,0,13,0,5.0,2,1,1,-7,1,40,15.330574924251687,0
52,0.0,187872,7,5,5,2.0,2,0,1,14,-1,40,0.007312277783131939,0
45,0.0,95902,1,10,3,1.0,5,4,1,16,0,40,0.002575673560307457,0
50,4.0,223363,1,10,0,2.0,2,0,1,18,0,44,-0.009234043264634425,1
57,0.0,346463,7,5,0,1.0,2,0,1,3,-1,40,0.0040751750117505375,0
48,7.0,248776,0,13,2,1.0,2,0,1,-20,0,59,-0.00014500342527883216,0
31,0.0,231745,1,10,2,1.0,1,0,0,6,0,43,0.0013264307327065638,0
18,3.0,146782,0,13,3,2.0,5,3,1,25,-1,40,-0.01000172849421329,0
49,3.0,134703,6,12,0,2.0,2,0,1,16,1,40,-0.011147853223028914,0
30,0.0,68657,1,10,2,5.0,1,0,1,3075,0,51,-0.009567312019709465,0
79,0.0,357303,15,3,1,7.0,3,4,1,11,0,40,19.97678542541044,0
61,0.0,299919,5,12,1,2.0,3,4,0,3477,0,30,3.561059432397492e-05,0
29,4.0,35710,1,10,2,3.0,1,1,1,11,0,40,-0.004925171062005893,0
26,0.0,337097,11,3,2,0.0,5,3,0,-2,0,40,19.714776567567117,0
62,0.0,117978,3,9,1,2.0,1,0,0,-4,-1,20,-0.0022078639643087336,0
30,0.0,118470,1,10,2,8.0,3,0,0,-48,0,40,-0.010622696322274363,0
40,0.0,265982,10,14,0,5.0,0,0,0,7624,0,40,-0.00018958812027526184,1
42,2.0,96687,1,10,1,1.0,3,0,1,17,1,46,-0.006866686760777951,0
25,0.0,292886,0,13,0,5.0,2,0,1,-7,-1,40,-0.002298539812482479,0
24,0.0,118846,3,9,1,10.0,3,0,1,-13,0,40,0.0015802945087303893,0
42,0.0,385577,1,10,0,3.0,2,0,1,6,0,50,0.01234861329616559,1
55,0.0,40621,2,7,2,11.0,3,0,1,0,0,40,19.932041599508416,0
55,0.0,36325,8,4,4,9.0,3,0,1,-16,1784,30,30.891036982208718,0
32,0.0,178889,3,9,5,2.0,4,0,1,-6,0,44,0.002047934409150449,0
19,0.0,243312,2,7,4,6.0,5,0,0,-5,0,15,-0.005440528551249084,0
25,4.0,158440,2,7,2,0.0,1,0,0,-38,0,30,-0.015058516058761642,0
22,0.0,124687,3,9,2,8.0,1,0,0,-9,1798,40,0.009292903361605431,0
61,0.0,84401,2,7,0,9.0,1,0,1,2,0,31,0.01405827275434063,0
28,0.0,173375,3,9,2,1.0,5,4,1,26,1863,40,0.00947205641130117,0
26,2.0,205334,3,9,0,1.0,2,0,1,-5,1,75,-0.004954463079316832,0
34,0.0,258493,11,7,0,2.0,2,0,0,9,0,40,-0.001296288431767407,0
55,2.0,252662,4,15,0,5.0,2,0,1,58,0,75,0.0099897431993673,1
51,0.0,303767,5,12,0,12.0,2,0,1,-3,0,40,-0.014068804917786483,0
50,0.0,287078,3,9,0,10.0,2,0,1,8,1763,40,-0.008930903299172805,0
42,4.0,175255,5,12,1,2.0,5,0,1,18,0,40,0.0031540183615449383,0
41,2.0,106447,1,10,0,1.0,2,0,1,-14,0,40,-0.010344096026064892,0
47,0.0,277186,5,12,0,12.0,2,0,0,-16,1833,40,0.008463080557817394,0
33,0.0,237542,0,13,2,8.0,1,0,0,11,-1,40,-0.005577959675164486,0
20,5.0,296370,3,9,2,8.0,3,0,1,18,0,59,-0.0035240260111816224,0
48,0.0,110495,3,9,1,1.0,5,0,1,-11,-1,40,-0.0014301546712982066,0
63,0.0,25884,0,13,0,4.0,2,0,0,7836,0,40,-0.016486344820861015,1
49,5.0,111962,0,9,1,10.0,5,0,1,-11,-2,40,-0.007941565165159658,0
29,4.0,140001,1,10,4,8.0,5,0,0,-22,-1,6,0.004995093707700529,0
22,4.0,97132,0,13,2,5.0,5,0,0,-19,0,40,-0.009109871840077175,0
35,4.0,230859,0,13,2,5.0,1,0,0,7,-1,40,0.007777773018188533,0
62,0.0,188019,3,9,0,1.0,2,0,1,-2,-1,40,-0.010043067439583431,0
56,5.0,271114,0,7,4,8.0,5,0,1,-2,1,45,0.006468071771048032,0
74,1.0,80508,3,9,0,2.0,0,0,0,2975,1870,36,0.005602679661663219,0
19,0.0,407452,12,6,2,2.0,1,0,0,-3,0,31,0.006868477291233541,0
53,1.0,121454,0,13,0,9.0,2,0,1,-5,-1,50,0.0030626351465588746,0
19,0.0,47389,9,8,2,0.0,1,0,0,18,0,13,0.0059945738411700915,0
39,0.0,339510,3,9,3,7.0,5,0,0,16,-1,50,-0.0018900726294632465,0
21,0.0,285043,1,10,2,1.0,4,0,1,-22,0,40,19.648701072293587,0
34,0.0,225996,3,9,0,5.0,2,0,1,-35,1,37,-0.0009634123812145391,1
48,1.0,110654,8,4,0,9.0,2,0,1,-4,0,50,-0.010536986503286709,0
53,1.0,107419,0,13,0,4.0,2,0,1,35,1,51,-0.010205820151088464,1
62,0.0,93708,3,9,4,4.0,3,0,0,3460,-2,40,0.0058732308865172955,0
55,0.0,136898,2,7,0,1.0,2,0,1,3,0,40,0.0005647622974138291,0
32,0.0,191333,3,9,3,6.0,3,0,0,1,0,50,0.006771473040852024,0
64,0.0,273469,3,10,0,1.0,2,0,1,9,2029,50,-0.00448147928069268,0
28,0.0,145527,9,8,2,0.0,1,0,1,-22,1776,50,-0.002498705670816959,0
34,2.0,285863,12,15,0,5.0,2,3,1,-8,0,50,-0.008855253697366472,0
68,5.0,115002,10,14,0,5.0,2,0,0,13,0,40,3.269917095895275,0
47,0.0,299837,3,9,0,1.0,2,0,1,4,0,51,4.051631142315826,1
57,0.0,399609,3,9,0,10.0,3,0,1,26,0,50,-0.006210799397269168,0
34,4.0,253562,1,10,0,12.0,2,0,1,8,0,40,-0.004443822532391383,1
70,0.0,46502,8,4,0,9.0,2,4,0,-13,0,22,27.52896378542435,0
40,0.0,126897,3,9,1,1.0,3,0,1,-21,-1,40,0.011308010641151438,0
83,0.0,46545,2,7,4,1.0,3,0,0,-2,0,30,-0.010130001000663035,0
35,0.0,124654,6,11,5,5.0,5,0,1,-23,1682,50,-0.0003800343858508654,0
41,0.0,131377,1,10,1,7.0,5,0,1,-18,0,40,27.926951880440107,0
40,3.0,172700,1,10,0,4.0,2,1,1,-4,-1,44,-0.008687750632492289,0
32,4.0,85489,0,13,0,5.0,2,0,1,31,-1,40,-0.00917565271490728,1
41,1.0,91446,1,10,1,9.0,5,0,1,-1,0,61,29.12659478943074,0
31,0.0,46700,0,13,2,4.0,3,0,0,-7,0,40,0.012827847454765487,0
34,1.0,173116,0,13,0,3.0,2,0,1,5,1815,40,-0.009235447526138469,0
49,0.0,297896,0,13,1,4.0,3,0,0,-13,-1,40,0.005805144649139887,0
65,0.0,119994,10,14,4,5.0,5,0,0,6,0,40,-0.02384485562146883,1
40,0.0,207342,1,10,1,2.0,5,0,0,-32,0,40,-0.0013741643565441971,0
34,0.0,72403,1,16,0,2.0,0,0,0,12,-1,21,0.011655495549265297,1
72,2.0,423196,3,15,1,4.0,5,4,0,-16,-1,40,0.010454905819927019,0
59,0.0,48626,3,9,0,4.0,2,0,1,18,0,50,-0.00025204309947283066,1
42,0.0,276684,10,14,0,2.0,3,0,0,3,-1,22,-0.0036737045294646903,0
39,0.0,449218,1,10,1,8.0,3,0,0,-29,0,40,0.008839265060420171,0
25,0.0,165502,3,9,2,6.0,1,0,1,1,-1,50,0.00487923515220309,0
25,0.0,161500,3,9,0,12.0,2,0,1,22,0,65,0.001410227020992373,1
66,1.0,46258,8,4,0,9.0,2,0,1,-8,0,30,-0.005251057470736515,0
43,0.0,380749,6,7,1,7.0,3,0,1,3867,0,40,-0.0014675674441233483,0
39,4.0,36373,2,7,0,1.0,2,0,1,-20,-1,51,-0.007885028180777165,0
17,0.0,107460,3,7,2,2.0,1,0,0,3615,0,25,0.008004311914887244,0
36,4.0,243522,3,9,3,5.0,4,0,0,-9,0,40,-0.008052147766568745,0
68,4.0,138241,10,14,0,5.0,2,0,1,12,-2,35,0.019815020848587044,0
69,0.0,317826,14,3,2,1.0,3,0,1,-2,0,40,0.006613860644540066,0
50,0.0,54080,11,2,0,1.0,3,0,1,22,1,50,27.990551238440837,0
60,0.0,218440,10,16,0,0.0,2,0,1,-15,1697,40,-0.004036675459907158,1
20,0.0,120369,2,7,2,0.0,5,4,0,1,0,21,-0.010515837806416486,0
33,3.0,169843,10,14,2,5.0,1,1,1,0,1827,49,0.016829985759879967,1
40,0.0,127131,3,9,5,11.0,3,0,1,27,0,40,0.011664551440214678,0
60,0.0,225669,8,4,4,2.0,1,0,0,13,0,30,0.0022613713116403887,0
41,0.0,162396,3,9,0,1.0,2,0,1,-2,1788,72,0.01619658902069431,1
21,0.0,291921,9,8,1,0.0,1,0,0,-2,0,40,-0.007715509980697779,0
47,2.0,230725,0,13,0,4.0,2,0,1,34,-1,40,-0.006711763704768307,1
37,0.0,154087,8,11,2,0.0,3,0,1,-7,1,30,-0.0017548132238895044,0
40,0.0,32947,0,13,1,8.0,5,0,0,7316,0,40,-0.0031094806348358883,0
35,5.0,129852,5,12,1,4.0,3,0,1,11,1841,50,-0.0043765625951958645,0
51,0.0,317859,10,9,0,2.0,0,0,1,-11,-1,50,0.004135452537873741,1
47,0.0,139867,3,9,0,8.0,0,0,0,17,0,40,-0.004389238847835361,1
41,0.0,92130,10,14,1,5.0,5,0,0,31,0,44,0.008534654011351686,1
45,3.0,282027,10,14,2,5.0,3,0,0,-1,-1,40,-0.0005098011330074741,0
23,0.0,303775,1,10,2,3.0,1,0,0,3406,0,23,-0.0116403929588486,0
45,0.0,107640,1,10,0,3.0,2,0,1,-4,0,50,-0.009148688500402053,1
51,4.0,216864,0,13,0,5.0,2,0,1,7564,-1,40,0.0008306541142793638,1
26,0.0,332311,1,10,1,3.0,4,2,0,-9,1,50,-0.009565963609515239,0
49,0.0,393704,6,11,0,4.0,2,0,1,5,0,63,0.0009649780727476724,1
43,4.0,234163,0,13,0,1.0,2,0,1,-14,1858,76,31.05743091235246,0
50,0.0,95582,10,14,0,4.0,2,0,0,31,-1,40,-0.010830046304670642,1
35,4.0,424639,12,3,5,7.0,1,3,1,-27,0,40,0.002474192727709388,0
