age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,0.0,255609,0,13,0,4.0,2,1,0,-5,-1,40,7.889379015652432,0
63,0.0,299539,7,9,0,2.0,2,4,1,-21,-1,44,19.370633085005956,0
43,6.0,128670,4,16,0,12.0,2,0,1,7673,1,34,-0.01912849974247993,1
21,1.0,41231,1,10,0,7.0,2,0,1,2919,0,40,0.010605280484893198,0
46,0.0,71618,8,4,0,1.0,2,0,1,9,-1,36,0.024784433028301325,0
27,0.0,127666,1,10,2,0.0,3,0,1,-28,-2,40,-0.01337504986754735,0
42,0.0,176760,0,13,0,4.0,2,0,1,-21,-1,45,0.009133071873072947,1
32,4.0,209456,3,11,2,2.0,0,0,0,-10,0,46,-0.016250937534038747,0
31,5.0,200067,10,16,0,5.0,2,0,1,-21,-1,46,-0.0030108260281164327,1
44,0.0,203723,3,9,0,9.0,2,4,1,-7,1,40,-0.014985633091481034,1
48,0.0,288075,7,12,0,10.0,2,0,1,-13,-1,50,-0.007861397092654408,1
69,0.0,210113,1,10,1,4.0,3,0,0,-15,-1,44,-0.01392870489913754,0
42,0.0,168670,14,16,0,9.0,2,0,1,-27,0,40,0.004493056257176992,1
27,0.0,183002,3,9,4,2.0,3,0,0,-28,1,23,0.0096259437247171,0
68,0.0,171297,13,11,1,2.0,3,0,0,13,0,30,-0.0017600492841851267,0
20,0.0,41766,1,10,2,8.0,1,4,0,8,0,22,-0.014049028567386122,0
38,0.0,201388,3,9,2,2.0,0,3,0,12,-2,50,19.73021659445094,0
52,0.0,267652,11,2,0,7.0,2,1,1,-3,0,40,20.018555957081364,0
21,0.0,174959,12,6,2,2.0,1,1,1,-33,-1,45,20.14193969511884,0
18,0.0,254397,1,10,2,4.0,3,0,0,14,1,40,0.016732335728728658,0
39,0.0,178265,3,9,0,2.0,4,0,1,4,0,40,-0.006727309318449805,0
31,0.0,135159,12,6,0,3.0,2,0,1,9,-2,40,0.018030084795567683,0
61,1.0,54591,12,16,0,4.0,2,2,1,-29,-1,50,-0.009060449414955409,1
34,0.0,225010,8,10,0,1.0,2,0,1,29,-2,57,-0.018561712671668316,0
55,5.0,39272,13,16,0,5.0,0,0,1,15383,0,49,0.010861323833349128,1
25,0.0,206800,3,9,0,6.0,4,0,0,-16,0,50,-0.00201268308471189,0
51,0.0,184337,3,9,4,2.0,4,0,0,14,0,40,19.666173594984237,0
29,0.0,207488,5,12,0,12.0,2,0,0,5,0,20,-0.009206741947580642,1
29,0.0,186066,1,10,1,2.0,5,0,0,-19,-1,40,0.021945403236911833,0
27,0.0,114873,5,5,2,2.0,1,0,0,-7,0,40,0.03488481528014269,0
33,0.0,407457,1,11,1,2.0,5,0,0,-9,0,60,-0.038640605627944614,0
39,0.0,46559,3,9,2,10.0,3,0,1,-43,1,31,-0.009314925934701925,0
34,0.0,301796,0,13,2,4.0,2,1,1,-16,0,46,0.004352237152914117,0
52,0.0,162981,1,10,1,0.0,5,0,0,-22,-1,36,-0.029276178080290635,0
42,0.0,213431,10,14,1,5.0,3,0,0,-1,0,40,0.0006527774789487849,1
22,0.0,204540,3,9,2,7.0,3,0,0,-33,0,40,0.0005115232518419391,0
27,5.0,198294,10,14,1,1.0,3,0,1,-26,1,24,-0.009202231954312677,0
21,0.0,126032,10,14,2,3.0,3,0,0,-22,-1,35,-0.0026717128324066607,0
21,0.0,192450,3,9,2,10.0,1,0,1,23,1,40,0.010872680598794128,0
44,0.0,100685,3,9,0,2.0,2,0,1,-7,0,90,14.6796145004661,0
43,0.0,106187,6,11,0,0.0,0,4,0,-3,0,40,-0.015837847283782788,1
43,3.0,96219,5,11,2,5.0,3,0,0,-9,0,50,0.0004866140975016667,1
30,0.0,288653,0,13,0,5.0,2,0,1,-4,-2,62,-0.008863149676292271,1
22,0.0,206421,1,9,2,0.0,1,4,0,-7,-1,13,-0.013540938231160846,0
31,0.0,211060,1,10,1,5.0,3,0,1,9,-1,24,-0.01048218340287068,0
27,0.0,223924,1,10,1,2.0,3,0,1,13,-1,40,-0.0140066174763364,0
44,1.0,165633,4,15,0,5.0,2,0,1,1,0,40,0.01001470075609828,1
39,0.0,123817,1,10,2,0.0,3,0,1,-10,-1,40,-0.006319249675456915,0
48,0.0,192266,3,9,0,8.0,2,0,1,4,0,40,-0.00995425687555595,1
48,1.0,31533,4,15,0,5.0,2,0,1,35,-1,40,-0.01124153481914855,1
52,0.0,203307,0,13,0,12.0,2,0,1,7452,-1,59,-0.010281390962654157,1
73,2.0,202954,12,13,0,3.0,2,2,1,-2,1,58,-0.00016257785648975592,1
43,1.0,195548,4,13,0,4.0,2,0,1,-12,0,61,0.0014872037147474412,1
23,0.0,227196,3,9,0,1.0,2,0,1,-1,-2,40,-0.030501523902706613,0
61,0.0,193189,5,12,1,1.0,2,0,1,-5,0,40,0.02310759718543852,0
30,0.0,229519,11,2,0,7.0,2,0,1,-15,0,40,4.055475154473473,0
24,0.0,205163,3,9,2,12.0,1,0,0,-19,0,14,-0.0012355027584593234,0
31,0.0,220417,3,9,0,3.0,2,0,0,3,-2,40,0.012724924461560282,1
49,0.0,195433,3,9,0,1.0,2,0,1,5,-1,50,-0.0008719620947894506,1
26,0.0,215168,10,14,1,3.0,3,0,0,-18,1,20,-0.010974250397246534,0
67,0.0,253773,1,10,1,3.0,0,0,0,-26,0,46,0.007412902893875981,0
37,0.0,36815,12,9,0,8.0,0,0,0,-1,-1,37,-0.004728784891196238,1
50,0.0,186960,0,13,0,4.0,2,0,1,-5,-1,40,0.018037359428671736,1
51,0.0,192577,9,8,1,9.0,3,0,0,-20,-1,50,31.49782295698246,0
26,0.0,168713,3,9,2,10.0,1,2,0,11,-1,40,-0.005262135478304824,0
48,0.0,206721,3,9,2,3.0,1,0,0,-1,-1,40,0.001718504683616919,0
46,0.0,228216,0,13,0,3.0,2,0,0,-12,-1,62,-0.008249970612589037,1
45,4.0,167221,6,11,0,8.0,2,0,1,8,-1,45,0.003181809374904465,1
28,0.0,357195,3,9,1,8.0,2,0,0,-28,-1,40,0.003821675640589667,0
23,0.0,53155,2,7,2,2.0,1,0,0,-4,0,23,0.019291913491433922,0
29,0.0,409721,7,10,0,9.0,1,0,1,-4,0,45,0.013740806927910187,0
49,0.0,424640,1,10,2,8.0,1,4,1,-18,0,50,-0.008778690527706657,0
40,0.0,168739,6,11,0,0.0,2,0,0,-9,-1,40,-0.011557366994766758,0
58,0.0,241422,3,9,5,12.0,2,0,1,-36,1,40,3.534635280337938,0
35,0.0,211122,0,5,0,2.0,2,0,1,21,0,40,0.013213681268484484,0
46,5.0,164574,0,13,0,3.0,0,0,0,7,-1,45,-0.007963514729918906,1
21,0.0,346419,2,7,2,2.0,1,4,1,8,-1,24,0.0028373633764517034,0
51,0.0,187174,9,10,0,0.0,2,0,1,-3,0,45,-0.014462173671607084,1
