Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,1,44.249499124980275,1,0,20.81437858570007,3
0,1,1,29.369127863922866,0,1,17.605934304648773,1
0,2,0,29.39847267671221,0,0,8.438522485603801,1
0,3,1,27.155138417653873,0,0,46.00339860645069,1
1,2,0,50.70931296382592,0,0,22.034426807770004,1
0,1,1,29.754570153427828,0,1,17.611594726875513,2
0,2,0,37.57915729345747,4,2,10.667074363476925,2
0,2,0,49.59205510458178,2,0,319.60196861533933,1
0,3,0,26.90916679835413,0,2,46.081023456739075,1
1,3,0,58.94755588516696,0,0,17.272791757449824,3
0,3,1,54.511520191892046,0,0,36.300326044974845,1
0,3,1,29.537952415481545,0,0,344.254128528266,2
0,1,1,82.44226631745488,0,0,17.6259262093445,1
1,2,1,48.66620193063201,0,0,328.222954604273,1
0,2,1,30.322691339276517,0,0,322.4424130004346,1
1,3,0,29.388179185695677,1,0,47.26722785840534,1
0,2,0,29.361625777548767,1,0,6.1378282823586865,3
1,1,0,48.318774634683066,0,2,45.12503574506434,3
0,2,1,56.16159520167228,0,0,23.239455056430593,1
0,3,0,53.97968798427389,0,0,4.311007659754984,1
0,1,0,24.87174161213803,0,1,19.016051321713505,1
0,2,0,48.89991357383481,1,0,14.148894465843927,2
0,2,0,88.3061848809578,1,0,51.41711865917547,1
1,3,0,31.72238627491786,1,5,24.342469721357247,1
1,1,0,32.0995284834678,1,0,14.853502032941673,1
0,3,1,26.451677334082703,3,0,282.2846752982641,1
1,2,1,53.413287935600984,0,0,14.905410122925119,1
1,2,0,73.48750952031565,0,1,19.5871897865382,1
1,1,1,15.687383550514916,1,1,106.38913676705178,1
0,2,0,30.000013176885307,4,0,9.931006962816726,1
1,3,1,30.66552821666783,0,0,20.097892033466927,1
1,3,1,28.012248298606316,1,0,18.117124735943108,1
0,2,0,29.963809359953814,0,0,12.818432025628692,1
1,3,1,80.05799380993712,1,0,25.30860767473464,3
1,2,0,21.490463803445135,0,1,927.5614449485486,1
0,1,0,5.83650581796366,0,0,21.33816316706126,1
0,1,1,69.60190535000427,0,0,19.976940078984516,1
0,2,1,31.1099040888775,0,0,19.48056528826196,1
0,3,1,29.408903441542932,0,2,21.202258679071555,1
0,3,0,31.408361049387665,0,2,14.557001497002624,1
1,3,0,60.04365809959411,0,0,158.24297161908478,1
1,3,0,15.520480314411095,0,0,82.48718441567809,1
1,3,0,29.37060839311064,0,0,116.02954002042543,1
0,1,1,58.4173156316236,0,0,102.35537680832195,1
0,2,1,47.651093439961734,0,0,16.810130878359253,2
0,3,0,31.43480078697708,0,0,325.80701839047407,1
0,3,0,19.484498903017325,8,2,14.615138215551745,1
0,3,0,71.163119115043,0,0,24.67865880259395,1
0,2,0,29.325594767131967,0,2,24.545340181893394,2
1,2,0,19.913725509489403,0,2,18.043366620977537,1
1,3,0,78.70374824659982,1,0,8.764732185707624,1
1,3,1,71.26123061732567,0,0,274.188543691596,2
1,3,1,24.060802555325505,1,1,24.87526423525932,1
0,2,1,27.919748637464405,0,0,47.82345725272908,1
1,1,0,31.749197529471804,1,0,278.6287304952908,1
1,1,0,72.47174223430278,0,0,366.1351656631931,1
1,3,1,30.879049760172613,0,0,13.675717743220268,3
1,2,1,30.79263573526703,1,0,102.95132196110589,2
1,3,1,39.835084192371625,0,3,14.57643123475363,1
1,3,1,28.05459180084613,1,1,19.82171758203676,1
0,3,1,31.855663384585817,0,1,15.636718355124252,2
0,3,0,25.569740520601034,1,1,10.262132792720813,2
0,3,0,28.36987885797023,0,0,49.769290323544766,1
0,1,1,36.941100154625374,3,2,22.68135564371316,1
0,2,1,20.91849202715326,0,0,69.03092446001618,1
1,1,0,30.850252586574292,1,3,15.240173744187583,1
0,1,0,41.73599330581874,0,0,6.098509561255013,2
0,1,0,28.670926744559,0,0,13.471903035353787,1
1,3,1,63.98698485896991,1,6,27.704327620108234,2
0,1,0,30.328093332277273,0,0,11.814825374877426,1
0,3,0,64.98455842428697,5,0,17.475396824983598,2
0,1,0,29.497901352919662,1,0,82.50152464429127,3
0,3,0,55.56035221736428,0,0,337.9295276028619,1
0,2,0,22.76426004981697,0,0,15.654546646842938,1
1,2,0,31.025187995727283,8,6,13.741251964756831,3
0,1,1,28.963127956616905,1,0,13.445937666497912,1
0,1,0,43.51704251455412,0,0,11.94456791927923,1
0,3,0,30.710640430978607,0,1,240.87394027593166,1
1,3,1,18.565374607248817,0,3,18.273908416295086,2
1,3,0,39.15004442468937,0,0,18.331364500937536,1
