age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,5,142795,11,2,4,0,4,1,0,0,99,39,0
54,6,213319,11,2,12,0,4,1,0,0,42,39,0
62,4,276890,1,0,8,1,4,1,0,0,40,39,0
57,4,154291,11,4,12,3,4,0,0,0,40,39,1
65,4,99041,15,2,1,0,4,1,0,0,40,39,1
17,0,1366120,0,4,0,3,4,0,0,0,1,41,0
37,4,259287,11,2,3,0,2,1,0,0,40,39,1
36,4,208380,15,2,6,0,4,1,0,0,40,39,1
19,4,76107,12,4,14,3,4,1,0,0,25,39,0
24,6,270742,11,4,4,1,4,1,0,0,30,39,0
31,4,183057,9,2,7,0,4,1,0,0,40,39,0
33,4,129510,9,4,14,1,4,1,0,0,50,39,0
19,4,335868,9,4,7,3,4,1,0,0,9,39,0
34,4,198326,9,2,13,0,4,1,0,1902,65,39,1
24,4,227558,9,4,4,3,2,0,0,0,40,39,0
41,6,149510,11,2,5,5,4,0,0,0,45,39,1
36,4,148126,11,2,3,0,4,1,0,0,40,39,1
90,4,14878,0,4,14,0,4,1,99999,4356,99,41,0
21,4,168149,9,4,10,4,1,1,0,0,10,8,0
17,4,1366120,0,2,0,4,4,0,0,0,1,39,0
17,0,1366120,0,4,0,4,4,0,0,0,1,24,0
33,4,279423,15,4,5,1,4,1,0,0,45,39,1
33,4,81376,15,0,3,3,2,0,0,0,40,39,0
46,4,207447,0,2,4,0,4,1,0,0,40,39,0
37,2,86439,1,2,10,0,4,1,0,0,60,39,0
46,4,223670,9,2,4,0,4,1,0,0,40,39,1
38,4,226841,8,2,3,0,4,1,0,0,50,39,0
40,4,251489,9,5,6,4,3,0,0,0,40,39,0
35,4,110125,11,4,7,1,4,1,0,0,40,39,0
57,4,116947,11,2,10,0,4,1,0,1992,46,39,1
48,4,32523,11,2,7,0,4,1,0,0,75,39,1
17,4,14878,0,2,0,1,2,1,0,4356,99,0,1
36,2,209381,15,2,10,0,1,1,0,0,40,39,0
68,4,214832,11,6,14,1,4,0,0,0,40,39,1
32,4,191667,0,2,12,5,4,0,0,0,30,39,0
33,2,291047,9,0,4,4,4,0,0,0,40,39,0
44,1,162419,11,4,0,1,4,0,0,0,40,39,0
65,0,191121,15,2,0,0,4,1,0,0,30,39,0
39,4,113568,9,2,4,0,4,1,0,0,40,39,1
54,4,189620,5,5,4,4,4,0,0,0,40,39,0
30,4,287682,9,2,12,0,4,1,0,0,40,39,0
50,4,1351521,9,2,14,0,2,1,0,3629,40,39,0
37,4,177894,11,3,7,1,4,1,0,0,40,6,0
19,0,199346,9,4,0,3,4,1,0,0,17,39,0
44,6,36616,9,2,7,0,4,1,0,0,60,39,0
31,4,234081,11,0,8,1,4,1,0,0,50,0,0
17,4,1366120,0,2,0,4,4,0,0,0,1,41,0
90,6,14878,0,4,0,1,4,1,0,4356,99,41,0
51,7,97657,11,2,4,0,4,1,0,0,40,39,1
52,4,65744,15,2,11,5,4,0,0,0,40,39,0
31,7,197212,15,5,10,4,4,0,0,0,25,39,0
31,4,94116,11,4,1,3,1,1,0,0,37,40,0
29,4,106136,9,4,10,4,4,0,0,0,40,39,0
17,4,1366120,0,4,0,3,4,0,0,4356,1,41,0
28,4,187472,11,4,7,2,4,1,0,0,35,39,0
37,4,334493,8,2,4,0,4,1,0,0,40,39,1
50,4,115494,8,0,3,4,4,0,0,0,20,39,0
27,4,345708,15,0,14,4,4,1,0,0,99,39,0
38,4,58360,9,2,4,3,4,1,0,0,20,39,0
47,4,98031,1,2,10,0,4,1,0,0,40,39,1
39,4,255807,11,2,1,0,4,1,0,0,38,39,0
47,4,188576,0,2,1,0,4,1,2198,0,25,0,0
20,4,125853,8,4,8,3,0,1,0,0,40,39,0
30,0,152121,9,4,0,3,4,0,0,0,20,39,0
76,5,14878,0,2,14,0,4,1,99999,0,99,0,1
31,4,206704,11,0,14,2,4,1,0,0,90,39,0
33,4,254303,10,2,3,0,3,1,0,0,40,39,1
53,0,199020,9,2,0,0,4,1,0,0,23,39,0
38,7,241762,15,6,1,4,4,1,0,0,40,39,0
58,4,214531,11,0,8,1,4,1,99999,0,40,39,1
39,4,273672,11,4,14,2,4,1,0,0,40,39,0
35,4,123540,11,2,1,0,4,1,0,0,45,39,1
43,6,221991,11,2,13,0,4,1,99999,0,42,39,1
28,4,269676,11,2,8,0,4,1,0,0,40,39,1
23,0,230036,11,0,0,1,4,0,0,0,28,39,0
30,7,157997,11,0,4,4,4,0,0,0,51,39,0
23,4,155444,15,4,8,1,4,0,0,0,40,39,0
58,4,72972,11,2,1,0,4,1,0,0,40,39,0
37,0,175758,11,2,0,5,4,0,0,0,45,39,0
17,4,14878,0,2,14,0,4,1,99999,0,1,41,0
54,4,35731,0,6,10,4,4,0,0,0,40,39,0
33,5,246769,10,2,10,0,4,1,0,0,55,0,1
31,4,237732,11,2,14,0,4,1,0,0,50,39,0
28,2,44362,15,0,1,1,4,1,0,1595,40,39,0
45,4,70498,12,5,1,4,4,0,0,0,40,39,0
32,4,78963,7,4,10,1,4,0,0,0,40,39,0
38,4,148261,11,3,10,1,2,0,0,0,40,0,0
38,4,228094,11,2,10,0,4,1,99999,0,40,39,1
50,4,80707,9,0,4,4,4,0,0,0,55,39,1
44,4,75263,2,2,4,5,2,0,0,0,44,39,1
78,4,286877,0,4,7,1,4,1,0,0,30,39,0
27,4,220593,15,4,1,1,4,0,0,0,40,39,0
26,4,25554,11,2,10,0,4,1,0,0,40,39,1
90,4,14878,0,2,14,1,4,1,99999,0,99,0,0
29,4,191508,11,2,1,0,4,1,0,0,32,39,0
62,4,102914,15,2,3,0,4,1,0,0,40,39,0
24,7,170713,15,4,3,4,4,0,0,0,40,39,0
52,4,24332,1,2,10,0,4,1,0,0,48,39,1
46,5,104959,11,0,7,1,4,0,2919,0,45,39,0
25,4,157103,15,4,4,3,4,1,0,0,40,39,0
45,4,128365,11,2,7,0,4,1,0,1524,40,39,1
25,4,148332,15,4,0,1,4,1,0,0,40,39,0
42,4,69256,4,0,7,1,4,0,0,0,40,39,0
31,5,173087,11,2,3,0,1,1,0,0,40,0,0
46,4,517722,15,2,10,0,4,1,0,0,60,39,0
67,0,192828,9,2,0,0,4,1,0,0,24,39,1
21,4,127523,11,0,12,4,4,0,0,0,40,39,0
43,4,272652,11,0,12,1,4,0,0,0,40,39,0
54,1,145394,9,2,4,0,4,1,0,0,40,39,1
21,4,144616,15,4,1,3,4,0,0,0,55,39,0
19,4,179217,3,4,1,3,4,0,0,0,28,39,0
28,4,184518,12,4,8,1,4,1,0,0,70,39,0
70,7,85674,11,6,3,4,4,0,0,0,8,39,1
26,6,194699,11,2,10,0,4,1,0,0,45,39,1
21,4,177157,15,4,12,1,4,0,0,0,40,39,0
25,6,474964,11,2,4,0,4,1,0,0,25,39,0
29,2,79768,11,1,10,5,4,0,0,0,30,39,0
42,4,213776,0,3,10,4,4,0,0,0,32,39,0
19,4,217060,9,4,8,3,4,1,0,0,35,39,0
23,4,375664,5,4,8,1,4,0,0,0,25,39,0
22,4,322543,11,4,11,1,4,0,0,0,24,39,0
50,4,133858,11,4,8,1,4,0,0,0,40,39,0
24,4,186243,9,4,4,3,4,0,0,0,40,39,0
24,4,106095,9,2,6,0,4,1,0,0,40,39,0
62,4,131534,0,2,3,0,4,1,0,0,40,39,0
35,2,310123,15,2,4,0,4,1,0,0,40,39,0
49,4,200944,11,0,8,1,4,1,0,0,40,39,0
29,4,112957,0,2,4,0,4,1,0,0,40,39,0
46,5,95280,11,2,1,0,4,1,0,2241,50,39,1
33,1,113507,9,2,13,0,4,1,0,0,50,39,0
28,4,376111,11,4,4,3,4,1,0,0,40,39,0
40,4,198067,8,2,4,5,4,0,0,0,40,39,1
23,2,132030,15,4,12,1,4,0,8153,0,35,39,0
