Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,1,1,80.0,0,0,512.3292,1
1,3,1,0.42,1,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,4.452852556813426,1
0,3,0,0.42,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,357.92658187876975,1
0,3,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
1,3,1,0.42,1,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,2,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
1,1,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,511.2748778300087,1
0,3,0,0.42,0,0,0.0,1
0,1,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,1,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,2,1,80.0,0,0,512.3292,1
1,3,1,0.42,1,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,3,1,0.42,0,0,0.0,1
0,1,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,2,0,0.42,1,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,2,0,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,0.42,0,0,0.0,1
0,1,1,80.0,0,0,512.3292,1
1,2,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,80.0,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
1,3,1,0.42,0,1,512.3292,1
0,2,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
