age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,4,186877,11,4,8,4,4,0,0,0,50,11,0
60,1,238149,8,2,3,5,2,0,0,0,40,39,1
44,5,100832,9,2,4,0,4,1,0,0,40,39,0
51,4,110180,11,2,7,0,4,1,0,0,40,39,1
90,4,14878,0,2,14,0,4,1,0,0,1,0,0
22,4,613497,15,4,10,3,4,0,0,0,30,39,0
47,4,69221,11,3,14,1,4,1,0,0,50,39,1
30,4,115629,6,4,8,1,4,1,0,0,40,39,0
22,4,91952,11,4,10,4,2,0,0,0,35,39,0
54,4,55705,11,4,4,1,2,1,0,2065,99,39,0
34,4,217303,15,5,14,1,4,1,0,0,40,39,0
39,4,110110,15,0,10,4,4,0,0,0,40,39,0
45,4,252633,11,0,1,3,4,1,0,0,50,39,0
25,1,82407,11,4,5,1,4,1,0,0,60,39,1
25,4,319786,15,4,8,1,2,1,0,0,20,39,0
45,4,70359,9,2,10,0,4,1,7298,0,45,39,1
22,4,375347,11,4,11,4,4,0,0,0,45,39,0
26,4,153084,9,4,4,3,4,1,0,0,40,39,0
31,4,214450,9,2,1,0,4,1,0,0,45,39,0
43,7,123644,9,2,12,0,4,1,0,1655,40,39,1
28,2,259468,11,2,1,5,4,0,0,0,40,39,1
32,4,230771,15,2,6,0,4,1,0,0,40,39,0
32,4,32252,11,4,4,1,4,0,0,0,40,39,0
36,4,229947,11,2,6,5,4,0,0,0,40,39,0
36,4,117105,15,4,10,3,4,0,0,0,40,39,0
19,4,289134,9,4,10,3,4,0,0,0,30,39,0
18,4,244060,1,4,10,3,1,1,0,0,25,26,0
77,4,136929,11,2,7,0,4,1,0,0,50,0,1
44,4,50228,10,0,10,1,4,0,0,0,60,39,1
20,4,303217,0,4,10,3,4,1,0,0,20,39,0
17,6,135403,0,4,4,3,4,1,0,0,40,39,0
33,4,120137,11,0,3,4,4,1,0,0,40,39,0
24,4,176589,15,4,10,1,4,1,0,0,45,39,0
33,4,202544,1,2,4,0,4,1,0,0,40,39,0
63,6,218259,15,2,14,0,4,1,99999,0,55,26,1
24,0,208834,9,4,0,3,4,1,0,0,20,0,0
17,4,1366120,0,2,14,0,4,1,99999,4356,1,41,0
38,0,89366,11,5,0,3,2,1,0,0,40,39,0
39,4,48802,11,2,1,0,4,1,0,0,40,39,1
33,4,506810,3,0,4,4,4,1,0,0,45,39,0
53,4,24762,11,2,14,0,4,1,4503,0,60,0,1
90,4,795168,0,2,14,0,4,1,0,0,1,0,0
90,4,32728,0,2,14,0,4,1,4610,0,99,39,0
29,1,234338,15,2,8,0,4,1,0,0,35,39,0
27,4,54762,0,4,1,3,4,1,0,0,16,39,0
59,4,260672,11,6,4,1,4,0,0,0,40,39,0
40,5,158657,11,2,12,0,4,1,0,0,51,39,1
56,6,183726,11,0,4,4,4,0,0,0,40,39,0
29,4,123273,5,4,3,3,2,0,0,0,40,24,0
41,4,205378,11,2,7,0,2,1,0,0,40,39,1
21,4,203520,9,4,1,3,4,0,0,0,44,39,0
42,4,434853,11,2,14,0,2,1,0,0,40,39,0
46,6,235203,15,2,12,5,4,0,0,0,30,39,0
24,4,90026,11,2,4,3,4,0,3034,0,15,39,1
37,2,526072,11,0,8,1,4,1,0,0,45,39,0
29,4,252903,9,5,10,3,4,1,0,0,24,39,0
32,4,214738,6,2,6,0,4,1,0,0,65,39,0
33,4,290753,10,2,3,0,4,1,0,0,40,39,0
56,4,173310,8,2,12,0,4,1,0,0,20,39,1
61,5,138368,8,6,7,4,4,0,0,0,12,19,1
46,2,201097,11,6,12,4,2,0,0,0,40,39,1
21,4,400903,11,4,7,3,4,1,0,0,40,39,0
62,6,136959,9,2,7,0,4,1,0,0,40,39,0
23,4,252253,7,4,1,1,4,1,0,0,40,39,0
19,4,45164,15,4,1,1,4,1,0,0,30,0,0
36,2,217473,11,5,8,2,4,0,0,0,10,39,0
31,4,161560,15,0,3,1,4,0,0,0,40,39,0
34,4,171980,10,0,12,1,4,1,0,1820,30,39,1
90,4,1366120,0,2,14,0,4,1,99999,4356,1,0,0
32,4,173696,11,2,8,0,4,1,7688,0,40,39,0
28,4,227687,15,4,1,3,4,1,0,0,40,39,0
62,6,189717,11,0,8,1,4,1,0,0,40,39,0
49,2,45701,11,0,8,4,4,0,0,0,24,39,0
90,4,1366120,0,2,14,0,4,1,0,0,1,39,0
37,4,153026,11,4,1,1,4,1,0,0,40,39,0
47,0,22607,11,2,0,5,4,0,0,0,20,39,0
37,6,300688,9,4,4,1,4,1,0,0,40,39,0
49,6,371285,14,5,3,1,4,0,0,0,50,39,0
66,2,229384,15,2,4,0,4,1,0,0,40,39,1
45,4,26222,11,2,10,0,4,1,14498,0,60,39,1
41,4,187699,9,1,4,0,2,1,0,0,40,39,0
41,4,183176,11,2,4,0,4,1,0,0,65,39,1
56,4,195395,9,2,10,0,4,1,0,0,45,39,1
41,4,26882,2,2,3,0,4,1,0,0,60,39,1
17,4,165276,11,4,12,3,4,0,0,0,55,39,0
44,4,213551,11,4,7,1,4,0,0,0,40,39,0
40,4,332618,9,5,7,3,4,1,0,1887,74,39,0
17,4,1366120,0,2,14,0,4,1,0,4356,1,41,0
49,4,64085,11,2,14,0,4,1,0,0,50,39,1
52,4,143079,11,2,12,5,4,0,99999,0,35,39,1
59,4,173935,11,2,4,0,4,1,0,0,40,39,0
47,4,409355,11,2,4,0,4,1,0,0,35,39,0
36,4,254396,11,4,10,1,4,0,0,0,35,0,0
47,7,279455,7,2,8,0,4,1,0,0,40,39,1
23,4,115946,15,2,3,0,4,1,0,0,50,39,0
28,4,154913,9,4,5,3,4,1,0,0,40,5,0
78,5,287348,12,2,1,0,4,1,15024,0,40,39,1
50,4,101140,9,0,3,3,4,0,0,0,39,39,0
23,4,215993,9,4,5,1,2,1,0,0,40,39,0
32,4,110775,1,5,1,1,4,0,0,0,40,39,0
80,0,154005,12,6,0,1,4,0,0,0,35,39,0
21,4,323222,4,4,3,2,2,1,0,0,35,39,0
30,4,225659,9,0,4,3,4,0,0,0,40,39,0
37,4,312218,8,0,4,1,4,1,0,0,40,39,0
17,5,110473,9,4,10,2,4,0,0,0,25,39,0
27,2,223207,15,2,10,0,4,1,0,0,60,39,0
55,5,314047,11,2,12,0,4,1,7565,0,50,39,1
28,4,262773,8,2,8,3,1,1,0,0,40,14,0
35,4,100337,15,2,3,0,1,1,0,0,40,0,0
38,2,210597,11,0,12,1,4,0,0,0,30,39,0
30,4,141204,15,5,12,1,4,1,0,0,40,39,1
55,4,131828,9,0,4,1,4,1,0,2053,36,39,1
45,4,223280,0,2,14,0,4,1,0,0,40,39,0
39,4,111017,13,2,14,0,2,1,0,0,35,39,0
29,2,304494,7,4,8,1,4,1,0,0,40,39,0
55,4,678246,12,2,1,0,4,1,0,0,35,26,0
24,4,113491,9,4,8,1,4,0,0,0,40,39,0
26,4,46370,11,2,14,0,4,1,0,0,40,39,0
34,4,27693,9,4,4,4,1,0,0,0,40,39,0
90,4,15125,0,2,14,0,4,1,0,0,1,0,0
20,4,175051,15,4,11,3,4,0,0,0,25,39,0
35,2,46065,11,2,3,2,4,1,0,0,40,39,0
21,4,210154,4,4,3,1,2,0,0,0,30,39,0
58,5,44148,15,0,0,4,4,0,0,1977,40,39,0
30,4,228815,9,0,6,4,4,0,0,0,40,39,0
66,4,316152,11,2,4,0,4,1,3343,0,32,39,1
43,4,161698,12,4,8,4,4,1,0,0,40,39,0
46,4,149468,9,5,1,1,4,0,0,0,40,39,0
33,4,174973,11,2,1,0,4,1,0,0,40,39,1
26,4,171290,4,0,3,3,4,1,0,0,20,39,0
30,7,194278,11,2,4,0,2,1,0,0,40,39,0
45,5,50097,7,2,7,0,4,1,0,0,45,39,1
22,4,186019,11,4,3,1,4,1,0,0,40,22,0
42,1,132270,15,0,11,1,2,1,0,0,40,39,1
40,4,38595,7,4,12,1,4,0,0,0,40,39,0
44,4,278699,11,2,1,0,4,1,0,1902,56,39,1
49,1,196415,11,2,13,0,4,1,0,0,40,39,1
41,4,114930,9,2,12,0,4,1,0,0,35,39,0
52,4,393716,10,0,4,1,4,0,0,0,40,36,0
23,4,251626,11,4,7,1,4,1,0,0,30,39,0
27,6,59721,11,4,8,1,4,1,0,0,20,0,0
27,4,197521,8,4,8,1,4,0,0,0,40,39,0
39,4,171924,11,4,12,1,4,1,0,0,40,39,0
27,4,143820,9,2,10,0,4,1,0,0,40,39,0
42,4,98124,0,4,8,3,4,1,0,0,50,39,0
41,4,92914,9,2,12,0,4,1,0,0,50,39,1
26,4,319185,0,2,7,0,4,1,0,0,40,0,0
46,6,99040,9,2,12,0,4,1,0,0,60,39,1
26,4,134625,11,0,14,4,4,0,0,0,40,39,0
50,4,240865,11,0,7,1,4,1,0,0,35,39,0
37,2,97618,11,2,1,0,4,1,0,0,40,39,0
43,4,90538,15,2,3,0,4,1,0,0,40,39,1
72,4,281976,7,2,14,0,4,1,11167,0,36,39,0
58,4,155533,9,6,10,4,4,0,0,0,40,39,0
41,4,212745,15,4,4,1,4,0,0,0,40,39,0
40,4,248161,9,2,8,5,4,0,0,1902,40,39,0
40,4,233467,15,0,12,3,4,0,6579,0,40,39,0
39,4,300946,6,5,8,4,4,0,0,0,20,19,0
41,4,107130,9,0,12,4,4,0,0,0,40,39,0
29,4,264823,11,2,8,0,2,1,5013,0,40,39,1
49,4,100412,11,2,10,0,4,1,0,0,40,28,1
21,0,268861,15,4,0,3,4,1,0,0,15,0,0
31,4,137266,11,0,12,1,4,0,0,0,40,39,0
46,4,201474,11,5,3,4,4,0,0,0,40,39,0
56,4,243287,9,2,6,5,4,0,0,0,40,39,0
29,4,241364,15,4,1,1,4,0,0,0,40,39,0
27,4,157440,15,4,4,1,4,0,0,0,40,39,0
40,4,174396,11,2,4,0,4,1,0,0,40,39,0
65,4,117508,11,2,7,0,4,1,0,0,40,39,0
49,4,94412,9,2,3,0,4,1,0,0,40,39,1
42,4,283212,11,2,1,0,4,1,0,0,40,39,0
36,4,52965,11,4,8,4,4,1,0,0,45,39,0
23,4,51795,15,4,10,3,4,0,0,0,40,39,0
36,6,144745,8,4,4,1,1,1,7298,0,40,39,0
31,4,328490,11,2,4,5,4,0,0,0,40,39,1
58,4,185346,9,2,10,0,4,1,0,0,40,39,1
53,4,106400,12,2,1,0,4,1,0,0,40,39,1
50,5,102289,15,4,8,1,4,1,0,0,40,39,0
42,4,169628,15,2,6,0,4,1,0,0,40,39,1
21,4,166630,11,4,3,1,4,1,0,0,40,39,0
34,4,335608,15,4,12,2,4,1,0,0,50,39,0
51,4,223162,12,2,10,0,4,1,0,0,40,39,0
31,4,31674,5,2,5,1,4,1,0,0,45,39,0
45,4,151006,11,0,6,4,4,0,99999,0,45,39,1
43,4,320504,11,2,10,0,4,1,0,0,40,22,0
33,4,80858,15,0,10,1,4,0,0,2047,40,39,0
35,6,271830,11,2,1,0,4,1,0,0,50,39,0
23,4,179776,9,4,10,3,2,1,0,0,40,39,0
39,4,166394,9,2,8,0,4,1,0,1977,45,39,0
54,4,400028,15,2,8,0,4,1,0,0,40,39,0
37,4,277325,9,4,4,1,2,1,0,0,40,39,0
56,2,348271,12,2,1,0,4,1,0,0,40,39,0
25,4,162297,9,2,7,0,4,1,0,0,25,39,0
53,4,197150,11,2,12,0,4,1,0,0,40,39,0
56,0,35159,11,2,0,0,4,1,0,0,32,39,0
29,4,215540,9,4,3,3,4,0,0,0,20,39,0
90,4,14878,0,2,14,0,4,1,99999,4356,1,0,0
23,4,178861,11,4,10,1,3,0,0,0,40,19,0
45,4,219617,11,4,12,1,4,1,0,0,78,39,1
47,4,162536,11,2,12,0,4,1,0,0,36,39,1
34,4,292396,9,6,3,4,2,0,0,0,40,39,0
18,4,167142,15,4,13,3,4,0,0,0,20,39,0
40,6,175937,11,2,7,0,4,1,0,0,55,39,0
40,4,24893,9,4,4,1,4,1,11830,0,50,39,1
28,4,219985,11,0,11,4,4,0,0,0,40,39,0
60,1,336113,11,0,0,1,4,0,0,0,40,39,0
28,6,31352,11,4,14,1,4,1,0,0,40,39,0
48,6,81542,7,2,1,0,4,1,0,0,40,39,1
42,4,102393,14,3,1,1,4,1,0,0,40,39,0
90,4,15288,0,2,14,0,4,1,0,0,1,0,0
63,6,154328,11,2,14,0,4,1,0,1824,40,39,1
44,6,235333,11,2,4,0,4,1,0,0,20,39,0
27,4,244480,15,4,14,4,4,0,0,0,40,39,0
46,6,77010,9,2,3,0,4,1,0,0,55,26,0
33,4,136870,8,2,1,5,4,0,0,0,40,39,0
71,2,220613,15,2,4,0,4,1,9550,0,40,39,1
24,4,112218,11,5,8,3,1,0,0,0,18,39,0
42,4,27670,1,2,10,0,4,1,0,0,40,39,0
44,4,390485,15,0,8,4,2,1,0,0,50,39,0
50,5,199482,11,2,10,0,4,1,0,0,60,39,0
43,4,98930,11,2,8,0,4,1,0,0,40,39,1
57,4,165323,11,2,10,0,1,1,0,0,57,26,1
25,1,176763,3,4,8,3,4,1,0,0,50,39,0
70,6,91352,8,2,5,0,4,1,0,0,30,39,1
21,4,42635,15,4,7,3,4,0,3200,0,65,39,0
28,4,211130,15,4,1,1,0,1,0,0,50,39,0
22,4,197667,11,4,10,3,4,1,0,0,40,39,0
33,1,50287,9,2,4,5,4,0,0,0,40,39,1
24,6,150073,15,0,5,1,4,0,0,0,45,39,0
24,4,177184,9,2,1,0,2,1,0,0,40,39,0
27,4,127161,12,4,10,3,2,1,0,0,20,39,0
45,0,126156,11,2,0,0,4,1,0,0,40,39,0
55,4,120122,11,2,3,0,0,1,0,0,40,39,1
39,4,191650,4,2,14,0,4,1,0,0,40,39,1
37,4,110267,11,2,5,0,4,1,0,0,40,39,1
20,0,172571,9,4,0,1,4,1,0,0,40,39,0
23,4,232457,11,4,4,3,4,0,0,0,38,39,0
75,4,201998,9,2,12,0,4,1,0,0,40,39,0
55,4,277528,7,2,8,0,2,1,0,0,50,39,1
35,4,133250,11,4,12,4,2,0,0,0,38,39,0
35,5,221051,11,2,4,0,4,1,0,1902,40,39,1
44,7,190929,9,4,7,4,4,1,0,0,40,39,0
31,0,188675,11,4,0,3,4,1,0,0,40,39,0
25,4,97071,0,4,10,3,4,1,0,0,40,39,0
52,4,68729,11,4,12,1,2,0,0,0,40,39,1
26,4,171310,11,2,3,0,4,1,0,0,60,39,0
58,4,123418,11,0,4,4,4,0,0,0,40,39,1
33,4,180294,11,0,14,4,0,1,0,0,40,39,0
26,4,149670,9,2,10,5,1,0,0,0,50,0,1
39,4,190778,15,2,3,0,4,1,0,0,40,39,0
42,1,101213,15,0,6,3,4,1,0,0,50,39,0
32,1,54471,9,0,1,4,4,0,0,0,40,39,0
39,4,185000,9,2,14,0,4,1,0,0,40,39,0
28,4,341773,15,4,11,3,4,1,0,0,38,39,0
23,4,333470,15,4,4,3,4,0,0,0,10,39,0
20,4,354555,9,4,3,3,4,1,0,0,40,39,0
90,4,238398,15,2,14,0,4,1,0,0,40,39,0
22,4,172969,11,4,4,4,4,1,0,0,40,39,0
49,6,272658,15,2,7,0,4,1,0,0,50,39,0
36,6,314492,11,0,8,1,4,1,0,0,80,39,0
46,4,231509,11,2,1,0,2,1,0,0,40,39,1
20,4,22834,15,4,10,4,4,0,0,0,35,39,0
40,4,56170,9,2,12,0,4,1,15024,0,40,39,1
45,4,251942,11,4,10,1,2,1,0,0,40,39,0
46,4,196336,9,2,11,0,2,1,0,0,50,39,1
39,4,143398,15,0,8,4,4,0,0,0,50,39,0
20,4,206716,15,4,3,3,4,1,0,0,40,39,0
