age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,4,95486,11,2,4,0,4,1,0,0,42,39,0
49,5,38697,11,2,10,5,4,0,0,0,50,39,0
37,4,54056,9,2,1,5,4,0,0,0,40,39,1
30,4,246235,8,2,8,0,4,1,0,0,40,39,0
51,4,199878,9,2,3,0,4,1,0,0,43,39,1
64,4,152609,11,6,4,4,4,0,0,0,40,39,0
54,6,185976,7,4,10,1,2,0,0,0,20,39,0
45,2,139228,15,0,3,1,4,0,0,0,40,39,0
21,6,149096,11,4,1,1,4,1,0,0,40,39,0
38,4,160231,15,2,4,0,4,1,0,0,40,39,0
33,4,104694,11,4,10,1,2,0,0,0,40,39,0
47,4,265971,9,2,1,0,4,1,0,0,35,39,0
58,4,200136,9,2,14,0,4,1,0,0,45,39,0
36,6,173726,11,4,4,1,4,1,0,0,40,39,0
46,4,295969,11,0,12,1,4,1,0,0,40,39,0
53,7,137549,9,2,10,0,4,1,0,0,45,39,1
41,4,175472,11,2,14,0,4,1,0,0,50,39,0
57,4,59339,0,2,8,0,4,1,0,0,40,39,0
51,0,203061,8,2,0,0,4,1,0,0,52,39,0
23,4,137670,15,4,3,3,4,1,0,0,40,39,0
90,4,14878,0,2,14,0,4,1,99999,4356,1,0,0
90,4,43932,7,2,14,0,4,1,0,0,99,39,0
43,4,169642,15,6,10,4,2,0,0,0,24,39,0
35,6,219706,9,4,3,1,4,0,0,0,45,39,0
90,4,1366120,0,2,14,0,4,1,0,0,1,0,0
62,4,174737,11,0,12,4,4,1,0,0,40,39,0
39,4,203095,8,5,10,4,4,0,0,0,40,39,0
55,7,122344,11,2,7,0,2,1,0,0,40,39,1
55,4,284762,11,2,7,0,2,1,0,0,40,39,1
57,4,174096,11,2,4,0,4,1,0,0,40,39,1
33,6,152750,15,2,4,0,4,1,0,0,42,39,0
33,4,183614,6,4,3,1,4,0,0,0,40,39,0
20,4,222309,15,4,3,4,4,0,0,0,40,39,0
67,0,307052,11,6,0,1,4,0,0,0,35,39,0
35,4,340376,11,0,10,4,4,0,0,0,40,39,0
34,4,27281,15,2,10,0,4,1,99999,0,40,39,1
17,6,186840,0,4,5,3,4,1,0,0,10,0,0
30,4,200484,8,0,1,1,4,0,0,0,40,39,0
43,4,33244,4,2,8,0,4,1,15024,0,40,39,1
45,2,272512,9,2,7,2,4,0,0,0,40,39,0
47,4,204460,15,2,8,0,4,1,0,0,48,39,0
26,4,452559,11,4,12,4,4,1,0,0,50,39,0
30,4,136288,11,4,12,3,4,0,0,0,40,39,0
59,2,384817,11,0,10,1,4,1,4288,0,40,39,1
55,4,85202,11,2,7,0,4,1,99999,0,44,39,1
31,6,128473,7,4,14,3,4,1,0,0,99,39,0
31,4,25994,9,2,10,0,4,1,0,0,40,39,0
31,2,81288,9,0,14,3,4,0,0,0,55,39,0
64,2,157942,11,6,10,1,4,0,0,0,40,39,0
22,4,315051,15,4,12,3,4,1,0,0,40,39,0
90,4,14878,0,2,14,0,4,1,99999,0,99,39,0
27,4,34770,11,2,4,0,4,1,0,0,50,39,1
44,6,152852,9,5,8,1,4,0,0,0,50,39,0
55,4,191902,9,2,12,0,4,1,0,0,40,39,1
35,4,120176,11,2,8,5,4,0,0,0,35,39,0
22,4,253889,15,4,8,3,4,0,0,0,40,39,0
45,4,162754,4,4,12,1,4,0,0,0,40,39,0
26,4,338696,8,2,4,0,4,1,0,0,12,39,0
55,0,440668,0,0,0,1,4,1,0,0,30,39,0
52,4,238434,11,2,3,0,4,1,0,0,50,39,1
27,2,482014,3,4,9,4,4,1,0,0,40,0,0
53,4,163796,1,2,7,0,4,1,0,0,40,39,0
17,4,187465,9,4,10,1,4,0,0,0,20,39,0
54,4,172430,15,2,1,0,4,1,0,0,35,39,1
45,6,225068,11,2,12,0,4,1,0,0,40,39,1
39,4,261470,9,5,4,5,2,0,0,0,40,26,0
52,1,169970,9,0,4,2,1,0,0,0,40,35,0
49,4,155861,11,2,8,0,4,1,0,1902,50,39,1
52,4,325020,11,3,6,1,4,1,0,0,20,26,0
66,6,220348,11,6,7,1,4,0,7298,0,40,39,0
24,6,336185,15,4,14,1,4,1,0,0,8,39,0
90,4,15391,0,2,14,0,4,1,0,0,45,39,0
53,6,171745,11,2,4,0,4,1,0,2045,48,39,0
34,4,241989,11,0,13,1,4,0,0,0,48,39,1
76,4,199182,15,2,4,0,4,1,0,0,45,0,1
49,4,107722,11,0,8,1,4,1,0,0,99,39,0
41,4,360501,11,2,3,0,4,1,0,0,40,39,0
50,4,208967,11,0,1,1,4,0,0,0,50,39,0
43,4,184666,11,2,10,0,4,1,0,0,40,39,1
33,4,237416,11,2,12,0,4,1,0,0,44,39,0
21,0,333599,11,2,0,5,4,0,0,0,38,39,0
20,4,248748,8,4,3,1,4,1,0,0,75,39,0
50,4,207400,8,5,4,4,4,0,0,0,40,39,0
68,4,65650,9,2,12,0,4,1,0,0,30,39,1
52,4,232232,10,2,7,0,4,1,0,0,50,39,1
17,4,1366120,0,2,14,0,4,1,99999,4356,1,41,0
35,4,159874,9,2,8,0,4,1,0,0,50,39,1
39,4,177004,14,0,8,1,4,0,0,0,40,39,0
56,2,311799,15,2,12,0,4,1,0,0,40,39,1
46,4,113340,15,0,8,1,2,0,0,0,40,39,0
52,4,349446,15,2,12,0,4,1,0,0,30,39,1
56,0,16782,9,0,0,1,4,0,0,0,40,39,0
24,4,53107,9,4,5,3,4,1,0,0,40,39,0
64,4,113543,15,6,10,1,4,0,0,2525,35,39,0
90,4,14878,0,2,14,0,4,1,99999,0,99,0,0
21,4,71593,15,4,3,1,4,0,0,0,40,39,0
48,7,111482,9,4,4,1,4,0,0,0,40,39,0
31,4,98575,9,2,1,0,4,1,0,0,40,39,0
44,2,161950,0,2,14,5,4,0,0,1893,38,39,0
45,2,41562,15,2,7,0,4,1,0,0,40,39,0
39,4,291942,9,4,10,1,4,0,0,0,38,39,0
21,0,113912,15,4,0,3,4,1,0,0,40,39,0
37,4,64191,9,2,3,0,4,1,0,0,55,9,0
