age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,4,393440,9,3,6,1,2,1,7,0,34,10,0
48,4,73693,12,2,10,0,4,1,0,1995,40,39,1
65,4,356303,8,5,13,3,4,1,0,0,40,39,1
47,4,280395,9,2,14,0,4,0,3,0,40,39,0
52,5,162260,9,2,12,5,4,0,6,1885,18,39,0
66,4,124480,1,4,8,3,4,0,1,0,21,39,0
55,2,121293,9,2,10,0,0,1,2,0,40,39,1
29,4,185686,1,4,8,1,4,1,1,0,7,36,0
65,5,56123,9,2,6,0,4,1,4,0,40,39,1
29,4,66092,9,2,1,0,4,1,7387,0,48,39,1
34,4,126978,9,2,12,3,4,0,7,0,40,39,0
28,4,174300,9,1,10,5,4,0,7435,0,46,39,1
30,0,193191,15,4,0,1,4,1,4,0,32,39,0
35,4,203953,8,5,1,4,4,0,10,1798,40,39,0
20,4,113351,15,4,8,3,4,1,18,0,28,39,0
51,2,120761,9,0,1,1,4,0,5,0,40,39,1
47,4,171460,11,2,3,0,4,1,3,0,48,39,1
20,0,106814,15,4,0,3,4,1,2,0,10,39,0
52,2,219184,0,4,8,1,4,1,4,0,29,39,0
54,2,208781,11,6,8,4,2,0,10,0,40,39,0
52,0,350576,15,5,0,1,4,1,7,0,33,39,0
26,4,309348,15,4,12,3,4,0,0,0,32,39,0
48,6,159398,9,2,10,0,4,1,2,1,40,39,1
23,4,299340,11,4,3,3,4,1,2,0,16,26,0
35,7,145089,11,4,11,3,0,0,8,0,40,39,0
67,0,162457,11,4,0,3,4,1,13,0,18,39,0
30,4,180939,11,5,8,2,2,1,0,0,40,39,0
29,4,250309,11,4,3,3,4,1,13,0,40,39,0
21,0,110564,1,4,0,3,4,1,3,0,31,39,0
52,6,61974,14,2,10,0,1,1,4,0,48,39,1
22,4,205105,11,4,5,1,3,1,4,0,40,39,0
63,0,144512,11,0,0,3,4,0,1,0,11,39,0
51,4,154645,11,6,9,1,4,0,1,0,40,39,0
53,2,153733,9,2,4,0,4,1,7091,0,40,39,1
29,4,170361,11,0,1,1,4,1,7,0,46,39,0
34,4,199463,15,0,7,4,4,1,0,0,40,39,0
25,4,185111,11,4,2,3,2,0,4,0,40,39,0
24,4,180454,8,4,1,1,4,1,8,0,50,39,0
49,4,141478,9,2,10,0,4,0,2,0,51,39,1
40,4,95923,11,2,1,1,4,1,1,0,68,39,0
58,7,140912,15,2,0,5,4,0,6,0,22,39,0
26,5,33309,7,4,10,1,0,1,7,0,47,39,0
35,4,124736,0,2,14,0,4,1,1,0,44,39,1
20,4,183709,7,4,12,3,4,0,5,0,40,39,0
24,7,177070,15,4,3,3,0,1,0,0,40,39,0
23,4,200436,7,4,1,1,4,1,5,0,40,39,0
21,4,38041,11,4,5,3,4,0,2,0,33,39,0
45,4,250702,9,2,4,5,4,1,1,0,51,37,1
29,4,31943,8,4,12,3,4,0,16,0,44,39,0
45,4,346558,15,2,10,0,4,1,4188,1,60,39,1
19,0,111789,15,4,0,3,4,0,2,0,9,39,0
66,5,97201,9,2,10,0,1,1,11,0,60,39,1
39,4,150983,9,2,10,1,4,0,3,0,40,9,0
39,4,26930,11,2,6,0,4,1,10,0,40,39,0
50,6,55654,9,0,4,1,4,0,11,0,60,39,1
23,4,172916,11,5,9,3,2,0,0,0,34,39,0
53,4,158124,5,2,8,0,4,1,0,0,64,39,0
52,2,60287,9,0,4,4,4,0,6,0,49,39,0
31,4,148229,11,2,1,3,2,0,3,0,40,39,0
52,4,307752,9,5,8,4,4,0,8,0,40,39,0
33,4,170757,11,3,8,4,4,0,4,0,20,39,0
38,4,67895,15,4,12,0,4,1,1,1,45,39,1
55,5,145616,9,2,10,0,4,1,14620,0,66,39,1
21,4,160080,15,4,5,3,4,1,10,0,21,39,0
74,0,116517,15,2,0,0,4,1,16,0,20,39,0
19,4,392390,1,4,12,3,4,0,4,0,32,39,0
20,4,203002,15,4,1,3,4,1,7,1,34,39,0
30,7,168924,8,4,12,1,4,1,8,0,40,1,0
62,0,91846,15,0,0,3,4,1,2,0,4,39,0
35,7,112562,15,2,1,5,4,0,0,0,40,39,1
41,4,116025,4,3,10,4,4,0,12,0,40,39,0
36,4,135516,11,6,9,4,4,1,14,0,34,39,0
48,4,19851,9,2,4,0,4,1,0,0,48,39,0
31,4,163270,11,4,12,1,4,1,0,0,48,39,0
33,7,198870,9,2,4,0,4,1,7375,0,48,39,1
46,4,101367,1,2,6,0,4,1,5,0,40,39,1
38,4,108521,15,4,9,3,4,0,2,0,40,39,0
19,0,157686,15,4,8,3,4,0,0,0,20,39,0
80,0,139516,15,4,0,3,4,1,10,0,16,39,0
