age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,4,347798,15,4,12,3,2,0,6,0,32,39,0
35,4,122757,9,2,8,5,4,0,0,0,24,39,1
31,4,133333,11,2,6,0,2,1,2,1,40,39,1
47,4,61725,9,2,3,0,4,1,7412,0,48,39,1
34,4,135366,9,2,10,5,4,0,5,0,22,39,1
25,4,191728,11,4,6,0,4,1,3,0,40,39,0
52,4,140744,13,6,11,1,2,1,7344,0,47,39,1
22,4,246108,15,4,12,3,4,1,7,0,47,39,0
41,6,155415,6,2,5,0,4,1,0,0,67,39,1
62,7,80478,9,2,1,0,4,1,97191,2115,40,39,1
22,4,194951,11,4,1,3,4,1,9,0,27,39,0
58,0,97025,11,0,0,1,4,0,3,0,3,39,1
22,0,205153,15,4,0,3,4,1,15,0,33,39,0
25,0,209342,7,4,0,4,4,0,8,0,40,39,0
38,4,39077,11,0,5,1,4,1,6,0,51,39,1
52,4,87789,11,6,8,4,4,1,1,0,40,39,0
24,4,255906,11,2,3,0,4,1,5,0,40,39,0
53,5,168597,7,2,10,0,4,1,7536,0,52,39,1
46,4,90222,11,0,6,1,2,1,12,0,40,39,0
34,4,23041,9,4,4,1,4,0,20,0,46,39,1
31,4,341622,8,4,13,2,4,0,4461,1,50,39,1
53,4,359771,2,2,8,0,2,1,4,0,17,1,0
27,4,298946,15,4,12,1,1,1,11,0,46,39,0
22,4,302160,4,3,8,1,4,0,0,0,40,31,0
27,6,107126,9,4,13,1,4,1,10,0,30,39,0
52,2,107133,14,4,10,0,1,1,7,1,64,39,1
55,2,433398,9,0,13,1,4,0,6,0,40,39,0
32,6,395798,11,2,3,0,4,1,4,1,40,39,0
28,4,319513,11,5,9,4,4,0,2,0,22,39,0
34,4,177300,9,2,1,5,4,0,4,0,40,39,1
23,4,130888,9,4,10,1,2,0,11,0,47,10,0
24,0,166668,15,4,0,3,4,0,6,0,40,39,0
22,4,108122,11,4,9,3,4,0,8,0,40,39,0
50,4,120407,9,2,12,5,4,0,12,0,40,39,0
25,4,171846,11,4,3,3,4,1,12,0,49,39,0
44,4,60114,9,2,4,0,4,1,6,0,45,39,1
51,1,69901,15,0,1,4,0,0,2,0,40,39,0
50,5,93365,9,2,10,0,4,1,7,0,47,39,1
31,4,117110,2,4,4,4,4,0,1,0,23,39,0
36,4,76749,7,4,7,1,4,1,4,0,29,39,0
70,0,126497,15,2,0,0,4,1,3,0,20,39,0
48,1,146950,15,2,10,0,4,1,7,1,40,39,1
29,4,122328,9,2,1,5,4,0,17,0,34,39,1
48,4,48398,0,0,12,5,4,1,1,0,40,39,0
29,4,321208,15,5,8,3,4,1,2,0,18,39,0
49,7,83058,9,0,1,1,4,1,4,0,45,39,0
51,4,89642,9,2,4,0,4,1,5,0,61,39,1
26,7,233428,9,4,10,1,4,0,4,0,49,39,0
36,4,362969,11,2,7,0,4,1,3,0,46,39,0
49,5,110636,9,0,4,4,4,0,9,0,31,39,0
17,4,368424,11,4,5,2,4,1,2,0,32,39,0
