Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,45.33941887323313,0,0,32.50501920918617,1
1,1,1,8.669296422576194,1,1,35.00049991391119,1
1,1,0,62.3551040754548,1,0,55.02871573367865,1
1,3,0,24.837463890909895,0,0,33.70675058615495,1
0,3,0,29.144564008661618,0,1,43.389149984916614,1
0,2,0,43.3881383207231,0,0,2.1996037120435545,1
0,3,1,28.158031289205354,3,2,23.50272835525471,1
0,2,0,14.602099233076794,8,0,28.286257986752293,1
0,2,0,14.650226201174327,4,0,7.160497386754571,2
0,3,0,46.99569588510289,3,0,54.85879493275148,3
0,3,0,8.887051262508649,1,0,14.705742214110582,1
0,3,0,28.928073830553842,0,0,12.058004099304185,1
0,3,1,23.63360356383254,0,1,12.821325147098456,1
1,1,1,30.957443751872265,0,2,24.922884858633928,2
1,1,0,39.49549572642586,1,1,48.325924210231975,1
0,3,0,52.13130926825691,2,0,22.30408173314654,1
1,3,0,16.608827408931006,3,2,1.894022970705044,1
0,2,0,39.92399785587098,1,0,1.4056005523133095,1
0,1,1,72.61702945986252,1,2,32.66670620140215,1
0,2,0,20.74157723666986,2,6,9.23777534964466,1
0,3,0,2.9366870504290725,0,0,53.715606678571355,3
0,2,1,62.500447128487245,3,0,11.457343188252489,3
0,2,0,29.991666656309718,0,2,42.8342950947758,1
0,3,0,34.890714540003756,1,2,5.121606092019387,2
0,3,0,9.658133137938862,0,0,40.878980861817666,1
0,2,0,24.999232568115396,5,1,12.034505625965968,1
0,3,0,41.40169391036572,0,0,18.167512408433268,1
1,1,1,30.617544244389496,1,0,47.85911597464188,1
1,1,1,27.513425294485042,1,1,47.769370330835876,1
1,3,1,33.22064716219713,0,2,9.342895881485811,1
1,1,1,10.295830060766415,8,1,389.31783328111084,1
1,1,1,45.509134656269644,1,0,22.396190547430276,1
0,3,1,46.93604026979643,0,0,52.49571598672428,1
0,3,0,31.865519256174757,0,1,46.951950505708766,1
1,1,0,29.88407449127893,0,0,95.71848056755596,3
1,1,1,57.26712401067351,1,1,4.174501245475322,1
0,3,0,4.096058152654713,1,0,23.1723201529079,1
1,3,1,0.8329438243399157,0,0,41.233507236146245,3
1,1,1,52.04799802783998,4,4,4.878828987307836,1
1,1,1,12.28310862993336,0,2,39.69419562660552,1
1,1,0,48.16241289791656,0,1,76.53949177095205,1
1,3,0,31.695179303670507,1,0,31.33773884985807,1
0,3,1,24.771300119850157,2,0,3.825512334425465,1
1,3,1,68.3604804016608,0,0,9.029773855890884,1
0,2,0,65.54665868763841,1,2,167.30627791707664,1
0,2,0,21.530882928719418,0,0,5.629011584631742,1
0,3,1,52.026245694966065,0,0,39.361839968288564,1
0,2,0,16.952509884023854,0,0,99.33246861685379,1
1,3,0,4.393669418081274,1,2,23.848292426502578,3
1,3,0,22.225277799513943,1,0,10.537236321154118,1
1,3,1,22.760023277242126,2,1,45.615241541911566,1
1,3,1,27.729783427228583,1,0,115.95378229094992,2
1,3,0,30.24002298761461,0,0,34.52797764203279,2
1,2,1,27.641094457825805,1,0,31.830867291043866,2
1,2,0,15.360553571951353,0,0,68.81683517742078,1
0,3,0,36.66639840147799,0,0,14.583578857805481,1
0,3,0,8.788526335157925,0,0,5.20685818073923,1
1,1,1,51.56766035649707,2,3,18.782206984326784,1
1,1,1,26.711091487241895,0,1,373.23291455217486,1
0,1,1,20.059953134396554,4,0,24.627786972000997,1
0,3,0,28.872621429975027,1,2,49.145846945495904,1
0,3,1,24.557688868101806,1,1,38.98068850000275,1
1,2,1,32.29103661681006,0,2,16.25283722148649,1
1,1,0,51.787593791014345,0,0,12.224886304475492,1
0,3,0,5.6842955434775035,0,0,12.416676675692774,1
0,3,0,34.60003652376899,2,1,10.261093828184997,1
1,1,1,47.41460109044692,0,1,44.40757919762295,1
1,1,1,43.41304010119839,1,3,139.35075876586683,1
0,3,0,18.933008861599912,0,2,17.777776207906783,1
0,1,0,35.92216503622612,1,2,24.4852322154976,1
0,3,1,48.814070169694055,0,0,14.518846945422816,2
1,3,0,15.173447628412681,0,0,18.719839166848153,2
1,1,1,24.06352338679642,0,1,54.784843869486004,1
0,3,0,27.13482023788727,0,0,22.23187876219098,3
1,3,0,9.349826286794519,1,0,41.12253972172279,1
0,3,1,22.511349145782287,4,0,120.4202430608776,1
1,3,0,14.071464377811369,1,2,79.75085253196505,1
0,3,0,31.314621867892726,0,0,11.885804361939016,1
1,3,0,65.28890717265578,0,0,24.395223725110856,1
1,1,1,40.82027963902509,1,2,22.567505010260295,1
0,1,0,35.181659033771055,8,2,39.3887950161677,2
0,2,0,21.523898695606256,1,2,16.54750983411021,1
1,2,1,54.83306765018146,1,1,24.388701438435135,1
1,3,0,13.597869698290165,0,0,20.45053326816749,1
1,1,1,39.02048759677469,0,1,16.770964400318046,1
1,3,1,32.43168578191454,1,1,52.54693176261203,1
1,3,1,26.71307929237248,1,1,21.066246488551712,1
1,2,0,23.899922258009447,4,2,8.484232416506813,2
1,1,1,17.95409649560942,1,0,51.30540447905783,1
