age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,4,187307,11,4,8,4,4,0,0,0,50,14,0
64,0,235711,2,0,0,4,2,0,0,0,40,39,0
44,2,97809,9,5,4,1,4,0,0,0,40,39,0
51,4,111713,11,2,6,0,4,1,0,0,40,39,1
33,4,137205,11,4,4,1,4,1,0,0,60,39,0
23,4,561202,15,4,10,3,4,0,0,0,25,39,0
49,4,73253,11,3,14,1,4,1,0,0,50,39,1
30,4,110035,5,4,8,1,4,1,0,0,40,39,0
22,4,100657,11,4,10,4,2,1,0,0,40,39,0
50,4,83112,11,4,3,1,2,1,0,2399,99,39,0
36,4,220303,15,5,14,1,4,1,0,0,40,39,0
38,4,104261,15,0,10,4,4,0,0,0,40,39,0
47,4,252056,11,0,1,3,4,1,0,0,50,39,0
26,1,78036,11,4,7,1,4,1,0,0,60,39,1
26,4,311568,15,4,8,1,2,1,0,0,20,39,0
45,4,63585,9,2,10,0,4,1,7298,0,48,39,1
22,4,354442,11,4,11,4,4,0,0,0,45,39,0
25,4,162923,9,4,4,3,4,1,0,0,40,39,0
30,4,215876,9,2,1,0,4,1,0,0,45,39,0
43,7,133669,9,2,11,0,4,1,0,0,40,39,1
29,2,255287,11,2,1,5,4,0,0,0,40,39,1
31,4,236311,15,2,5,0,4,1,0,0,40,39,0
29,4,34566,11,4,4,1,4,0,0,0,40,39,0
37,4,234316,11,2,7,5,4,0,0,0,40,39,0
34,4,123830,15,4,8,3,4,0,0,0,40,39,0
19,4,266812,9,4,10,3,4,0,0,0,30,39,0
20,4,237990,1,4,10,3,1,1,0,0,30,26,0
74,4,138006,11,2,4,0,4,1,0,0,50,0,1
44,4,45750,11,0,10,1,4,0,0,0,60,39,1
21,4,280432,0,4,10,3,4,1,0,0,20,39,0
17,6,131723,0,4,4,3,4,1,0,0,40,39,0
35,4,122287,11,0,3,4,4,1,0,0,40,39,0
25,4,169231,15,4,10,1,4,1,0,0,45,39,0
32,4,201207,1,2,4,0,4,1,0,0,40,39,0
74,6,206918,15,2,14,0,1,1,99999,0,99,0,1
25,0,196378,9,4,0,3,4,1,0,0,20,4,0
52,4,190085,11,2,6,5,1,0,3103,0,40,26,1
40,0,94621,11,5,0,3,2,1,0,0,40,39,0
44,5,49020,11,2,1,0,4,1,0,0,40,39,1
32,4,522778,1,5,3,4,4,1,0,0,45,39,0
17,0,1366120,15,4,0,3,4,0,0,0,1,20,0
20,4,170124,11,4,1,3,4,1,0,0,50,39,0
50,6,190492,15,5,14,1,4,0,0,0,40,39,1
28,7,243331,15,0,8,3,4,1,0,0,30,39,0
22,4,48171,0,4,1,3,4,1,0,0,15,39,0
58,4,278404,11,6,4,1,4,0,0,0,40,39,0
40,1,161757,11,2,12,0,4,1,0,0,50,39,1
53,6,192913,11,0,4,4,4,0,0,0,40,39,0
30,4,117819,6,4,3,3,2,0,0,0,40,26,0
42,4,193153,11,2,7,0,2,1,0,0,40,39,1
90,0,1366120,0,6,14,1,4,1,0,4356,99,41,0
38,4,405574,11,2,4,0,4,1,0,0,40,39,0
51,6,225022,11,2,12,5,4,0,0,0,30,39,0
24,4,55665,11,2,3,3,4,0,3333,0,18,39,1
37,2,522792,11,0,6,1,4,1,0,0,45,39,0
28,4,246947,9,5,10,3,4,1,0,0,20,39,0
31,4,210610,7,2,5,0,4,1,0,0,65,39,0
33,4,291549,11,2,3,0,4,1,0,0,40,39,0
53,4,175804,7,2,12,0,4,1,0,0,20,39,1
60,5,133124,8,2,7,0,4,1,0,0,16,22,1
46,2,203837,12,6,12,4,2,0,0,0,40,39,1
20,4,379858,11,4,6,3,4,1,0,0,45,39,0
63,6,126959,9,2,6,0,4,1,0,0,40,39,0
22,4,247504,7,4,1,1,4,1,0,0,40,39,0
20,4,49022,15,4,1,1,4,1,0,0,30,0,0
31,2,216701,11,5,7,3,4,0,0,0,10,39,0
32,4,161561,15,0,1,1,4,0,0,0,40,39,0
38,4,147474,11,0,12,1,4,1,0,1875,39,39,1
52,4,111248,15,2,10,0,4,1,0,1485,40,39,0
33,4,184626,11,2,8,0,4,1,8614,0,40,39,0
30,4,229734,15,4,1,3,4,1,0,0,40,39,0
90,5,14878,0,2,0,1,4,1,99999,0,99,41,1
52,2,47630,11,6,8,4,4,0,0,0,25,39,0
67,4,189815,11,2,9,0,4,1,7298,0,36,39,1
38,4,152248,11,4,1,1,4,1,0,0,40,39,0
47,0,24639,11,2,0,5,4,0,0,0,20,39,0
45,6,318796,11,0,4,1,4,1,0,0,40,39,0
49,6,344085,11,2,3,0,4,1,0,0,50,39,0
66,2,219514,15,2,4,0,4,1,0,0,40,39,1
44,4,26216,11,2,8,0,4,1,15024,0,60,39,1
