age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
90,0.0,206946,6,7,0,0.0,2,0,1,0,0,15,0.0,0
65,0.0,218814,0,14,0,1.0,2,0,1,15024,0,35,0.0,1
90,0.0,18827,15,16,0,0.0,3,0,1,99999,3900,99,0.0,1
19,0.0,99534,3,9,2,1.0,1,0,1,0,0,30,0.0,0
22,0.0,146152,1,9,2,8.0,5,0,0,0,0,60,0.0,0
90,0.0,1455435,0,16,0,0.0,2,0,1,14087,3900,1,39.0,1
22,0.0,116420,0,13,2,5.0,3,0,1,0,0,47,0.0,0
17,0.0,1455435,0,16,0,13.0,2,0,1,99999,3900,99,39.0,1
55,2.0,108086,0,14,0,0.0,2,0,1,99999,0,50,0.0,1
45,0.0,105202,3,9,1,0.0,5,0,0,0,0,45,0.0,0
23,0.0,117446,2,9,2,1.0,1,0,0,0,0,30,0.0,0
43,0.0,304612,1,10,3,7.0,1,0,0,0,0,24,0.0,0
90,0.0,1455435,0,16,0,0.0,2,0,1,99999,3900,1,39.0,1
17,0.0,335235,3,8,2,0.0,1,0,1,0,0,25,0.0,0
30,0.0,405384,10,4,4,0.0,5,0,0,0,0,40,0.0,0
37,1.0,163172,3,10,0,10.0,2,0,1,0,0,50,0.0,0
40,0.0,262491,1,9,0,2.0,2,0,1,0,0,48,0.0,1
90,4.0,1419202,0,16,2,1.0,3,0,1,0,0,40,0.0,1
90,0.0,18827,0,16,0,13.0,3,0,1,0,3900,99,39.0,0
90,0.0,1455435,0,4,0,0.0,0,0,1,99999,0,1,0.0,0
56,0.0,185316,12,16,0,4.0,2,0,1,0,0,40,0.0,1
90,0.0,1455435,0,1,0,0.0,0,0,1,99999,3900,38,0.0,0
17,0.0,111733,9,6,2,9.0,1,1,1,0,0,20,0.0,0
17,0.0,19093,0,16,0,13.0,2,0,1,99999,3900,99,39.0,1
28,0.0,317738,3,9,0,3.0,2,0,1,0,0,40,0.0,1
57,5.0,28548,3,9,0,8.0,2,0,1,0,0,36,0.0,0
45,0.0,120777,3,9,0,0.0,2,0,1,0,0,32,0.0,0
50,5.0,171884,13,16,0,6.0,0,0,0,0,0,38,0.0,1
42,2.0,201737,3,10,0,2.0,2,0,1,0,0,40,0.0,0
52,0.0,131238,10,12,0,0.0,0,0,0,0,0,40,0.0,1
46,0.0,106880,1,11,0,5.0,0,3,0,0,0,40,0.0,1
36,0.0,168405,3,9,2,3.0,1,0,0,0,0,60,0.0,0
35,0.0,419995,3,10,3,4.0,1,4,0,0,0,40,0.0,0
24,0.0,384944,1,9,2,8.0,3,0,0,0,0,40,0.0,0
46,0.0,93897,3,10,0,4.0,2,0,1,99999,0,99,0.0,1
20,0.0,40686,3,9,2,4.0,1,0,0,0,0,30,0.0,0
34,5.0,103574,3,9,2,10.0,3,4,1,0,0,25,0.0,0
49,0.0,65982,0,10,0,4.0,2,0,1,0,0,60,0.0,1
55,1.0,213248,1,10,2,3.0,3,0,1,0,0,15,0.0,0
37,0.0,229887,3,9,0,2.0,2,0,1,0,0,40,0.0,0
63,0.0,236418,5,9,1,2.0,3,0,0,0,0,35,38.54769885210845,0
41,1.0,108232,12,16,0,5.0,2,0,1,0,3767,60,0.0,1
57,0.0,131162,0,10,0,0.0,2,0,1,0,3900,40,0.0,1
