Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,2,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
1,3,0,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
1,3,1,0.42,1,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,2,0,0.42,0,1,512.3292,2
0,3,0,0.42,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
1,3,1,0.42,1,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,2,0,80.0,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,0,79.34191465205734,0,0,0.0,1
0,1,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,2,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
1,3,1,0.42,0,1,512.3292,1
1,1,1,0.42,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,1,0,80.0,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,2,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,2,1,80.0,0,0,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,1,0,80.0,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,2,0,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,76.1780991994413,1
0,1,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,2,1,80.0,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
1,3,1,0.42,0,1,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,3,1,0.42,0,0,0.0,1
1,3,1,0.42,0,0,512.3292,1
0,3,1,0.42,0,0,512.3292,1
0,1,0,80.0,0,0,0.0,1
0,3,0,0.42,0,0,0.0,1
0,2,0,80.0,0,0,512.3292,1
0,3,0,80.0,0,0,0.0,1
0,3,0,80.0,0,0,512.3292,1
0,3,1,80.0,0,0,512.3292,1
0,2,1,80.0,0,0,512.3292,1
0,3,0,0.42,0,0,512.3292,1
0,1,1,80.0,0,0,512.3292,1
0,1,0,80.0,0,0,512.3292,1
1,3,1,0.42,1,0,512.3292,1
1,3,1,0.42,0,1,512.3292,1
1,3,1,0.42,0,0,512.3292,1
0,3,0,0.42,0,0,0.0,1
