age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,5,167937,14,2,10,0,4,1,15150,1897,83,39,1
39,2,177486,14,2,10,0,4,1,2804,1821,68,39,1
35,4,208175,1,0,0,3,4,1,26,0,40,39,0
29,4,332197,9,2,10,5,4,1,3651,1832,40,39,1
23,1,168137,1,2,10,0,4,1,3081,1827,40,39,1
21,6,152423,1,5,3,4,4,1,2690,2017,49,39,0
20,5,156508,13,4,5,1,4,1,17,1892,40,39,0
40,5,165270,12,2,12,0,4,1,20,1851,55,39,0
33,2,186048,9,2,10,0,4,1,4139,1846,57,32,0
42,2,131821,14,2,10,0,4,1,7,1849,45,39,1
55,2,141331,1,0,12,4,4,0,13,0,31,39,0
58,1,166597,9,2,10,0,4,1,3328,1788,40,39,1
28,2,212245,9,2,10,0,4,1,4,1853,40,39,1
36,5,107507,11,2,12,0,4,1,3356,2,45,39,0
48,4,476347,1,0,3,4,2,0,27,1865,40,27,0
38,5,138971,11,2,14,0,4,1,28,1989,76,39,0
34,2,58159,1,2,10,0,4,1,2620,1878,50,39,0
28,4,269635,7,2,1,0,3,1,13,0,40,33,0
38,4,207783,1,2,12,0,4,1,37,1784,40,39,0
48,4,220451,1,5,12,4,2,0,2900,0,40,39,0
37,4,225876,9,4,1,4,4,0,6,2,40,39,0
19,4,186026,1,4,7,3,4,1,9,0,21,39,0
33,5,196298,14,2,10,0,4,1,17,1883,65,39,1
26,2,270039,1,4,10,3,4,0,11,0,20,39,0
20,2,196160,15,2,3,0,4,1,3590,1860,45,39,1
63,4,169153,11,2,6,0,4,1,21,1898,40,34,0
59,4,339609,3,2,3,0,4,1,18,1785,67,39,0
20,4,96270,2,4,12,3,4,0,35,0,19,39,0
61,6,43950,0,2,5,0,4,1,2688,1821,40,39,0
36,6,143794,14,2,5,0,4,1,28,1801,44,39,0
29,6,223137,15,5,3,1,4,1,3811,0,40,39,0
23,2,152937,11,2,3,0,4,1,48,1920,40,39,0
36,4,219345,1,4,14,3,4,1,38,0,36,39,0
26,4,197482,1,2,5,0,4,1,14,1841,40,39,0
52,4,165065,8,4,12,1,4,1,2516,0,50,39,0
38,5,193533,14,2,10,0,4,1,33,1713,55,34,0
42,4,159487,12,2,4,0,4,1,3677,1855,40,39,0
19,4,187587,0,4,6,3,4,1,3429,0,11,39,0
37,6,150091,1,2,5,0,4,1,3514,1942,18,39,0
26,4,444794,1,2,7,0,4,1,9,1875,56,31,0
36,6,39181,10,2,10,0,4,1,20,2002,66,39,0
34,4,93126,12,2,5,0,1,1,43,1765,40,31,0
37,4,161323,8,0,5,3,4,1,3917,1813,43,39,0
32,4,163201,9,2,10,0,4,1,27,1899,45,21,1
64,0,236313,15,2,0,0,4,1,4008,1702,40,39,0
45,6,197026,14,2,10,0,4,1,93670,1789,45,39,1
17,4,385830,1,4,5,2,4,1,30,0,16,39,0
33,2,180200,11,2,3,0,4,1,34,1911,44,39,0
69,6,90133,5,2,5,0,4,1,50,1,59,39,0
29,4,213949,15,2,3,0,4,1,31,1887,40,31,0
79,2,166743,5,2,5,0,4,1,1,1734,48,39,0
40,4,258539,11,2,7,0,4,1,45,1654,42,34,0
21,4,192817,1,4,6,2,4,1,41,1928,40,33,0
37,8,189550,14,2,4,0,4,1,3036,1822,56,39,0
19,4,443081,7,5,3,1,3,1,26,1733,40,26,0
40,5,162748,14,2,10,0,4,1,6620,2038,83,39,1
17,6,39940,1,2,5,0,4,1,2878,2003,15,39,0
33,5,190729,11,2,4,0,4,1,3997,1864,56,39,0
32,2,211123,5,2,14,0,4,1,7103,0,40,39,0
32,1,183331,15,2,1,0,4,1,2989,1791,40,39,0
22,4,267425,15,0,12,1,4,0,28,1,16,39,0
50,4,148036,9,0,10,1,4,0,6,1716,40,39,0
32,4,187472,9,2,10,0,4,1,14,1834,40,39,1
17,6,160114,11,4,3,1,4,1,3039,1,40,39,0
44,6,141025,14,2,10,0,4,1,14782,1909,59,39,1
