age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,0.0,366315,3,9,0,0.0,2,0,1,172,0,40,0.13349899961411624,0
80,0.0,200915,3,9,0,8.0,2,0,0,173,3,40,0.12972349894283747,0
42,0.0,369438,3,9,0,2.0,2,0,1,172,3,40,0.1335820106180258,0
76,0.0,281444,3,9,0,8.0,2,0,1,173,0,40,0.13051246252411294,0
40,0.0,288184,3,9,0,2.0,2,0,1,169,1,40,0.13364713324527588,0
73,0.0,367339,3,9,0,4.0,2,0,1,173,0,40,0.005540461801196181,0
54,0.0,373450,3,9,0,2.0,2,0,1,164,1,40,0.1339083817363381,0
61,0.0,159654,3,4,0,4.0,2,0,1,173,1375,8,0.09779026521175418,0
78,0.0,284241,3,9,0,2.0,2,0,1,173,3,41,0.1311716675551595,0
41,0.0,349977,3,9,0,0.0,2,0,1,172,1,40,0.13368816800047648,0
44,0.0,89741,3,9,0,0.0,2,0,1,171,3,7,0.13385568203614367,0
79,0.0,255119,3,9,0,4.0,2,0,1,173,1,41,0.11943488979814428,1
78,0.0,334797,3,9,0,2.0,2,0,1,173,7,42,0.07917310076794834,0
77,6.0,126378,7,6,0,8.0,2,0,1,172,1,40,0.014109108417069804,0
79,0.0,213327,3,9,0,3.0,2,0,0,173,3,40,0.08087733167827785,0
44,0.0,365235,3,9,0,0.0,2,0,1,171,3,40,0.13382766861488968,0
78,0.0,329843,3,9,0,2.0,2,0,1,173,4,40,0.1291370442322107,0
60,0.0,59883,6,11,0,4.0,2,0,1,173,1,40,0.10746283440913312,1
41,0.0,88769,3,9,0,0.0,2,0,1,171,2,40,0.1333029535378896,0
79,0.0,138911,3,14,0,10.0,2,0,0,173,1,40,0.09735925267511492,0
46,0.0,328272,3,9,0,7.0,2,0,1,171,2,40,0.13268950668710267,0
78,3.0,187671,3,9,0,10.0,2,0,1,173,3,41,0.13239143622535204,0
47,0.0,89207,3,9,0,0.0,2,0,1,171,2,40,0.13380741054694212,0
46,0.0,288726,3,9,0,2.0,2,0,1,172,1,42,0.12586756440665942,0
80,0.0,131159,3,9,0,4.0,2,0,0,173,2,40,0.0938632319581753,0
39,0.0,289420,3,9,0,0.0,2,0,1,172,0,8,0.13251066281430057,0
79,0.0,140346,3,9,0,4.0,2,0,1,173,1,41,0.06776061965202348,1
80,3.0,123102,3,14,0,4.0,2,0,0,173,2,40,0.08219716195939213,0
42,0.0,314615,3,9,0,3.0,2,0,1,172,3,8,0.13367929562097366,0
45,0.0,89414,3,9,0,0.0,2,0,1,172,1,40,0.13369230099740315,0
76,0.0,77446,3,9,0,4.0,2,0,1,173,1,43,0.10929036107526949,0
78,0.0,255550,3,9,0,10.0,2,0,0,173,5,40,0.1310843240853596,0
68,0.0,281598,3,9,0,8.0,2,0,1,171,4,40,0.13384254102081888,0
73,0.0,84144,3,10,0,4.0,2,0,1,173,7,11,0.04445085209341931,0
56,0.0,177124,6,11,0,10.0,2,0,1,171,1531,40,0.12614987682028228,0
80,2.0,103818,0,16,0,4.0,2,0,1,171,0,40,0.13183259599805194,0
41,0.0,339056,3,9,0,0.0,2,0,1,173,0,40,0.13198905945313333,0
44,0.0,353820,3,9,0,8.0,2,0,1,170,1,40,0.1338892008007942,0
77,0.0,373105,3,9,0,2.0,2,0,1,173,6,40,0.1315448739861351,0
66,0.0,371085,3,9,0,2.0,2,0,1,173,2,40,0.04004100820272241,0
79,3.0,125933,3,6,0,4.0,2,0,0,173,4,40,0.00031974266356766775,0
80,4.0,219676,3,9,0,8.0,2,0,0,173,1,40,0.12602036561156832,0
45,0.0,88593,3,9,0,0.0,2,0,1,173,6,40,0.13331914243897885,0
