age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,0.0,82236,3,9,0,0.0,2,0,1,172,0,40,0.1325107186656104,0
69,0.0,272846,3,9,0,0.0,2,0,0,173,5,40,0.12922064566425265,0
44,0.0,373199,3,9,0,2.0,2,0,1,172,4,40,0.1338022562689216,0
69,3.0,207883,3,9,0,4.0,2,0,1,173,0,40,0.13171602633569912,0
79,4.0,130772,3,9,0,4.0,2,0,0,173,0,40,0.027221498948226848,0
80,2.0,132449,7,4,0,4.0,2,0,0,173,1,40,0.0377053542986025,0
45,0.0,291281,3,9,0,0.0,2,0,1,171,3,40,0.1338580756637074,0
80,4.0,129676,3,14,0,4.0,2,0,0,173,2,7,0.04813472869093841,0
46,0.0,358497,3,9,0,3.0,2,0,1,168,2,40,0.1338782220290353,0
77,2.0,143179,3,9,0,4.0,2,0,0,173,1,40,0.11372399762394969,0
76,6.0,102812,7,6,0,8.0,2,0,1,169,4,40,0.11148086540392584,0
46,0.0,132946,6,4,0,10.0,2,0,1,173,1474,40,0.02858925563723557,0
77,6.0,131193,7,6,0,8.0,0,0,1,171,1,40,0.11034836839470628,0
41,0.0,87880,3,9,0,3.0,2,0,1,172,2,40,0.13311376121525373,0
45,0.0,87553,3,9,0,8.0,2,0,1,170,0,40,0.13387007571656012,0
74,0.0,103733,3,4,0,10.0,2,0,1,173,5,40,0.006690360981476335,0
40,0.0,368384,3,9,0,0.0,2,0,1,172,4,40,0.13360253198500538,0
75,0.0,290773,12,9,0,2.0,2,0,1,171,0,16,0.0932648011309714,0
39,0.0,75446,3,9,0,3.0,2,0,1,170,0,40,0.13348415114446266,0
80,0.0,172488,3,9,5,2.0,2,0,0,173,7,40,0.10531449781939084,0
79,0.0,279451,3,9,0,2.0,2,0,1,173,0,20,0.04828145008183548,0
58,0.0,112457,6,11,0,10.0,2,0,1,173,1603,40,0.029208175916384853,0
42,0.0,89475,3,9,0,0.0,2,0,1,172,4,8,0.13376659121822226,0
42,0.0,332708,3,9,0,3.0,2,0,1,170,1,40,23.81820328790915,0
78,0.0,184472,3,11,0,4.0,2,0,1,173,7,40,0.12798665884633165,0
78,0.0,289530,3,9,0,2.0,2,0,1,173,4,40,0.13343812966517102,0
43,0.0,78708,3,9,0,8.0,2,0,1,164,1,40,0.13375239700676944,0
48,0.0,90082,3,9,0,0.0,2,0,0,173,2,40,0.13310503245340471,0
73,0.0,297819,3,9,0,10.0,2,0,1,173,2,40,0.1316377547143657,0
80,4.0,140720,3,4,0,4.0,2,0,0,173,2,7,0.017804782606443557,1
78,0.0,283121,3,9,0,4.0,2,0,1,173,1,40,0.12535137064378615,0
51,0.0,265761,3,9,0,3.0,2,0,1,172,1,40,0.12493715339388561,0
66,0.0,356762,3,9,0,7.0,2,0,1,173,2,42,0.1251209361182275,0
40,0.0,89283,3,9,0,3.0,2,0,1,166,0,40,0.13363974491486258,0
72,0.0,76632,3,13,0,2.0,2,0,1,173,5,8,0.12029949201043305,0
80,0.0,146973,3,9,0,3.0,2,0,0,173,4,40,0.02158348874396806,0
42,0.0,83356,3,9,0,3.0,2,0,1,171,2,40,0.13335329950431302,0
45,0.0,262814,3,9,0,0.0,2,0,0,173,4,40,0.13328744283127675,0
44,0.0,373990,3,9,0,2.0,2,0,1,172,3,40,0.13358662234046523,0
44,0.0,372936,3,9,0,0.0,2,0,1,172,5,40,0.1336130080949759,0
