Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,2,0,37.580649310669536,1,0,40.36727063712705,1
0,3,1,24.808862178434502,0,0,7.553539036672381,1
0,3,0,28.5032636521712,0,0,8.786166939427202,3
1,3,1,18.13342808699253,0,1,24.505305513778502,2
1,3,1,30.24054213348189,0,0,6.938358792827513,3
1,2,0,28.82345533502492,0,0,8.336040697206343,1
1,2,0,28.133929461647128,1,0,20.549158901714193,3
0,3,0,26.76084384809493,5,2,32.41302450100923,1
0,3,0,41.34261541788048,0,0,7.820251896321883,2
1,2,0,40.89878457061886,1,1,40.02806251034375,1
1,3,1,30.3014362252793,1,5,41.7943058542558,1
1,3,1,28.90080857545242,0,0,23.285508020242244,3
1,3,1,28.69876288273433,0,0,11.276895777343595,3
1,3,0,38.63060973353166,0,0,10.813100247065135,2
1,2,1,8.302520537660556,1,1,40.0339816284896,1
0,3,0,28.737158974015603,1,0,6.542805145824734,1
0,3,1,27.674293162649946,0,0,9.982856986541222,3
0,3,1,27.93051404449672,0,0,11.32058701985795,3
0,3,0,25.061441575810967,5,2,114.40381149422268,1
1,1,0,34.861861320045655,1,0,93.99910620061688,1
1,3,0,33.49314994466829,0,0,72.01600074401692,2
1,1,0,43.00920494344419,0,0,27.241867347766558,1
1,3,1,26.307569462902283,0,0,10.015592327579526,3
0,3,1,1.0837281770814977,4,3,39.3945044950814,1
1,2,1,27.72659039576028,0,0,4.412789067154729,1
1,2,1,23.69970837463387,0,0,13.062545849592865,1
0,3,0,20.661813526409066,2,0,21.65145155481506,1
0,3,1,30.192501910509176,0,0,12.880296811897612,3
1,3,1,28.08519887128094,0,0,14.408830496082153,3
1,3,1,28.4913175071347,0,0,14.520756072629421,3
1,3,1,34.829792066711455,0,0,13.331112677445242,3
1,3,0,57.157450186140736,0,0,9.956413750618195,1
1,3,1,19.8445264394571,0,0,4.167391368637306,1
1,1,1,31.86488296935023,1,1,34.09097737082883,1
0,3,1,27.47909600143215,2,0,9.560757583325879,1
0,2,0,49.077822218194356,0,0,33.75884502386786,1
0,1,0,34.438458413860296,0,0,205.34692704664536,2
1,3,0,22.277398582501952,0,0,12.313497651815421,3
0,3,1,18.402069078199162,1,2,28.408203305140727,1
0,3,1,13.024087280014868,1,2,35.509774677609244,1
1,3,0,23.19022219470883,0,0,25.438550615895007,1
0,3,1,29.330714117524614,2,0,47.980313434541806,1
0,1,1,26.279665861221808,1,0,21.81159541998747,2
1,2,1,12.080898978244807,1,1,42.279359994841826,1
0,1,0,29.510894051020003,0,0,60.80885626351687,2
1,2,1,18.48978485582077,0,0,9.446020960224045,1
1,2,0,45.33031597748277,0,0,28.300427548026665,1
0,2,0,50.32835458884004,0,0,9.084504048855587,1
0,3,0,26.602885400855918,5,2,14.510808183793841,1
1,1,0,53.37372210039234,1,0,43.032159768032315,2
1,1,0,25.299674093508344,0,0,76.40284089679963,2
1,3,1,33.230554437801366,0,2,78.39045606179621,1
0,3,0,19.73657709641836,0,0,7.51272191670016,1
1,3,1,17.100962546629837,0,0,67.74915826511723,1
1,2,1,48.250972082076956,1,1,33.22462182433227,1
0,2,0,27.80751810230379,0,0,27.223081052076036,1
0,3,1,2.678010338211873,3,2,31.59392300465035,1
1,3,1,31.449110805639922,0,0,54.74044511819894,3
0,3,1,26.798965749171277,1,5,39.61572948496379,1
1,3,1,29.321708324757612,0,0,15.111474756777612,3
1,1,1,48.75047971811601,0,0,65.96814041545235,2
0,2,0,29.62894867911794,0,0,22.731605849264035,1
0,2,1,56.71512166789141,2,0,57.87798187621623,1
1,3,1,27.6509664134241,0,0,6.7485637837037356,1
1,1,1,22.866300854578153,1,2,24.61038695102205,1
1,2,1,43.151407250892674,1,1,33.26003854965319,1
1,2,1,21.071880195928056,1,1,71.61467195469373,1
0,3,0,25.22758306219498,2,2,78.89764545180189,1
1,2,0,26.29002431862145,1,0,35.7982482872638,1
0,2,0,41.6471616496117,0,0,9.690548246286527,1
0,1,0,48.32111703824112,0,0,190.84100988561644,2
0,2,0,41.23157515304937,1,0,13.112145129496719,1
1,2,1,29.045805426355326,0,0,10.404495154614882,1
1,3,1,18.5223905198328,0,0,21.182754051581014,2
0,3,1,25.82221578076692,0,0,6.928229973806951,3
0,2,0,23.465375839900915,0,0,8.674886886046876,1
1,3,1,22.155766987922302,0,0,13.517682901700358,1
1,1,0,39.11665394079673,0,1,202.47734872025669,2
0,2,0,46.131421134397264,1,0,10.057984345413669,1
1,3,1,21.93743009282467,0,0,5.797833539141503,1
1,3,1,22.61268977454224,0,0,13.05991066058431,1
0,2,0,28.057447821534016,0,0,5.438943041278371,2
0,1,0,25.233280621508626,5,2,41.053974932162724,1
0,3,0,27.947151571470453,0,0,8.10021443195185,1
0,3,0,52.93105324417094,0,0,10.43046725487889,1
0,2,1,19.23466045720854,0,0,26.876612913601726,1
1,3,0,59.9367499982356,1,0,11.025508887076926,1
0,3,0,52.757478841737345,0,0,6.041199484788885,2
1,3,1,30.328846080182007,0,0,9.649811918939502,3
1,2,1,32.09335157798652,1,0,13.369415522113895,1
1,3,1,29.312581362925574,2,0,20.566125095919116,1
1,1,0,29.255875007381157,0,0,38.18909258237611,1
1,1,0,26.21170440914979,0,0,29.945292738820726,1
0,3,0,23.45734578520274,0,0,6.238738758784537,3
0,3,0,25.822670485949654,0,0,11.70766865498611,2
1,3,1,25.267422169548528,0,0,37.61690781953636,1
0,3,0,46.804903233895025,1,1,34.65449947600642,1
1,1,0,27.929315689260335,1,0,74.69545498185109,1
0,3,0,29.73559637303982,0,0,2.912998621522915,1
1,1,1,29.23713887855601,1,0,254.0539869665621,1
1,2,1,38.55810083525757,0,0,21.154624804131764,1
0,3,0,20.10695949789118,0,0,9.18118669769046,1
0,3,1,28.40992344454833,3,2,13.401231805755666,1
1,3,0,20.079341179446946,0,1,14.452655863476334,2
1,3,1,28.761613822574798,0,0,26.245744988396577,1
1,3,1,20.41841906385646,0,0,18.968019012966664,3
1,3,1,22.055332545554304,0,0,20.982852797637264,1
1,2,1,38.91417716404409,0,0,73.96358092294615,1
0,1,0,30.74295985058326,0,0,27.096416572277054,1
0,3,0,29.560739012802323,0,0,4.429127641634049,1
1,2,1,52.48046518550535,0,0,11.305985022856479,1
1,1,1,63.10949015201531,1,1,89.99616325491371,1
0,3,0,22.667214498328512,0,0,7.463967648703365,1
1,3,1,18.681870696622457,0,0,14.039607601285173,3
1,3,1,44.26411891578964,1,0,23.267533962641913,2
0,3,0,21.23941214614714,0,0,3.9594927720752686,1
0,1,0,29.329353223616245,1,0,55.76572450677136,2
1,1,1,33.94305774256089,1,2,41.81299655901385,1
1,1,0,43.09554328395898,0,0,214.8067504378416,1
1,3,1,20.39438307303217,1,1,35.98482446944737,1
1,3,1,28.561925243556917,0,0,6.605593707766917,3
1,2,1,7.024092508689196,1,1,32.550129014568995,1
1,3,1,28.20672521250874,0,0,10.221518181185818,3
1,1,0,26.57968859735734,1,2,43.362438300841745,1
1,3,1,27.709240681332236,0,0,9.738892857770086,1
1,2,1,12.548919021301781,1,1,38.5499846975625,1
0,3,0,1.9663937409851107,4,4,78.7186691202846,1
1,3,1,43.90466822588119,0,1,7.607194398894263,1
0,3,0,47.26823202713976,1,0,7.467985481524707,1
0,3,0,33.45669841172936,0,1,7.222210824151782,2
0,3,0,21.519327218170336,0,0,11.392245438768574,2
1,2,1,21.52431060988567,1,0,7.123301400342052,1
0,1,0,56.19438403435105,1,2,34.76493924644983,1
0,3,0,43.07277519863473,0,0,7.418058438664049,2
0,3,0,26.952024859045718,1,2,28.39763725997193,1
0,3,0,21.65425808974795,2,0,11.063668170312292,1
0,1,0,56.19779252788662,1,2,109.96077718471821,1
1,3,0,20.889200062180663,1,0,11.879410404956744,1
1,3,1,20.214367492629904,0,0,7.023814962743494,3
0,3,0,1.688959103139994,5,2,34.6116920562775,1
0,3,0,26.92730134236974,0,0,8.054795041947402,2
1,2,1,9.615757690531918,1,1,10.39507564986264,1
0,2,0,24.567003705192672,0,0,26.92285374542884,2
0,2,0,40.67138137257324,0,0,9.136572748978903,1
1,2,1,19.952438989702067,2,0,52.67489979778949,1
1,2,0,23.72615547411455,1,0,25.395800220315916,1
1,3,1,25.253765171848308,0,0,4.905090286480178,3
1,3,1,25.45043023333124,0,0,8.601867087023923,3
1,3,1,25.73118168375157,1,0,62.122111791943276,3
1,2,0,35.641731267127255,0,0,9.133897737714753,1
0,3,1,1.5114248819223581,3,2,33.25463259188863,1
1,2,1,17.972147369721956,1,1,22.006653787798577,1
1,3,1,28.037578560641407,0,0,5.239946260145825,3
1,1,1,51.86333849481624,1,2,22.82700537201348,1
0,3,0,25.051712629328136,0,0,53.87669613084534,3
1,3,1,24.87949731340682,0,0,8.614591398618158,1
0,1,1,27.82006080474136,1,2,99.65637725889471,1
1,3,1,27.916997633161607,0,0,5.229401226207371,1
1,3,1,29.45106056220007,8,2,88.67611873238701,3
1,1,1,43.34891089241608,1,0,28.36347176185069,1
0,3,0,48.93312004945993,0,0,7.684082681552482,2
0,2,0,24.712008608449075,0,0,7.844528751212191,1
1,2,1,3.289086497837452,1,1,31.881458250872335,1
1,2,1,52.06242001686856,1,1,32.9197348300132,1
1,3,1,26.959014405387332,0,0,11.662258198252271,3
1,2,0,28.799673477517523,0,0,53.35735132966573,1
1,3,0,21.203785299534818,0,0,11.043152096527107,1
1,1,0,57.79949479028406,1,2,106.08270405578759,2
1,3,0,29.601812943692224,1,0,6.471901147907962,1
1,1,0,69.3437382165939,1,2,37.46582993967926,1
1,3,0,39.73668537939261,0,0,11.682817051079802,1
1,3,1,21.75878141962567,1,0,15.490657115915749,1
1,3,0,40.60076478139642,0,0,4.950039484480949,3
1,2,1,50.289333918249454,0,0,31.670158767157048,1
0,3,0,48.621694414501846,0,0,6.964139205235594,1
1,2,1,43.154700883175295,0,0,18.079868517408446,2
0,1,0,28.181127438021736,0,0,52.011462047293506,1
0,3,0,20.30957873114763,0,0,5.787781470755738,1
0,3,0,30.28476848949126,0,0,8.315806839279935,1
0,1,0,45.47054713894034,1,2,89.31864288860709,1
1,1,1,30.979687208740643,1,0,65.47938729762022,1
0,3,0,33.85918224581521,0,0,8.49347386407772,2
1,3,1,26.778706571212183,0,0,26.73746561383939,3
1,3,1,19.974607636413165,0,0,9.609642995824368,1
1,3,0,38.01492634288191,0,0,6.839430999193717,1
1,2,1,10.931340970706831,4,1,36.922542577778195,1
0,3,1,10.011806299430475,3,2,27.665715491578233,1
1,2,1,37.57373481191852,1,1,203.61197201909033,1
1,3,0,8.743668439604201,1,1,15.056600317669563,1
1,2,1,8.174094648428593,1,1,43.49035286849676,1
1,2,1,19.054340292879917,0,0,16.37008739903728,1
0,1,0,37.52256448324111,1,0,81.2509755774933,1
1,3,0,23.69507643647099,0,0,10.466472172959607,1
0,1,0,28.068214641193553,1,2,102.5271673731092,1
0,3,0,29.84172632411588,1,1,9.152931989510298,1
1,3,1,32.04033424241573,8,2,69.75911693848991,1
1,1,1,58.14686841389262,0,2,29.144723350583394,1
1,3,1,42.51818263463835,1,0,8.778494455271971,1
0,2,0,20.247680676574717,0,0,12.871226145071565,1
1,3,1,26.47453855989614,0,0,12.926382170934826,3
0,3,1,28.083488464565296,1,5,46.49941049855339,1
1,3,1,22.457840657281583,1,0,10.960183905385724,3
0,3,1,69.38019785857942,3,6,34.575274987229285,1
1,1,0,26.839175962877,0,0,61.21534660251725,2
1,1,1,22.770552606015194,1,0,32.46870604827911,1
1,3,1,26.221578453049478,1,5,43.549926869422606,3
1,1,1,24.946335432061808,0,0,48.38400639198956,1
1,2,1,53.91210338642117,0,0,9.237557082163159,1
0,3,1,1.9991121241019272,4,2,40.99493687849123,1
0,1,0,63.68531884699165,0,0,67.26000535830293,2
0,3,0,22.756951573193675,0,0,10.364409682087501,1
0,3,0,41.93218592852179,0,0,8.107277880946848,1
1,3,0,22.299953553547663,1,0,30.03526078250779,1
0,2,0,34.40875844896982,0,0,34.58602947983828,1
1,1,1,39.35583721959353,0,0,45.6776762909154,1
1,3,1,39.10012090988719,1,1,32.112410045388756,1
1,3,1,23.793784363262557,1,0,7.342098083762615,1
1,2,1,15.134664933537788,1,1,47.47018051051906,1
0,3,0,10.513675855108735,1,0,10.911987526429415,1
1,1,1,53.99158209247953,1,1,35.68752504811954,1
1,3,0,45.58418631723187,0,0,10.968114888195371,1
1,3,0,42.82328348392311,0,0,8.341194942705553,1
0,2,0,21.755972866424617,0,1,10.051889778817465,2
