age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,109799,15,2,11,0,4,1,0,0,50,39,1
24,4,31772,9,4,6,3,4,1,6,0,39,38,0
34,4,110696,0,4,10,2,4,1,5,0,40,39,0
55,4,21984,8,2,8,0,4,1,0,0,44,39,1
28,4,174238,2,0,7,1,2,0,4,0,30,38,0
25,4,106326,9,2,13,1,4,1,0,0,20,1,0
45,2,82104,12,2,7,0,4,1,3,1932,29,38,1
29,4,283083,14,2,2,0,4,1,1,0,40,39,0
23,4,122686,10,2,1,0,4,1,7,0,40,38,0
58,6,228491,0,2,2,0,4,1,3,0,39,38,0
25,4,411072,10,4,2,3,4,1,1,0,10,39,0
19,4,92854,11,4,6,3,4,0,1,0,40,39,0
33,4,29788,9,2,12,0,4,1,0,1929,40,39,1
63,4,123804,11,2,7,0,4,1,6,0,50,38,1
32,4,79517,7,2,4,0,4,1,4,0,40,39,1
37,4,335041,15,4,1,3,4,0,0,0,20,39,0
33,4,166607,10,2,0,0,4,1,0,0,58,39,0
35,4,313924,10,4,13,3,4,0,0,0,20,39,0
37,4,557489,9,6,10,4,4,0,0,0,39,39,0
54,4,125195,10,2,4,0,4,1,2,0,50,38,0
35,4,181380,10,4,3,1,4,1,3,0,40,39,0
76,2,278358,5,2,5,0,4,1,0,0,59,38,0
56,4,221632,0,2,3,0,4,1,0,0,40,39,0
31,4,28036,15,4,0,3,2,0,8,0,11,38,0
49,6,189395,11,4,4,1,4,0,0,0,40,38,0
19,4,122998,15,4,7,3,4,1,0,0,40,39,0
18,0,92336,1,4,0,1,4,0,10,0,15,39,0
30,4,182414,10,2,4,3,4,1,2,0,40,9,0
25,4,98721,7,2,3,0,4,1,0,0,40,39,0
43,7,117983,12,2,10,0,4,1,0,0,40,39,1
38,4,143757,7,2,13,0,2,1,0,0,40,39,1
38,4,255605,8,2,4,0,4,1,0,0,45,38,1
30,4,183273,11,4,1,1,4,1,0,0,40,39,0
18,4,171818,9,4,10,3,4,0,5,0,40,39,0
31,4,114381,2,2,3,3,4,1,6,0,50,39,0
43,4,26215,10,4,11,3,4,1,8,0,40,39,0
32,4,440859,0,2,6,0,4,1,3,0,40,39,1
29,4,119692,8,4,11,3,4,1,6,0,39,39,0
38,4,30181,8,0,7,3,4,0,3,0,40,38,0
26,4,218570,0,4,7,3,4,1,0,0,58,39,0
23,4,284806,10,2,12,3,4,1,0,0,40,39,0
51,4,272525,8,2,4,2,4,0,0,0,50,38,0
24,4,242375,14,2,9,0,4,1,0,0,54,39,0
18,7,240947,2,4,0,3,1,1,0,0,40,39,0
58,6,184987,11,0,12,1,4,0,0,0,40,39,0
60,5,20467,6,0,13,1,4,1,0,0,78,39,1
31,4,156025,15,2,13,5,4,0,0,0,39,38,0
