age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,4,154112,11,0,3,4,4,1,5,0,40,38,0
26,4,96274,4,2,6,0,4,1,0,0,20,38,0
48,4,166314,9,2,9,1,4,1,3,0,36,39,1
44,4,204897,11,4,9,1,4,0,1,0,40,39,1
23,4,188988,10,2,3,3,4,1,0,0,59,39,0
19,4,32863,10,4,6,2,4,1,0,0,40,38,0
29,4,228369,15,4,9,4,4,0,4,0,40,39,0
68,4,196064,10,4,6,3,4,1,0,0,33,38,0
63,4,191703,10,3,0,1,2,1,0,0,40,39,0
29,4,145601,15,4,8,3,4,1,10,0,37,39,0
33,4,561273,11,2,7,0,4,1,0,0,45,39,1
59,4,174797,7,5,3,1,2,1,0,0,39,39,0
32,6,98011,5,2,12,0,4,1,0,0,59,38,1
32,4,111311,10,0,14,1,4,0,0,0,40,39,0
49,2,194339,10,2,13,0,4,1,0,0,39,39,0
19,4,280205,10,4,12,3,4,1,10,0,36,39,0
31,4,185304,5,2,3,0,4,1,0,0,45,39,0
26,4,273517,10,2,6,0,4,1,1,1953,40,38,1
41,4,155390,11,0,4,1,4,0,0,0,60,39,0
21,4,295123,14,4,9,1,4,0,0,0,40,38,0
32,7,252309,10,2,1,5,4,1,0,0,40,39,1
44,4,179513,10,5,6,2,4,1,6,0,40,38,0
33,4,415943,11,0,6,4,4,1,0,0,40,39,0
65,4,184992,11,6,4,1,4,0,0,0,57,39,0
37,4,287914,9,0,9,4,4,0,0,0,40,38,0
38,4,84033,9,4,4,1,4,1,10,0,38,38,0
28,4,59653,11,0,1,4,4,0,4,0,40,38,0
26,4,227527,10,2,6,0,4,1,4,0,39,38,0
57,4,356672,15,0,10,4,4,0,1,0,39,39,1
63,4,231366,10,2,10,0,4,1,14678,0,35,38,1
39,4,149383,8,2,2,0,4,1,0,0,76,39,0
35,4,240335,8,4,13,3,4,0,0,0,20,38,0
30,4,124095,15,2,0,0,4,1,0,0,50,39,0
51,4,199380,9,4,0,1,4,1,0,0,50,38,0
39,4,436212,14,0,11,3,4,0,0,0,50,39,0
36,4,146252,10,0,13,1,4,0,7,0,40,39,0
26,4,109543,10,4,7,3,2,0,0,0,40,39,0
51,4,180577,10,2,12,0,4,1,5,0,58,39,1
28,4,417878,10,0,6,3,2,0,4,0,40,39,0
43,4,90888,10,0,8,4,4,0,0,0,33,39,0
31,4,187893,10,2,6,0,4,1,0,0,40,39,0
40,4,119379,15,0,9,1,4,0,0,0,44,38,0
69,4,278119,1,2,6,0,4,1,3,0,58,39,1
56,1,97116,14,2,1,1,2,0,0,0,40,39,1
49,2,108950,11,0,13,1,4,1,0,0,45,39,0
56,4,66173,7,4,10,1,4,0,0,0,38,39,0
46,5,233937,15,2,3,0,4,1,0,1910,50,38,1
25,4,29391,9,4,9,1,4,1,0,0,40,39,0
48,4,143296,11,2,7,0,4,1,5,0,40,39,0
38,6,189379,14,2,3,0,4,1,0,1903,50,38,0
34,4,28840,6,0,7,4,4,1,19,0,58,38,0
58,4,179156,8,0,12,1,4,0,1,0,20,39,0
51,6,118379,11,2,3,0,4,1,1,0,45,39,0
43,2,550756,8,0,10,1,4,1,5,0,61,39,0
36,4,46055,10,2,3,0,2,1,0,0,40,39,0
33,4,225969,9,0,1,1,4,0,0,0,40,38,0
20,4,204406,11,4,12,3,4,0,0,0,20,39,0
19,4,122883,10,4,11,3,4,0,4,0,15,39,0
58,6,121329,14,0,9,1,4,0,0,0,50,39,0
44,4,37335,10,0,0,4,3,0,5,0,40,30,0
51,5,131347,9,2,12,0,4,1,0,0,40,38,1
48,6,112981,5,2,4,0,4,1,9,0,44,39,0
48,4,284252,11,0,1,4,4,0,0,0,40,38,0
48,4,88875,15,0,12,4,4,0,0,0,40,38,0
25,4,153343,11,2,3,0,4,1,0,0,40,39,1
61,4,315970,10,6,5,4,4,0,7,0,32,39,0
31,6,84179,9,2,10,5,4,0,0,0,60,38,0
33,4,199891,10,4,8,4,4,1,0,0,40,39,0
51,6,121833,14,6,4,4,4,1,0,0,33,38,0
44,7,185268,8,2,10,5,2,0,5,0,37,39,1
58,4,334821,14,0,4,1,4,0,4,0,40,21,1
32,2,170676,10,2,11,0,4,1,1,0,40,39,0
25,4,238444,14,4,9,1,4,1,0,0,50,39,0
17,4,190700,9,4,1,2,4,0,8,0,39,39,0
51,2,144433,11,2,10,5,4,0,0,0,50,39,1
28,4,215490,11,2,14,0,4,1,0,0,40,38,0
