age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,0.0,245326,0,10,2,3.0,1,0,1,0,0,40,0.0,0
19,0.0,76004,11,5,2,0.0,4,0,1,0,0,39,0.007405469566881183,0
23,0.0,368768,7,8,1,1.0,3,0,1,7,0,39,0.0,0
22,0.0,173106,2,8,2,1.0,3,0,0,7,0,19,0.0,0
23,0.0,148723,0,9,2,2.0,1,0,1,0,0,13,0.0,0
58,1.0,160728,0,12,0,4.0,2,0,1,0,0,60,0.004927917974710588,0
27,1.0,128391,2,8,0,4.0,2,0,1,0,0,49,0.0,1
51,0.0,178201,2,8,3,2.0,3,0,1,7,0,57,0.0,0
34,0.0,172036,0,9,1,2.0,3,0,1,9,0,40,0.002593115960055311,1
46,5.0,209127,12,6,0,4.0,2,4,1,0,0,40,0.0,1
60,0.0,166042,0,12,5,1.0,3,0,0,3,0,39,0.0081758741648124,0
60,0.0,115297,2,8,0,7.0,2,0,1,0,0,40,0.0,0
30,3.0,249744,2,12,2,1.0,5,0,1,4,0,40,0.0031193598821907327,0
22,5.0,127021,3,8,2,1.0,1,0,1,0,0,36,0.0,0
35,0.0,350564,0,9,3,7.0,4,0,1,0,0,39,0.0,0
27,1.0,224055,5,10,0,4.0,2,0,1,0,1837,40,0.0,1
34,0.0,77725,0,9,1,6.0,3,0,0,0,0,39,0.0,1
35,0.0,148883,5,10,0,2.0,2,0,1,0,0,8,0.005272355766836,0
30,0.0,257815,9,13,0,4.0,2,0,1,2,0,39,0.0013028886003185714,0
46,0.0,233862,2,8,0,11.0,4,0,1,6,0,39,0.0008748238780364071,0
23,0.0,179471,2,6,0,4.0,2,0,1,0,0,32,0.0,0
41,0.0,235794,0,10,5,0.0,3,0,1,6,0,39,0.004972836924660973,0
25,0.0,99713,5,10,2,0.0,3,0,1,0,0,58,0.0,0
42,1.0,39053,3,8,1,10.0,5,1,1,5,0,24,0.0,0
17,2.0,300639,2,6,2,2.0,1,0,1,0,1805,11,0.010293397957060932,0
35,0.0,226534,0,12,0,4.0,2,0,1,0,0,32,28.78603187563653,1
19,0.0,112064,2,8,2,6.0,3,0,1,0,0,39,0.0,0
58,2.0,147682,0,9,0,0.0,2,0,1,0,0,44,0.0,1
41,0.0,327988,0,9,1,5.0,3,4,0,0,0,39,0.0,0
34,5.0,185750,0,12,1,5.0,1,0,0,7,0,39,0.0,0
46,0.0,243644,0,9,2,8.0,3,0,1,2,0,44,0.0,0
26,0.0,172262,2,8,2,5.0,3,0,1,0,0,39,0.0,0
38,0.0,196563,2,8,0,2.0,2,0,1,0,0,33,0.0005955939751334763,0
57,1.0,123270,2,8,0,0.0,2,0,1,0,0,40,0.007672808055822884,0
46,0.0,44767,0,13,0,4.0,2,1,1,11,0,33,0.004657743034873343,1
31,0.0,123663,2,8,3,0.0,2,0,1,0,0,56,0.0,0
34,0.0,113523,2,8,1,7.0,3,0,0,5,0,32,0.0,0
19,0.0,131454,0,13,2,7.0,3,0,0,0,0,23,0.0,0
31,0.0,290474,0,10,0,7.0,2,0,1,4,0,58,0.0,0
46,1.0,197153,1,10,2,1.0,3,0,1,0,0,39,0.0,0
40,0.0,55501,1,9,2,7.0,3,0,1,0,0,36,0.0,0
60,0.0,240408,3,8,0,1.0,0,0,0,13,0,39,0.0,1
31,0.0,128321,0,9,0,9.0,2,0,1,1,0,59,0.0,0
46,1.0,178200,0,13,0,2.0,2,0,1,0,0,39,0.0,0
45,4.0,176646,0,12,0,5.0,2,0,1,5,0,39,0.0,1
46,0.0,297955,1,10,2,8.0,3,0,1,2,0,39,0.0,0
60,0.0,35815,1,9,1,3.0,3,0,0,0,0,49,0.0030533829771740716,0
65,2.0,166230,2,8,0,8.0,0,0,1,0,0,19,0.0016643421057804305,1
48,0.0,177140,0,13,1,5.0,5,0,1,15095,0,44,0.0,1
49,0.0,118186,1,10,1,0.0,1,0,0,16,0,39,30.596367589034934,0
25,0.0,352357,0,12,2,11.0,3,0,1,0,0,49,0.0,0
27,0.0,191608,3,8,2,6.0,1,0,1,0,0,39,0.0,0
23,5.0,254916,0,12,2,3.0,1,0,0,2,0,20,0.0,0
41,0.0,157891,4,9,5,5.0,5,0,0,0,0,40,0.003845777549637766,0
32,3.0,282949,0,9,0,8.0,2,4,1,0,0,40,0.0,0
45,0.0,136533,2,8,2,1.0,3,0,1,0,0,24,0.0,0
52,0.0,218676,0,9,0,0.0,2,4,1,7674,0,50,0.0,1
23,0.0,203115,5,10,2,1.0,1,0,0,1,0,39,0.0,0
21,0.0,163450,0,9,2,2.0,1,0,1,5,0,19,0.0,0
40,0.0,193301,0,10,2,9.0,3,0,1,5,0,49,0.0,0
22,0.0,205344,2,8,2,7.0,1,0,0,0,0,40,0.0,0
23,0.0,291860,0,12,2,8.0,1,0,0,10,0,40,0.012664005676217218,0
40,0.0,176350,2,9,0,2.0,2,0,1,0,0,49,0.0012451603667814983,1
61,0.0,49271,0,9,0,4.0,2,0,1,11,0,39,0.00023336249335053467,1
27,4.0,157243,9,14,0,4.0,0,0,0,8,0,39,0.0,1
23,0.0,370290,0,10,2,0.0,1,4,0,0,0,20,0.0,0
52,1.0,247249,9,12,0,4.0,2,0,1,3,0,57,0.0,1
32,0.0,206490,2,8,0,2.0,2,0,1,0,0,35,0.003107145889260964,0
26,4.0,208739,0,10,0,10.0,0,0,0,1,0,40,0.0,0
39,0.0,87848,2,8,2,3.0,3,0,0,4,0,39,0.008500525617515636,0
31,0.0,200332,2,8,0,7.0,2,0,1,0,0,33,0.0001508119172690026,0
18,0.0,199955,3,8,2,8.0,3,0,0,9,0,40,0.004006592297400515,0
37,5.0,130173,4,9,2,9.0,4,0,1,0,0,40,0.0,0
23,0.0,75192,0,12,0,9.0,2,0,1,5,0,49,0.0,1
35,0.0,159399,3,8,0,4.0,2,0,1,0,0,57,0.0,1
30,0.0,172281,0,8,2,7.0,4,0,1,0,0,40,15.195643496948586,0
27,0.0,86224,0,9,1,0.0,5,0,1,0,0,54,0.002675598934805175,0
28,0.0,142010,2,8,1,6.0,5,0,1,0,0,39,0.0037676592085839704,0
22,0.0,458491,4,11,2,2.0,3,0,1,0,0,34,0.0,0
59,3.0,109855,2,8,1,9.0,5,0,1,7,0,34,0.0003807508966851809,0
