age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,0.0,186624,1,9,0,1.0,2,0,1,0,0,58,0.004900856497785761,0
46,0.0,183795,1,9,4,1.0,5,0,0,0,0,40,0.0,0
60,4.0,196540,1,10,0,1.0,5,0,1,0,0,36,0.009561349276338147,0
39,0.0,214790,3,9,0,0.0,2,0,1,0,0,40,0.00041858601248643336,0
18,0.0,115303,0,10,2,2.0,1,0,1,0,0,50,0.013392382130428966,0
54,0.0,243680,3,8,1,5.0,3,0,1,2,0,40,0.00022832920176161104,0
54,0.0,29113,3,9,3,9.0,3,0,1,0,0,14,0.0007021126672503138,0
28,4.0,180408,12,6,0,0.0,2,0,1,0,0,40,0.006698483183821581,0
51,0.0,244989,3,8,0,6.0,2,0,1,0,0,40,0.006701099720011615,0
64,2.0,194975,4,15,4,9.0,3,0,1,0,0,25,0.004885063530158856,1
36,0.0,468700,2,8,0,0.0,2,0,1,0,0,45,0.004107142437089014,0
35,0.0,242131,3,8,0,6.0,2,4,1,0,0,35,0.0,0
64,0.0,177329,0,12,0,3.0,2,0,1,2,0,13,0.005856086190867916,0
23,0.0,87086,3,8,0,2.0,3,0,1,0,0,40,0.006948621450490242,0
42,4.0,410530,1,10,1,7.0,5,0,0,0,0,36,19.5532957493346,0
23,0.0,197481,1,10,2,7.0,3,0,0,0,0,40,0.009788120732869091,0
35,4.0,201401,5,12,0,4.0,2,0,1,0,0,40,0.0,1
30,0.0,242615,0,9,0,1.0,2,0,1,0,0,34,0.005923081385745459,0
31,0.0,448308,0,9,0,5.0,2,0,1,0,0,40,0.005262775763644321,0
34,0.0,277424,1,10,1,6.0,3,0,1,0,0,24,0.00578396164755304,0
50,0.0,28727,2,8,1,9.0,3,0,1,3,0,40,0.006809092800600505,0
24,0.0,179160,11,5,3,9.0,1,0,1,0,0,40,0.011131535286943266,0
18,0.0,269934,1,10,2,7.0,3,0,0,0,0,40,0.006678260505697998,0
45,0.0,121128,3,8,2,2.0,3,0,0,6,0,34,0.0,0
40,0.0,190587,0,10,0,4.0,2,0,1,0,0,50,0.0,0
26,0.0,180027,5,10,2,7.0,3,0,0,0,0,40,0.0033866460104882657,0
27,0.0,112777,0,12,5,6.0,4,0,0,0,0,37,0.0013281645792772424,0
60,0.0,95789,12,9,1,0.0,3,0,1,0,0,39,0.0043833627873001435,0
31,1.0,231356,11,3,0,0.0,2,0,1,0,0,49,20.060753476780793,0
46,0.0,140717,3,9,0,0.0,5,4,1,0,0,25,0.004395525416931347,0
18,0.0,110888,9,7,2,0.0,1,0,1,0,0,20,0.01671280395604195,0
45,0.0,89373,2,8,0,0.0,2,0,1,4,0,45,0.009818537779075933,1
30,1.0,353596,0,7,3,2.0,3,4,1,0,0,39,0.0,0
27,3.0,162785,1,9,1,7.0,5,0,0,0,0,40,0.008013187648688818,0
18,0.0,346375,3,8,2,8.0,1,0,0,0,0,40,0.001079929435021816,0
35,0.0,237796,3,8,2,6.0,3,0,1,0,0,40,0.006023397897226405,0
27,0.0,111433,3,4,0,5.0,2,0,1,0,0,33,0.0017062635335203542,0
27,0.0,38548,7,4,0,9.0,2,0,1,0,0,40,0.0048075069440160715,0
19,0.0,463878,3,8,2,7.0,1,0,1,0,0,40,0.004188948214174295,0
39,3.0,102123,3,8,1,8.0,5,0,0,2,0,40,0.0014611451566090736,0
18,0.0,163638,0,13,2,1.0,3,0,1,0,0,18,0.003287675915571659,0
27,0.0,122274,1,6,2,1.0,3,0,0,0,0,13,0.006996411758432283,0
46,0.0,99175,3,8,0,0.0,3,0,1,0,0,40,0.0,1
31,0.0,94577,3,8,0,2.0,4,4,1,0,0,40,0.0,0
55,5.0,47919,1,10,3,1.0,3,4,1,0,0,24,0.0,0
23,0.0,354447,0,13,2,1.0,3,4,1,0,0,45,0.007223933717529645,0
35,2.0,327777,4,15,0,5.0,2,0,1,3,0,60,0.0033087528202043956,1
53,1.0,164432,3,8,1,2.0,3,0,1,0,0,50,0.008666874885367023,0
46,0.0,117207,10,13,0,4.0,1,0,1,0,0,39,0.0,1
41,0.0,247976,0,11,2,4.0,3,0,1,0,0,37,0.004091803760384373,0
40,5.0,352519,9,13,2,4.0,3,4,0,2,0,40,0.005931753804438212,1
23,0.0,191684,5,9,1,6.0,3,0,1,0,0,40,0.0011397576420605579,0
35,0.0,314293,9,7,0,1.0,5,4,1,0,0,35,0.00014597173672250142,0
27,0.0,203368,0,4,2,5.0,4,0,0,0,0,12,20.0076423076534,0
39,0.0,160458,5,10,1,8.0,3,0,0,0,0,45,0.0,0
36,0.0,116006,0,12,0,4.0,2,1,1,0,0,16,0.0004747036575425152,0
22,0.0,46748,2,9,2,7.0,5,0,1,0,0,39,0.015193223261343947,0
26,0.0,189182,1,10,2,7.0,1,0,0,0,0,40,0.0,0
40,0.0,196821,2,8,3,7.0,5,0,0,0,0,40,0.005811135824531029,0
40,0.0,184106,3,8,1,7.0,1,0,1,0,0,48,0.008603966314098651,0
