age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,0.0,186173,8,4,0,2.0,2,0,1,0,0,40,0.003458811943645675,0
45,0.0,109346,1,9,1,3.0,3,0,1,0,0,44,0.0016228115128487665,0
23,0.0,165677,1,9,0,0.0,2,0,1,2,0,40,0.008643566918619896,0
40,0.0,182404,10,13,1,10.0,3,0,1,0,1849,73,0.013506474478054316,0
35,1.0,122426,0,10,3,4.0,3,0,1,0,0,33,0.0,0
34,0.0,349649,0,10,2,5.0,1,0,1,6,0,40,0.0,0
26,1.0,110992,1,7,2,4.0,3,0,1,1,0,40,0.0,0
27,0.0,88067,6,4,2,6.0,3,0,1,0,0,35,0.008960678937235629,0
30,0.0,328893,1,9,0,2.0,2,0,1,0,0,50,0.01323605718323549,0
39,0.0,284294,0,12,0,4.0,2,0,1,0,0,40,0.0,0
28,0.0,192001,2,8,1,7.0,3,0,0,0,0,40,0.0035422663330130703,0
51,4.0,41776,9,13,0,0.0,3,0,1,0,0,40,0.002402195587250325,0
65,0.0,23497,2,8,0,1.0,2,0,1,0,0,40,0.005688711651736424,0
35,0.0,160341,1,10,1,7.0,3,0,0,0,0,25,0.0,0
30,0.0,202847,0,9,0,0.0,2,0,1,0,0,59,0.007252443838943141,0
19,0.0,290617,2,8,1,7.0,3,0,1,0,0,35,0.007333018392881254,0
27,0.0,120846,1,9,1,3.0,1,0,1,4,0,36,0.0005237565426841255,0
23,0.0,203164,1,10,0,1.0,2,0,1,0,0,40,0.004976781925194488,0
46,3.0,209345,0,9,0,10.0,2,4,1,0,0,40,0.0,1
27,0.0,200631,0,13,2,6.0,1,0,1,0,0,11,0.010817732461038997,0
23,0.0,201963,3,10,3,0.0,3,0,0,0,0,39,0.0019154199966755201,0
31,0.0,356808,3,8,1,1.0,3,0,0,0,0,31,0.005329373516298984,0
35,0.0,187588,3,8,0,6.0,2,0,1,0,0,14,0.008899262394989668,0
53,1.0,93096,1,6,0,2.0,2,0,1,0,0,36,0.009140131331622052,1
35,0.0,186871,8,8,2,0.0,1,0,0,0,0,35,0.00708623918620422,0
56,0.0,51910,3,9,1,2.0,3,0,1,0,0,11,0.0013901881309909606,0
58,0.0,179313,1,10,1,7.0,5,0,0,0,0,40,0.001516495468891682,0
32,5.0,181238,0,12,3,4.0,3,4,0,0,0,40,0.005367989242037052,1
46,0.0,89245,3,9,1,1.0,3,0,0,0,0,40,0.0029574116511499314,0
31,0.0,124023,3,8,0,0.0,3,0,1,0,0,39,0.0,0
51,0.0,196697,3,8,0,9.0,2,0,1,0,0,6,0.012737215830221194,0
36,0.0,41596,1,9,2,0.0,3,0,1,0,0,59,0.003951135393806563,0
45,0.0,64107,3,4,2,1.0,3,0,1,0,0,40,0.010585593290471552,0
27,2.0,192548,1,9,0,0.0,2,0,1,0,0,40,0.002042423980480087,1
35,0.0,234248,2,8,2,4.0,3,0,1,0,0,39,0.006788269221750985,0
51,0.0,181547,5,11,1,3.0,3,0,0,0,0,40,0.004935787530192753,0
61,0.0,115587,3,8,4,1.0,5,0,0,0,0,40,0.004026621490477073,0
27,0.0,108362,4,12,5,8.0,5,4,0,0,0,36,0.0,0
54,2.0,106895,5,13,0,4.0,2,0,1,0,1,49,0.0008417322625922442,1
35,0.0,235038,2,6,3,1.0,5,4,0,0,0,58,0.008812625974475217,0
19,0.0,116119,8,8,2,0.0,3,0,1,0,0,40,0.009284536004165905,0
19,4.0,103974,2,6,4,7.0,3,0,0,0,0,40,0.0007124803241321314,0
18,0.0,76009,1,6,2,5.0,1,0,1,0,0,10,0.009306505533113518,0
27,0.0,124622,2,9,0,0.0,1,0,1,0,0,45,0.01017991000087113,0
52,0.0,316577,2,9,0,0.0,2,0,1,8,0,40,0.0,1
48,0.0,343578,1,4,2,7.0,1,0,1,0,0,40,0.0,0
28,0.0,277050,3,8,0,0.0,3,0,1,0,0,60,0.006712153800004846,0
36,0.0,108107,0,13,2,4.0,3,0,1,0,0,13,0.0,0
36,0.0,426798,0,13,0,0.0,2,0,1,0,0,56,0.0030468897586243423,0
60,0.0,231778,1,9,0,0.0,3,0,1,0,0,39,0.0022946233865059917,1
36,0.0,277669,3,8,4,2.0,5,0,0,0,0,44,0.01063611881873041,0
31,0.0,240825,2,4,2,2.0,3,0,1,3,0,32,0.006561885732659692,0
40,0.0,196376,1,10,1,7.0,5,4,0,0,0,40,0.0002490919113622847,0
30,1.0,137849,0,13,0,8.0,2,0,1,0,0,59,0.008869139565735774,0
44,0.0,113499,0,13,0,3.0,2,0,1,0,0,49,0.0,1
33,5.0,92779,1,6,3,10.0,1,0,0,0,0,37,0.004492735695531081,0
30,0.0,222835,0,12,2,7.0,5,0,0,0,0,40,0.002894197642790576,0
45,0.0,24469,5,10,0,0.0,2,0,1,0,0,40,0.008802525855551462,1
54,0.0,56822,3,8,0,1.0,4,0,0,0,0,14,0.01374345675887097,0
44,4.0,98279,0,10,1,10.0,3,0,1,0,0,40,0.0024274999905586877,0
27,0.0,192792,1,12,2,6.0,1,0,0,0,0,8,0.009279979132104817,0
32,1.0,201709,0,12,0,10.0,2,0,1,0,0,49,0.0,1
39,4.0,126908,9,14,0,4.0,2,0,1,7554,0,50,0.003913048510574599,1
38,1.0,80367,2,9,1,10.0,5,0,1,0,0,40,0.0010752503881243341,0
39,0.0,77341,3,8,0,2.0,2,0,1,0,0,40,0.014840806205720015,0
32,0.0,128601,9,14,0,0.0,2,0,1,0,0,58,0.0145272995914599,0
66,5.0,200757,1,9,0,3.0,0,0,0,0,0,50,0.000977977713090299,1
62,5.0,291097,0,12,2,3.0,3,0,1,0,0,72,0.0,0
30,0.0,353559,0,13,0,2.0,1,0,1,0,0,60,0.0006808522510265859,0
40,2.0,285048,0,12,1,4.0,3,0,1,0,0,50,0.010666902888119235,1
31,0.0,113405,4,10,0,1.0,2,0,0,1,0,40,0.005012461964149495,1
51,4.0,51736,2,9,1,8.0,3,0,0,0,0,40,0.0,0
45,0.0,350126,9,13,1,3.0,3,0,0,0,0,50,0.00031539917152648524,0
36,0.0,84120,3,8,0,5.0,1,0,1,0,0,50,0.010138397484828523,0
32,0.0,128978,11,8,0,10.0,2,0,1,0,0,40,0.007075356649654743,0
28,0.0,200747,0,12,1,3.0,3,0,1,2,1814,44,0.004148275213793195,1
54,0.0,123267,0,12,1,3.0,3,0,1,0,0,40,0.005034502304634937,0
46,0.0,188610,1,10,2,0.0,3,0,0,0,0,25,0.0,0
26,0.0,171570,3,9,0,1.0,2,0,1,0,0,40,0.0,0
28,0.0,24419,3,9,1,9.0,3,0,1,0,0,40,0.0,0
46,4.0,184623,6,9,1,0.0,5,0,1,0,0,40,0.0,1
27,0.0,127008,0,13,0,4.0,2,0,1,0,1873,49,0.008438162594292222,1
34,0.0,342582,3,8,2,7.0,3,0,0,0,0,50,0.0006817438779958599,0
40,1.0,342490,1,10,2,10.0,1,0,1,0,0,50,0.0,0
56,0.0,130326,2,6,0,0.0,2,0,1,0,0,60,0.006407662691324991,0
53,4.0,295759,0,12,1,7.0,5,0,0,0,0,40,0.005840274772347351,0
45,5.0,264174,9,14,1,10.0,1,0,1,0,0,40,0.0,0
35,0.0,120510,0,9,0,2.0,2,0,1,0,0,40,0.003695763306748631,1
31,0.0,348241,0,10,0,0.0,2,0,1,0,0,56,0.0,0
52,0.0,160794,8,4,4,0.0,3,0,1,0,0,40,0.01795943908481698,0
40,0.0,164795,0,13,0,3.0,2,0,1,0,0,36,0.012088715788025308,0
22,0.0,179409,1,10,2,2.0,3,0,1,0,0,35,0.009021380382684087,0
27,0.0,108221,3,8,0,0.0,2,0,1,0,0,40,0.01261781361460433,0
27,5.0,481382,0,13,2,8.0,4,0,0,0,0,39,0.0,0
32,0.0,121926,0,12,0,0.0,2,0,1,0,0,11,0.009411792316408086,0
31,0.0,152864,8,4,2,0.0,3,0,1,0,0,39,0.005256767753730556,0
23,2.0,298295,1,10,2,9.0,1,0,1,0,0,40,0.004614926489454534,0
35,0.0,290303,2,8,0,2.0,2,0,1,9,0,60,0.0,0
62,4.0,184136,1,9,3,8.0,4,0,1,0,0,14,0.0,0
19,0.0,222392,6,10,2,1.0,3,0,0,0,0,45,0.003409353575182258,0
65,0.0,169209,0,12,0,3.0,2,0,1,0,0,15,0.012627692322804172,1
41,0.0,118200,3,9,0,10.0,2,0,1,0,0,40,0.010214932789073617,0
46,1.0,229314,9,13,0,2.0,2,0,1,1,0,49,0.0,1
39,4.0,464412,2,12,1,3.0,3,4,0,0,0,60,0.004907237016282327,0
46,0.0,286894,1,9,1,0.0,3,0,0,0,0,40,0.009079004019601022,1
46,0.0,158840,1,9,0,1.0,3,4,0,0,0,50,0.00722980808313258,0
52,0.0,288941,3,8,0,0.0,2,0,1,4,0,39,0.002450497284150414,1
34,0.0,46727,0,10,2,9.0,1,0,1,0,0,40,0.0010543032007541157,0
60,0.0,116241,6,4,5,2.0,3,0,0,0,0,40,0.0,0
52,1.0,205759,1,9,1,7.0,1,0,1,0,0,40,15.392781591849596,0
35,0.0,202321,0,12,1,4.0,3,0,0,0,0,57,0.0017973341525866985,1
35,0.0,414998,1,9,3,0.0,0,0,0,1,0,40,0.0,0
51,0.0,183487,0,13,0,10.0,2,0,1,0,0,39,0.00696922710932546,1
36,2.0,189378,3,8,0,0.0,2,0,1,0,0,40,0.005435090155548536,0
45,4.0,168373,3,8,2,8.0,3,0,0,0,0,40,0.00542064958855959,0
34,0.0,293867,11,3,0,0.0,2,0,1,0,0,36,0.008186281466181944,0
23,0.0,128592,5,10,0,3.0,2,0,1,2,0,40,0.011535293699529485,0
59,0.0,113420,3,8,0,9.0,2,0,1,2,0,48,0.010425521315846798,0
31,4.0,232349,1,10,0,2.0,2,0,1,8,0,40,0.0,1
38,0.0,84527,0,13,0,4.0,2,0,1,0,0,73,0.0011515264448466918,1
31,0.0,186715,3,8,0,0.0,2,0,1,0,0,48,0.002867548318936278,0
27,3.0,454083,3,8,0,10.0,1,0,1,0,0,40,0.0,0
64,0.0,379444,0,12,0,3.0,2,0,1,0,0,16,0.001938378393788721,0
30,0.0,280530,1,10,2,8.0,1,0,1,0,0,70,0.0038978701571756743,0
35,3.0,236866,1,9,1,1.0,3,0,1,0,0,50,0.007613682416427507,0
34,1.0,117779,0,13,0,0.0,2,0,1,7511,0,40,0.007802754707829737,1
30,0.0,87247,3,9,0,0.0,2,0,1,0,0,40,0.004168376714425988,0
39,1.0,42822,5,12,0,1.0,2,0,1,0,0,40,0.0,0
63,4.0,347361,11,3,1,2.0,3,0,0,0,0,40,0.0049786075663211735,0
41,0.0,98645,2,8,0,2.0,2,0,1,0,0,45,0.0,1
39,0.0,290175,2,9,0,0.0,2,0,0,0,0,38,1.4510132327891356e-05,0
31,0.0,201798,6,10,2,3.0,1,0,1,0,0,59,0.0,0
54,0.0,163173,1,12,0,0.0,0,0,1,0,0,16,0.004418208047985259,0
40,0.0,123924,3,8,0,6.0,2,0,1,0,0,40,0.011391337832507077,0
35,0.0,121298,2,8,2,5.0,3,0,1,0,0,60,0.0029615606088593044,0
34,0.0,445217,3,8,0,6.0,2,0,1,3597,0,40,0.00456818389306867,1
45,0.0,192975,11,2,0,0.0,4,0,1,0,0,40,19.98488232366899,0
39,0.0,193772,3,9,1,3.0,3,4,0,0,0,40,0.015041559907499896,0
31,0.0,82059,0,12,0,0.0,2,0,1,0,0,58,0.0025851970359657864,1
22,0.0,179623,2,9,2,1.0,1,0,0,0,0,40,0.008805860979248611,0
23,0.0,275893,5,11,1,7.0,3,0,0,0,0,44,0.009406073536719253,0
35,0.0,287264,0,8,2,1.0,3,0,1,0,0,45,0.001718928326662776,0
27,0.0,161409,0,10,0,8.0,2,0,1,0,0,40,0.0030744720992904474,0
41,0.0,201732,0,13,0,2.0,2,0,1,0,0,50,0.0012898117787738216,1
52,4.0,229355,6,10,1,0.0,3,0,1,3,0,39,0.0031247211134808133,1
23,0.0,99184,0,12,1,1.0,3,0,0,0,0,66,0.0013089322653376519,0
30,0.0,165708,0,10,0,7.0,2,0,1,0,0,56,0.008566076157286922,1
62,0.0,174694,5,10,3,2.0,3,0,1,11,0,40,15.393822106287416,0
42,0.0,250990,9,10,1,4.0,3,4,1,0,0,39,0.0024078211151252575,1
29,0.0,45330,9,13,0,5.0,2,0,1,0,0,60,0.014135424551735986,0
62,4.0,182081,0,12,0,5.0,3,0,0,0,1,50,0.00482463535740568,0
51,1.0,155505,1,9,0,0.0,2,0,1,2,0,49,0.0037180390207964317,1
63,0.0,338837,6,4,2,6.0,3,0,1,0,0,50,0.005638833400774053,0
53,0.0,189480,1,8,1,1.0,3,0,0,0,0,40,0.01507403447768617,0
30,0.0,181862,2,8,0,5.0,2,0,1,0,0,25,0.006377005284827774,0
31,0.0,132012,9,10,0,4.0,2,0,1,0,0,45,0.006818336199651099,1
27,0.0,413279,3,8,1,0.0,5,0,1,0,0,39,0.017672185598870287,0
61,0.0,115289,1,4,1,9.0,3,4,1,0,0,24,0.0,0
40,1.0,243302,2,6,1,8.0,5,4,1,0,0,72,0.0,0
19,1.0,417110,3,8,2,1.0,3,0,0,0,0,49,0.0,0
60,0.0,130088,3,9,0,9.0,2,0,1,0,0,40,0.009183764204417091,0
44,0.0,109746,5,11,1,7.0,1,0,0,1,0,13,0.002300463343685615,0
18,4.0,179201,0,9,2,2.0,1,4,0,0,0,20,0.01164246945539654,0
