age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,4,141142,8,3,11,1,4,1,0,0,39,38,0
36,4,254747,11,4,6,3,4,1,3,0,39,38,0
66,0,123170,15,2,0,0,4,1,0,1,49,38,0
44,4,234536,5,0,7,1,4,1,5,0,40,39,0
18,4,201710,0,4,12,3,4,1,2,0,20,39,0
39,4,49648,9,2,8,3,4,1,0,0,39,39,1
36,1,337860,8,4,4,1,4,0,0,0,40,38,0
56,4,36079,15,4,0,1,4,1,25,0,39,39,0
35,4,193721,1,4,9,0,4,1,31,0,36,38,0
39,1,181389,12,2,9,1,4,1,3524,0,22,39,0
33,4,206429,8,2,9,5,4,0,5,0,40,39,1
40,4,197382,1,0,1,4,4,0,0,0,39,39,0
45,4,41281,14,2,11,0,4,1,6,0,57,39,0
34,4,264129,0,4,2,1,4,1,3,0,39,38,0
48,6,477597,10,2,5,0,4,1,0,0,43,38,0
34,4,193648,9,4,13,1,4,0,3199,0,58,39,1
18,4,41561,15,4,10,1,4,0,1,0,50,39,0
28,4,152511,11,2,6,0,4,1,0,0,40,39,0
29,4,202127,8,2,9,0,4,1,2,0,40,16,1
32,4,99490,15,2,2,0,4,1,0,0,39,38,0
45,6,38533,11,0,1,5,4,0,4,0,39,38,0
29,4,159446,10,2,4,0,4,1,3410,0,49,39,0
18,2,197822,11,4,3,1,4,1,17,0,29,38,0
42,4,309525,11,5,0,5,4,0,15,0,39,39,1
40,4,43045,11,2,3,0,4,1,14,0,40,39,0
29,4,347634,11,4,11,1,4,1,3,0,49,38,0
35,4,315399,0,2,2,0,4,1,2,0,40,39,1
49,7,182533,12,2,10,0,4,1,3181,0,34,39,1
48,2,192763,5,0,2,1,4,1,5,0,39,38,0
28,4,251796,10,0,11,1,4,0,16,0,40,39,0
28,6,305560,7,2,9,0,4,1,0,0,40,38,0
39,4,101269,5,4,6,4,2,0,10,0,30,39,0
40,4,207443,15,2,6,0,4,1,0,0,49,2,0
21,4,104840,0,4,0,3,4,0,19,0,39,38,0
29,4,187810,0,4,0,3,4,0,2,0,21,38,0
58,4,189743,10,2,13,0,2,1,3432,0,44,38,0
18,4,91184,11,4,7,3,4,0,30,0,39,38,0
