Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,1,36.68120354826602,0,0,8.311211419649114,1
1,3,0,27.7600067466076,0,0,9.584928389658447,1
1,3,1,28.12094522698188,0,1,9.649287958488358,2
0,3,0,28.19665287079036,0,0,56.256778824761426,1
0,3,0,22.723302014840005,0,0,8.26147104890891,1
1,2,1,31.662080813658655,0,0,30.08953620340179,1
0,3,0,28.578392213844964,0,0,9.836646307150083,1
0,1,1,43.058159761711636,0,0,63.93315554777513,2
1,3,0,27.56341163092084,0,0,9.818680410693545,1
0,2,1,28.06760536654821,0,0,8.906227376735501,1
0,3,0,21.53689988159837,0,0,7.8831841346039635,1
1,1,1,8.229877629051273,1,0,60.20694638299657,1
0,1,0,37.37755594682009,0,0,26.085924123910637,2
0,3,0,28.17415909158923,0,0,6.404900749741573,2
1,3,1,28.205294954598006,1,0,12.031683699505162,1
1,2,1,21.43999283239255,0,2,11.456711116677095,1
1,3,1,46.106192829873876,0,2,60.77030951753411,1
0,3,1,28.25066758547403,0,0,9.9958688159846,3
1,1,1,21.407913177729927,1,2,10.365091415204686,1
1,3,0,28.754992371291415,0,0,20.934227917413047,1
0,3,1,23.64903807791603,0,0,9.454977605513697,1
1,2,0,28.4045154541851,0,0,25.09516880439814,1
0,3,1,21.751164090424925,2,0,8.457176786367665,1
0,1,0,8.242141176136954,0,0,59.405652266320985,1
0,3,0,28.327822703393398,0,0,9.315180017844192,1
0,1,0,47.03428563261315,0,0,61.61746858298223,1
0,3,0,19.82034313320378,0,0,57.32432907163884,1
0,3,0,21.425568849520825,0,0,5.285255498734891,3
0,3,0,48.90891345254752,0,0,7.9049716109778725,1
0,3,0,21.125942453226177,1,0,7.495036660025466,1
0,3,1,28.24240948695541,0,0,68.07828371824328,1
1,3,0,28.384100027244603,0,0,8.861278655282506,2
0,1,0,33.58284147450246,0,1,8.151242761773817,1
0,3,1,28.588844366169976,0,0,25.411431011176305,2
0,3,0,34.66179740029989,0,0,7.966398058224323,1
0,3,0,33.54090182999033,1,0,9.671724920392485,2
0,1,0,29.09830106122502,1,4,70.36509290977062,1
0,3,0,28.97719762898276,0,0,10.026182971803143,2
1,3,1,27.73649035516297,0,0,13.1262997807629,1
0,2,0,37.45922208682016,0,0,11.433238897396823,1
0,3,0,27.18069257760537,0,0,7.063524069394178,1
0,3,0,34.97173406169075,0,0,5.790096373132021,1
1,1,0,32.82695319178417,1,0,57.868497145839605,1
1,3,0,42.35717487236282,0,0,9.84026951892453,1
1,3,0,28.490176329217288,1,0,10.783429223047454,1
0,3,0,27.136177463697077,0,0,64.8401524776744,1
1,3,1,20.312059411169727,0,0,7.938535525966335,1
0,2,0,21.03752634835928,0,0,28.46001619975813,1
0,3,1,27.962706990045515,0,1,9.334944121831413,1
1,1,1,19.637818389440586,4,1,167.74379759229288,1
0,3,0,26.871913544214294,0,0,23.935712305329368,2
1,1,1,33.28075913204588,0,0,8.301318848252118,3
0,3,0,50.71799129076936,0,0,8.374917210118523,1
0,3,1,50.99333175533808,1,0,9.375506571080885,2
0,1,1,22.893006999853263,0,0,5.9208290451142656,1
1,3,1,39.29957065946334,0,0,56.128733276531,1
0,3,0,28.58046932211536,1,0,26.334906328359764,2
0,3,0,27.887620575622165,0,0,9.25788744801077,2
0,3,0,27.70996509630656,0,0,61.17046411814772,1
0,3,0,28.078000361964644,0,0,8.181912190651385,1
0,1,0,27.62774315388245,0,0,75.73272383672396,3
0,3,0,20.620025252350988,0,0,9.044364448421119,1
0,3,0,46.44954793385249,0,0,7.951644333073267,1
0,2,0,35.48651925216801,0,0,11.13644524581303,1
0,3,0,28.23602509907655,1,0,9.149244073816847,1
0,3,0,34.83432326850392,1,0,9.02409050585436,1
0,3,0,21.69653626493769,0,0,8.362865652281602,1
0,3,0,27.807414775493122,0,0,10.234306504597766,1
1,2,1,6.946482427689385,3,0,26.29710450195296,1
0,2,0,32.905212653907746,0,0,29.116570295930345,1
1,3,0,27.74992649509502,0,0,9.404981297413423,1
0,3,0,28.162586433352008,0,0,8.16968570588792,1
0,3,0,22.331747827948437,0,0,8.818725159839902,1
1,3,1,27.935790867365824,0,0,8.034820196224018,3
1,2,1,28.119101429603163,1,0,10.122383203270637,1
0,1,0,32.717958109502405,0,0,49.2116962804665,2
0,3,0,35.86203652584105,0,0,7.831727387918086,1
0,3,0,31.664099052469105,0,0,7.875357036837459,1
0,3,0,36.681491574382605,0,0,9.150268965386287,2
1,3,0,46.93278913363203,0,0,76.70744612959031,2
1,3,0,2.9076442003250422,1,2,14.160995827996787,1
0,1,0,36.694670498120786,0,0,25.574363888818574,1
0,1,0,21.58663885695023,0,0,65.25166254519291,1
1,3,0,28.94967404182672,1,0,10.253272150028755,2
0,3,0,22.34455882934235,0,0,8.34672599671902,1
1,3,0,18.396064713828277,0,0,9.992991406673811,1
1,2,0,5.003359528561911,0,0,25.54123718957606,2
1,2,1,6.032172786233947,0,0,8.321483461489787,1
0,3,1,20.535947336756998,0,0,8.40846726202203,2
0,1,0,36.74040235410773,0,0,61.14626763623634,1
1,1,0,44.14580787818052,0,1,10.33602323565363,1
1,3,0,28.26480921422238,0,0,25.04327269596403,1
0,1,1,27.939951303857804,1,0,27.545759872913788,1
0,3,0,48.38899244738755,0,0,9.674883687313873,3
0,3,0,44.904155318207344,0,0,9.657964942130233,1
0,3,0,49.41465687797358,0,0,6.659332216455163,1
0,3,0,35.23234966169765,1,0,23.43564035897743,1
1,3,0,20.81516451748947,0,0,7.656123816800672,3
0,3,0,7.618714832073203,1,0,12.892989858233118,1
0,3,0,19.409823095468987,1,0,26.195217967268846,1
1,2,0,28.38782242236758,0,0,9.514130815989812,1
1,3,1,27.285880879622663,0,0,63.7846038849663,3
0,3,0,28.40765984335684,0,0,8.297167484447836,1
0,3,0,23.32971299164885,0,0,10.547814877713751,3
1,3,0,33.61089951248256,0,0,11.252334712732225,1
0,1,0,33.43529663847218,0,0,64.55819606929197,1
0,3,0,27.87757254241136,0,0,7.3652973410943865,1
0,2,0,21.317343366753622,0,1,8.803133852301377,1
1,3,0,33.95933015877539,0,0,8.166678928788874,1
1,3,1,34.24005557963191,1,0,8.258309887454667,1
1,3,0,27.91946848191681,0,0,8.793196414920338,3
0,1,0,41.03360750280514,0,0,7.253020594114886,1
1,3,1,6.331264757573429,2,0,8.25902950759196,3
1,3,1,27.578700709991793,0,0,10.10467437251901,2
0,3,0,33.83974726635326,0,0,7.151578352141163,1
0,2,0,35.95559249242174,0,0,10.554041923420172,1
0,3,0,21.056391812395432,0,0,8.917771608677034,3
0,3,1,29.97877637836296,0,0,5.4779886757088345,1
1,1,0,33.97522426836091,1,0,160.6799503462178,1
1,2,0,27.983584846835875,1,0,10.313080838274791,1
0,2,1,27.793507445511047,8,2,28.395825299238084,1
1,3,0,36.02741360826043,0,0,9.553599432390822,1
1,2,1,28.605644799295874,0,0,20.276930824985975,1
0,3,1,28.189310474530735,0,0,48.25366915464252,1
0,3,0,30.923141867940615,0,0,23.43670097540083,1
1,1,0,36.588436896604435,0,0,60.63065262712044,2
0,3,1,28.43601276430683,0,0,6.418437674117573,2
0,1,0,29.07769247082567,0,0,7.284170693956314,1
1,3,0,27.53619069927193,0,0,52.83590456687892,1
0,1,0,35.18253852602575,1,1,130.21069896588426,1
0,3,0,27.462496090396353,0,0,8.646622836856327,1
0,3,0,34.00332079782602,0,0,6.5595248102819586,1
0,3,0,36.09955620685093,0,0,9.485533536290747,1
0,2,0,49.28102987387735,0,0,11.15763698761794,1
0,3,0,21.04251474324826,0,0,8.847874564466,1
0,3,0,22.345325883910714,0,0,8.18389461180018,1
0,2,0,29.13434725685743,0,0,10.726498448224389,1
0,3,0,33.77339850070739,0,0,6.911164732823522,1
0,2,0,22.012649085652253,1,0,156.108462761815,2
0,2,0,27.118270276500624,0,0,25.934552530041895,1
0,2,1,31.090799608812038,0,0,8.555777789079531,1
0,3,1,28.34482658641843,0,0,54.15148150623725,1
1,1,1,28.100747179495066,1,1,7.467946679683697,1
1,3,1,7.024685561265411,0,2,12.026132920288532,1
0,3,1,34.3346772521894,1,5,11.033827162178895,2
0,2,0,22.614963303950407,0,0,9.011625418494585,1
0,2,0,33.140945255289324,0,0,8.683855995362695,1
1,3,0,20.01993343769064,1,0,10.065333899071192,1
0,3,0,36.80578091821857,0,0,8.55966083917588,1
0,3,0,28.394363699368125,0,0,7.1525434749102335,1
0,3,0,22.06767997406402,1,0,8.066553553857984,1
