age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
17,0,171112,10,4,0,3,4,0,8,0,12,39,0
45,4,183565,14,6,7,1,2,0,0,0,34,39,1
44,4,152048,14,2,6,0,4,1,2,0,40,38,1
32,5,261158,7,4,8,1,4,1,5,0,45,38,0
33,4,29879,0,2,11,0,4,1,2,0,57,39,0
26,4,189422,0,6,6,1,4,0,0,0,40,30,0
49,4,335696,10,2,13,0,4,1,8,0,40,38,0
29,4,273917,10,4,14,1,4,1,0,0,40,9,0
23,4,168466,11,4,9,1,4,0,0,0,36,39,0
38,4,174611,10,2,12,0,4,1,14823,0,39,30,1
31,4,171293,14,2,3,5,4,0,0,0,37,38,1
61,4,350387,10,6,3,2,4,1,0,0,40,38,0
18,4,123019,15,4,8,1,4,0,4,0,40,39,0
29,0,28562,1,0,1,4,4,0,0,0,40,39,0
33,4,211428,1,4,7,1,4,0,8,0,40,30,0
39,4,103664,10,2,1,0,4,1,0,0,59,1,0
40,4,230144,11,2,3,0,4,1,3,0,40,38,0
42,4,127461,14,0,8,4,4,0,3,0,12,39,0
53,4,225412,7,6,10,4,4,0,0,0,59,39,1
37,4,131756,15,0,10,4,2,0,0,0,36,39,0
57,0,288015,11,2,0,0,2,1,0,0,35,39,0
46,1,187525,7,2,1,5,4,1,0,0,40,38,0
48,6,99020,10,6,5,0,4,1,12,0,98,39,0
56,4,176246,11,2,10,0,4,1,10,0,19,39,0
38,5,166885,10,2,10,0,4,1,2,0,58,39,0
17,2,44628,0,4,8,3,4,0,0,0,40,38,0
59,4,184394,8,2,6,0,2,1,0,0,39,38,1
50,4,204955,15,2,8,5,2,0,0,0,13,38,1
26,1,230771,15,0,7,1,4,1,4,0,40,38,1
17,4,440275,11,4,6,3,4,1,6,0,40,39,0
30,0,328424,14,4,0,3,4,0,5,0,40,39,0
26,4,417396,1,2,6,0,4,1,0,0,39,39,0
59,0,148516,12,2,10,0,4,1,0,0,40,39,1
50,7,252320,0,6,10,1,4,0,1,0,40,39,1
59,4,203112,12,0,7,4,4,0,1,0,95,39,1
21,4,187831,10,4,7,1,2,1,2,0,40,39,0
29,4,112320,5,0,6,4,4,1,0,0,45,39,0
51,4,245096,14,2,14,0,4,1,1,0,40,38,1
38,4,270069,6,5,12,1,2,0,0,0,40,38,0
56,2,119788,10,2,8,0,4,1,0,0,40,38,1
49,4,133160,15,2,4,5,4,0,0,0,40,38,1
39,4,97884,14,0,11,1,1,1,0,0,50,39,0
36,4,148049,10,0,1,3,4,0,3,0,33,39,0
52,4,150171,14,2,7,0,4,1,6,0,32,38,1
60,6,409863,4,2,14,0,4,1,6,0,40,39,1
49,6,112797,11,0,10,1,4,1,0,0,59,39,0
43,4,122434,14,0,10,4,4,1,0,0,20,38,0
33,1,289440,8,4,8,4,4,0,0,0,40,39,0
36,4,180029,11,4,2,1,4,1,1,0,40,38,0
44,4,194142,14,0,4,1,4,1,1,0,45,38,1
32,4,218574,14,0,13,1,4,1,1,0,66,38,0
18,4,41497,7,4,10,3,4,1,0,0,12,38,0
32,2,174162,5,0,8,2,4,0,0,0,40,39,0
18,4,334084,5,4,8,3,4,0,4,0,34,39,0
33,4,337662,5,2,4,1,2,1,4,0,50,9,0
57,4,106746,14,2,6,0,4,1,0,0,45,0,0
28,4,167442,9,4,4,1,4,0,0,0,40,39,0
44,6,236193,4,0,4,4,4,1,3,0,99,38,0
59,4,115174,10,2,7,0,4,1,8,0,39,39,1
30,4,85828,0,2,7,0,4,1,0,0,40,39,0
25,4,130715,10,5,14,1,2,1,0,0,40,38,1
45,4,116977,1,4,6,1,4,1,0,0,39,39,0
50,4,266439,8,2,1,0,4,1,0,0,45,38,1
31,1,66496,15,4,2,4,2,1,0,0,42,39,0
17,4,216511,1,4,1,3,4,0,7,0,15,38,0
25,6,35454,14,2,14,0,4,1,0,0,40,39,0
52,4,352173,11,5,12,1,4,0,3,0,59,39,0
39,5,132622,14,0,9,1,4,0,6,0,50,38,1
52,1,126282,9,2,3,0,4,1,0,0,40,38,1
23,4,150249,10,4,12,1,4,1,0,0,40,39,0
24,4,282958,11,4,7,3,4,1,0,0,35,39,0
33,4,173410,12,2,11,0,4,1,0,0,50,39,0
26,4,86043,5,2,10,0,4,1,6,0,42,39,0
25,4,173360,9,2,12,5,4,0,1,0,39,39,0
59,4,252677,2,2,8,0,4,1,0,0,44,39,1
36,2,236121,11,2,8,0,4,1,2,0,42,39,0
30,4,322264,15,2,2,0,4,1,0,0,44,39,0
48,4,108334,1,4,8,3,4,0,12,0,11,39,0
49,4,31558,15,0,9,1,4,0,8,0,40,38,0
50,4,155102,7,0,12,4,4,0,0,0,40,39,0
26,4,99292,10,0,5,4,4,1,1,0,45,39,0
30,4,225379,10,2,13,0,4,1,4,0,40,38,0
33,4,110570,9,0,4,1,4,1,3,0,40,38,0
23,4,118166,11,4,1,1,4,0,3,0,40,38,0
36,0,264553,10,6,0,4,2,0,4,0,11,38,0
44,2,174795,12,4,13,1,2,1,4,0,20,39,0
51,4,267130,11,4,7,1,4,1,0,0,39,38,0
37,4,122453,9,4,2,1,2,1,0,0,40,39,0
58,4,100623,10,0,11,1,4,1,17,0,42,39,0
47,1,217781,15,2,4,0,4,1,4,0,40,38,1
47,2,193333,1,4,10,3,4,0,1,0,13,38,0
35,4,172101,14,2,9,4,4,0,0,0,20,38,0
52,4,349921,8,2,12,0,4,1,0,0,39,38,1
48,4,195017,10,2,14,0,4,1,5,0,37,39,0
34,4,303232,1,4,3,4,4,0,0,0,40,26,0
23,4,189871,10,4,14,3,4,1,7,0,39,38,0
25,4,129437,14,2,11,5,4,1,9,0,45,39,1
48,6,106402,12,4,2,3,4,1,11,0,40,39,0
37,4,98996,9,0,1,1,4,0,0,0,40,39,0
49,4,130720,10,2,1,2,4,1,2,0,45,39,0
28,4,200203,0,4,6,3,2,1,0,0,38,39,0
17,4,166660,0,4,8,3,4,1,5,0,19,39,0
20,4,30305,2,5,6,4,4,1,0,0,38,38,0
58,4,176845,10,5,1,4,4,0,0,0,59,38,0
25,4,142164,1,4,7,1,4,0,7,0,20,39,0
26,4,153758,0,2,14,1,4,1,0,0,35,39,0
57,4,119644,8,0,10,4,4,1,1,0,39,38,0
41,4,106480,10,0,10,1,4,0,0,0,60,38,0
36,4,130058,10,2,13,0,4,1,4,1906,40,39,1
22,4,91590,11,4,7,4,4,0,11,0,13,38,0
38,4,145645,15,2,6,0,4,1,0,0,40,38,0
74,4,124560,10,6,10,1,4,1,7,0,33,39,1
44,4,113305,15,2,11,5,4,0,0,0,40,39,1
37,1,183972,2,4,13,2,4,1,0,0,40,38,0
24,4,155092,10,4,8,4,2,1,0,0,40,39,0
57,6,235156,10,0,1,1,4,1,0,0,40,39,0
50,4,286477,11,3,6,1,4,1,0,0,40,38,0
30,4,272229,7,2,3,0,4,1,5,0,40,39,0
44,1,189741,14,2,10,0,4,1,0,0,66,39,0
24,4,126266,10,4,7,4,4,1,0,0,40,39,0
34,4,131185,9,2,0,0,4,1,0,0,40,39,1
32,2,314523,15,0,8,1,2,1,5,0,67,38,0
71,4,224322,4,2,8,0,4,1,1,0,40,38,0
37,4,148397,10,2,4,0,4,1,3,0,50,39,1
38,6,205805,11,2,10,0,4,1,0,0,40,38,1
18,4,104604,8,4,8,2,2,1,0,0,20,38,0
17,4,123143,11,4,7,2,4,1,0,0,35,39,0
46,4,203577,10,0,6,3,2,1,0,0,45,39,0
26,7,130736,14,5,10,1,4,0,0,0,41,0,0
45,6,196399,8,2,3,0,4,1,0,0,59,39,1
59,4,229869,8,2,3,0,4,1,0,0,59,38,1
43,2,181866,15,0,10,4,4,0,0,0,40,38,1
68,4,90999,10,6,7,2,4,0,2,0,40,39,0
38,6,42036,8,2,4,0,4,1,0,0,45,38,1
