age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,4,196683,14,0,6,1,4,1,2,0,41,39,0
35,4,408894,11,4,7,1,4,1,0,0,40,39,0
33,4,281223,10,0,4,1,4,1,0,0,50,9,0
35,4,224639,9,4,11,1,4,1,0,0,59,30,0
17,4,190815,15,4,7,1,4,0,1,0,20,39,0
44,4,177534,10,2,3,0,4,1,0,0,40,39,0
32,4,118685,10,2,3,0,4,1,0,0,58,38,0
32,5,269467,11,2,12,0,4,1,0,0,40,38,0
43,4,362611,5,2,3,0,2,1,0,0,40,39,0
35,4,75915,10,2,14,0,4,1,0,1915,40,39,1
51,4,113118,10,2,3,0,4,1,0,0,59,39,0
20,4,98598,10,4,8,1,4,1,1,0,59,39,0
23,4,241434,15,2,0,0,4,1,0,0,40,38,0
23,4,104310,15,4,7,1,4,0,13,0,40,39,0
38,4,190270,10,2,6,0,4,1,0,0,40,39,0
42,7,168124,10,2,3,0,4,1,0,0,40,38,0
33,7,38026,0,0,0,1,4,1,1,0,40,39,0
42,4,88345,15,4,8,3,4,0,0,0,40,39,0
30,4,267576,11,2,12,5,4,0,0,0,40,38,0
37,4,168462,8,2,14,0,4,1,0,0,40,39,0
23,2,280684,15,4,10,3,4,0,0,0,32,39,0
44,4,118684,14,0,0,4,2,0,1,0,42,38,0
20,4,198094,7,4,8,1,4,1,0,0,47,39,0
61,4,302604,10,0,8,1,4,0,0,0,20,39,0
27,4,180076,14,2,1,4,4,0,10,0,40,39,0
43,4,242707,6,4,8,1,4,0,0,0,40,39,0
20,4,189161,10,4,7,1,4,0,6,0,41,38,0
46,6,178448,8,2,5,0,4,1,2,0,58,38,1
31,4,95461,10,2,6,0,4,1,6,0,45,39,1
21,4,70030,14,4,12,3,4,0,9,0,20,39,0
38,4,189568,12,4,10,4,4,0,1,0,59,39,0
37,4,161394,10,2,14,0,4,1,8,0,40,39,0
51,1,95337,5,2,7,0,1,1,1,1909,40,36,0
50,2,161818,9,2,13,0,4,1,0,1945,20,39,0
31,4,185560,10,2,8,5,4,1,0,0,40,39,1
37,4,192932,10,0,3,1,4,1,14632,0,40,39,1
19,4,43205,10,2,13,5,4,1,0,1938,20,38,0
35,4,114847,10,0,7,4,4,1,6,0,36,39,0
30,4,116120,7,0,12,1,2,1,0,0,40,39,0
65,4,275387,14,4,2,1,1,1,0,0,44,38,0
30,4,339724,14,4,12,1,4,1,0,0,39,38,0
47,4,30062,12,2,3,0,4,1,7623,0,72,38,1
59,4,171362,14,2,10,0,4,1,7508,0,60,38,1
17,4,36643,14,4,8,3,4,0,1,0,33,38,0
