age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,2,176370,5,2,2,0,4,1,5,0,40,39,0
50,4,135336,10,6,12,1,4,0,0,0,40,30,0
36,4,418299,9,4,0,3,1,0,5,0,39,0,0
33,4,156560,11,4,6,2,4,0,1,0,42,39,0
25,4,349357,5,2,5,0,4,1,0,0,20,39,0
71,6,304974,0,6,13,0,2,1,0,0,40,39,0
19,4,123660,15,4,8,3,4,0,0,0,35,10,0
32,4,419985,11,0,6,3,4,1,0,0,38,38,0
30,4,190914,14,4,13,1,4,1,0,0,59,1,0
35,4,347261,10,0,10,1,4,1,0,0,40,39,1
50,6,193448,11,2,3,0,4,1,4,0,40,39,0
51,4,124249,14,0,4,1,4,0,0,0,70,38,1
37,4,135884,9,5,7,4,4,0,0,0,40,0,0
50,2,139592,12,4,0,2,4,0,0,0,40,38,0
37,4,279765,9,4,1,1,4,1,0,0,40,38,0
50,4,299026,7,2,11,0,4,1,6,0,48,38,0
39,4,187610,9,0,4,1,4,1,0,0,40,39,0
36,4,158179,5,4,7,1,4,0,3,0,40,38,0
32,2,178654,14,5,11,2,4,0,0,0,50,38,0
28,1,181202,7,0,1,1,2,0,0,0,40,39,0
26,4,189502,8,2,3,1,4,1,0,0,40,38,1
59,4,147558,9,0,10,1,4,1,0,0,40,38,0
56,6,222285,7,2,2,0,4,1,1,1903,57,38,0
38,4,227295,14,2,14,0,2,1,0,0,40,38,1
52,4,107559,11,2,10,5,1,1,1,0,20,38,1
65,7,357096,9,2,4,0,4,1,0,0,40,38,0
37,4,181924,11,0,6,4,4,1,0,0,40,39,0
18,4,225091,5,4,7,3,4,0,0,0,20,39,0
31,4,101181,14,2,3,0,4,1,0,0,40,38,0
43,4,43658,5,4,8,4,4,0,0,0,40,39,0
58,4,230269,8,4,6,1,1,1,0,0,50,39,1
26,5,105549,11,2,10,0,4,1,0,0,58,39,1
33,6,97489,10,2,4,0,4,1,5,0,40,39,0
75,4,121024,11,6,7,1,4,0,0,0,20,39,0
48,6,177591,11,2,10,0,4,1,1,0,20,38,1
58,4,194669,10,2,12,0,4,0,3,0,40,39,0
55,1,177228,11,0,10,1,4,0,8,0,40,38,0
55,4,93977,11,2,1,0,4,1,3,0,45,39,0
26,4,128835,10,0,12,2,4,1,0,0,40,38,0
45,7,176654,10,2,10,0,1,0,0,0,40,38,1
44,4,335325,7,2,8,0,4,1,0,0,40,39,0
51,4,114724,11,4,0,3,2,0,1,0,40,39,0
20,6,98115,14,2,8,3,4,1,0,0,50,8,0
23,0,236034,9,4,0,3,4,0,0,0,13,38,0
47,0,121471,10,0,0,4,2,0,0,0,41,39,0
25,4,243512,15,5,10,4,4,1,0,0,20,39,0
66,4,273780,10,4,0,3,4,0,0,0,35,39,0
37,4,328575,10,2,2,0,4,1,1,0,40,39,1
19,4,184846,14,4,8,2,4,0,0,0,49,39,0
36,2,175819,14,5,10,1,4,1,8,0,40,38,0
49,4,136267,10,0,10,1,4,1,1,0,35,39,0
56,6,179114,10,4,1,1,4,1,6,0,12,38,0
64,6,200834,11,2,10,5,4,0,0,0,42,39,1
19,6,107418,14,4,3,2,4,1,0,0,31,38,0
42,6,89413,10,2,4,0,4,1,0,0,58,39,1
45,2,43834,11,2,4,0,4,1,0,0,40,39,1
36,7,280005,10,2,2,0,4,1,2,0,50,39,0
37,4,83131,10,4,12,1,4,0,6,0,35,39,0
38,4,317413,14,2,11,0,4,1,3,0,45,39,1
43,7,276573,10,5,1,4,4,0,6,0,40,39,0
30,0,190705,14,4,0,3,4,0,0,0,20,39,0
56,0,178528,10,4,0,2,4,0,9,0,40,7,0
57,0,251166,14,2,0,0,4,1,0,0,40,38,0
32,1,118393,11,4,1,1,4,1,0,0,45,38,0
37,4,280342,15,2,4,0,4,1,7584,0,45,39,1
37,4,191274,5,0,2,1,2,0,0,0,40,39,0
25,2,188718,14,4,3,1,4,1,0,0,96,38,0
20,4,193943,0,4,8,3,4,1,2,0,12,39,0
33,4,100882,10,2,3,1,4,1,0,0,35,39,0
38,4,195532,0,2,6,0,4,1,3,0,45,39,0
24,4,31915,0,4,14,2,4,1,0,0,39,39,0
45,6,215774,15,6,3,5,4,0,4,0,71,38,0
29,4,205635,11,4,3,3,4,0,1,0,40,39,0
48,4,116394,12,2,10,0,4,1,7672,0,40,39,1
50,4,232942,5,2,7,5,4,0,0,0,75,39,1
49,4,312841,9,2,11,1,4,1,1,0,50,38,1
58,6,99622,14,2,3,0,4,1,0,0,40,39,1
30,4,198685,10,2,14,0,4,1,0,0,40,39,0
50,4,197379,14,6,13,1,4,1,0,0,45,39,0
24,6,414657,5,0,0,1,4,1,0,0,40,39,0
36,4,128880,5,2,13,0,4,1,0,0,49,39,0
23,4,163046,8,4,12,1,4,0,0,0,39,38,0
38,4,194311,12,4,9,1,2,0,0,0,45,39,0
28,4,165874,10,4,8,3,4,1,0,0,40,39,0
47,4,90082,15,4,4,2,4,0,0,0,40,39,0
67,4,168050,10,4,1,1,4,1,0,0,40,39,0
59,4,90454,10,0,14,1,4,0,1,0,40,39,1
42,4,119743,5,2,7,0,4,1,0,0,40,39,0
45,0,201300,14,2,0,0,2,1,10,0,36,38,0
36,4,182989,10,2,14,0,4,1,6,0,60,39,0
52,4,123253,14,2,3,0,4,1,0,0,39,38,0
57,6,98027,15,2,0,5,4,0,2,0,40,38,1
27,4,128805,11,2,3,0,4,1,3,0,58,39,0
47,4,349155,14,2,2,0,4,1,1,0,50,38,1
19,4,358290,0,4,11,3,4,1,10,0,33,39,0
43,6,300450,10,2,4,0,4,1,4,0,50,38,1
54,6,45619,11,2,10,0,4,1,0,0,40,38,1
19,4,131501,14,4,14,3,4,0,0,0,40,39,0
38,4,174273,14,5,4,1,1,0,7,0,40,30,0
43,4,122317,15,2,14,5,4,0,0,0,40,39,0
51,2,199671,14,2,4,0,4,1,6,0,40,38,1
31,1,245918,10,4,6,3,4,0,0,0,40,35,0
42,4,115017,5,2,14,0,4,1,2,1947,40,39,1
32,4,270681,14,2,10,0,4,1,0,0,40,38,0
49,4,262188,9,6,0,1,4,0,5,0,36,39,0
19,4,349603,10,4,3,3,4,1,0,0,40,38,0
42,4,347261,15,2,14,4,4,1,0,0,40,39,0
28,2,171706,11,4,1,4,4,0,7,0,59,39,0
32,4,231383,12,4,10,4,4,0,0,0,43,38,0
23,2,155782,10,4,3,1,2,1,0,0,39,38,0
36,1,84923,6,2,12,0,4,1,0,0,34,38,0
56,0,267370,10,0,0,1,4,0,6,0,40,39,0
36,4,279882,0,4,2,3,4,0,4,0,14,39,0
31,4,200080,11,2,0,2,2,0,0,0,39,39,0
34,4,184316,15,4,6,3,4,1,4,0,40,39,0
26,0,414043,15,0,8,1,4,1,0,0,20,38,0
32,4,34023,14,0,9,1,4,1,0,0,40,38,0
20,1,234351,10,4,8,3,4,0,0,0,40,38,0
27,4,86305,0,4,7,1,4,1,0,0,36,39,0
44,6,67515,10,2,11,1,1,1,0,0,60,1,0
49,2,33073,9,2,9,5,4,0,0,0,40,39,1
17,4,268940,11,4,6,3,4,0,0,0,40,39,0
56,4,219450,10,2,2,0,4,1,2,0,40,38,1
47,6,175466,5,2,2,0,4,1,7,1928,38,38,0
17,4,152296,0,4,8,2,4,0,2,0,12,39,0
38,4,200657,7,0,12,1,4,1,0,0,50,39,0
38,4,436911,14,4,6,1,1,1,0,0,40,39,0
65,6,133633,6,0,11,2,4,1,1,0,36,39,0
50,4,183908,2,2,13,0,4,1,0,0,40,39,1
