age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,4,90153,9,4,14,1,4,1,0,0,39,39,0
55,4,174744,14,2,3,0,4,1,3,1925,40,39,1
24,2,287172,15,4,11,1,4,0,7,0,59,39,0
50,4,112684,9,0,13,1,4,0,9,0,45,39,0
49,5,232742,9,2,3,0,4,1,0,0,40,39,1
38,4,25420,12,2,4,5,4,0,0,0,45,39,1
37,4,178961,10,4,3,2,4,1,0,0,45,38,0
63,4,230613,2,2,6,0,2,1,0,0,40,38,0
36,4,145893,9,2,3,0,4,1,7,0,69,39,0
45,5,275900,15,2,2,0,4,1,0,0,40,39,0
45,2,194822,9,2,3,0,4,1,0,0,40,38,1
31,4,44256,7,4,11,3,4,0,0,0,69,39,0
47,5,43003,8,2,12,0,4,1,0,0,40,38,1
24,4,169321,14,0,3,1,2,1,6,0,34,39,1
50,5,228764,9,2,11,0,4,1,0,0,50,39,1
46,4,182392,9,2,9,5,4,0,0,0,19,38,1
30,4,98344,14,4,13,3,4,1,0,0,37,39,0
43,4,76214,12,4,4,4,4,0,4,0,40,38,0
51,1,434050,14,2,12,5,4,0,9,0,39,38,0
42,4,183416,8,2,4,0,4,1,2,0,50,39,1
73,4,424521,10,2,1,0,4,0,0,0,38,39,0
37,6,77160,10,2,3,0,1,1,0,0,58,10,0
23,2,58214,11,0,10,1,4,0,3,0,50,39,0
70,4,158509,10,2,0,5,2,0,7350,0,40,39,1
39,2,200009,0,4,3,1,2,0,4,0,35,39,0
36,4,42321,15,2,6,0,4,1,0,0,40,38,0
20,4,109874,15,4,9,1,4,0,5,0,40,39,0
51,4,176587,8,2,0,5,4,0,0,0,36,39,0
49,4,44819,7,2,10,0,4,1,12,0,39,39,0
37,4,266868,2,0,11,1,4,1,7,0,39,39,1
58,4,118363,9,4,11,1,4,1,0,0,42,39,1
19,4,238392,11,4,6,3,4,0,5,0,35,38,0
30,5,284173,14,0,12,1,4,0,0,0,40,38,0
33,4,44179,5,2,4,0,4,1,7,0,36,39,0
57,4,420026,13,2,0,5,2,1,0,0,33,38,0
49,4,236226,9,2,6,0,4,1,0,0,40,1,1
33,4,76436,15,0,2,1,1,1,2,0,13,39,0
43,4,179629,14,4,7,1,4,0,10,0,45,38,0
43,4,235289,14,0,7,1,4,1,0,0,40,39,0
62,6,103119,9,2,10,0,4,1,5,0,43,39,0
36,4,221101,6,2,8,0,4,1,1,0,40,0,0
18,4,32031,14,4,3,3,4,1,6,0,40,39,0
66,4,45855,9,2,10,0,4,1,0,0,42,38,0
29,2,26279,15,4,10,1,4,0,0,0,20,8,0
60,4,157806,11,2,3,0,4,1,0,0,39,38,1
30,7,152965,7,4,7,2,4,0,3,0,35,39,0
51,2,203320,12,0,9,4,4,1,4,0,44,39,0
36,4,222051,11,2,2,0,4,1,0,0,40,39,1
29,4,196128,0,2,4,0,4,1,1,0,58,38,0
24,4,415829,8,4,12,1,4,0,0,0,40,39,0
26,4,122179,14,2,4,4,4,0,2,0,58,38,0
26,4,171494,8,2,3,1,4,1,3,0,36,39,1
57,4,335337,10,4,2,1,4,1,0,0,40,38,0
37,4,250539,9,2,9,1,4,1,0,0,40,39,1
29,4,123919,7,4,10,1,4,1,5,0,40,38,0
60,0,184878,10,6,0,3,4,0,0,0,37,38,0
44,5,104459,11,2,7,0,4,1,0,0,40,35,1
33,4,151996,8,2,11,5,4,0,0,0,50,38,0
24,6,112163,11,0,6,3,4,1,3,0,40,39,0
32,4,402783,12,2,9,0,4,1,6,0,50,38,1
18,4,190035,11,4,0,3,4,0,5,0,31,39,0
49,4,171186,10,2,6,0,4,1,5,0,50,39,1
19,4,138561,11,4,12,3,4,0,0,0,40,39,0
33,7,92459,14,3,4,1,4,0,0,0,40,38,0
39,2,304017,14,2,9,0,4,1,0,0,45,39,1
25,4,171108,15,0,13,4,4,0,2,0,40,39,0
40,4,352387,0,0,2,1,4,1,4,0,40,38,0
