Geography_Germany,Geography_Spain,Gender_Male,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0.0,0.0,0.0,0.9741094878298174,0.24500451107015297,0.1,0.0,0.3333333333333333,0.0,0.0,0.7569157807052379,0.0
0.0,0.0,1.0,0.7169027984663394,0.27588362742068073,0.6000000000000001,0.44465863295835745,0.0,1.0,0.0,0.5381783401563055,0.0
1.0,0.0,1.0,0.39739913237534047,0.29326100539653055,0.7000000000000001,0.31240375678258187,0.3333333333333333,0.0,1.0,0.5578596998551751,0.0
0.0,1.0,0.0,0.6057249852064628,0.0700292335024745,0.2,0.00020415114277611408,0.3333333333333333,1.0,1.0,0.7711680748680128,0.0
0.0,1.0,1.0,0.731397638212914,0.17198215908396136,0.2,0.5416311185157284,0.0,1.0,1.0,0.31029153901427103,0.0
0.0,0.0,1.0,0.6521798419945302,0.18590742652483683,0.1,0.30172912054736034,0.0,1.0,0.0,0.09215677431670709,0.0
0.0,1.0,0.0,0.6405347910696981,0.30942929538624114,0.7000000000000001,0.0,0.3333333333333333,0.0,0.0,0.37576584463978346,0.0
1.0,0.0,1.0,0.7504215693233781,0.16675773357705354,0.8,0.0,0.3333333333333333,1.0,1.0,0.5022075513881673,0.0
0.0,0.0,1.0,0.4250506652760529,0.1466559973281887,0.4,0.33127034481390727,0.3333333333333333,1.0,1.0,0.7769557136212839,0.0
1.0,0.0,1.0,0.4087761076062163,0.33561044887941743,0.7000000000000001,0.5291565252601508,0.3333333333333333,1.0,1.0,0.1704901804992896,0.0
1.0,0.0,1.0,0.5016392102681855,0.1615872632938245,0.5,0.5642376427200931,0.3333333333333333,1.0,1.0,0.8061381076082744,0.0
0.0,0.0,0.0,0.5800937283447591,0.16376422521168646,0.0,0.0,0.3333333333333333,1.0,0.0,0.15800037357379831,0.0
1.0,0.0,0.0,0.27178826664546596,0.1506852851770601,0.9,0.0,0.3333333333333333,1.0,1.0,0.7248855776559546,0.0
0.0,0.0,1.0,0.5687657231261322,0.3059101945186783,0.3,0.5030029682790556,0.0,1.0,1.0,0.044339908529958866,1.0
0.0,1.0,1.0,0.28390242033815005,0.2813579691045548,0.4,0.0,0.0,0.0,0.0,0.40261792542530084,0.0
1.0,0.0,1.0,0.7136261984762632,0.6422143750719117,0.0,0.4627748472684437,0.0,1.0,1.0,0.2741053990690701,1.0
0.0,0.0,1.0,0.515511612133346,0.4206797492624278,0.1,0.4163912759310049,0.0,0.0,1.0,0.6855731707717538,0.0
1.0,0.0,1.0,0.6006904117593881,0.24109871575543934,0.4,0.6026699828972393,0.3333333333333333,1.0,1.0,0.9227056524841482,0.0
1.0,0.0,0.0,0.6904233948824677,0.21921479684286638,0.6000000000000001,0.44530150703350463,0.3333333333333333,0.0,0.0,0.033366648067956806,0.0
0.0,1.0,0.0,0.48933340828697985,0.18448765294504557,0.5,0.451213470414836,0.3333333333333333,1.0,0.0,0.4679375973462817,0.0
0.0,0.0,1.0,0.27230275315363617,0.23611010355330958,0.2,0.5812874587457924,0.3333333333333333,1.0,1.0,0.6253298322827655,0.0
0.0,0.0,0.0,0.4885807979615055,0.3920087908327032,0.5,0.0,0.0,1.0,0.0,0.910808519077949,1.0
0.0,0.0,0.0,0.41830974930330284,0.05845517251961447,0.4,0.40426080304823786,0.3333333333333333,0.0,0.0,0.47304451631577,0.0
0.0,0.0,0.0,0.6359122333351669,0.5264581485888987,0.9,0.34181414201768306,0.3333333333333333,1.0,1.0,0.05000230019500704,1.0
1.0,0.0,0.0,0.4924090859742529,0.18776388449977105,0.1,0.34942061469695,0.3333333333333333,0.0,1.0,0.9052134806279786,0.0
0.0,0.0,0.0,0.9586053772285275,0.6176641889013839,0.7000000000000001,0.5732967737844267,0.3333333333333333,1.0,1.0,0.41387094195335555,1.0
