Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,23.7636936460146,0,1,3.2709560329800382,1
0,3,1,21.335633099738146,1,0,32.64401412173493,1
0,1,1,45.47094934193196,0,6,12.756087359161214,2
0,1,1,21.669427648791153,0,1,33.96192254804594,2
1,1,1,18.313842920931663,8,1,33.60125376752576,1
0,3,0,46.522472426748436,0,0,8.725282107779803,1
0,3,0,26.669022919049656,0,0,8.225072616283365,1
1,3,0,24.60127861849757,0,3,5.88424896617175,1
0,2,0,26.72154084687057,0,0,7.601220179809839,1
1,1,1,31.038627707129443,1,0,119.07760426510751,2
1,1,1,1.7088821089647892,0,5,191.99001673260767,1
0,2,0,54.199669943842956,0,0,16.070120090611688,1
0,3,1,3.4257990451806166,0,0,15.76852360429144,2
1,3,0,26.222254511672546,0,0,16.041382428298316,1
1,1,1,24.721309273753175,2,3,54.94420901879488,3
0,3,0,43.59879541461999,0,0,34.92902536976,1
0,3,1,45.0891498770323,1,0,76.80910085169242,2
0,3,0,17.731907559747647,0,1,2.9884749441422676,1
0,2,0,23.662043097417317,0,0,25.90392141280714,1
0,3,0,44.127798663631545,0,0,8.719546948049668,1
0,1,1,27.47087454478716,1,0,29.26608122338436,1
1,3,1,53.9134968099626,0,0,82.40944535026811,1
0,2,0,14.381423744075281,1,2,46.803450759850094,2
0,3,0,29.322037151355346,0,0,4.052459683620196,1
1,1,0,31.155254048409162,0,2,11.245052568069289,1
0,2,0,30.986503853500714,0,0,9.307061796477878,1
0,3,0,30.72696683431441,1,0,5.642998569989123,3
0,3,0,23.546266763779833,0,1,5.112832865358362,1
1,1,0,26.96209612156604,1,1,11.238845958128351,2
0,2,0,36.31702596128708,2,0,13.338837177570879,1
0,3,0,28.495770554670035,0,0,14.5873041574696,1
0,3,0,19.82994657918298,1,2,265.68685085206783,1
0,2,0,40.86173342356369,0,0,3.9042403675460156,1
1,2,1,26.140028775129057,1,2,9.636977246852567,1
1,1,1,25.804054395502725,0,2,4.36481362937007,1
0,3,0,21.04619479370182,0,0,4.4177177161159165,1
1,1,1,3.9439627482689597,2,0,3.2400977482454083,1
1,3,0,26.150392037365656,1,2,11.799345904224996,1
1,1,0,25.23587220261581,0,0,6.43037855119916,3
0,3,0,37.02297416103244,0,2,94.10021042112491,1
0,1,0,42.46267381070455,1,0,40.75460463981128,1
0,2,0,1.1514077058868466,0,0,6.495746689394847,1
0,2,0,13.313753540680153,0,0,10.198921850645812,1
1,1,1,17.708582585891268,4,3,25.33976735643064,2
1,3,0,15.56777403474528,1,0,160.2556534905599,3
0,1,1,45.40262236215056,1,1,15.115397846602228,3
1,1,0,25.566186057605993,0,1,48.134038493935876,2
0,2,0,13.981045221217403,0,0,10.314391607941145,1
0,3,0,14.53585726751016,3,0,114.09187434738021,2
1,1,1,32.07099325782804,0,4,10.187038461785473,2
0,3,0,57.908592233882544,4,0,39.898186448655814,1
1,3,1,16.134806187325683,5,0,26.65747098572004,1
0,2,0,26.198176803958535,8,0,1.7128763740952078,1
0,3,0,47.91303103807776,0,0,17.675210182542116,1
1,1,1,20.0212149353819,1,1,46.265616533475665,1
0,1,1,14.965537790986993,2,0,8.968229246182883,2
0,3,0,25.73896921407087,4,0,287.0332779470664,1
0,3,0,3.8882728560655235,0,5,64.40295285439899,1
0,3,0,35.706806788705904,0,0,13.983968172243394,1
0,2,0,13.69788172990641,0,0,18.243101100418684,1
1,1,1,-0.8628549408347288,3,0,14.029747786948544,2
1,3,1,25.40242461131434,0,2,97.2749914685461,1
0,1,1,37.40190614964458,0,1,31.5173918507637,1
0,2,0,32.21426272972481,0,0,30.90567056945904,1
0,2,1,25.4569271788536,1,0,56.29791538230944,1
1,3,1,15.990964383973601,2,0,96.17445653241705,2
0,3,0,26.488656729821408,0,0,5.839413510095335,1
0,2,1,26.488262703322974,1,3,7.684558661308945,1
0,1,0,24.943580122092488,5,0,94.37340781994013,1
1,1,0,45.77146900465673,1,0,54.411259000719696,2
0,2,0,25.707515714184915,0,0,12.001120051771544,1
0,2,0,36.30286388943015,0,0,60.105006401376144,1
1,1,1,27.480353680842686,1,1,15.835303702525993,3
0,2,0,5.998854683946867,0,0,35.03778744151026,1
0,3,0,43.87861323435322,0,2,79.91106812961445,1
1,1,0,30.949075647496937,1,0,120.52132846383034,1
0,3,0,20.54533942934262,8,0,27.303334368171793,1
1,3,1,27.448065235186796,4,0,25.539501362724756,3
1,1,1,7.4578639504163595,8,0,56.80048339429287,1
0,2,0,-9.120069398082926,0,0,13.217216748535773,1
1,1,1,61.23874021019907,1,0,5.0959406797427915,2
0,2,0,40.864920681878075,0,3,7.005803979349844,1
1,3,1,27.920898470982568,1,3,11.635256570005906,3
1,1,1,48.50822922559036,0,0,144.68566114971208,1
1,3,1,17.894357738714017,8,2,72.40564826015971,3
0,3,0,26.16233760767157,0,0,10.241297134325155,1
0,3,0,29.209582715446125,0,0,3.653052399826258,1
0,3,0,22.463818662550366,0,0,5.9098502098848265,1
0,3,0,26.125601380965097,1,0,10.10215949438939,1
0,2,0,24.518491005150388,0,0,28.195895958030036,1
