age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
54,4,445420,8,0,5,1,4,1,-9,2,80,39,0
32,6,64481,5,2,5,0,4,1,16,-2,18,39,0
44,4,64822,15,2,5,1,4,1,34,2062,56,39,0
46,4,286798,9,4,10,3,4,1,54,0,55,39,1
31,4,143068,8,0,10,1,3,0,-8,-2,40,33,0
52,4,303748,11,0,1,1,4,1,10,0,40,39,0
37,4,392095,4,2,14,0,4,1,-20,0,59,39,0
61,5,53393,10,2,4,0,4,1,-37,2,50,39,1
64,4,209897,11,6,12,1,4,0,-16,4,20,39,0
65,4,45663,11,2,8,0,4,1,6,-1,40,24,0
35,7,519963,9,2,4,0,4,1,-37,1849,40,39,1
45,7,197827,9,2,4,1,2,1,11,3,40,5,0
39,4,118507,11,4,1,4,4,0,-3,2,16,39,0
47,5,49333,9,2,12,0,4,1,13849,0,49,39,1
50,4,121247,11,2,1,5,4,0,9,1973,40,39,1
47,1,127323,1,2,11,0,4,1,-54,4,40,39,1
19,8,342477,7,4,5,3,4,1,15,3,25,39,0
54,4,320794,8,0,2,1,4,0,-6,-1,49,39,0
65,4,252260,11,2,4,0,4,1,-27,1,48,39,0
38,1,146659,6,2,1,5,4,0,-13,0,25,39,0
47,4,64933,11,0,8,4,2,0,49,-1,59,39,0
53,4,234863,15,2,5,0,4,1,12,-1,40,39,0
37,4,122026,11,2,8,5,4,1,-4,2013,40,39,1
34,4,229606,11,2,14,0,4,1,-96,-1,40,39,1
33,2,433974,1,4,12,4,2,1,-14,-1,40,39,0
40,7,60637,10,2,4,0,4,1,-20,1941,61,39,1
42,4,165741,9,0,12,1,4,0,-42,-1,40,39,0
45,1,199052,15,2,10,0,4,1,7838,1917,40,39,1
53,7,142352,11,2,0,0,4,1,58,-2,40,39,1
51,2,172704,11,2,7,0,4,1,50,1,44,6,0
38,4,150870,11,0,4,1,4,1,-25,0,51,39,0
38,1,137746,11,2,11,0,2,1,-19,-1,40,39,1
30,4,145862,3,2,8,5,4,0,-15,0,30,39,0
22,4,90221,9,4,1,1,1,1,19,1,40,32,1
54,4,244092,9,2,1,0,4,1,2,1911,40,39,1
44,6,132243,15,2,5,0,4,1,-15,2,59,39,0
37,2,168727,1,2,8,0,4,1,3,0,40,39,0
20,0,125379,11,0,1,4,4,0,-41,1,40,39,0
22,0,235155,11,2,0,3,4,1,-43,-2,40,39,0
75,7,67375,1,2,0,0,4,1,17,3,40,39,0
33,4,120590,9,0,1,4,3,0,52,2,40,39,0
45,4,284717,9,0,1,1,4,0,-15,-1,40,39,0
48,4,57174,9,0,4,1,4,1,-54,0,59,39,1
41,4,273343,15,2,5,0,4,1,8,0,40,39,0
31,4,51586,9,0,13,1,4,1,-2,0,40,39,0
21,0,116408,11,0,0,1,4,0,4,3,40,39,0
33,1,118798,11,4,8,1,4,1,-3,3,40,39,0
32,4,311831,3,3,8,1,4,0,-22,1,40,21,0
34,4,250300,9,4,10,3,4,1,-24,-1,50,39,0
22,4,132063,11,4,1,3,4,0,10,0,40,39,0
28,4,29084,12,2,4,0,4,1,37,1854,40,39,1
61,4,145571,11,2,4,5,4,0,-45,-1,10,39,0
65,4,264577,7,2,4,0,4,1,-30,1,56,39,0
28,4,101299,9,0,1,4,1,0,1,1,25,22,1
18,4,208143,15,4,1,3,4,0,7,2,51,39,0
57,4,58982,0,6,4,1,4,1,-40,3,58,39,0
48,4,46380,4,2,3,0,4,1,-7,0,40,39,1
30,4,297980,11,4,3,1,4,1,18,-3,18,39,0
37,4,227018,9,2,4,0,4,1,15258,2011,40,39,1
20,0,37536,11,2,0,0,4,1,-7,0,24,39,0
51,4,434871,11,2,8,0,2,1,-27,-2,57,24,0
45,5,292646,12,2,11,0,4,1,-45,1805,40,39,1
31,7,43859,5,0,5,2,4,1,-9,1,51,4,0
33,4,202824,9,0,4,1,4,1,26,1802,50,39,1
65,4,140679,8,2,4,0,4,1,0,-1,40,18,1
52,4,49290,15,4,8,1,4,1,20,0,22,39,0
48,4,271668,11,0,12,4,4,0,-7,-1,60,39,0
19,4,248796,12,4,4,3,4,0,-7,2,40,39,0
58,6,45556,8,2,3,0,4,1,-25,3,40,39,0
42,4,267112,10,0,4,1,4,1,66,1837,59,39,1
42,7,96046,14,2,10,0,4,1,8,1837,58,39,1
24,4,55984,9,4,12,1,4,1,94064,1,40,39,0
56,7,298477,9,5,4,1,4,1,-35,2,40,39,1
21,4,156156,11,0,3,4,0,1,44,-1,40,39,0
37,7,97287,9,4,4,1,4,1,-47,1,59,39,1
41,2,166279,9,0,1,4,2,0,9,-1,40,39,0
68,6,193981,11,0,12,1,4,1,19,-1,20,39,0
23,4,213437,11,4,1,3,4,1,-16,-2,40,28,0
53,6,200958,5,2,8,0,4,1,21,1,49,39,0
40,5,112629,14,2,10,0,4,1,-28,1781,40,24,1
52,4,145176,11,0,4,4,4,0,36,-1,56,39,0
49,4,475707,9,0,4,1,4,1,-31,1936,40,39,0
28,1,147589,9,1,4,1,4,0,-43,-1,40,39,1
39,4,65467,15,2,11,0,4,1,1,-1,50,5,1
37,6,237552,7,2,12,0,4,1,11,3,45,39,0
37,3,259760,9,5,1,4,4,1,53,3,40,39,0
44,7,66548,15,2,12,0,4,1,-15,4,40,39,0
49,4,252216,11,4,1,1,4,1,-3,-1,59,28,0
61,7,189490,15,4,10,3,4,1,-37,1,40,39,0
20,4,61833,15,0,8,2,4,1,-26,-2,40,39,0
38,6,486143,11,2,14,0,2,1,-5,1,40,39,0
33,4,114454,12,0,10,4,4,0,1,0,26,39,1
75,4,117394,11,2,14,0,4,1,-45,3,50,18,1
36,4,46565,8,3,1,1,4,0,-29,-1,44,39,0
21,4,133472,6,0,8,2,4,0,2,-1,40,39,0
37,4,216673,0,2,6,0,4,1,-55,1805,40,39,0
40,4,273593,11,4,8,1,4,0,-31,1,37,39,0
45,4,148213,11,2,8,5,4,1,11,-1,49,39,1
