age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,4,257560,15,4,12,1,4,1,-133,-7,6,39,0
23,4,364577,1,4,12,0,4,0,-56,7,6,39,0
20,4,288530,11,2,4,5,4,0,44,7,34,39,1
40,0,272088,2,4,0,3,2,1,-112,-8,25,39,0
20,4,360333,10,0,10,1,4,0,31,-3,6,39,0
40,0,364085,15,0,0,1,4,1,-82,-3,6,39,0
40,0,278513,11,0,0,3,2,1,-82,-8,9,39,0
57,4,342354,11,4,7,4,4,0,-105,6,9,39,0
40,4,352568,15,4,5,1,4,1,-128,-4,6,39,0
40,2,287044,15,4,0,1,4,0,6,-6,6,39,0
40,1,212484,12,4,0,1,4,1,-124,-8,7,39,0
22,4,338005,7,4,8,1,4,0,-36,6,6,39,0
40,4,341573,12,4,13,1,4,1,-132,-7,6,39,0
42,6,288209,11,4,0,2,4,1,1,-5,6,39,0
21,4,288528,15,2,4,5,4,0,108,7,34,39,1
21,4,265258,7,4,8,1,4,0,-15,5,6,39,0
20,4,284832,15,4,4,1,4,0,-72,5,6,39,0
42,5,358081,11,4,4,1,1,0,-55,3,6,39,0
46,4,291391,11,4,8,1,3,0,-97,4,6,39,0
32,4,340984,2,4,12,4,3,0,-131,7,26,39,0
43,4,343071,15,4,8,1,4,0,-87,2,6,39,0
20,4,282427,15,2,4,5,4,0,11,0,34,39,0
40,4,252461,8,4,8,4,4,0,-96,-6,8,39,0
45,5,365896,12,6,0,1,2,0,-87,5,6,39,0
52,4,361895,11,5,3,1,4,1,-113,4,6,39,0
41,4,353115,15,4,4,1,4,0,-39,1,6,39,0
21,4,362920,11,0,3,1,4,1,-134,2,6,39,0
45,4,279194,11,4,8,3,2,0,-29,3,6,39,0
21,4,364473,1,4,12,0,4,0,-78,8,6,39,0
40,4,300497,12,4,9,1,4,1,-140,-7,8,39,0
22,4,285523,15,2,4,5,4,0,71,5,6,39,0
40,4,365947,11,0,6,1,4,0,-11,2,7,39,0
56,4,354892,5,4,0,1,4,0,-124,5,6,39,0
20,4,288495,15,2,4,5,4,0,81,5,34,39,1
20,0,365022,15,4,0,1,4,1,-115,-2,6,39,0
43,4,331661,12,4,8,1,4,0,-120,7,8,39,0
20,0,365176,15,4,0,1,4,1,-123,0,6,39,0
41,4,228854,15,4,8,1,4,0,-78,-1,6,39,0
41,1,353546,11,4,8,1,2,1,-94,1,25,39,0
20,4,287217,15,2,4,5,4,0,113,6,6,39,0
20,4,361382,15,4,0,3,4,1,-69,-7,6,39,0
40,1,348317,1,4,0,1,2,0,-75,-2,15,39,0
41,4,285420,11,4,4,3,0,0,-39,0,6,39,0
26,4,361152,1,4,12,0,4,0,-74,7,6,39,0
20,4,288423,15,2,4,5,4,0,117,4,6,39,0
41,4,262660,15,4,4,1,4,0,-108,-3,6,39,0
71,4,363763,3,4,3,1,3,1,-131,6,6,39,0
40,5,364942,11,4,0,1,4,1,-111,-4,6,39,0
41,4,335717,8,4,8,4,4,0,-90,-2,6,39,0
20,5,364768,11,4,0,1,4,0,-55,-3,6,39,0
20,4,254458,15,4,4,1,4,0,-44,1,6,39,0
20,0,356467,1,4,0,1,4,1,-94,-1,34,39,0
43,4,331618,15,4,0,1,4,0,-108,2,6,39,0
42,4,364507,11,4,6,3,4,0,-37,0,6,39,0
20,4,365038,15,4,3,1,4,1,-129,-3,6,39,0
20,1,283165,1,0,0,3,2,0,111,-5,6,39,0
20,0,363668,15,4,0,1,4,1,-127,-4,6,39,0
21,4,287972,15,2,4,5,4,0,88,7,6,39,0
23,8,287436,15,4,11,1,4,0,4,-2,6,39,0
50,4,288400,11,1,8,1,2,1,-73,4,8,39,0
41,4,262835,15,4,12,1,4,0,-87,-5,6,39,0
21,4,360325,15,4,4,0,4,0,-70,7,6,39,0
20,4,261411,15,4,4,1,4,0,-9,-4,6,39,0
40,5,365327,15,4,0,1,4,1,-50,-3,6,39,0
21,4,278479,15,4,4,4,4,0,-111,5,6,39,0
40,5,365980,15,4,0,1,4,1,-96,-2,6,39,0
20,4,318526,15,4,4,3,4,0,-86,-2,6,39,0
42,7,284590,12,0,4,3,4,0,38,-4,6,39,0
40,4,278406,11,4,0,1,1,0,-97,-2,6,39,0
42,4,351201,4,0,4,1,4,0,23,0,6,39,0
40,0,364812,15,4,0,1,4,1,-129,-4,6,39,0
41,4,359933,15,4,0,4,3,0,-70,3,6,39,0
41,4,278323,11,4,4,1,0,0,-11,-1,6,39,0
42,1,362083,14,4,8,4,2,0,-81,3,27,39,0
41,4,288531,12,2,4,5,4,0,12,7,34,39,1
40,4,363500,11,4,3,1,4,1,-114,-5,6,39,0
50,5,366204,12,4,2,4,2,1,-127,5,22,39,0
20,4,217299,15,4,12,1,4,0,-86,-3,6,39,0
20,4,288493,11,2,4,5,4,0,101,7,6,39,1
41,0,287456,12,4,0,4,1,0,39,5,6,39,0
40,4,187617,15,4,12,1,2,0,-129,-8,8,39,0
20,4,187001,9,4,4,1,4,0,-107,2,34,39,0
20,4,241225,15,4,4,1,4,0,-22,-2,6,39,0
49,0,354964,2,4,0,4,2,1,-138,7,20,39,0
40,4,364790,11,4,6,1,4,0,30,-1,6,39,0
41,4,348405,15,4,12,4,3,0,-49,0,6,39,0
20,4,279104,15,4,12,3,4,0,-23,-1,34,39,0
20,4,317620,15,4,4,3,4,0,-104,-3,6,39,0
44,4,333395,15,4,8,4,4,0,-118,7,6,39,0
44,1,287973,11,4,3,2,2,1,-36,-4,6,39,0
40,4,344837,15,4,5,1,4,1,-128,-6,6,39,0
20,4,288472,15,2,4,5,4,0,90,7,34,39,1
23,4,206945,15,4,8,1,4,0,-100,4,6,39,0
41,4,358027,11,4,4,1,2,0,-129,3,9,39,0
40,4,363987,10,0,4,1,4,1,-99,3,6,39,0
