age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,4,146352,7,0,7,4,4,1,-1,3,40,39,0
49,4,95953,15,2,10,0,0,1,-47,-1,40,39,1
39,4,196196,6,0,14,4,4,0,4,-1,34,39,0
33,4,326588,9,2,12,5,0,0,-2,-2,36,39,0
53,0,63979,0,2,0,5,4,0,44,-1,40,39,0
30,1,279546,15,2,10,0,2,1,21,2,40,26,1
48,4,28959,5,2,12,0,2,1,13,0,50,39,0
62,7,320025,12,4,10,1,4,0,68,0,35,39,0
56,4,259545,3,2,0,0,4,1,-71,-1,35,39,0
19,7,115068,9,4,10,4,4,0,4,-5,40,39,0
65,4,81524,8,6,8,1,4,0,-6,-2,12,39,0
30,4,271136,12,2,10,5,1,0,14,0,40,23,1
69,6,261712,15,0,8,4,0,0,39,-2,57,39,0
31,4,212622,11,4,13,1,4,0,-12,0,40,39,0
40,1,55507,15,2,1,0,1,1,83,0,40,23,1
46,4,133670,11,1,3,0,4,1,41,-1,40,39,0
34,4,357538,15,2,14,0,3,1,-33,3,40,39,0
40,4,321057,1,2,7,0,4,1,17,0,40,39,0
58,4,121574,15,2,3,0,2,1,38,4,40,39,1
29,4,21323,11,2,3,0,1,1,17,1,40,25,1
51,0,85970,15,4,12,3,2,0,64,-2,22,39,0
47,4,181913,15,2,4,0,4,1,15106,-1,40,39,1
19,2,102512,15,4,5,3,2,0,-19,2,21,39,0
42,4,369668,6,2,7,0,4,1,3,0,67,39,0
38,1,328670,11,5,1,4,2,1,35,0,40,39,0
56,1,226299,11,0,1,4,2,0,-34,-1,40,39,0
25,0,326861,0,4,0,3,4,1,-67,0,37,39,0
32,4,227619,4,2,7,0,4,1,-18,-1,40,39,0
38,4,88464,7,2,12,0,2,1,7155,-1,50,39,1
31,7,163063,15,4,5,1,4,1,-20,-1,40,39,1
42,4,381624,5,1,3,0,4,1,9,-2,40,39,0
26,4,107433,15,2,4,0,4,1,42,-1,51,39,1
37,6,113715,7,4,5,0,2,1,-7,-2,50,39,0
25,4,78829,15,3,12,1,0,0,-24,-2,31,39,0
29,4,84385,4,2,14,0,4,1,-54,-1,49,39,0
45,1,218070,10,4,4,1,4,1,13,-3,45,18,1
23,4,340970,15,2,8,0,4,1,2,1,19,39,0
19,4,138800,15,2,14,0,3,1,24,1,36,39,0
24,4,222435,15,2,4,0,4,1,3,1,40,39,0
30,6,74658,15,4,3,3,2,0,34,0,40,39,0
60,4,188180,0,6,8,1,4,0,18,-1,35,39,0
21,4,168806,15,4,8,3,4,0,22,-1,40,39,0
30,4,176995,14,2,12,0,4,1,27,0,50,39,1
32,4,267343,1,4,6,0,4,1,-1,0,49,20,0
33,0,144340,15,4,0,3,4,0,-27,0,30,39,0
23,4,106066,11,4,8,3,4,1,-32,3,40,39,0
35,4,35250,15,2,5,0,2,1,47,-2,40,39,1
34,6,153695,11,5,8,0,4,1,10,0,49,39,0
58,4,245755,1,5,13,4,0,0,9,2,40,39,0
26,4,119832,9,5,1,0,4,1,36,0,40,39,0
64,4,243571,1,2,7,5,4,0,-7,1,37,19,0
26,7,161890,15,4,11,3,4,0,19,0,9,39,0
28,0,99313,15,0,0,1,4,1,-38,0,21,39,0
53,0,86529,15,4,0,3,2,1,-4,1,6,39,0
22,4,89389,11,4,8,3,2,0,33,-3,40,39,0
52,7,252884,0,2,8,0,4,1,6,2,49,39,0
24,4,121447,11,4,8,3,4,1,16,-3,38,39,0
36,4,265383,7,2,1,0,1,1,19,-1,51,39,1
47,7,179152,7,0,10,4,4,0,-25,0,36,39,0
37,4,224547,9,0,10,1,4,0,35,-1,35,39,0
23,6,92039,15,4,12,3,2,0,25,-2,31,39,0
61,5,288885,9,2,4,0,4,1,50,-2,40,39,1
23,4,280568,11,4,12,1,0,0,21,-2,40,39,0
30,1,199954,12,2,10,0,1,1,7061,0,38,16,1
27,4,176306,6,4,4,1,4,0,37,-1,36,39,0
35,4,187095,1,4,13,1,4,0,-42,3,40,39,0
20,4,332769,15,4,12,3,1,0,32,0,50,4,0
23,0,321909,15,4,5,3,4,1,27,-1,40,39,0
55,4,91495,9,0,10,4,4,0,69,-1,50,39,0
50,4,324874,9,2,10,5,4,1,-23,-2,50,39,1
17,0,116026,15,4,0,3,4,1,-7,1,40,39,0
27,4,110448,15,2,12,5,4,0,56,-3,36,39,0
66,6,283969,5,2,7,0,4,1,-14,-2,44,39,0
22,1,292478,9,2,10,0,1,1,103952,-1,47,17,1
35,4,87825,15,4,1,1,4,1,-26,0,44,39,0
26,4,386896,11,4,8,3,2,1,11,2,35,39,0
65,2,197901,12,2,10,5,4,0,65,-2,37,39,1
31,6,108008,15,4,12,3,4,0,6,-2,14,39,0
72,2,68421,12,6,10,4,4,0,22,0,37,39,1
54,0,93175,15,2,0,5,2,0,22,-1,18,39,0
53,4,329407,15,2,4,0,4,1,0,0,18,39,1
57,6,460041,5,2,8,0,2,1,-67,0,40,39,0
57,5,246349,15,2,12,0,4,1,3,2,50,39,1
27,6,271335,15,2,14,0,4,1,-4,-1,47,39,0
63,4,260267,9,4,10,1,4,0,-49,-1,50,39,0
34,1,107187,12,2,10,0,1,1,-31,-1,40,22,0
42,1,104313,15,2,8,0,4,1,-34,1,40,39,1
26,4,92175,15,4,4,1,4,1,1,-1,40,39,1
65,4,150241,8,6,8,1,4,0,2,-1,35,39,0
32,7,99490,15,4,1,1,2,0,11,-2,40,39,0
53,4,181460,9,2,1,5,0,0,-3,-1,16,39,1
35,6,71243,15,6,7,4,4,0,1,0,40,39,0
25,4,224362,1,5,13,3,2,0,53,0,40,39,0
49,4,39980,15,2,8,0,4,0,6,0,35,39,1
56,6,40216,11,5,14,1,0,1,-25,-1,40,39,0
67,4,290939,2,5,7,4,4,1,15,-2,40,39,0
24,4,121137,15,4,4,3,4,1,-8,-3,40,39,0
41,6,156418,11,3,3,1,0,0,-18,-2,40,21,0
55,4,216476,2,2,7,0,4,1,-54,-2,40,26,0
30,2,98170,11,4,12,3,2,0,58,0,19,39,0
62,5,78631,9,2,10,0,4,1,29,2,50,39,1
35,4,412354,6,0,14,4,4,0,-24,0,40,39,0
56,4,97736,0,2,12,5,1,0,-17,0,40,39,0
59,4,121385,5,1,3,1,4,1,7694,1,40,39,0
32,4,103072,15,4,5,3,4,0,-41,-2,36,39,0
22,4,270970,9,4,10,1,4,1,-28,-2,51,39,0
17,0,360231,15,4,0,3,4,1,-17,2,18,39,0
34,4,104589,7,4,8,1,4,0,10,-2,36,39,0
57,6,278164,14,2,4,0,4,1,25,2,40,39,1
33,6,285433,11,4,3,2,2,1,26,-2,40,39,0
20,6,110169,11,4,8,3,4,1,69,1,22,39,0
34,4,72783,11,4,12,1,0,0,-52,2,36,39,0
27,4,143161,1,4,7,3,4,1,66,-2,40,39,0
62,4,104079,11,0,12,2,2,0,39,-1,31,39,0
17,6,84721,15,4,0,3,4,0,5,-1,20,39,0
19,4,75552,15,4,0,3,4,1,-12,0,20,39,0
59,4,90826,11,2,14,0,2,1,13,-1,40,39,1
43,6,72933,9,4,12,1,4,0,-19,0,50,39,0
55,7,134051,6,2,11,0,4,1,4,0,50,39,0
27,4,118773,11,4,12,3,2,0,39,-3,30,39,0
35,4,367457,15,4,6,3,4,1,-38,2,40,39,0
56,4,156883,15,2,1,5,4,0,8,-1,40,39,1
50,4,106281,11,4,3,1,4,1,-32,-4,36,39,0
44,4,21292,2,2,7,0,4,1,18,0,40,39,0
31,6,87844,7,4,8,1,4,1,5,-2,38,39,0
37,6,202050,11,3,8,4,0,0,69,-1,35,39,0
22,6,85998,7,0,1,1,0,0,-31,0,40,39,0
24,4,231972,11,4,6,2,0,0,27,0,30,39,0
22,4,255616,15,4,5,3,4,0,-3,0,22,39,0
61,2,116754,7,0,10,1,0,1,14928,-3,51,24,0
41,6,36109,11,5,14,4,0,0,-10,-1,40,39,0
32,4,130747,15,2,4,0,4,1,11,-2,50,39,1
65,4,184928,8,6,8,4,4,0,38,1,20,39,0
32,6,72557,15,2,12,0,2,1,6,-2,40,39,1
30,4,154159,15,4,12,3,4,0,13,0,37,39,0
63,4,145159,15,2,14,0,4,1,31,1,40,39,1
56,5,89848,9,0,10,1,4,1,-22,-2,50,39,1
47,0,347699,15,2,0,0,2,1,-10,-2,40,4,0
35,0,308687,15,4,6,1,4,1,-30,1,40,39,0
30,6,170560,11,2,8,0,1,1,82,1,40,39,0
58,6,135039,7,3,3,1,0,1,-21,-1,40,20,0
36,4,229673,1,2,7,0,2,1,-32,0,40,39,1
31,4,331176,12,2,4,0,4,1,14,1760,51,39,0
48,4,120449,6,2,6,0,4,1,-25,1897,40,39,0
22,4,126225,15,6,8,1,4,0,61,-2,37,39,0
47,4,331397,6,2,13,0,4,1,15,-3,40,39,0
51,4,215249,0,2,9,0,4,1,-11,2,40,39,0
56,4,215491,15,2,10,0,2,0,6,2,36,39,1
74,6,277851,15,0,12,2,0,0,-50,-2,10,39,0
36,7,230171,9,6,5,4,4,0,17,2,34,39,0
25,4,200923,9,4,4,1,4,1,23,-3,37,39,0
24,7,86719,15,4,4,3,4,1,27,0,40,39,0
82,7,143817,9,6,10,4,4,0,-7,-1,50,39,1
45,4,172551,7,2,4,0,4,1,14683,-1,50,39,1
31,4,247686,1,4,7,3,4,0,-14,1,34,33,0
25,6,76494,1,2,14,0,4,1,59,-1,51,39,0
60,2,311260,9,6,10,5,2,0,26,-1,35,39,1
55,4,110742,12,2,1,0,1,0,31,-2,40,14,1
52,4,111325,15,2,12,5,4,0,5,-4,6,39,1
49,4,185203,6,4,7,4,4,0,-41,2,40,39,0
26,4,135479,15,4,8,1,4,0,32,0,15,39,0
76,2,256191,10,6,10,1,4,0,1,2,33,39,1
25,1,203022,11,5,13,1,2,1,32,-2,40,39,0
39,4,368934,15,2,3,0,4,1,27,-1,37,39,1
36,7,148285,6,0,4,4,4,0,30,0,29,39,0
65,4,104517,10,6,0,1,4,0,-10,1,10,39,0
64,5,98519,15,0,0,1,4,1,-14,-2,45,39,0
32,4,205170,6,4,7,3,4,1,10,2,40,39,0
43,4,374650,9,2,1,5,4,0,57,-1,40,39,1
30,4,409210,9,4,4,1,4,1,53,1,36,39,0
25,4,115527,9,0,10,1,4,1,50,0,40,39,0
66,4,82287,11,2,3,0,4,1,-42,1,36,23,0
17,4,155825,1,5,7,3,4,1,50,-2,40,26,0
49,6,27655,14,2,5,0,4,1,35,-2,60,39,1
60,6,48124,11,2,5,0,2,1,-9,1,40,39,0
66,2,31760,14,2,10,0,4,1,14,0,35,39,1
49,6,174572,15,2,5,0,2,1,-7,-1,40,39,0
19,6,407605,15,4,12,3,2,0,-62,-1,29,39,0
59,4,93019,4,1,3,1,2,1,33,-2,40,39,0
28,6,270539,15,4,4,1,4,1,-26,-2,40,39,0
63,5,209635,15,2,10,0,4,1,72,1,50,39,1
56,4,285254,8,1,3,1,4,1,54,-1,35,39,0
51,0,28619,11,4,0,0,2,0,-24,-1,31,39,0
57,4,169943,4,2,10,0,2,1,63,1,39,22,1
28,0,99643,15,4,0,3,4,1,30,-2,37,39,0
35,4,338314,7,2,12,0,3,1,-93,0,36,39,0
48,3,249124,12,2,2,0,2,1,-1,1,45,1,1
18,4,468563,11,4,1,1,4,0,81,-2,50,39,0
54,6,88264,12,2,1,0,2,1,78,1,57,39,0
52,4,111362,15,6,8,4,4,0,41,-1,40,39,0
40,4,109668,11,4,12,3,2,0,11,0,40,39,0
66,4,185541,8,6,8,4,4,0,-47,-1,36,39,0
28,0,148186,15,4,0,3,4,0,-15,0,40,39,0
36,2,196095,9,6,10,1,4,0,-23,-1,40,39,1
33,4,34288,15,2,12,0,2,1,15,1,66,39,1
60,4,99184,11,4,4,1,4,0,53,0,49,22,0
59,4,330112,10,6,9,1,4,0,-30,-2,14,39,0
29,0,93056,15,2,0,0,2,0,17,2,21,39,0
42,4,49978,15,5,8,1,2,0,28,-3,40,39,0
65,0,113507,12,4,10,1,4,0,65,-4,50,39,0
26,6,81817,12,4,10,1,4,0,17,-1,56,26,0
