age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,4,194875,15,4,7,1,4,0,5,1,40,39,0
18,4,60274,15,4,7,3,2,1,11,0,40,39,0
53,1,280785,11,2,4,0,4,1,3,-1,51,39,1
22,4,184088,11,4,14,3,4,1,10,0,19,39,0
47,2,369349,8,2,10,0,4,1,4123,0,40,39,1
47,4,38990,11,2,14,0,4,1,9,0,45,39,0
20,3,51425,15,4,0,3,4,1,5,0,4,39,0
49,4,139649,10,2,10,0,4,1,-23,1,44,39,1
41,4,288132,11,0,14,3,4,1,-25,0,9,39,0
28,0,164998,1,1,0,5,4,0,-20,0,48,39,0
27,1,34361,11,2,1,0,4,1,-21,0,40,39,0
48,4,111427,11,5,9,1,4,0,-8,1,40,39,0
50,1,114755,6,2,14,0,4,1,-6,1,40,39,0
69,0,43839,2,4,0,1,4,0,2,0,7,39,0
50,5,53632,9,2,4,0,4,1,15140,0,53,39,1
24,4,80075,9,5,1,1,4,0,19,0,40,39,0
48,5,115724,9,2,4,0,4,1,7663,0,51,39,1
27,4,366150,8,4,4,1,4,1,7,1851,40,39,0
37,4,127495,4,4,7,2,3,1,16,-1,40,39,0
31,4,192619,11,5,8,2,4,0,19,0,40,39,0
45,4,143659,0,0,10,4,4,0,15,0,40,39,0
49,4,45874,15,0,7,1,4,0,-5,-1,40,39,0
27,4,373040,9,1,7,5,4,0,-39,0,40,39,0
23,4,187000,15,5,1,4,4,0,1,0,40,39,0
47,4,111779,9,2,4,0,4,1,5,0,40,39,1
51,5,57561,9,2,4,0,1,1,7501,0,40,39,1
20,4,193222,15,4,12,3,4,0,0,-2,18,39,0
48,4,22745,11,0,14,1,4,1,-4,1,50,39,0
55,4,165775,11,0,3,1,4,0,1,1,40,39,0
75,6,249509,3,4,5,1,4,1,-23,0,61,26,0
22,7,170593,7,4,5,1,4,1,7,-1,40,39,0
47,4,191834,11,2,4,0,4,1,2,1,49,39,1
32,4,71280,9,2,10,5,4,0,-4,0,7,39,0
57,4,25693,9,2,4,0,4,1,-17,0,60,39,1
64,0,130336,9,2,0,0,4,1,-10,0,22,1,0
36,5,238671,11,2,12,5,4,0,14612,0,47,39,1
32,2,166252,15,2,1,0,4,1,-25,1,40,39,0
60,4,369415,8,6,4,4,4,0,9,0,30,39,0
20,8,122542,11,4,5,3,4,1,-2,0,12,39,0
46,4,252710,3,0,5,2,4,0,-7,0,46,39,0
25,6,79136,11,2,12,0,4,1,0,1,40,39,0
23,4,68655,1,4,5,2,4,0,-30,0,32,39,0
47,4,101777,10,2,10,0,4,1,35,-1,44,39,1
24,4,328137,11,4,3,1,4,1,2,-1,40,39,0
45,2,331559,15,0,1,1,4,1,0,-1,40,39,0
36,4,166775,15,3,13,1,4,1,8,-1,40,39,0
26,4,428403,12,2,4,0,4,1,-10,-1,51,39,1
40,1,209619,11,2,1,0,4,1,0,-1,40,39,0
51,6,177233,12,2,4,0,4,1,27,0,41,39,1
34,4,175531,1,5,6,4,4,1,31,0,40,39,0
32,4,187828,15,2,7,0,4,1,0,-1,40,39,0
19,4,259530,2,4,9,2,4,0,15,0,15,39,0
46,4,182805,9,2,5,0,4,1,-27,0,47,39,0
69,2,95432,5,6,1,4,4,0,-3,0,30,39,0
42,4,231908,3,2,6,2,4,1,7,0,40,39,0
36,1,211889,10,2,4,0,4,1,-19,-1,50,39,1
39,6,342773,15,2,4,0,4,1,5,1853,46,39,1
27,4,158182,11,4,1,3,4,0,-2,0,17,39,0
45,4,177469,9,4,4,1,1,1,-29,0,53,39,1
29,4,125642,9,5,10,1,4,0,5,0,40,39,0
24,6,130205,15,2,14,0,4,1,-13,1,40,39,0
41,1,52987,9,2,11,0,4,1,4,0,40,39,1
48,5,102105,11,2,7,5,4,0,-4,0,35,39,1
52,1,269443,9,2,4,0,4,1,-16,1,40,39,1
27,4,124285,8,4,6,3,4,1,-15,-1,40,39,0
46,5,135842,12,2,10,0,1,1,7572,0,5,39,1
59,1,97747,9,2,4,0,4,1,4368,0,40,39,0
54,5,200484,9,2,10,0,1,1,15062,0,23,39,1
29,1,38103,9,2,4,0,4,1,-16,0,40,39,1
50,6,50669,11,2,3,0,4,1,-11,-1,40,39,0
20,4,405822,15,2,12,5,4,0,-3,1,40,39,0
35,2,135190,15,4,1,1,4,1,-15,0,18,39,0
18,4,200891,7,2,8,5,4,0,15,1,44,39,0
48,4,211475,11,2,3,0,4,1,-14,0,40,39,0
37,4,339665,9,2,4,0,4,1,-18,2208,49,39,1
28,4,256305,9,5,13,4,4,0,11,1,48,39,0
36,1,115457,11,4,1,4,2,0,-20,1,40,39,0
27,1,124619,9,4,11,3,4,1,3,1,35,39,0
32,5,176714,9,2,10,0,1,1,-19,-1,47,39,1
50,5,106357,15,2,4,0,4,1,101822,1,60,39,1
43,4,80804,0,2,8,0,4,1,3,1,50,39,1
30,4,127164,7,5,12,4,4,0,-11,1,44,39,0
52,2,54804,14,2,11,0,4,1,7328,-1,40,39,1
29,2,402211,9,2,4,0,4,1,-11,0,51,39,1
42,4,41299,15,2,12,0,4,1,3,0,48,39,1
42,4,34731,15,0,4,1,4,1,24,1,51,39,1
50,5,22100,15,2,7,0,4,1,5,0,40,39,1
52,4,31276,11,0,3,1,4,1,-32,0,40,39,0
28,2,56497,15,4,13,0,4,1,-13,-1,40,39,0
50,4,183615,15,2,7,5,2,0,23,1,33,39,0
28,4,142117,15,4,6,3,4,0,18,0,40,39,0
61,1,10636,11,2,0,1,0,1,6,0,40,6,0
47,6,39262,15,2,14,0,4,1,-12,-1,36,39,0
37,4,184921,7,2,7,0,4,1,4,0,31,39,0
65,4,127017,11,3,9,4,0,0,0,1,40,39,0
52,4,172044,15,2,10,0,4,1,26,1,40,39,1
32,4,182075,11,2,7,0,4,1,4,-1,40,39,1
46,4,208022,3,2,5,0,4,1,-31,0,40,39,1
63,4,17788,5,2,14,0,4,1,2144,0,40,39,0
28,4,148006,9,4,4,1,4,0,-18,0,40,39,0
17,0,308997,11,4,0,3,4,1,-16,0,6,39,0
52,1,18029,11,2,4,0,4,1,-26,-1,40,39,1
27,0,239768,15,4,1,3,4,0,12,0,40,39,0
53,4,176852,8,0,4,1,4,0,10,0,40,39,0
31,4,24539,15,0,4,1,4,0,-9,0,40,39,0
57,2,79919,9,2,4,0,4,1,-10,1,40,39,1
50,4,110913,11,5,4,1,4,0,4777,1,48,39,1
60,4,79142,4,6,9,2,4,0,-17,0,30,39,0
43,5,136697,8,2,12,0,4,1,2921,0,47,39,1
25,4,447765,15,4,3,3,2,1,11,0,34,39,0
23,4,49533,15,4,8,1,0,0,-9,0,40,39,0
26,1,29008,11,2,1,5,4,0,-16,0,40,39,0
24,4,98336,15,2,13,0,3,1,-9,0,47,39,0
30,4,293778,11,2,8,5,4,0,1900,1,35,39,0
49,4,117688,9,2,14,0,4,1,0,0,54,39,1
23,4,89468,9,4,10,1,4,0,5,0,40,39,0
39,4,122557,1,4,6,1,4,0,-2,-1,40,39,0
57,4,28944,11,2,14,0,4,1,9,-1,51,39,0
36,6,25957,11,2,3,0,4,1,-8,0,46,39,0
39,6,147992,15,2,4,5,4,0,-17,1,30,39,1
19,4,141395,11,4,6,3,4,1,0,1,40,39,0
41,5,56052,9,5,1,4,4,0,3,1,60,39,1
50,4,17405,8,2,6,0,4,1,9,1,40,39,1
27,4,64882,11,5,4,1,4,1,30,0,50,39,1
58,4,349983,11,0,4,1,4,0,4,0,40,39,0
26,7,359364,7,4,12,3,4,1,-4,2069,40,39,0
59,4,32028,11,2,12,0,4,1,-7,-1,50,39,1
51,0,42722,11,0,0,3,4,1,-28,-1,36,39,0
50,7,36719,12,4,10,1,4,1,5,1,40,39,0
26,4,325361,9,4,1,1,4,1,-6,-1,7,39,0
46,4,340080,11,2,7,0,4,1,13,0,40,39,0
33,4,160171,15,4,13,3,4,1,12,0,40,39,0
27,1,185907,9,2,2,0,4,1,-5,0,40,39,0
53,4,150403,11,2,14,0,4,1,-2,0,60,39,0
46,7,51267,15,2,1,0,4,1,27,1,46,39,1
62,4,274666,4,4,9,4,4,0,-10,0,32,39,0
48,5,52018,9,2,4,0,4,1,8,0,52,39,1
44,1,198789,9,2,10,0,4,1,-12,1,45,39,1
20,4,308330,15,4,6,3,4,1,21,0,31,39,0
38,4,129370,9,4,12,3,1,1,-5,0,48,33,1
44,4,148402,9,4,4,1,4,1,7525,1,50,39,1
50,6,113720,11,0,4,1,4,0,0,0,43,39,1
18,4,183932,0,4,7,1,4,1,-9,0,24,39,0
42,4,250261,9,5,10,4,4,0,-4,1807,46,39,1
40,4,196354,7,5,5,1,4,0,17,0,48,39,0
23,4,196432,11,5,7,1,4,1,-4,0,31,39,0
32,4,113121,15,2,7,0,3,1,-10,0,40,39,0
59,0,305176,7,2,0,0,4,1,-8,0,40,39,0
52,5,131478,15,2,7,0,4,1,43,1983,54,39,1
43,6,43194,15,2,4,0,4,1,-7,0,60,39,0
40,4,125223,0,2,14,0,4,1,-4,0,40,39,1
67,4,241721,15,2,1,0,3,1,2,1,40,39,0
22,4,218828,15,5,7,2,4,1,9,0,48,39,0
22,6,116856,9,4,10,3,4,1,-1,0,40,39,0
18,4,76654,11,5,8,2,4,1,-4,1,35,39,0
56,1,50216,15,2,14,0,4,1,7,0,40,39,0
50,4,76689,15,2,4,0,3,1,5,1,40,39,0
20,1,303301,15,4,2,3,4,1,3,0,33,39,0
36,4,377048,11,4,6,2,4,1,-19,0,40,39,0
25,4,214531,15,4,8,2,4,0,-17,0,40,39,0
18,0,114890,0,4,0,3,4,0,-1,0,5,39,0
26,4,187093,15,5,1,4,4,1,4,0,40,39,1
48,7,58723,12,2,10,0,4,1,7,0,5,39,0
47,6,117912,2,4,14,4,4,1,-26,0,48,39,0
33,4,134420,15,2,1,5,4,0,-6,0,40,39,1
39,2,59576,9,2,10,0,4,1,18,0,56,35,0
