age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,4,135064,15,0,4,4,0,0,2,0,60,39,1
46,4,303947,10,2,10,5,4,1,-15,1,45,39,1
62,2,27183,15,2,1,0,4,1,-17,0,40,39,0
48,4,126050,1,1,7,0,4,1,18,-1,46,39,1
54,4,46143,11,6,8,4,4,0,20,0,40,39,0
40,4,131008,8,0,13,4,4,0,-23,1,51,39,0
53,4,27820,5,0,3,4,4,0,13,2,40,39,0
45,1,225002,11,2,11,0,4,1,26,0,40,39,1
27,4,70095,15,4,1,2,4,0,-19,0,40,39,0
33,4,28288,9,0,1,1,4,0,10,1,40,39,0
51,7,46547,8,2,4,4,2,0,-8,0,47,39,0
24,4,337752,3,4,8,2,4,0,-15,1,40,39,0
28,0,83466,9,2,0,0,4,1,0,-1,40,39,1
50,4,412428,8,2,13,0,4,1,-1,0,40,39,1
30,4,235446,15,5,7,4,2,1,-9,0,40,39,0
31,5,92450,14,4,10,1,1,1,15397,0,52,39,1
52,4,105538,9,0,10,1,4,0,4565,0,40,39,1
50,6,100843,6,0,3,4,4,0,28,0,42,39,0
59,4,311854,11,6,9,2,0,0,-22,0,40,39,0
17,4,167917,11,4,4,2,4,0,-9,1,16,39,0
20,4,202328,15,4,14,3,4,1,7,0,18,39,0
49,4,195033,15,2,1,0,4,1,-3,0,48,39,0
22,4,82220,11,4,14,3,4,0,-16,1,40,39,0
39,2,42963,15,4,11,1,2,1,-5,0,49,39,0
59,1,294798,15,0,4,1,4,0,-14,0,60,39,0
54,4,49399,8,0,4,1,4,0,-21,0,60,39,0
56,0,51327,11,2,0,5,4,0,5,1,4,7,0
55,6,139864,12,6,4,1,4,1,3,1,46,39,0
53,4,115472,1,1,0,5,4,1,4,-1,40,39,0
22,4,184469,15,2,7,0,4,1,6,0,40,39,0
55,4,139722,9,6,4,1,4,0,12,1,17,39,1
27,4,335518,11,4,3,1,4,0,12,0,51,39,0
61,4,161601,10,2,10,0,4,1,15,1,50,39,1
46,1,186385,9,4,1,4,4,1,-20,1,40,39,0
54,4,131600,15,0,3,1,4,1,-14,0,43,39,1
47,1,160754,12,2,2,0,4,1,-36,0,51,39,0
36,4,236282,15,4,3,1,4,1,23,0,48,39,0
44,1,37507,15,2,4,0,4,1,-22,0,46,39,1
27,5,236757,8,4,13,1,4,1,13,1,56,39,0
55,4,144823,14,2,10,0,4,1,-24,0,47,39,1
66,2,47516,5,6,4,4,4,0,7716,0,40,39,0
49,4,115817,15,0,4,1,2,0,22,0,46,39,0
40,1,48600,9,2,4,0,4,1,7393,1,40,39,0
51,1,55350,9,2,11,0,4,1,7,0,40,39,0
50,4,39504,8,6,13,1,0,0,-9,1,40,39,0
31,6,26111,7,4,5,3,4,1,7,-1,48,39,0
49,4,123157,15,5,1,4,4,0,3,0,60,39,0
23,4,78802,15,4,10,1,4,1,-3,0,17,39,0
25,4,45151,11,2,8,2,4,0,-3,0,40,39,0
55,2,28998,15,6,1,1,2,0,14,0,40,39,0
22,1,48955,15,4,3,1,4,1,-34,0,40,39,0
40,4,26819,9,2,4,0,4,1,-6,0,66,39,1
48,1,25022,11,4,1,4,0,0,-14,1,40,39,0
