age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
47,4,221151,11,2,3,0,2,1,49,0,57,39,1
47,4,74554,7,4,3,1,2,1,37,-2,40,39,0
20,4,213974,1,4,12,3,4,1,16,-2,35,39,0
31,4,83907,2,2,4,0,4,1,23,0,40,39,0
28,4,274748,3,2,6,0,3,1,52,-1,40,4,0
46,7,170945,14,4,10,1,2,1,11,0,43,39,0
25,2,128800,9,3,10,1,4,1,24,1,40,4,0
38,4,155988,12,2,10,0,4,1,-1,-1,58,39,1
32,4,211623,9,2,3,0,4,1,-26,-5,58,39,1
26,5,100529,9,4,9,2,1,0,42,1,40,39,0
20,4,89032,1,4,11,3,4,1,0,2,35,39,0
21,4,278696,11,4,6,3,4,0,-1,-1,40,39,0
48,4,150438,12,2,10,0,4,1,38,0,69,39,1
22,4,120133,9,2,1,5,4,0,-6,-1,40,39,0
18,4,157173,1,5,8,4,0,0,-6,-4,40,39,0
39,4,153747,12,2,10,0,4,1,72,-1,58,39,1
37,4,66605,15,2,10,0,4,1,11,0,40,39,1
22,4,173039,15,4,0,3,2,0,-9,2,20,39,0
18,4,73600,15,4,8,3,4,1,18,0,40,39,0
18,2,134739,1,2,11,3,1,0,-49,-1,10,39,0
56,4,141113,11,2,10,0,4,1,53,0,62,39,1
29,4,96280,11,2,10,5,4,1,23,-2,40,39,0
19,1,173315,11,4,8,3,0,0,8,-1,40,39,0
17,0,155243,11,4,0,1,2,0,52,-1,8,39,0
38,4,270063,15,0,1,4,4,0,18,-5,40,39,0
14,4,165280,1,4,8,3,2,1,11,-3,36,39,0
22,6,262134,15,6,8,4,4,0,1,-1,40,39,0
17,4,130670,15,4,8,3,4,0,-2,-4,29,39,0
73,4,218342,12,2,10,0,4,1,-20,-1,57,39,1
28,4,122815,1,4,12,1,2,0,-4,3,36,39,0
55,5,92431,15,2,12,5,4,0,-4,0,16,39,1
62,4,99081,8,2,10,0,4,1,-51,1,59,39,1
20,4,196334,2,4,3,3,4,1,35,1,19,39,0
26,4,146941,15,4,12,3,4,0,12,0,46,39,0
49,4,234256,11,2,3,0,4,1,-40,-4,40,39,1
66,4,495584,14,2,10,0,4,1,-34,0,49,39,1
22,4,154688,11,4,8,3,2,0,23,2,34,39,0
18,4,126012,1,4,1,3,4,1,53,-3,36,39,0
74,1,202861,3,2,6,0,4,1,34,-1,44,39,0
30,4,284355,2,4,5,3,4,1,-23,0,40,39,0
26,4,168545,15,4,12,3,4,0,-32,0,34,39,0
29,4,160814,2,4,7,1,2,1,45,0,40,39,0
40,4,159250,4,2,4,0,1,1,35,2,40,39,1
20,4,79953,15,4,12,3,4,0,38,1,7,39,0
32,4,343000,11,2,5,0,3,1,47,0,40,39,0
28,4,179769,11,5,7,1,1,1,48,2,40,22,0
60,4,245833,12,4,10,1,2,1,17,-2,56,39,1
48,5,276800,5,2,10,0,4,1,-13,1,44,39,1
81,4,283524,7,6,7,1,4,0,34,-3,29,39,0
51,4,180642,13,6,6,4,4,0,15,-2,40,39,0
34,2,60669,1,2,11,0,4,1,-15,1,40,39,0
29,4,158063,6,3,4,0,4,1,48,3,43,39,0
20,0,163914,11,4,8,3,4,0,-46,3,10,39,0
55,4,147353,6,2,7,0,4,1,-11,1,40,39,0
65,0,226771,15,6,8,1,0,0,45,1,40,39,0
36,4,186182,5,3,12,1,4,1,-28,0,40,20,0
29,4,13004,11,4,1,3,4,1,-18,-1,40,39,0
47,4,321848,1,6,8,4,4,0,-31,-3,40,39,0
66,4,134199,11,2,10,0,4,1,-24,0,56,39,0
48,4,184471,9,2,3,0,4,1,-18,-1,56,39,1
28,4,152180,2,4,3,3,2,1,22,-1,40,39,0
19,4,155417,2,4,3,3,2,1,41,0,35,39,0
31,4,120786,2,4,12,1,4,1,16,-2,44,39,0
26,4,130639,6,3,7,1,4,1,-16,0,40,39,0
65,6,109223,8,0,12,1,4,1,-67,0,60,39,0
46,1,168881,7,6,1,1,2,0,-51,2,40,39,0
72,6,190120,11,2,4,0,4,1,35,0,51,39,1
78,6,90613,2,2,12,0,4,1,-41,-2,59,39,1
21,4,86273,15,4,12,3,4,0,-54,1,9,39,0
74,4,132208,9,2,10,0,4,1,50,3,57,39,0
25,4,159216,5,2,7,2,4,1,-45,1,40,39,0
52,4,201900,3,2,5,0,3,1,-11,-1,40,39,0
20,5,170235,9,4,9,3,4,0,61,-1,18,39,0
51,7,239798,11,4,13,1,4,1,-29,2,40,39,0
41,1,67889,1,0,1,4,4,1,9,-2,52,39,0
21,4,158665,2,4,5,3,4,1,-8,-1,33,39,0
22,4,145185,2,4,3,3,4,1,16,0,34,39,0
69,4,352338,14,2,12,0,4,1,-16,-1,54,39,1
48,6,82839,2,2,5,0,4,1,9,-2,40,39,0
76,4,195524,2,4,10,0,4,1,-92,0,40,39,0
52,6,374700,14,2,10,0,4,1,-31,-1,40,39,1
21,6,16090,7,4,10,1,4,1,16,0,50,39,0
47,4,228743,9,2,12,5,4,0,62,0,40,39,0
17,4,204432,1,4,8,3,2,0,-6,-2,21,39,0
38,4,165311,2,2,10,0,4,1,18,0,44,39,1
49,7,78564,11,4,10,3,4,1,37,-1,40,39,0
19,4,184519,15,3,3,1,4,1,-4,3,40,39,0
44,4,141214,12,4,10,1,4,0,42,2,40,39,1
45,7,213979,14,4,10,1,4,1,-9,-2,44,39,0
19,4,168084,15,4,12,3,4,0,25,-1,10,39,0
66,2,148401,6,3,3,1,4,1,44,2,52,39,0
17,4,178146,0,4,11,3,4,1,53,1,34,39,0
54,4,205300,14,2,10,0,2,1,-41,-1,40,39,0
22,4,160230,15,2,2,5,4,0,70,-1,40,39,0
54,4,166938,11,4,7,1,2,1,26,1,35,39,0
72,4,110240,15,2,8,0,4,1,3,-1,36,39,0
63,5,200979,9,2,10,0,4,1,17,-1,44,39,0
25,4,141489,15,2,12,5,4,0,25,1,40,39,0
19,4,155052,9,4,12,3,2,0,-9,2,8,39,0
52,4,182895,12,2,10,0,4,1,-17,-2,40,39,1
26,4,110390,9,4,10,5,4,0,-17,2,40,39,0
68,4,76978,6,4,7,1,4,1,-44,4,58,39,0
48,4,258015,11,2,10,0,4,1,-14,0,59,39,1
53,5,225019,11,2,13,1,4,1,6,2,40,39,0
53,4,127062,11,2,10,3,4,1,-2,1,56,39,0
42,4,204172,11,0,7,1,4,1,-22,0,40,39,0
36,6,155782,15,2,8,0,4,1,37,0,50,39,0
33,4,158546,4,4,3,3,2,1,86,0,40,27,0
60,4,214773,14,2,10,0,4,1,-28,-1,57,39,1
59,4,330399,14,2,14,0,4,1,48,0,55,39,1
21,4,330624,2,2,5,0,4,1,7,1,40,39,1
57,4,94139,6,3,3,1,4,1,27,1,40,39,0
22,5,82015,9,4,10,2,4,1,-4,-1,40,39,0
48,5,155570,9,2,12,5,4,0,45,-3,6,39,1
24,5,184722,12,4,10,1,4,0,4,-4,56,39,0
34,4,309234,11,5,6,1,4,0,-11,2,40,39,0
31,4,169022,8,0,10,4,4,0,72,-3,40,39,0
46,4,324605,7,0,7,4,4,1,2573,0,40,39,0
19,4,181246,1,4,8,4,4,0,-45,-1,40,39,0
61,5,160436,9,2,10,0,4,1,76,0,58,39,1
45,4,131696,12,4,12,0,4,1,-4,1,40,39,0
21,4,199591,4,2,3,0,4,1,23,-2,40,20,0
68,6,51975,11,2,3,0,4,1,-20,0,61,39,1
25,4,162841,6,4,7,3,4,1,25,-1,45,39,0
40,4,153783,6,4,12,1,4,1,-21,1,57,39,0
26,5,125292,11,2,12,5,4,0,57,0,40,39,0
27,4,185295,11,2,8,4,0,0,-33,-2,40,39,0
19,2,188623,15,2,11,3,4,0,3,-1,55,39,0
18,4,93402,11,4,8,3,2,1,48,2,40,39,0
63,4,116421,1,6,8,1,4,0,-15,-1,54,39,0
44,4,256929,12,0,10,1,4,1,0,1871,54,39,0
27,4,60164,9,4,12,1,4,0,-4,1,54,39,0
49,4,134577,12,2,3,0,4,1,-25,-2,49,39,1
45,6,303008,2,2,4,0,4,1,25,-1,57,39,1
22,4,71532,2,4,12,1,4,0,6,-3,20,39,0
75,6,104500,2,2,12,0,4,1,37,-1,59,39,1
52,4,231898,12,2,10,0,4,1,27,2,40,39,1
30,4,71404,11,5,6,4,4,0,10,3,40,39,0
76,4,175119,0,0,12,1,2,1,30,0,40,39,0
44,4,80063,10,2,10,4,4,1,15580,-2,49,39,1
28,2,150758,9,4,12,1,2,0,30,2,44,39,0
64,1,41104,15,6,10,5,2,0,-37,1,40,39,0
19,4,103587,11,4,8,3,4,0,34,-3,35,39,0
18,4,193875,1,4,12,3,4,1,65,1,10,39,0
60,4,290332,12,2,10,0,4,1,50,0,40,6,1
55,6,61917,11,2,8,0,4,1,-13,1,40,39,0
21,4,155345,15,6,1,3,4,1,65,1,49,39,0
