age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
51,4,245949,8,3,8,4,4,1,-50,-2,40,39,0
23,4,181384,15,4,10,1,4,0,-61,2,40,39,0
40,4,293426,11,5,3,1,4,1,-31,-4,58,15,0
68,4,170858,9,2,4,0,4,1,-44,-3,40,39,1
72,6,188552,15,4,5,0,4,1,3,-4,40,39,0
21,0,192666,15,4,0,3,4,1,14,-3,19,4,0
60,4,146325,9,2,7,0,4,1,14,-3,40,25,0
43,4,368660,15,5,1,4,4,0,-37,-2,18,39,0
64,4,169636,4,2,10,0,1,1,23,-2,43,39,0
79,0,189108,6,2,0,0,4,1,-9,-3,18,39,0
21,4,388959,4,4,8,2,4,1,18,-1,40,39,0
75,6,146982,1,2,14,0,4,1,-16,-3,21,39,0
73,4,114715,11,2,10,0,4,1,-8,0,40,39,0
37,4,297771,0,4,1,1,2,0,9,0,40,39,0
78,2,107016,12,2,10,0,4,1,8614,1,40,39,1
54,6,22822,8,2,4,0,4,1,-33,-1,40,39,0
55,4,210130,15,2,4,0,4,1,7,1,23,39,0
66,6,149768,14,2,5,0,4,1,23,0,45,39,0
70,4,383159,9,2,4,0,4,1,46,3,46,39,0
17,4,226998,11,4,8,3,4,1,36,-2,47,39,0
30,4,239892,11,4,3,4,4,1,-29,-3,45,39,0
21,4,186592,1,4,0,3,4,1,28,1878,40,39,0
30,4,211066,9,4,10,2,1,1,-44,-5,40,16,0
39,4,106869,4,5,8,2,1,1,-57,0,24,24,0
50,4,160435,11,0,5,4,4,1,-3,0,25,39,0
39,4,157501,0,5,4,1,2,1,-19,-5,40,39,0
66,1,318765,11,2,3,0,4,1,33,-1,40,39,0
65,4,300417,6,4,3,3,3,1,30,-3,20,25,0
71,4,209500,15,2,7,3,4,1,-18,-1,44,39,0
37,2,141715,8,2,3,0,4,1,-36,0,45,39,0
67,4,25705,11,2,10,0,4,1,9,-2,19,39,0
55,6,74674,12,6,4,0,4,1,-19,0,40,39,0
21,0,162396,11,4,0,3,4,1,-40,-1,22,39,0
43,4,184529,15,4,3,1,1,1,-41,-3,40,22,0
46,4,226782,11,0,12,4,2,1,26,-2,22,39,0
66,0,196833,11,2,0,0,2,1,-25,-2,12,39,0
32,4,173832,4,4,8,2,4,1,-12,-1,44,39,0
48,4,161586,9,2,4,0,4,1,-33,-2,44,39,1
61,4,34131,13,6,10,3,4,1,-25,1,22,39,0
46,4,134564,12,2,10,0,4,1,14,0,40,39,1
19,4,85662,15,4,10,3,4,0,-9,0,25,39,0
20,4,264419,15,4,8,3,4,1,-26,0,40,39,0
71,0,72389,6,2,0,0,4,1,-12,-3,58,39,0
35,4,117679,14,2,10,0,4,1,-2,-2,64,39,1
58,4,174366,11,2,8,0,4,1,3,-4,44,39,0
60,4,134403,15,1,9,1,4,0,71,2,16,39,0
24,2,192763,0,4,10,3,4,0,33,0,40,39,0
68,2,65373,2,2,11,0,0,1,-22,-3,18,39,0
29,4,245518,14,2,4,5,4,0,31,0,40,39,1
63,7,177285,0,6,10,4,4,0,-20,-3,19,39,0
17,4,207746,13,6,9,3,4,1,-51,0,21,39,0
36,7,237456,0,5,1,1,2,1,-39,-1,45,39,0
22,4,200114,15,0,1,4,4,0,7,-3,20,39,0
39,4,97605,15,2,13,0,0,1,-33,1,19,19,0
21,4,244134,11,4,8,3,4,1,3,1,40,39,0
38,4,71591,6,2,0,0,4,1,68,-1,40,39,0
