age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
61,0.0,104542,1,9,2,10.0,1,0,1,-34,0,40,-0.020285760144860283,0
31,0.0,97762,8,4,0,10.0,3,0,1,-10,-1,34,-0.0022623667073411267,0
40,4.0,92343,1,10,0,3.0,0,0,0,50,-3,40,-0.013339564829693229,1
27,0.0,206789,15,1,2,2.0,3,0,0,12,0,30,29.498207814716263,0
37,0.0,115660,12,6,1,7.0,4,3,0,-10,-1,40,-0.029109253585507228,0
22,0.0,446513,14,3,2,9.0,3,3,1,13,0,30,19.437444002335898,0
44,2.0,193713,4,15,0,4.0,2,0,1,20,0,60,-0.036567854819724695,1
25,3.0,464798,3,9,2,8.0,3,1,0,-3,0,40,11.267774311146155,0
23,4.0,133608,1,10,2,6.0,3,0,1,47,0,68,-0.009502200113813834,0
29,0.0,88598,3,9,1,2.0,1,0,0,31,1,35,30.57589601336821,0
20,0.0,152902,1,10,2,6.0,1,4,1,22,1,40,-0.001157398024460466,0
31,0.0,207515,1,10,0,7.0,3,0,1,-13,1,40,-0.013879563207814503,0
45,2.0,116586,4,15,0,1.0,2,0,1,-7,0,59,15.587202243315009,1
44,0.0,357012,10,14,2,5.0,5,0,1,2,0,45,27.036860706997825,0
22,0.0,339280,8,3,2,11.0,3,4,0,-5,0,40,-0.024582335849352665,0
28,0.0,515795,8,4,1,7.0,3,3,0,18,1,13,27.1031925824879,0
48,0.0,224278,1,10,3,4.0,3,4,1,16,1,40,-0.026471105369084518,0
20,5.0,176950,3,9,2,3.0,1,0,1,18,0,40,-0.016807082118685597,0
49,1.0,191176,3,9,0,1.0,2,0,0,-44,0,34,0.006468967576249256,0
19,0.0,190763,0,13,2,4.0,1,0,0,-14,1,33,0.00040899436248798243,0
45,0.0,289695,0,13,0,5.0,2,0,1,-45,0,48,-0.03432010323143503,1
51,0.0,324537,1,10,4,2.0,3,0,1,14,0,40,-9.383293042593205e-05,0
20,0.0,381722,3,9,3,4.0,3,0,0,13,-1,40,-0.014697967613647434,0
38,0.0,203078,12,6,1,0.0,1,0,0,36,0,33,-0.022023122538682792,0
63,0.0,125671,1,7,0,0.0,2,4,1,-45,0,40,30.455391634399252,0
22,4.0,187974,3,9,2,2.0,3,4,0,-24,3,32,-0.02130308311048718,0
61,1.0,183529,0,13,0,0.0,2,0,0,-27,1,50,-0.013400174787891298,0
63,0.0,37536,0,13,5,2.0,5,4,0,7,0,32,-0.02866906779604042,0
71,3.0,373035,10,14,0,5.0,2,1,1,-18,0,40,0.02022253269199454,1
42,0.0,135755,13,16,0,5.0,2,0,1,7749,1929,60,-0.02112728813142619,1
20,0.0,340258,3,9,2,6.0,4,0,1,18,1,40,-0.023848253193787562,0
77,0.0,141466,11,2,0,7.0,2,1,1,30,2150,48,12.452318134855394,0
26,0.0,134511,10,14,0,5.0,0,1,1,8,-1,48,-0.032981790029045936,1
42,0.0,173835,5,12,0,3.0,2,0,1,32,0,40,-0.003892288862901678,1
68,0.0,219717,3,9,2,6.0,3,0,1,31,1,40,-0.01101750254252344,0
39,0.0,493179,0,13,0,1.0,2,0,1,-7,1,47,-0.0060076009128199725,1
29,0.0,281132,3,9,0,3.0,2,0,1,-47,-3,40,-0.00960642938023301,1
40,0.0,144891,1,10,1,2.0,5,0,0,15,1,40,-0.01360068992131367,0
24,0.0,101754,3,9,2,3.0,1,0,0,-7,0,32,-0.003853818313654481,0
45,0.0,439700,10,14,0,4.0,2,0,1,7646,1,48,0.0037735639250474936,1
63,1.0,47090,0,13,0,3.0,2,0,1,34,-1,60,-0.019575427476906288,1
34,5.0,155324,3,7,0,12.0,2,0,1,5,-1,40,-0.02035040482540957,0
22,0.0,218456,1,10,0,3.0,0,0,0,-5,1,32,-0.0072278135013564655,0
48,1.0,325556,1,9,0,6.0,2,0,1,17,1,65,0.029667260061289547,0
44,5.0,389903,9,8,2,6.0,3,4,0,13,0,40,0.02509525885449548,0
25,0.0,323381,3,9,2,10.0,5,4,1,8,2092,40,0.0026170556110026435,0
44,0.0,64033,1,10,0,3.0,2,0,1,27,0,49,-0.00705325478465049,1
34,0.0,205717,8,4,0,9.0,2,0,1,6,0,34,0.0009834466308133334,0
33,0.0,77767,3,9,5,1.0,5,2,1,7331,1,40,-0.02522798818758545,0
30,0.0,394600,2,7,0,1.0,1,4,0,-9,-1,32,-0.050810653892768363,0
22,0.0,243905,3,9,2,4.0,3,0,1,14,0,31,-0.016760161442507183,0
47,0.0,148683,1,14,0,1.0,2,0,1,-8,-2,60,-0.015097066459284608,1
29,0.0,247069,6,11,0,8.0,2,0,1,10,-1,40,0.0070585870553223524,1
37,0.0,189499,13,13,0,3.0,2,0,1,35,1,60,-0.0250380112040214,1
48,0.0,105640,3,9,1,2.0,5,0,0,-22,1,40,-0.023986689113854622,0
36,3.0,147206,4,15,2,5.0,3,0,1,37,0,40,-0.033601179113046824,1
51,0.0,137538,10,14,0,4.0,2,0,1,8082,1,48,-0.002149903437095536,0
33,0.0,130196,13,16,0,3.0,2,0,1,24,0,40,0.0095926384165359,1
29,0.0,489132,14,3,2,7.0,5,3,0,25,1,40,27.659786623404905,0
43,1.0,175399,10,14,0,5.0,2,0,1,16,1,66,0.004038940817012488,1
20,5.0,147085,1,10,2,6.0,1,1,1,13,1,40,-0.008688613438929784,0
