age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,0.0,124464,0,13,0,1.0,2,0,1,21,0,40,-0.04011377609644514,0
58,0.0,132058,3,9,3,4.0,3,4,1,18,1,31,0.005381976898089441,0
63,0.0,140073,1,10,0,3.0,2,0,1,45,-1,40,6.2202354318786955e-06,0
59,0.0,138828,1,13,2,4.0,1,0,1,6,1,59,-0.028254997571378962,1
31,3.0,366349,3,9,2,8.0,3,0,1,13,-1,40,0.01868534167172226,1
34,0.0,429010,3,9,2,10.0,1,0,1,-8,0,40,0.00953462830151902,0
23,0.0,161471,2,3,2,1.0,1,0,0,47,1,31,0.01373518423461294,0
24,0.0,296576,0,13,0,5.0,0,0,0,8,1,30,0.0005681211653872567,1
49,0.0,120748,1,13,0,3.0,2,0,1,43,-1,46,-0.005971895084174121,1
51,0.0,368781,14,3,0,12.0,2,0,1,2,1,48,29.154250907588136,0
43,0.0,250087,10,14,1,4.0,5,0,0,5,0,43,0.0030035109367126927,1
69,1.0,169051,3,9,4,2.0,3,0,0,-21,1,5,-0.020065658337833896,0
60,1.0,135165,1,10,6,4.0,5,0,0,24,0,31,-0.006887229588474343,0
68,0.0,250615,1,10,0,7.0,5,4,1,-12,-1,32,0.008187425723473193,0
60,0.0,219236,1,10,4,5.0,5,0,0,34,0,40,-0.02463743673730343,0
62,1.0,388353,9,8,0,9.0,3,4,1,40,1,40,20.48826420178843,0
22,0.0,422035,3,9,2,0.0,3,0,0,-11,0,35,-0.03652862545238935,0
57,0.0,187634,7,5,4,10.0,5,0,1,17,-1,49,-0.007872105441724854,0
45,1.0,239139,0,13,6,5.0,0,0,0,12,1,34,-0.014641815075124852,0
29,0.0,117902,3,9,2,1.0,3,2,1,-10,1,40,-0.003430273366665107,0
22,0.0,80188,3,9,2,6.0,3,0,1,5,-2,60,0.0020748867712441854,0
45,0.0,213979,7,5,3,1.0,5,0,1,15,0,40,-0.002975703136326083,0
61,1.0,241771,1,10,6,2.0,0,0,0,39,1,34,-0.027724983507766445,0
43,0.0,407621,9,8,0,6.0,2,4,1,0,0,40,0.003203752017125882,0
24,0.0,54912,1,10,2,0.0,3,4,0,-18,1,34,-0.026319104939099544,0
42,0.0,333784,1,10,2,8.0,5,4,0,-23,0,40,0.02126105672943982,0
22,5.0,52042,1,10,2,3.0,1,0,1,36,0,40,-0.026546844581211114,0
34,0.0,502368,10,14,0,5.0,2,0,1,32,-1,48,-0.005900537537232665,1
23,0.0,179096,3,4,2,7.0,1,3,0,9,-1,33,26.574864365032532,0
65,0.0,183846,0,13,0,8.0,0,0,0,2827,1,32,-0.026052935489651548,0
26,0.0,200756,3,9,2,6.0,3,0,0,-30,0,32,-0.009278730733225136,0
34,2.0,150292,0,13,0,5.0,2,0,1,7169,-1,46,-0.01542403811782213,1
44,0.0,318092,3,9,0,6.0,2,0,1,3,-1,40,-0.017653737220085317,0
50,0.0,194158,3,9,0,1.0,2,0,1,15,0,67,-0.0192525580195097,1
34,0.0,259789,1,10,0,3.0,2,0,1,3360,-1,59,-0.01953032618168082,1
29,0.0,353432,0,13,2,5.0,5,2,0,-12,0,48,-0.027779536926291197,0
27,0.0,56911,3,9,2,10.0,1,0,1,48,0,40,-0.006578561233351491,0
51,4.0,394321,3,9,2,2.0,2,0,1,5,-1,31,-0.02018593227798928,0
68,4.0,186058,3,9,0,8.0,0,0,0,-26,0,30,-0.016282253736403626,1
49,0.0,54692,1,10,2,2.0,5,4,0,23,1,28,-0.017802690919055314,0
20,0.0,118376,3,9,2,1.0,3,0,1,-27,-1,33,-0.018524241617503653,0
41,0.0,172642,13,16,0,5.0,0,0,0,15303,0,40,0.0025824860997119394,1
69,0.0,230286,1,10,4,3.0,0,4,0,31,1,9,-0.0335379731312217,0
38,0.0,107991,8,4,0,13.0,2,1,1,59,1880,7,-0.03022626691405627,1
25,5.0,128171,3,9,1,3.0,3,0,0,-1,0,40,-0.02711797741827106,0
32,4.0,190559,3,9,0,2.0,2,4,1,47,0,31,0.005629672119075226,1
23,0.0,199402,1,10,2,6.0,1,4,0,-21,1,40,0.028907731536077418,0
46,0.0,169803,3,9,1,10.0,3,0,1,25,0,47,-0.021975683676326737,0
33,0.0,196497,3,9,0,1.0,2,0,1,20,0,40,-0.01685519067619998,0
60,0.0,201522,10,14,0,5.0,2,0,1,45,1,31,19.150007256273216,0
41,0.0,201089,0,13,0,1.0,2,0,1,11,-1,50,-0.04048693634995188,1
47,0.0,418553,3,13,0,3.0,2,0,1,24,0,46,-0.009468360773955261,1
29,0.0,133327,10,14,0,0.0,0,1,0,29,1,40,12.034783287787839,1
48,0.0,346017,8,4,0,0.0,2,0,1,54,0,35,0.004332701134050459,0
33,0.0,298367,1,10,2,3.0,3,1,0,-5,1,40,-0.01475168200344721,0
24,0.0,88595,3,9,0,6.0,2,0,1,-4,0,40,-0.00906061700412599,0
37,0.0,220961,0,13,0,2.0,2,4,1,7471,1,28,-0.012936581497500816,1
22,0.0,231239,6,7,2,5.0,1,0,0,-4,-1,27,0.006484783076737365,0
