Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,17.599971456839267,0,0,2.9081288566553107,1
1,1,1,41.40496622634753,0,1,54.81342535701579,1
1,1,1,30.155437647854516,0,1,140.89670167229414,1
1,1,1,57.20041470735596,5,1,131.38976402490178,1
1,1,1,38.08797675140963,0,1,54.46583074947179,1
0,3,1,13.634385055901387,0,0,3.010358689075418,1
1,1,0,89.2349789999158,1,0,-8.423468368202414,2
1,1,1,61.64283755912874,0,1,53.911067006823224,1
0,3,0,22.293772474023104,0,0,12.978080140327922,1
0,3,0,11.439404299210416,0,0,5.5024656412589374,1
0,3,1,27.08762770476288,0,0,2.2245514667751864,1
0,2,0,86.85571471553673,8,0,5.629388040204393,1
1,1,1,45.82274785857051,4,0,3.5178541753245085,2
0,3,0,20.728058694184337,0,0,5.202638154032445,1
0,3,0,30.601114140454378,0,0,12.303762903267298,1
0,2,0,87.00041952475974,1,0,232.6073668486071,1
1,1,1,62.06405433639208,0,1,136.99482381604037,1
0,3,0,23.75404265452641,0,0,2.9667859696725074,1
0,3,0,32.13279384970743,0,0,4.539821181761733,1
1,1,1,35.2963296839425,4,6,17.41875056724566,2
0,3,1,30.629377156508895,0,0,11.628841475143885,1
1,2,0,82.46097304735923,1,0,192.97974835882934,1
1,1,1,93.32633909296766,1,0,-47.870112968385,2
0,3,0,26.381875583346645,0,0,14.333998878795107,1
0,2,0,29.995141439847757,0,0,8.17081067240515,1
1,1,1,67.8785459715028,0,1,51.14853053016941,1
0,2,0,28.04941549641002,0,0,16.877650802384977,1
1,1,1,73.02503473651807,3,1,123.49712341712258,3
0,3,1,15.997707231731745,0,0,0.9732866225806127,1
1,1,1,68.69492770206476,3,1,111.69106389953592,3
0,3,0,25.921427497937117,0,0,8.448831039512578,1
1,1,1,1.8112279838820236,0,1,52.05715253602847,1
0,3,1,25.185059818249623,0,2,23.914573375612253,1
1,1,1,50.84340667903218,3,3,67.19246547722838,3
0,3,1,18.482619157203164,0,0,9.300804181965495,1
1,3,1,27.537559421249085,0,2,124.22898899763149,1
0,2,0,31.23596314356455,0,0,22.469819821985958,1
1,1,1,39.871501081754474,3,3,47.675973318490875,1
1,1,1,69.68257211577907,1,0,20.550192662883916,2
0,2,0,26.168814774875997,0,0,3.5931506683181986,1
