age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,0.0,160178,1,10,1,8.0,3,0,0,0,0,38,0.0,0
45,5.0,50567,3,9,0,4.0,0,0,0,0,0,40,0.0,0
29,0.0,185908,0,13,0,4.0,2,4,1,0,0,55,0.0,1
30,0.0,190040,0,13,2,7.0,3,0,0,0,0,40,0.0,0
29,1.0,189346,1,10,1,1.0,3,0,1,2202,0,50,0.0,0
51,0.0,108435,10,14,0,5.0,2,0,1,0,0,47,0.0,1
58,1.0,93664,3,9,0,4.0,2,0,1,15024,0,60,0.0,1
22,0.0,148431,3,9,2,8.0,3,3,0,0,0,40,0.0,0
50,0.0,313321,5,12,1,3.0,3,0,0,0,0,40,0.0,0
50,0.0,71417,3,9,0,1.0,2,0,1,3103,0,40,0.0,1
43,1.0,241895,0,13,2,3.0,3,0,1,0,0,42,0.0,0
37,0.0,271013,3,9,1,6.0,3,0,1,0,0,40,0.0,0
41,0.0,152529,0,13,2,5.0,3,0,1,0,0,40,0.0,1
46,0.0,116952,8,4,0,5.0,0,0,0,0,0,45,0.0,0
33,0.0,226629,1,10,0,2.0,0,0,0,0,0,35,0.0,0
45,0.0,161819,2,7,3,8.0,5,4,0,0,0,25,0.0,0
43,0.0,99212,6,11,0,4.0,2,0,1,3103,0,48,0.0,1
52,2.0,179951,4,15,0,4.0,2,0,1,0,0,40,0.0,0
38,3.0,115433,5,12,0,8.0,0,0,0,7688,0,33,0.0,1
32,1.0,267161,0,13,1,4.0,5,4,0,0,0,30,0.0,0
40,0.0,439919,7,5,0,7.0,2,0,1,0,0,40,20.0,0
31,5.0,93589,3,9,1,12.0,1,3,1,0,0,40,0.0,0
51,0.0,95329,10,14,1,12.0,5,0,1,0,0,40,0.0,0
23,0.0,227594,3,9,2,8.0,3,0,0,0,0,30,0.0,0
29,0.0,50295,1,10,0,4.0,2,0,1,0,0,48,0.0,0
32,4.0,159187,0,13,2,5.0,3,0,1,0,0,35,0.0,0
59,0.0,167963,3,9,2,8.0,5,0,1,0,0,40,0.0,0
32,0.0,237903,0,13,2,5.0,5,0,0,0,0,40,0.0,0
33,3.0,129707,1,10,2,4.0,3,0,1,0,0,50,0.0,0
18,0.0,231562,3,9,2,3.0,1,0,0,0,0,33,0.0,0
53,0.0,195813,14,3,0,1.0,2,3,1,5178,0,40,3.0,1
32,0.0,190511,1,10,0,4.0,2,0,1,0,0,40,0.0,1
23,0.0,260254,3,9,2,3.0,1,0,1,0,0,40,0.0,0
26,0.0,94392,2,7,3,2.0,5,0,0,0,0,20,0.0,0
28,3.0,329426,0,13,2,4.0,3,0,1,0,0,40,0.0,0
30,0.0,167309,0,13,0,8.0,2,0,1,0,1902,40,0.0,1
