age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,4,187677,11,2,7,2,4,1,0,0,40,39,0
57,7,187139,11,2,7,0,4,1,0,0,40,0,1
49,6,192364,15,2,12,0,4,1,0,0,40,39,1
56,4,60220,9,4,10,1,4,1,0,0,49,39,1
52,5,162931,15,2,1,0,4,1,0,0,40,39,0
57,4,131329,11,4,1,4,4,0,0,0,8,39,0
57,2,316886,12,2,10,0,1,1,0,0,40,22,1
30,4,117195,15,2,10,5,2,1,0,0,45,39,1
54,7,206759,12,3,12,1,4,1,0,0,56,39,0
18,4,24702,1,4,8,3,4,0,0,0,21,39,0
40,2,421897,9,2,10,0,4,1,0,0,49,39,1
28,4,131538,9,4,10,2,1,1,0,0,50,39,0
42,7,180083,12,0,10,1,4,0,0,0,58,39,1
22,4,307392,15,4,7,3,4,1,0,0,40,39,0
46,7,218991,12,5,4,4,4,1,0,0,58,19,0
45,4,168653,12,2,4,4,4,0,21540,0,40,2,0
32,4,153756,15,2,7,0,4,1,0,0,40,39,1
22,4,88257,11,4,0,4,4,0,0,0,12,39,0
47,1,206699,15,4,1,1,4,1,0,0,40,39,0
54,4,100364,9,4,10,1,4,0,4035,0,63,39,1
29,4,131494,15,4,1,4,4,0,0,0,43,39,0
54,1,183275,15,2,7,0,4,1,0,0,40,39,0
31,4,191194,15,2,7,0,4,1,0,1600,40,39,1
29,4,72464,11,4,6,2,4,1,0,0,40,39,0
56,0,122589,3,6,0,3,4,1,0,0,10,39,0
43,7,107953,11,2,3,0,4,1,0,0,40,39,1
28,4,322511,11,2,7,0,4,1,0,0,40,39,0
52,5,205097,15,2,4,0,2,1,0,0,58,39,1
50,6,174405,15,2,3,0,3,1,0,1604,35,39,1
18,0,75839,1,4,0,3,4,1,0,0,18,39,0
28,2,257095,11,4,4,1,4,1,0,0,40,39,0
28,4,293101,15,2,7,0,4,1,0,0,40,39,1
30,0,403154,15,4,5,1,4,1,0,0,40,39,0
56,1,98813,15,4,1,4,4,0,0,0,40,39,0
81,0,426475,11,4,0,4,4,1,0,0,58,39,0
40,4,149098,8,4,3,1,4,1,0,0,40,39,0
29,4,285556,15,2,7,2,3,1,0,0,40,39,0
57,5,175219,15,2,4,0,0,1,0,1920,61,39,1
18,4,108354,11,4,8,3,4,0,0,0,30,39,0
47,4,80920,11,1,7,4,4,0,0,0,40,39,0
25,4,98665,15,2,12,0,0,1,0,0,63,39,1
50,4,110318,15,4,10,1,4,1,0,0,40,39,0
62,6,222546,11,2,11,0,4,1,0,1596,40,39,0
41,2,108056,8,4,10,4,4,0,0,0,6,39,0
30,4,116098,11,4,7,4,4,0,0,0,40,39,0
47,4,199419,12,2,10,5,4,0,0,0,37,41,0
42,4,183722,11,2,3,5,4,0,0,0,58,39,0
49,4,204370,15,3,12,4,2,1,0,0,41,39,0
50,5,189214,14,2,12,0,4,1,4252,0,42,39,0
64,5,211649,11,2,7,0,4,1,0,0,40,39,0
18,4,95708,1,4,8,3,4,1,0,0,16,39,0
39,4,189467,11,2,7,3,4,1,0,0,40,39,0
47,5,68890,15,2,4,0,4,1,0,1925,40,39,1
32,4,139226,15,4,13,1,4,1,0,0,50,39,1
45,4,141357,8,0,10,4,4,0,0,0,58,39,0
64,4,190548,9,0,4,4,4,0,0,0,50,39,0
49,5,214842,9,2,4,0,4,1,0,0,49,39,1
40,4,181658,11,4,6,1,4,1,0,0,40,39,0
52,6,339184,15,2,4,0,4,1,0,0,40,39,1
20,4,98318,8,4,8,4,2,0,0,0,40,39,0
58,5,311209,14,2,7,0,4,1,0,0,40,39,0
33,4,117067,15,4,10,1,4,1,0,0,40,39,0
50,4,59846,0,4,8,4,2,1,13697,0,40,2,0
50,4,282303,9,4,10,4,2,1,0,0,40,39,0
55,6,142172,15,2,10,0,4,1,0,0,50,39,0
23,4,268998,11,4,7,1,4,1,0,0,40,39,0
42,4,184383,8,3,8,4,4,0,0,0,40,39,0
35,2,123399,9,4,10,1,4,1,0,0,50,39,0
49,7,166834,11,2,11,5,4,0,18220,0,40,39,1
26,4,163408,11,4,7,3,4,1,0,0,40,39,0
43,4,312570,9,4,10,1,4,1,0,0,50,39,1
43,0,39371,11,4,0,4,2,0,0,0,40,39,0
50,4,126997,15,3,4,1,2,0,0,0,40,39,1
51,4,186038,8,4,3,3,4,1,0,0,40,39,0
22,0,106888,11,4,0,3,4,1,0,0,40,39,0
48,0,178900,11,6,0,4,4,1,0,0,40,39,0
17,4,222102,1,4,3,3,4,1,0,0,40,39,0
49,7,205591,12,2,4,4,4,1,0,0,59,39,0
51,6,153265,11,2,3,0,4,1,4468,0,40,39,1
29,4,123784,9,4,10,1,4,0,0,0,8,39,0
39,4,142368,15,2,7,0,4,1,0,0,40,39,0
45,7,88436,11,5,4,4,2,0,0,0,40,39,0
57,5,210310,14,2,10,0,4,1,0,1595,49,39,1
40,5,223239,15,2,14,0,4,1,0,0,35,39,0
46,2,310613,9,4,10,1,4,0,0,0,50,39,0
42,4,254649,11,4,7,1,4,1,0,0,40,39,0
48,7,237593,11,0,10,4,4,0,20331,0,58,13,0
42,4,147529,8,4,3,3,4,1,0,0,40,39,0
49,7,201866,11,2,4,4,4,0,0,0,40,39,1
46,4,139462,15,2,10,1,4,1,0,0,50,39,1
