age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,0,104380,15,1,0,2,2,0,0,0,40,39,0
49,4,264016,12,2,7,0,4,1,0,0,44,39,1
26,0,162120,11,6,0,3,4,1,0,0,18,39,0
49,6,39130,5,2,5,0,4,1,0,0,40,39,0
32,4,139325,11,0,7,1,4,1,0,0,64,39,0
40,0,233196,15,6,0,4,4,0,0,0,26,39,0
34,4,142572,12,2,12,0,4,1,14326,0,40,39,1
23,4,120561,11,2,3,3,4,1,0,0,35,39,0
48,4,298838,15,2,4,0,4,1,0,0,50,39,1
46,6,369535,12,3,10,0,4,1,0,0,50,39,1
31,4,48800,11,2,3,0,4,1,0,0,40,39,0
55,6,191738,15,2,5,0,4,1,0,0,12,39,0
21,4,126442,15,4,4,3,1,1,0,0,40,0,0
23,4,173508,15,5,14,3,4,1,0,1503,50,39,0
38,4,380673,15,4,12,3,4,0,5192,0,4,39,0
58,2,242132,15,2,4,0,4,0,0,0,58,39,1
42,4,37261,12,6,10,1,4,1,0,0,67,39,0
47,5,329275,12,2,12,0,4,1,0,0,66,11,1
46,0,203446,11,2,4,0,4,0,0,0,40,39,0
22,4,223254,2,4,8,1,4,0,0,0,30,39,0
27,2,212547,11,0,8,4,4,0,0,0,40,14,0
59,4,235311,8,3,1,1,4,0,0,0,30,39,0
38,4,262576,6,2,5,0,4,1,0,0,40,39,0
32,4,351897,2,4,1,3,4,0,0,0,23,4,0
30,2,267185,9,0,12,1,2,0,0,0,40,39,0
26,4,45846,15,4,1,1,4,1,0,0,34,39,0
45,6,186247,12,2,13,0,4,1,0,0,58,39,1
49,4,222993,9,2,3,0,4,1,0,0,50,39,1
31,4,19012,15,4,6,3,4,1,0,0,40,39,0
42,5,130677,15,2,12,0,4,1,6259,0,14,39,0
20,4,245984,15,4,14,3,4,1,0,1330,40,8,0
59,4,122604,4,2,8,4,1,0,0,0,40,35,0
46,4,221091,12,2,12,3,4,1,0,0,75,39,0
30,0,170489,11,4,3,3,4,1,0,0,40,39,0
24,4,207735,11,1,7,3,4,1,0,0,30,39,0
49,4,174723,15,4,4,3,4,0,0,0,40,39,0
19,4,127156,15,4,1,3,4,0,0,0,25,39,0
20,4,40986,11,0,7,3,4,1,0,0,50,39,0
37,2,151982,8,3,1,4,2,0,0,0,40,39,0
33,4,168031,12,2,12,0,1,1,0,0,40,2,0
45,4,227388,8,4,7,4,4,1,0,0,40,39,0
42,4,298392,9,4,12,1,2,0,0,0,67,39,1
29,4,254410,15,2,4,0,4,1,0,0,35,39,1
51,4,110941,15,5,3,4,4,0,0,0,40,32,0
32,4,32860,5,4,8,4,2,0,0,0,30,39,0
42,4,80352,11,2,7,0,4,0,0,0,40,39,1
46,5,164326,9,2,13,0,4,0,0,2288,11,39,0
36,2,161936,15,4,14,3,4,1,0,0,22,39,0
17,0,103980,15,4,0,3,2,0,0,0,21,39,0
25,4,208830,2,4,12,3,4,0,0,0,40,39,0
27,4,203277,11,6,8,4,4,0,0,0,33,39,0
27,4,114379,15,6,1,4,4,0,0,0,36,39,0
30,4,115845,11,2,3,0,4,1,0,0,45,39,1
52,4,43570,3,5,7,1,2,0,0,0,30,39,0
51,4,387174,9,4,12,1,4,0,0,0,77,39,0
19,4,137875,15,2,6,0,4,1,0,0,40,39,0
51,5,129733,12,2,4,0,4,1,0,0,50,39,1
36,4,220620,2,4,10,1,4,0,0,0,40,39,0
41,4,186502,15,0,1,4,4,0,0,0,40,39,0
62,2,106558,11,2,3,0,4,1,0,0,40,2,0
27,2,162026,15,4,14,3,4,1,0,0,22,39,0
34,2,225471,15,4,1,3,4,0,4587,0,40,39,0
47,4,199457,11,0,8,4,4,0,0,0,40,39,0
50,5,87024,15,2,4,0,1,1,0,0,40,2,1
46,4,243469,11,2,3,0,4,1,15630,0,49,39,1
43,4,32248,15,2,3,0,4,1,0,0,50,39,1
58,4,31913,7,4,1,1,4,1,0,0,44,39,0
39,5,174425,15,2,4,0,4,1,0,0,40,39,1
38,4,191124,15,4,10,1,4,0,0,0,59,39,0
38,6,337540,9,4,10,2,4,0,23113,0,40,39,0
24,0,129261,15,4,0,3,4,1,0,0,20,39,0
44,2,263453,12,3,13,1,4,0,0,0,56,39,0
32,4,253304,6,2,7,0,4,1,0,0,40,39,0
41,4,21771,2,4,3,3,4,1,4380,0,40,0,0
24,0,299357,15,6,0,4,4,0,0,0,27,39,0
50,6,275106,15,2,13,0,4,0,0,0,58,39,1
21,4,263320,15,4,12,3,0,0,0,0,40,39,0
