Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,28.0,0,0,4.0,2
1,3,0,36.0,1,0,76.0,3
1,2,1,29.0,1,1,57.0,3
1,3,1,27.0,0,0,183.0,3
1,2,1,49.0,0,0,82.0,2
1,3,0,33.0,0,0,34.0,2
1,2,1,40.0,1,0,93.0,3
0,3,0,14.0,0,0,28.0,2
1,3,1,18.0,0,0,38.0,3
1,2,1,67.0,0,0,61.0,2
0,3,0,33.0,0,0,6.0,2
0,3,0,8.0,0,0,18.0,2
1,2,1,29.0,0,0,11.0,2
1,2,1,29.0,0,0,50.0,3
1,2,1,24.0,1,0,131.0,3
0,2,1,28.0,1,0,33.0,3
1,3,0,13.0,3,1,41.0,2
1,3,1,26.0,0,0,10.0,2
0,3,0,11.0,0,0,10.0,2
1,2,1,18.0,1,2,65.0,3
0,3,0,25.0,0,0,6.0,2
0,3,0,45.0,0,0,10.0,2
0,2,0,23.0,1,2,104.0,2
1,2,0,23.0,0,0,6.0,3
0,3,1,46.0,1,0,22.0,2
1,2,1,37.0,1,0,132.0,2
1,2,0,28.0,0,0,32.0,2
1,2,1,26.0,1,0,16.0,2
1,2,1,26.0,1,0,38.0,3
0,3,0,27.0,0,0,8.0,2
1,2,1,23.0,0,0,22.0,3
1,2,1,25.0,1,0,17.0,3
1,3,1,28.0,1,1,166.0,2
1,2,1,14.0,1,2,85.0,2
1,2,1,27.0,1,1,53.0,2
1,3,1,23.0,0,0,56.0,2
1,2,0,43.0,0,0,8.0,2
0,2,1,29.0,1,0,253.0,3
1,2,1,53.0,1,0,174.0,3
0,3,0,3.0,1,2,71.0,2
1,3,1,43.0,1,1,84.0,2
1,3,1,16.0,0,1,59.0,2
1,3,0,32.0,1,1,15.0,3
1,3,0,35.0,0,0,66.0,2
0,3,0,22.0,0,0,4.0,3
0,2,0,18.0,1,0,6.0,3
1,2,1,19.0,1,5,95.0,3
1,3,1,22.0,0,0,39.0,3
0,3,0,25.0,0,0,7.0,2
1,2,1,15.0,0,0,17.0,3
0,2,1,21.0,0,0,8.0,2
0,3,0,26.0,0,0,6.0,2
1,3,1,7.0,1,2,21.0,2
0,2,0,27.0,0,0,9.0,3
1,3,1,23.0,0,0,4.0,3
0,3,0,56.0,0,0,16.0,2
1,2,1,24.0,0,0,15.0,2
1,3,0,34.0,0,0,10.0,2
1,2,1,37.0,1,0,156.0,3
1,3,1,22.0,0,0,6.0,2
0,2,0,31.0,2,0,18.0,2
0,2,1,29.0,0,0,2.0,3
1,2,1,34.0,1,2,58.0,3
1,3,1,52.0,0,0,20.0,3
1,3,1,36.0,1,4,21.0,3
1,3,1,35.0,0,0,9.0,3
0,3,0,23.0,0,0,5.0,2
1,2,1,6.0,1,1,68.0,2
1,3,1,40.0,1,2,45.0,3
1,2,1,28.0,0,0,56.0,3
0,3,0,29.0,0,0,7.0,2
1,2,1,28.0,0,0,9.0,2
1,2,1,42.0,1,1,37.0,2
0,3,0,47.0,0,0,11.0,2
1,3,1,9.0,1,2,58.0,2
0,3,0,33.0,4,0,31.0,3
1,2,1,21.0,0,0,19.0,3
1,2,0,7.0,2,0,81.0,2
0,2,1,39.0,0,0,13.0,2
1,2,1,26.0,1,0,52.0,2
1,3,1,27.0,0,0,61.0,3
1,2,1,6.0,1,2,36.0,2
0,3,0,14.0,2,1,35.0,3
1,2,1,33.0,0,1,30.0,2
0,2,0,52.0,0,1,10.0,2
1,2,1,17.0,1,0,80.0,2
1,3,1,7.0,1,1,54.0,2
1,2,1,24.0,0,0,62.0,2
0,3,0,43.0,0,0,15.0,2
0,3,0,25.0,0,0,23.0,2
1,2,0,34.0,0,0,51.0,2
0,2,1,28.0,0,0,61.0,3
0,2,0,24.0,0,1,31.0,2
1,2,1,36.0,1,2,50.0,3
1,3,1,30.0,0,1,63.0,3
0,3,1,24.0,4,0,22.0,2
0,3,0,44.0,0,0,6.0,2
0,2,0,4.0,1,0,266.0,2
1,2,1,51.0,1,2,112.0,2
0,3,0,27.0,0,5,7.0,3
0,3,0,14.0,0,1,31.0,2
1,2,1,28.0,1,0,34.0,2
1,2,1,43.0,1,0,147.0,2
0,3,0,23.0,0,1,7.0,2
0,3,0,27.0,0,4,74.0,2
1,2,1,30.0,1,1,34.0,2
1,2,1,29.0,0,0,72.0,2
0,2,1,45.0,1,0,54.0,3
1,2,1,4.0,2,1,47.0,3
0,3,1,35.0,1,1,49.0,3
0,3,0,29.0,0,0,8.0,2
1,3,0,18.0,0,0,68.0,2
1,3,0,25.0,2,6,71.0,2
1,2,1,32.0,0,1,107.0,3
1,3,0,29.0,0,0,7.0,3
1,2,1,49.0,0,0,79.0,3
1,2,1,19.0,1,0,14.0,3
1,2,1,31.0,0,0,8.0,2
0,2,1,26.0,1,2,37.0,2
1,2,1,26.0,1,0,220.0,3
0,2,0,34.0,0,0,7.0,2
1,2,1,5.0,1,1,100.0,2
1,3,0,34.0,4,0,25.0,3
0,3,0,21.0,1,0,17.0,2
1,2,1,23.0,0,0,10.0,2
1,3,0,23.0,0,0,11.0,2
1,2,1,43.0,1,0,124.0,3
0,2,1,31.0,0,0,34.0,3
1,3,1,33.0,1,2,43.0,3
1,2,0,51.0,0,1,28.0,3
1,2,1,22.0,0,0,66.0,3
1,2,1,26.0,1,0,53.0,3
1,2,1,39.0,1,1,60.0,3
0,2,0,29.0,4,1,22.0,2
0,2,1,1.0,1,2,37.0,2
1,2,0,22.0,0,0,7.0,2
1,3,1,63.0,4,0,53.0,3
1,3,1,40.0,0,1,11.0,3
0,3,0,15.0,0,0,6.0,2
1,3,1,22.0,0,0,12.0,3
1,3,1,32.0,0,0,135.0,3
0,3,0,23.0,0,0,9.0,2
0,2,1,42.0,0,0,207.0,3
0,2,0,2.0,0,1,14.0,2
1,3,1,21.0,1,0,41.0,2
1,2,1,14.0,1,5,71.0,3
1,2,1,28.0,1,0,40.0,2
1,2,1,25.0,1,0,78.0,2
1,3,1,25.0,0,0,10.0,3
0,3,1,30.0,0,0,13.0,3
1,3,1,45.0,1,0,12.0,2
1,3,1,29.0,1,0,17.0,3
1,2,1,17.0,1,0,24.0,2
1,2,1,29.0,1,5,26.0,3
1,2,1,29.0,0,0,9.0,3
1,2,1,10.0,1,2,44.0,3
1,2,1,21.0,1,2,83.0,3
1,2,1,31.0,0,0,45.0,3
0,3,0,47.0,0,0,6.0,2
0,3,1,29.0,1,0,150.0,2
0,3,0,3.0,0,0,22.0,2
0,2,1,29.0,0,0,133.0,3
1,2,1,43.0,0,0,51.0,3
1,2,1,38.0,0,0,144.0,3
0,3,1,28.0,0,0,214.0,3
1,2,1,49.0,1,0,39.0,2
0,3,0,24.0,0,0,32.0,2
1,2,1,19.0,1,0,65.0,2
1,3,1,34.0,0,0,81.0,2
1,3,0,25.0,1,1,19.0,2
1,3,1,21.0,0,0,35.0,3
1,3,1,19.0,0,0,3.0,2
1,2,1,48.0,3,0,13.0,2
0,2,0,30.0,4,0,29.0,2
0,2,1,31.0,0,5,32.0,2
0,3,0,25.0,0,0,5.0,2
1,2,1,43.0,1,0,250.0,3
1,3,1,30.0,0,0,81.0,2
1,2,1,49.0,1,0,184.0,3
1,2,1,61.0,1,0,44.0,3
1,2,1,38.0,0,0,7.0,2
1,2,1,28.0,1,6,24.0,2
0,2,1,21.0,1,2,69.0,3
0,3,0,18.0,0,0,16.0,2
1,3,1,29.0,1,0,101.0,3
0,3,0,26.0,0,0,9.0,2
1,2,1,1.0,1,1,16.0,2
1,3,1,29.0,1,1,68.0,2
1,2,1,2.0,1,1,35.0,3
1,2,1,41.0,2,0,79.0,3
1,3,1,51.0,1,0,94.0,3
0,3,0,15.0,0,0,8.0,2
1,2,1,17.0,1,0,65.0,3
1,2,1,15.0,0,0,8.0,2
0,3,0,20.0,0,0,9.0,2
1,3,1,29.0,0,0,9.0,2
1,2,0,5.0,0,5,48.0,2
1,2,1,24.0,1,0,226.0,3
0,2,0,21.0,0,0,7.0,2
1,2,1,27.0,1,2,45.0,2
0,2,0,14.0,0,2,7.0,2
0,3,0,29.0,0,0,27.0,2
1,2,1,19.0,0,0,107.0,2
1,3,1,20.0,1,0,14.0,3
0,3,0,21.0,0,0,9.0,2
1,2,1,22.0,1,1,22.0,2
1,2,1,21.0,1,0,75.0,3
1,2,1,57.0,1,0,49.0,3
0,3,0,19.0,0,0,4.0,2
0,3,0,31.0,0,0,50.0,2
1,2,1,31.0,1,0,54.0,3
1,2,1,33.0,1,1,61.0,3
0,2,1,15.0,4,5,17.0,2
1,3,0,23.0,0,0,31.0,2
1,2,1,44.0,1,0,76.0,3
0,3,0,19.0,0,1,19.0,2
1,2,1,36.0,0,0,49.0,3
1,2,1,27.0,0,0,101.0,2
1,3,0,39.0,0,0,46.0,2
0,2,1,8.0,1,2,41.0,2
1,3,0,17.0,0,0,57.0,2
1,2,1,27.0,0,0,132.0,2
1,2,1,54.0,1,1,21.0,2
1,2,1,30.0,1,0,22.0,3
0,3,0,25.0,0,0,11.0,2
1,2,1,45.0,0,0,195.0,2
1,2,1,40.0,1,0,55.0,2
0,3,0,20.0,0,0,5.0,2
0,3,1,50.0,1,0,55.0,3
1,3,1,35.0,0,0,60.0,3
1,2,1,8.0,1,1,18.0,3
0,3,1,2.0,1,1,48.0,3
1,2,0,25.0,0,0,134.0,2
1,3,0,42.0,5,2,115.0,2
1,2,1,30.0,0,0,11.0,3
1,3,1,25.0,0,0,10.0,2
1,3,1,39.0,1,1,13.0,2
1,2,0,16.0,1,0,8.0,2
0,3,1,22.0,0,0,10.0,3
1,3,1,31.0,0,1,23.0,2
1,2,1,38.0,1,0,19.0,3
0,2,0,25.0,0,0,27.0,2
0,2,0,47.0,0,2,8.0,3
1,2,1,7.0,1,2,36.0,2
1,2,1,17.0,1,0,184.0,3
1,2,1,39.0,1,1,40.0,2
0,3,1,31.0,4,1,18.0,2
0,3,0,26.0,0,0,7.0,2
1,3,1,22.0,1,1,25.0,2
0,2,1,28.0,1,1,28.0,3
0,3,1,29.0,1,5,21.0,2
1,3,1,37.0,0,0,10.0,3
1,2,1,13.0,1,1,35.0,2
0,2,0,15.0,0,1,144.0,2
1,2,1,16.0,1,1,64.0,2
1,2,1,43.0,0,1,33.0,2
1,2,1,41.0,1,1,62.0,2
1,2,1,3.0,1,1,60.0,2
1,3,1,34.0,1,0,94.0,3
0,3,0,18.0,0,0,10.0,3
1,2,1,28.0,0,0,7.0,2
0,2,1,39.0,1,1,23.0,2
0,3,1,2.0,0,1,31.0,2
1,2,0,53.0,1,1,17.0,2
1,2,1,27.0,1,1,168.0,3
0,3,0,9.0,0,1,20.0,2
1,3,1,39.0,0,0,9.0,2
1,3,0,49.0,0,0,8.0,2
0,2,0,32.0,4,1,27.0,3
1,3,1,19.0,1,1,40.0,2
0,2,0,27.0,0,0,8.0,2
1,2,1,17.0,1,0,112.0,3
1,3,0,7.0,1,1,28.0,2
0,3,0,8.0,0,0,5.0,2
1,2,1,27.0,1,0,97.0,3
1,2,1,38.0,1,0,33.0,2
0,3,0,30.0,0,0,7.0,2
0,2,1,19.0,2,1,49.0,3
1,3,1,41.0,0,0,14.0,2
0,2,1,26.0,1,2,80.0,2
0,3,0,26.0,0,0,21.0,2
1,3,0,31.0,0,1,4.0,2
1,2,1,33.0,0,0,10.0,2
1,2,1,41.0,1,0,271.0,3
1,2,1,30.0,1,1,52.0,2
1,2,1,59.0,1,0,47.0,2
0,3,1,18.0,1,0,84.0,2
1,2,1,31.0,1,0,9.0,2
0,3,0,48.0,0,0,20.0,2
1,2,0,9.0,0,0,98.0,2
0,3,0,29.0,2,1,59.0,2
0,2,1,12.0,1,2,33.0,2
1,2,1,55.0,1,1,36.0,2
1,2,1,28.0,0,0,51.0,2
1,3,1,31.0,0,0,12.0,2
1,3,1,20.0,4,2,170.0,2
1,3,1,27.0,1,0,85.0,3
0,3,0,28.0,0,0,7.0,2
1,2,1,27.0,1,0,56.0,2
1,3,1,24.0,1,2,96.0,2
1,2,1,27.0,1,0,110.0,3
1,2,1,34.0,0,0,40.0,2
1,2,1,25.0,1,0,194.0,2
1,2,1,3.0,1,2,31.0,2
1,2,1,30.0,1,0,142.0,3
1,2,1,46.0,1,1,84.0,3
1,2,1,28.0,1,0,80.0,3
1,3,0,52.0,1,1,18.0,2
1,2,1,27.0,0,0,47.0,3
1,3,0,31.0,0,0,25.0,2
0,3,1,31.0,1,2,32.0,2
0,3,0,17.0,0,0,26.0,2
1,3,1,20.0,0,5,10.0,2
0,3,0,60.0,0,0,9.0,2
0,3,1,21.0,3,2,21.0,2
0,3,0,57.0,4,1,17.0,2
1,3,0,27.0,0,0,52.0,2
0,3,0,60.0,0,0,6.0,2
1,3,1,22.0,1,2,81.0,3
1,2,1,7.0,1,0,44.0,2
1,2,1,19.0,1,0,52.0,2
1,2,1,38.0,4,2,73.0,2
0,2,0,5.0,2,2,55.0,2
